Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Pendapatan Operasional Lainnya,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Komisi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,338376728158.000000,-217899131615.000000,120477596543.000000,-81246906035.000000,-54469477384.000000,-26777428651.000000,,,-81246906035.000000,39230690508.000000,16038402184.000000,-1963821288.000000,47794642.000000,5032298113.000000,5934036424.000000,182484468.000000,6805609825.000000,16038402184.000000,55269092692.000000,-14795541300.000000,-9753011800.000000,-5042529500.000000,,-14795541300.000000,40473551392.000000,,,40473551392.000000,,,,,40473551392.000000,40473551392.000000,,40473551392.000000,,,,
12M 2009,406616046815.000000,-263519171993.000000,143096874822.000000,-98111239521.000000,-66461916614.000000,-31649322907.000000,,,-98111239521.000000,44985635301.000000,3352302911.000000,-1604380705.000000,111646212.000000,3981086586.000000,-6156776252.000000,,7020727070.000000,3352302911.000000,48337938212.000000,-16334829025.000000,-16682081800.000000,347252775.000000,,-16334829025.000000,32003109187.000000,,,32003109187.000000,,,,,32003109187.000000,32003109187.000000,,32003109187.000000,,,,
12M 2010,969354917547.000000,-492511172853.000000,476843744694.000000,-256102798118.000000,-215559415312.000000,-40543382806.000000,,,-256102798118.000000,220740946576.000000,16188779823.000000,-1257994568.000000,1053287166.000000,109927273.000000,-916378808.000000,,17199938760.000000,16188779823.000000,236929726399.000000,-70903018162.000000,-71883698500.000000,980680338.000000,,-70903018162.000000,166026708237.000000,,,166026708237.000000,,,,,166026708237.000000,166026708237.000000,,166026708237.000000,,,,
12M 2011,2127603072558.000000,-1257827390261.000000,869775682297.000000,-236723827199.000000,-203544849054.000000,-45375244168.000000,13546916331.000000,-1350650308.000000,-236723827199.000000,633051855098.000000,8748014615.000000,-1950320430.000000,10698335045.000000,,,,,8748014615.000000,641799869713.000000,-191596232835.000000,-193176367300.000000,1580134465.000000,,-191596232835.000000,450203636878.000000,,,450203636878.000000,,,,450203636878.000000,450203636878.000000,450203592519.000000,44359.000000,450203636878.000000,450203636878.000000,450203592519.000000,44359.000000,450203636878.000000
12M 2012,214901931.000000,-145737647.000000,69164284.000000,-34195204.000000,-24368891.000000,-7786636.000000,506756.000000,-2546433.000000,-34195204.000000,34969080.000000,680203.000000,-209567.000000,889770.000000,,,,,680203.000000,35649283.000000,-12059460.000000,-12059460.000000,,,-12059460.000000,23589823.000000,,,23589823.000000,-656371.000000,,-656371.000000,22933452.000000,23589823.000000,23591717.000000,-1894.000000,23589823.000000,22933452.000000,22935346.000000,-1894.000000,22933452.000000
12M 2013,193474442.000000,-139721083.000000,53753359.000000,-28651122.000000,-15738450.000000,-6807902.000000,1128305.000000,-7233075.000000,-28651122.000000,25102237.000000,35201.000000,-125559.000000,160760.000000,,,,,35201.000000,25137438.000000,-7897088.000000,,,,-7897088.000000,17240350.000000,,,17240350.000000,-5663950.000000,,-5663950.000000,11576400.000000,17240350.000000,17267948.000000,-27598.000000,17240350.000000,11576400.000000,11603998.000000,-27598.000000,11576400.000000
12M 2014,135766894.000000,-113470275.000000,22296619.000000,-9592418.000000,-3257027.000000,-6051878.000000,1247519.000000,-1531032.000000,-9592418.000000,12704201.000000,66307.000000,-136563.000000,202870.000000,,,,,66307.000000,12770508.000000,-4768230.000000,-4467698.000000,-300532.000000,,-4768230.000000,8002278.000000,,,8002278.000000,-1005240.000000,,-1005240.000000,6997038.000000,8002278.000000,8076048.000000,-73770.000000,8002278.000000,6997038.000000,7070808.000000,-73770.000000,6997038.000000
12M 2015,111011540.000000,-84539244.000000,26472296.000000,-17324763.000000,-10866302.000000,-5782488.000000,1553920.000000,-2229893.000000,-17324763.000000,9147533.000000,-62503.000000,-190316.000000,127813.000000,,,,,-62503.000000,9085030.000000,-3412817.000000,-3210689.000000,186088.000000,-388216.000000,-3412817.000000,5672213.000000,,,5672213.000000,-2877160.000000,-2877160.000000,-2877160.000000,2795053.000000,5672213.000000,5717343.000000,-45130.000000,5672213.000000,2795053.000000,2840183.000000,-45130.000000,2795053.000000
12M 2016,92636624.000000,-68777321.000000,23859303.000000,-9400490.000000,-2675681.000000,-6369423.000000,1299976.000000,-1655362.000000,-9400490.000000,14458813.000000,231062.000000,-173714.000000,404776.000000,,,,,231062.000000,14689875.000000,-5217011.000000,-5086326.000000,-130685.000000,,-5217011.000000,9472864.000000,,,9472864.000000,851541.000000,851541.000000,851541.000000,10324405.000000,9472864.000000,9657905.000000,-185041.000000,9472864.000000,10324405.000000,10509446.000000,-185041.000000,10324405.000000
12M 2017,83764246.000000,-57373765.000000,26390481.000000,-7166988.000000,-1092241.000000,-6251645.000000,460817.000000,-283919.000000,-7166988.000000,19223493.000000,413514.000000,-165278.000000,578792.000000,,,,,413514.000000,19637007.000000,-6197032.000000,,,,-6197032.000000,13439975.000000,,,13439975.000000,-400458.000000,-400458.000000,-400458.000000,13039517.000000,13439975.000000,13637461.000000,-197486.000000,13439975.000000,13039517.000000,13237003.000000,-197486.000000,13039517.000000
12M 2018,56942510.000000,-43958066.000000,12984444.000000,-11968300.000000,-1501878.000000,-9011491.000000,1163605.000000,-2618536.000000,-11968300.000000,1016144.000000,103699.000000,-193532.000000,297231.000000,,,,,103699.000000,1119843.000000,-644243.000000,,,,-644243.000000,475600.000000,,,475600.000000,-1718936.000000,,-1718936.000000,-1243336.000000,475600.000000,663474.000000,-187874.000000,475600.000000,-1243336.000000,-1055462.000000,-187874.000000,-1243336.000000
12M 2019,114851737.000000,-98680186.000000,16171551.000000,-7861531.000000,-2311478.000000,-7855855.000000,3863107.000000,-1557305.000000,-7861531.000000,8310020.000000,-280510.000000,-497796.000000,217286.000000,,,,,-280510.000000,8029510.000000,-2615158.000000,-2943058.000000,327900.000000,,-2615158.000000,5414352.000000,,,5414352.000000,1261985.000000,,1261985.000000,6676337.000000,5414352.000000,5544652.000000,-130300.000000,5414352.000000,6676337.000000,6806637.000000,-130300.000000,6676337.000000
12M 2020,72221596.000000,-64879279.000000,7342317.000000,-16511906.000000,-1312273.000000,-6958606.000000,1753113.000000,-9994140.000000,-16511906.000000,-9169589.000000,-185033.000000,-575433.000000,390400.000000,,,,,-185033.000000,-9354622.000000,686607.000000,-256788.000000,943395.000000,,686607.000000,-8668015.000000,,,-8668015.000000,758589.000000,,758589.000000,-7909426.000000,-8668015.000000,-7322874.000000,-1345141.000000,-8668015.000000,-7909426.000000,-6564285.000000,-1345141.000000,-7909426.000000
12M 2021,132149772.000000,-91093727.000000,41056045.000000,-6856680.000000,-1467583.000000,-5886202.000000,2286759.000000,-1789654.000000,-6856680.000000,34199365.000000,-241247.000000,-527112.000000,285865.000000,,,,,-241247.000000,33958118.000000,-10954593.000000,-10485525.000000,-469068.000000,,-10954593.000000,23003525.000000,,,23003525.000000,31292.000000,,31292.000000,23034817.000000,23003525.000000,23103472.000000,-99947.000000,23003525.000000,23034817.000000,23134764.000000,-99947.000000,23034817.000000
12M 2022,255241076.000000,-181501046.000000,73740030.000000,-15471820.000000,-2498106.000000,-10907579.000000,2614853.000000,-4680988.000000,-15471820.000000,58268210.000000,-209393.000000,-734682.000000,525289.000000,,,,,-209393.000000,58058817.000000,-19002911.000000,-18505964.000000,-496947.000000,,-19002911.000000,39055906.000000,,,39055906.000000,-7699438.000000,,-7699438.000000,31356468.000000,39055906.000000,38669115.000000,386791.000000,39055906.000000,31356468.000000,30969677.000000,386791.000000,31356468.000000
12M 2023,294672016.000000,-241887753.000000,52784263.000000,-14428082.000000,-3031651.000000,-11521944.000000,4076791.000000,-3951278.000000,-14428082.000000,38356181.000000,767131.000000,-442861.000000,1209992.000000,,,,,767131.000000,39123312.000000,-12320751.000000,-12325544.000000,4793.000000,,-12320751.000000,26802561.000000,,,26802561.000000,1558677.000000,,1558677.000000,28361238.000000,26802561.000000,26880751.000000,-78190.000000,26802561.000000,28361238.000000,28439428.000000,-78190.000000,28361238.000000
12M 2024,326804875.000000,-223660192.000000,103144683.000000,-44147574.000000,-23739608.000000,-14573653.000000,1926775.000000,-7761088.000000,-44147574.000000,58997109.000000,1299472.000000,-221275.000000,1520747.000000,,,,,1299472.000000,60296581.000000,-20150343.000000,-19721386.000000,-428957.000000,,-20150343.000000,40146238.000000,,,40146238.000000,-5320617.000000,,-5320617.000000,34825621.000000,40146238.000000,40077137.000000,69101.000000,40146238.000000,34825621.000000,34755949.000000,69672.000000,34825621.000000
