Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,58550399668.000000,-41102490700.000000,17447908968.000000,-7386513454.000000,-2714496456.000000,-4672016998.000000,-7386513454.000000,10061395514.000000,48184958.000000,22891271.000000,-11463935.000000,,3591265.000000,70625.000000,33095732.000000,48184958.000000,10109580472.000000,-2566546575.000000,-51193077.000000,7491840820.000000,,7491840820.000000,7491840820.000000,7571623257.000000,-79782437.000000,7491840820.000000,7491840820.000000,7571623257.000000,-79782437.000000,7491840820.000000
12M 2019,211001743239.000000,-185264029428.000000,25737713811.000000,-13496123437.000000,-3465505445.000000,-10030617992.000000,-13496123437.000000,12241590374.000000,7498901337.000000,6375205480.000000,-258993797.000000,,-15519044.000000,-9864318.000000,1408073016.000000,7498901337.000000,19740491711.000000,-3191793978.000000,34318619.000000,16583016352.000000,-63754500.000000,16519261852.000000,16583016352.000000,16563609649.000000,19406703.000000,16583016352.000000,16519261852.000000,16499855149.000000,19406703.000000,16519261852.000000
12M 2020,517197997739.000000,-469098571491.000000,48099426248.000000,-22514084731.000000,-4290245855.000000,-18223838876.000000,-22514084731.000000,25585341517.000000,11548029154.000000,15332734800.000000,-3464594420.000000,,,,-320111226.000000,11548029154.000000,37133370671.000000,-5112193264.000000,,32021177407.000000,95078520.000000,32116255927.000000,32021177407.000000,31918591277.000000,102586130.000000,32021177407.000000,32116255927.000000,32013189395.000000,103066532.000000,32116255927.000000
12M 2021,1150441212932.000000,-1082859837134.000000,67581375798.000000,-36919049031.000000,-11054147495.000000,-25864901536.000000,-36919049031.000000,30662326767.000000,214263495116.000000,6800415552.000000,-6328759345.000000,-6497667.000000,,,213798336576.000000,214263495116.000000,244925821883.000000,-5772982666.000000,,239152839217.000000,-23765620.000000,239129073597.000000,239152839217.000000,239355619977.000000,-202780760.000000,239152839217.000000,239129073597.000000,239340616378.000000,-211542781.000000,239129073597.000000
12M 2022,1938153436211.000000,-1866668899231.000000,71484536980.000000,-56175281128.000000,-15239368044.000000,-40935913084.000000,-56175281128.000000,15309255852.000000,-5880627948.000000,4983881349.000000,-4775079308.000000,2840016821.000000,,,-8929446810.000000,-5880627948.000000,9428627904.000000,-4655714884.000000,,4772913020.000000,77720850.000000,4850633870.000000,4772913020.000000,5560283319.000000,-787370299.000000,4772913020.000000,4850633870.000000,5589063898.000000,-738430028.000000,4850633870.000000
12M 2023,1945055730713.000000,-1864327426076.000000,80728304637.000000,-57024552705.000000,-12903710628.000000,-44120842077.000000,-57024552705.000000,23703751932.000000,-284768011163.000000,5032085789.000000,-3633418116.000000,836633445.000000,,,-287003312281.000000,-284768011163.000000,-261064259231.000000,-6120826872.000000,,-267185086103.000000,-396973620.000000,-267582059723.000000,-267185086103.000000,-263769789562.000000,-3415296541.000000,-267185086103.000000,-267582059723.000000,-264168524223.000000,-3413535500.000000,-267582059723.000000
12M 2024,1176069825587.000000,-1093772185994.000000,82297639593.000000,-57511145782.000000,-14759741483.000000,-42751404299.000000,-57511145782.000000,24786493811.000000,-70596557696.000000,4063367124.000000,-2156263523.000000,-487013080.000000,-2745109225.000000,,-69271538992.000000,-70596557696.000000,-45810063885.000000,-6079179546.000000,,-51889243431.000000,3075470668.000000,-48813772763.000000,-51889243431.000000,-51400925013.000000,-488318418.000000,-51889243431.000000,-48813772763.000000,-48337219164.000000,-476553599.000000,-48813772763.000000
