Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Taksiran Tagihan Pajak Penghasilan,Pendapatan Keuangan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak,Pembayaran Beban Keuangan,Penerimaan Klaim Atas Pajak Penghasilan,Pembayaran Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Aset Tidak Lancar Lainnya,Penambahan Piutang Lain-Lain - Pihak Berelasi,Penerimaan Dari Piutang Lain-Lain - Pihak Berelasi,Penerimaan Dari Piutang Pihak Ketiga,Penerimaan Dari Penjualan Aset Tetap,Penempatan Investasi Lain-Lain,Pencairan Investasi Lain-Lain,Perolehan Aset Tetap,Penempatan Deposito Yang Dibatasi Penggunaannya,Pengembalian Uang Muka Investasi Saham,Penambahan Uang Muka Investasi Saham,Investasi Saham,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Pembatalan Uang Muka Pembelian Aset Tetap,Penyertaan Saham Pada Entitas Anak,Penyertaan Saham Pada Entitas Asosiasi,Perolehan Aset Takberwujud,Perolehan Aset Tidak Lancar Lainnya,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Perdana Saham,Peningkatan Modal Saham,Penambahan Modal Saham Entitas Anak,Setoran Modal Non-Pengendali Untuk Pendirian Entitas Anak,Penerimaan Dari Deposito Yang Dibatasi Penggunaannya,Penerimaan Piutang Lain-Lain Dari Pihak Berelasi,Penerimaan Utang Lain-Lain Dari Pihak Ketiga,Penerimaan Dari Piutang Pihak Ketiga,Pembayaran Utang Lain-Lain Kepada Pihak Ketiga,Pembayaran Utang Lain-Lain Atas Penyertaan Saham,Penambahan Utang Lain-Lain Dari Pihak Berelasi,Pembayaran Utang Lain-Lain Kepada Pihak Berelasi,Penambahan Piutang Lain-Lain Kepada Pihak Ketiga,Penambahan Piutang Lain-Lain Kepada Pihak Berelasi,Penerimaan Dari Utang Lain-Lain - Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Pinjaman Kepada Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Ketiga,Penerimaan Pinjaman Kepada Pihak Ketiga,Beban Emisi Saham,Pembayaran Kepada Pihak Berelasi,Pembayaran Utang Pembiayaan,Penambahan Modal Saham Oleh Kepentingan Non-Pengendali,Penerimaan Utang Pembiayaan,Penyertaan Saham Entitas Anak Dari Kepentingan Non-Pengendali,Pembelian Saham Treasuri,Efek Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Sebelum Pelepasan,Kas Dan Setara Kas Akhir Periode
12M 2018,-10752925597.000000,52954425980.000000,,22891271.000000,-59784467037.000000,-3242966204.000000,-330987668.000000,-11463935.000000,,-360358004.000000,-10752925597.000000,-363494923.000000,,,,,,,,-171824298.000000,,,,,,,-198000000.000000,,,,6329375.000000,-363494923.000000,13144593242.000000,,13500000000.000000,,,,,,,,,,,,,,,,,,,,,,-922190803.000000,-33215955.000000,,,,,600000000.000000,13144593242.000000,2028172722.000000,4367607327.000000,,6395780049.000000
12M 2019,-25136073021.000000,187571561757.000000,,5661452055.000000,-195314518545.000000,-7917776965.000000,-4063999359.000000,-258993797.000000,,-10813798167.000000,-25136073021.000000,-179312542641.000000,,,,,,-103775403961.000000,,-10764856149.000000,,,,,-64034282531.000000,,-594000000.000000,,-144000000.000000,,,-179312542641.000000,639720582983.000000,592307694000.000000,63223077000.000000,,,,,,,,,,,,,,,,,,342093888.000000,,,-15515326905.000000,-550000000.000000,-86955000.000000,,,,,,639720582983.000000,435271967321.000000,6395780049.000000,-396227425.000000,441271519945.000000
12M 2020,-199697430666.000000,475084919023.000000,,15839364937.000000,-529412474943.000000,-11799628616.000000,-3424112464.000000,-3464594420.000000,,-142520904183.000000,-199697430666.000000,34182798508.000000,,,,,,,105896014000.000000,-47797077140.000000,,,,-22193263679.000000,-22761000000.000000,33508098258.000000,,,-4926639575.000000,-7550000000.000000,6666644.000000,34182798508.000000,-25298228304.000000,,,,,,,,,,,,,,,,,,11588252273.000000,-9292386505.000000,,,,-655784940.000000,,-118668932.000000,,,,-26819640200.000000,,-25298228304.000000,-190812860462.000000,441271519945.000000,,250458659483.000000
12M 2021,69564622085.000000,1194013952802.000000,,6906716922.000000,-1065424491490.000000,-15017645742.000000,-5868229332.000000,-6153752837.000000,,-38891928238.000000,69564622085.000000,-183500553450.000000,,,,,,-121861714000.000000,,-23681947007.000000,-20000000000.000000,,-12500000000.000000,-2300000000.000000,,,,-2300000000.000000,,-856892443.000000,,-183500553450.000000,104222850658.000000,,,576000000.000000,27214286750.000000,,104682220259.000000,3541750500.000000,,,,8010720250.000000,,-20935000000.000000,-2460000000.000000,,,,,-16060000008.000000,,,,,,-347127093.000000,,,,,,104222850658.000000,-9713080707.000000,250458659483.000000,,240745578776.000000
12M 2022,-36515671043.000000,1777329915844.000000,,3486792879.000000,-1755755609546.000000,-20738023652.000000,-8724946926.000000,-4528077710.000000,,-27585721932.000000,-36515671043.000000,-36344781338.000000,,,,,,-21154320000.000000,1775005000.000000,-35652902829.000000,20000000000.000000,12500000000.000000,-1500000000.000000,-180000000.000000,,,,-11100000000.000000,-767400000.000000,-265163509.000000,,-36344781338.000000,-2453794346.000000,,,,,,36186259355.000000,1980000000.000000,1500000000.000000,,,8731807796.000000,-9531769446.000000,-16789532522.000000,-8028364963.000000,,,,,-16060000008.000000,,,,,,-442194558.000000,,,,,,-2453794346.000000,-75314246727.000000,240745578776.000000,-13068353.000000,165418263696.000000
12M 2023,116244195138.000000,2069850523593.000000,,2578476156.000000,-1885921760747.000000,-23951688979.000000,-7844485844.000000,-3368409003.000000,,-35098460038.000000,116244195138.000000,-128824866483.000000,1302358753.000000,,,,,-59254660000.000000,,-59986496651.000000,,,,-3333343585.000000,,,-2625000000.000000,-4912725000.000000,,-15000000.000000,,-128824866483.000000,-40448157016.000000,,,,,,7588797686.000000,5537783300.000000,,,-6847309700.000000,17529970259.000000,-16857453600.000000,-16060000008.000000,-32952372974.000000,,,,5085744000.000000,-3000000000.000000,,,,,,-473315979.000000,,,,,,-40448157016.000000,-53028828361.000000,165418263696.000000,,112389435335.000000
12M 2024,56468173300.000000,1167710445295.000000,2661387407.000000,3629497960.000000,-1061090663214.000000,-27969661725.000000,-7822981688.000000,-1505101667.000000,,-19144749068.000000,56468173300.000000,-7205766981.000000,975441250.000000,,12169267472.000000,500000000.000000,,,,-9623904528.000000,,,,,-9991700000.000000,,,,,-1243403000.000000,8531825.000000,-7205766981.000000,-24902544147.000000,,,,,,,,,,-1770875250.000000,4004588610.000000,-12185780062.000000,-16060000007.000000,,,,-5085744000.000000,,,,,,,,-470733438.000000,6666000000.000000,,,,,-24902544147.000000,24359862172.000000,112389435335.000000,-597456250.000000,136151841257.000000
