Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,(11 B),(0 B),(11 B),-79.74
12M 2019,(25 B),(75 B),(100 B),-12.99
12M 2020,(200 B),(71 B),(270 B),-35.13
12M 2021,70 B,(24 B),46 B,5.96
12M 2022,(37 B),(36 B),(72 B),-9.38
12M 2023,116 B,(60 B),56 B,7.31
12M 2024,56 B,(20 B),37 B,4.79
