Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,1300365866.000000,,2057056078.000000,2057056078.000000,2057056078.000000,1000000.000000,1000000.000000,,1000000.000000,22230456.000000,500000000.000000,3880652400.000000,,23334396003.000000,,,23334396003.000000,27215048403.000000,,,17489634750.000000,,355439698.000000,3203778861.000000,3559218559.000000,24598830.000000,21492000.000000,,,,,,,,,,13884325361.000000,17489634750.000000,32348544.000000,,,,,,,,32348544.000000,32348544.000000,17521983294.000000,,1500000000.000000,6000000000.000000,2193065109.000000,,2193065109.000000,2193065109.000000,,,9693065109.000000,27215048403.000000,1500.000000
12M 2020,,,2259781558.000000,,2910445999.000000,2910445999.000000,2910445999.000000,113500000.000000,,113500000.000000,113500000.000000,75059103.000000,1032500000.000000,6391286660.000000,,52316879818.000000,,,52316879818.000000,58708166478.000000,,,6326228292.000000,,310522026.000000,3451651382.000000,3762173408.000000,167825642.000000,78229242.000000,,,,,,,,,,2318000000.000000,6326228292.000000,18043871117.000000,,18000000000.000000,18000000000.000000,,,,,43871117.000000,18043871117.000000,24370099409.000000,,33998000000.000000,-269658691.000000,584212989.000000,,584212989.000000,584212989.000000,1891025.000000,23621746.000000,34338067069.000000,58708166478.000000,33998.000000
12M 2021,,,15638123173.000000,,2398370623.000000,2398370623.000000,2398370623.000000,979494846.000000,916944845.000000,62550001.000000,979494846.000000,112310962.000000,16056510716.000000,35184810320.000000,,49289134534.000000,,4614709.000000,49293749243.000000,84478559563.000000,,,10064038737.000000,,227139881.000000,1449442758.000000,1676582639.000000,546679908.000000,510241264.000000,2871910427.000000,,,23303424.000000,23303424.000000,,3395604408.000000,,3395604408.000000,1039716667.000000,10064038737.000000,12868368090.000000,,,,,12824175810.000000,,12824175810.000000,44192280.000000,12868368090.000000,22932406827.000000,,42497500000.000000,17707968529.000000,1304582245.000000,,1304582245.000000,1304582245.000000,1825428.000000,34276534.000000,61546152736.000000,84478559563.000000,849950000.000000
12M 2022,,,1327689887.000000,3000000000.000000,5644552528.000000,5644552528.000000,5644552528.000000,601559846.000000,589564845.000000,11995001.000000,601559846.000000,80607947.000000,9698241726.000000,20352651934.000000,,60819055115.000000,,8051588.000000,60827106703.000000,81179758637.000000,,,7155334920.000000,,96759700.000000,,96759700.000000,238415637.000000,273554557.000000,2631475097.000000,,1434442758.000000,52211546.000000,1486654304.000000,,2373626376.000000,31849249.000000,2405475625.000000,23000000.000000,7155334920.000000,11871730950.000000,,,,,11472527466.000000,393595649.000000,11866123115.000000,5607835.000000,11871730950.000000,19027065870.000000,,42497500000.000000,17707968529.000000,1913122412.000000,,1913122412.000000,1913122412.000000,1789354.000000,32312472.000000,62152692767.000000,81179758637.000000,849950000.000000
12M 2023,,,3047197821.000000,,2448343924.000000,2448343924.000000,2448343924.000000,643509846.000000,617314845.000000,26195001.000000,643509846.000000,128769003.000000,232486145.000000,6500306739.000000,,71863561902.000000,965553349.000000,14847291.000000,72843962542.000000,79344269281.000000,,,7900226071.000000,,133930959.000000,,133930959.000000,283073792.000000,297181167.000000,2861458912.000000,,1534442758.000000,100249285.000000,1634692043.000000,,2373626376.000000,131362822.000000,2504989198.000000,184900000.000000,7900226071.000000,9429019394.000000,,,,,9098901090.000000,320339932.000000,9419241022.000000,9778372.000000,9429019394.000000,17329245465.000000,,42497500000.000000,17707968529.000000,1799674967.000000,100000000.000000,1699674967.000000,1799674967.000000,1816467.000000,8063853.000000,62015023816.000000,79344269281.000000,849950000.000000
12M 2024,,,1531890163.000000,,3898098171.000000,,3898098171.000000,58926798.000000,,,58926798.000000,111055170.000000,50000000.000000,5649970302.000000,,68155922347.000000,719029090.000000,78310907.000000,68953262344.000000,74603232646.000000,,,6295553232.000000,,77382127.000000,,77382127.000000,367924469.000000,327422569.000000,2865147736.000000,137787800.000000,,,137787800.000000,,2373626376.000000,131362822.000000,2504989198.000000,14899333.000000,6295553232.000000,6889717794.000000,,,,,6725274714.000000,155442632.000000,6880717346.000000,9000448.000000,6889717794.000000,13185271026.000000,,42497500000.000000,17707968529.000000,1202963752.000000,200000000.000000,1002963752.000000,1202963752.000000,1988556.000000,7540783.000000,61417961620.000000,74603232646.000000,849950000.000000
