Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,1614060.88,0.00,0.00,,8.90%,24.98%,48.14%,
12M 2020,0.00 B,209467.89,0.00,0.00,,12.13%,20.74%,23.06%,
12M 2021,0.85 B,0.85,127.06,5.98,,0.85%,1.17%,4.52%,
12M 2022,0.85 B,0.72,123.61,4.14,,0.75%,0.98%,3.26%,
12M 2023,0.85 B,1.12,45.54,2.14,,1.20%,1.53%,3.63%,
12M 2024,0.85 B,0.98,35.71,1.33,,1.12%,1.36%,1.51%,0.79
