Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Lain-Lain,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Lain-Lain,Penerimaan Bunga,Pembayaran Untuk Beban Keuangan,Pembayaran Untuk Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penempatan Deposito Berjangka,Uang Muka Untuk Perolehan Aset Tetap,Investasi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Agio Saham,Penerimaan (Pembayaran) Ke Pihak Ketiga,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Pembiayaan,Pembayaran Utang Pembiayaan,Penerimaan Tambahan Setoran Modal,Penerimaan Uang Muka Setoran Modal,Penerimaan (Pembayaran) Dividen,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,682576908.000000,4934409921.000000,47860873.000000,,-1952660638.000000,-675987566.000000,-1669469700.000000,1654219.000000,-3230201.000000,,682576908.000000,-21897615264.000000,-21897615264.000000,,,,,-21897615264.000000,22515404222.000000,1500000000.000000,,,,,,,6000000000.000000,11812625361.000000,,3203778861.000000,-1000000.000000,22515404222.000000,1300365866.000000,,1300365866.000000
12M 2020,7629232401.000000,13963747564.000000,48255583.000000,,-4916636609.000000,-1376990405.000000,,6005923.000000,-9596685.000000,-85552970.000000,7629232401.000000,-38104063869.000000,-32105063869.000000,,,,-5999000000.000000,-38104063869.000000,31434247160.000000,20685374639.000000,,,,,,,,,-9000000000.000000,21091651382.000000,-1342778861.000000,31434247160.000000,959415692.000000,1300365866.000000,2259781558.000000
12M 2021,3627778578.000000,17887046095.000000,,-12417579900.000000,,,-1731493481.000000,,,-110194136.000000,3627778578.000000,-14898921359.000000,-158390500.000000,,,-14740530859.000000,,-14898921359.000000,24649484396.000000,8499500000.000000,17977627220.000000,,20540782036.000000,-1449091391.000000,,,,,,,-20919333469.000000,24649484396.000000,13378341615.000000,2259781558.000000,15638123173.000000
12M 2022,2176111349.000000,15049590957.000000,,-10894690959.000000,,,-1664393518.000000,,,-314395131.000000,2176111349.000000,-14595307827.000000,-3160352098.000000,,-3000000000.000000,-8434955729.000000,,-14595307827.000000,-1891236808.000000,,,,,-2614061706.000000,436124898.000000,-10680000.000000,,,,,297380000.000000,-1891236808.000000,-14310433286.000000,15638123173.000000,1327689887.000000
12M 2023,8841193542.000000,23638847767.000000,,-13074526285.000000,,,-1484712303.000000,,,-238415637.000000,8841193542.000000,-4014113403.000000,-6028016366.000000,-986097037.000000,3000000000.000000,,,-4014113403.000000,-3107572205.000000,,,,,-2143642561.000000,157477856.000000,-131220000.000000,,,-1062437500.000000,,72250000.000000,-3107572205.000000,1719507934.000000,1327689887.000000,3047197821.000000
12M 2024,3864580164.000000,20725292892.000000,,-11680188537.000000,,-4899683924.000000,,,,-280840267.000000,3864580164.000000,-1412316376.000000,-1412316376.000000,,,,,-1412316376.000000,-3967571447.000000,,,,3688824.000000,-2373626376.000000,,-164897300.000000,,,-1432736595.000000,,,-3967571447.000000,-1515307659.000000,3047197821.000000,1531890162.000000
