Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,1 B,(22 B),(21 B),-14143358.90
12M 2020,8 B,(32 B),(24 B),-719919.74
12M 2021,4 B,(15 B),(11 B),-13.26
12M 2022,2 B,(12 B),(9 B),-11.08
12M 2023,9 B,(6 B),3 B,3.31
12M 2024,4 B,(1 B),2 B,2.89
