Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan Dan Beban Usaha Lain,Penerimaan Penghasilan Bunga,Penerimaan Tagihan Pajak,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan Badan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Pelepasan Aset Tetap,Penambahan Beban Tangguhan,Penambahan Bibitan,Penambahan Tanaman Produktif Belum Menghasilkan,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Pengurangan (Kenaikan) Piutang Plasma,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Dari (Pembayaran Ke) Pihak Berelasi,Pembayaran Utang Sewa,Pembatalan Penerbitan Saham,Pembayaran Dividen,Penambahan (Pengembalian) Uang Muka Setoran Modal,Pelaksanaan Ipo,Biaya Emisi Saham,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Dilepas,Dampak Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,562232013000.000000,2502411046000.000000,-1269279044000.000000,-460367685000.000000,9130005000.000000,29383598000.000000,-849152000.000000,-1637260000.000000,-246559495000.000000,562232013000.000000,-99275996000.000000,437416000.000000,-1154826000.000000,-662728000.000000,,-12707680000.000000,-144395759000.000000,59207581000.000000,-99275996000.000000,-212680231000.000000,430000000000.000000,-310524480000.000000,-59843251000.000000,,,250000000000.000000,,,-522312500000.000000,-212680231000.000000,250275786000.000000,,,155329509000.000000,405605295000.000000
12M 2021,808146444000.000000,3104848901000.000000,-1636201589000.000000,-366521616000.000000,14754041000.000000,7509897000.000000,-280238000.000000,-110805875000.000000,-205157077000.000000,808146444000.000000,-125458830000.000000,,-906037000.000000,-2945075000.000000,,-24791445000.000000,-107108732000.000000,10292459000.000000,-125458830000.000000,-847315240000.000000,2672828270000.000000,40524479000.000000,-76902226000.000000,,,-250000000000.000000,,,-3233765763000.000000,-847315240000.000000,-164627626000.000000,-111279000.000000,,405605295000.000000,240866390000.000000
12M 2022,799499935000.000000,3592691146000.000000,-1982780977000.000000,-558178349000.000000,7293761000.000000,10674422000.000000,,-134868022000.000000,-135332046000.000000,799499935000.000000,-124281220000.000000,761684000.000000,1272000.000000,-1278926000.000000,,-4590067000.000000,-124697947000.000000,5522764000.000000,-124281220000.000000,-328530579000.000000,157588000000.000000,,-104971755000.000000,,-79876401000.000000,,285604577000.000000,,-586875000000.000000,-328530579000.000000,346688136000.000000,,,240866390000.000000,587554526000.000000
12M 2023,1313645740000.000000,4140969384000.000000,-2109908839000.000000,-477441704000.000000,13143615000.000000,28926161000.000000,,-182491922000.000000,-99550955000.000000,1313645740000.000000,-410090692000.000000,2723630000.000000,-1985085000.000000,-536272000.000000,,-16254982000.000000,-382987766000.000000,-11050217000.000000,-410090692000.000000,-907798189000.000000,,,-178991377000.000000,,-174756812000.000000,,,,-554050000000.000000,-907798189000.000000,-4243141000.000000,,-16123000.000000,587554526000.000000,583295262000.000000
12M 2024,1140257076000.000000,4100672046000.000000,-2180063369000.000000,-616613757000.000000,16205297000.000000,54976040000.000000,,-167882826000.000000,-67036355000.000000,1140257076000.000000,-415471330000.000000,595539000.000000,985424000.000000,-480921000.000000,,-13187692000.000000,-393987058000.000000,-9396622000.000000,-415471330000.000000,-821535737000.000000,20000000000.000000,,-239550638000.000000,,-158361099000.000000,,,,-443624000000.000000,-821535737000.000000,-96749991000.000000,,42395000.000000,583295262000.000000,486587666000.000000
