Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,2715709533000.000000,-1949896948000.000000,765812585000.000000,-209649953000.000000,-169769796000.000000,-155567709000.000000,115687552000.000000,-209649953000.000000,556162632000.000000,-245043779000.000000,9860995000.000000,-254163797000.000000,-740977000.000000,-245043779000.000000,311118853000.000000,-78719660000.000000,,,,-78719660000.000000,,,232399193000.000000,-17362227000.000000,-17362227000.000000,-17362227000.000000,215036966000.000000,232399193000.000000,232396926000.000000,2267000.000000,232399193000.000000,215036966000.000000,215034832000.000000,2134000.000000,215036966000.000000
12M 2021,2938381153000.000000,-1762179840000.000000,1176201313000.000000,-241251313000.000000,-122380689000.000000,-164122864000.000000,45252240000.000000,-241251313000.000000,934950000000.000000,-264056859000.000000,21084151000.000000,-284265100000.000000,-875910000.000000,-264056859000.000000,670893141000.000000,-139733045000.000000,,,,-139733045000.000000,,,531160096000.000000,36017451000.000000,36017451000.000000,36017451000.000000,567177547000.000000,531160096000.000000,531159808000.000000,288000.000000,531160096000.000000,567177547000.000000,567176986000.000000,561000.000000,567177547000.000000
12M 2022,3613176678000.000000,-2366654257000.000000,1246522421000.000000,-410865127000.000000,-156988998000.000000,-181003038000.000000,-72873091000.000000,-410865127000.000000,835657294000.000000,-129816294000.000000,13059567000.000000,-142875861000.000000,,-129816294000.000000,705841000000.000000,-131861839000.000000,,,,-131861839000.000000,,,573979161000.000000,12286823000.000000,12286823000.000000,12286823000.000000,586265984000.000000,573979161000.000000,573973852000.000000,5309000.000000,573979161000.000000,586265984000.000000,586260586000.000000,5398000.000000,586265984000.000000
12M 2023,4007082262000.000000,-2936768825000.000000,1070313437000.000000,-360287634000.000000,-203651847000.000000,-206433614000.000000,49797827000.000000,-360287634000.000000,710025803000.000000,-88876790000.000000,18664886000.000000,-107541676000.000000,,-88876790000.000000,621149013000.000000,-169355280000.000000,,,,-169355280000.000000,,,451793733000.000000,1232622000.000000,1232622000.000000,1232622000.000000,453026355000.000000,451793733000.000000,451789538000.000000,4195000.000000,451793733000.000000,453026355000.000000,453022191000.000000,4164000.000000,453026355000.000000
12M 2024,4211481582000.000000,-2755325142000.000000,1456156440000.000000,-346007723000.000000,-173790397000.000000,-258644456000.000000,86427130000.000000,-346007723000.000000,1110148717000.000000,-51772966000.000000,16002417000.000000,-67775383000.000000,,-51772966000.000000,1058375751000.000000,-232781687000.000000,,,,-232781687000.000000,,,825594064000.000000,19308050000.000000,19308050000.000000,19308050000.000000,844902114000.000000,825594064000.000000,825587405000.000000,6659000.000000,825594064000.000000,844902114000.000000,844895309000.000000,6805000.000000,844902114000.000000
