Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.82,1224.79,0.82,1220.97,830 B,58 B,888 B,282 B,637 B
12M 2009,0.51,1340.13,0.51,1337.21,612 B,67 B,680 B,63 B,884 B
12M 2010,1.41,1485.12,1.42,1482.81,626 B,67 B,693 B,(64 B),"1,147 B"
12M 2011,1.07,1676.37,1.08,1671.34,596 B,67 B,663 B,(397 B),"1,375 B"
12M 2012,1.55,1962.92,1.56,1957.89,91 B,44 B,135 B,"(1,329 B)","1,911 B"
12M 2013,1.93,2320.26,1.93,2315.23,,33 B,33 B,(988 B),"2,304 B"
12M 2014,1.85,2638.72,1.85,2638.59,201 B,102 B,303 B,"(1,053 B)","2,634 B"
12M 2015,2.18,2931.04,2.18,2930.91,294 B,75 B,368 B,"(1,399 B)","3,146 B"
12M 2016,1.81,3317.00,1.81,3316.87,64 B,38 B,102 B,"(1,379 B)","3,069 B"
12M 2017,1.50,3601.04,1.50,3600.31,11 B,265 B,276 B,"(1,322 B)","3,276 B"
12M 2018,1.07,4111.44,1.07,4110.71,1 B,369 B,371 B,"(2,162 B)","4,093 B"
12M 2019,1.06,4712.83,1.06,4707.81,116 B,254 B,369 B,"(2,661 B)","4,970 B"
12M 2020,0.83,4590.85,0.83,4585.82,4 B,2 B,6 B,"(2,506 B)","4,174 B"
12M 2021,0.68,4951.69,0.69,4946.66,94 B,70 B,164 B,"(3,211 B)","5,499 B"
12M 2022,0.83,4976.20,0.83,4971.17,3 B,2 B,5 B,"(3,493 B)","4,811 B"
12M 2023,0.83,5551.51,0.83,5546.48,2 B,,2 B,"(2,873 B)","4,805 B"
12M 2024,0.64,5630.13,0.64,5625.10,,,,"(2,525 B)","4,984 B"
