Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari,Konsumen,Lain -Lain,Total Penerimaan Kas Dari,Pembayaran Kas Untuk:,Beban Penjualan,Gaji,Kontraktor,"Beban Umum, Administrasi Dan Lain-Lain",Total Pembayaran Kas Untuk:,Pembelian Tanah,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Saham,(Penempatan) Pencairan Dana Mudharabah,Arus Kas Keluar Bersih Dari Pelapasan Entitas Anak,Penempatan Investasi Dalam Saham,Pencairan (Penempatan) Investasi,Tambahan Modal Disetor - Bersih,Akuisisi Entitas Anak - Bersih,Penerimaan Bunga Dan Bagi Hasil,Penerimaan Bunga,Penerimaan Bagi Hasil,Total Penerimaan Bunga Dan Bagi Hasil,Penerimaan Investasi Wakalah,Uang Muka Penerimaan Dividen,Hasil Penjualan Aset Tetap,Uang Muka Properti Investasi,Penambahan Kepemilikan Pada Anak Perusahaan,Arus Kas Masuk Bersih Pada Tanggal Akuisisi - Setelah Dikurangi Pembayaran Untuk Akuisisi Entitas Anak,Penerimaan Dividen,Piutang Pihak Berelasi Non Usaha,Perolehan Aset Tetap,"Perolehan Aset Tetap Dalam Rangka Bangun, Kelola, Dan Alih",Pembayaran Liabilitas Atas Perolehan Properti Investasi,Penambahan Properti Investasi,Hasil Penerbitan Obligasi Konversi,Pembayaran Liabilitas Atas Perolehan Aset Tetap,Penambahan Modal Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Surat Sanggup Jangka Menengah,Penerimaan Surat Sanggup Jangka Menengah,Pembayaran Utang Bank Jangka Panjang,Uang Muka Penurunan Modal,Pengurangan Modal Ditempatkan Dan Disetor,Pembayaran Dividen,Penerimaan Uang Muka Investasi Dalam Saham,Pembayaran Uang Muka Investasi Dalam Saham,Uang Muka Pembayaran Dividen,Hasil Penerbitan (Pembayaran) Obligasi,Hasil Penerbitan Obligasi Konversi,Penerimaan (Pembayaran) Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Obligasi,Pembayaran Bunga,Penerimaan Kas Dari Penerbitan Saham Baru,Pembayaran Uang Muka Dividen,Penerimaan Atas Peningkatan Modal Saham Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Pembayaran Beban Utang Mudharabah,Pembayaran Utang Mudharabah,Pembayaran Deviden Oleh Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Bunga Sewa Pembiayaan,Pembayaran Atas Penurunan Modal Oleh Entitas Anak Yang Menjadi Bagian Kepentingan Kepentingan Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,293093057003.000000,,1230845558500.000000,,1230845558500.000000,,-33693077841.000000,-158749960431.000000,-246833199781.000000,-356640006443.000000,-795916244496.000000,-110826070559.000000,-31010186442.000000,,293093057003.000000,3779910298.000000,,,,,23235464598.000000,,,47977273424.000000,,,47977273424.000000,,,746927273.000000,,-36250000000.000000,,,,-31078032961.000000,,,-851722036.000000,,,,3779910298.000000,-192194192891.000000,,,,,,,,,,,-334500000000.000000,,-171295343280.000000,,,-171295343280.000000,,-152057449561.000000,516826099950.000000,,,,,-51167500000.000000,,,,-192194192891.000000,104678774410.000000,487264276125.000000,14892883955.000000,606835934490.000000
12M 2009,309646127132.000000,,1106368188221.000000,,1106368188221.000000,,-15075270932.000000,-129928023891.000000,-178543256923.000000,-354912669598.000000,-678459221344.000000,-55281132901.000000,-62981706844.000000,,309646127132.000000,55430270154.000000,,,,,23069532654.000000,,,51272776131.000000,,,51272776131.000000,,,279600000.000000,,,,,,-18205480771.000000,,,-986157860.000000,,,,55430270154.000000,-340007759558.000000,,,,,,,,,,,1500000000.000000,9296000000.000000,-209964500000.000000,,,-209964500000.000000,,-98654759558.000000,,,,,,,,,-42184500000.000000,-340007759558.000000,25068637728.000000,606835934490.000000,-15137944458.000000,616766627760.000000
12M 2010,279191566362.000000,,1128176289640.000000,,1128176289640.000000,,-40672457755.000000,-132043876823.000000,-29698130011.000000,-443190100103.000000,-645604564692.000000,-152071379128.000000,-51308779458.000000,,279191566362.000000,-41181847363.000000,,,,,-54124207803.000000,,,42790353130.000000,,,42790353130.000000,,,3115618181.000000,,,,,,-13829592993.000000,-300000000.000000,,-18834017878.000000,,,,-41181847363.000000,-95258938697.000000,,,,,,,,,,,-54000000000.000000,,,72000000000.000000,-7000000000.000000,65000000000.000000,,-78313938697.000000,,,,,,,,,-27945000000.000000,-95258938697.000000,142750780302.000000,616766627760.000000,-2844709268.000000,756672698794.000000
12M 2011,373657602615.000000,,1415296430287.000000,,1415296430287.000000,,-39616828735.000000,-170490619072.000000,-193345146541.000000,-370370564995.000000,-773823159343.000000,-208026140450.000000,-59789527879.000000,,373657602615.000000,81201218270.000000,-22070400000.000000,,,,75699999000.000000,,,52686171627.000000,,,52686171627.000000,,,199900000.000000,,,,,,-3769799238.000000,,,-21544653119.000000,,,,81201218270.000000,-153906470958.000000,,,,,,,,,,,10191955432.000000,,-31500000000.000000,,,-31500000000.000000,,-76421826390.000000,,,,,,-38176600000.000000,,,-18000000000.000000,-153906470958.000000,300952349927.000000,756672698794.000000,2463110441.000000,1060088159162.000000
12M 2012,613665469784.000000,,1663457794333.000000,,1663457794333.000000,,-46704798885.000000,-176693589521.000000,-309497622766.000000,-219581453309.000000,-752477464481.000000,-219758729470.000000,-77556130598.000000,,613665469784.000000,403745040546.000000,,,,,75049132363.000000,,,57091226238.000000,,,57091226238.000000,,,92000000.000000,,,267055801959.000000,13011800000.000000,,-3186009926.000000,,,-5368910088.000000,,,,403745040546.000000,-624745262504.000000,,,,,,,,,,,,,-6000000000.000000,,,-6000000000.000000,-523241000000.000000,-56378000004.000000,,,,,,-39126262500.000000,,,,-624745262504.000000,392665247826.000000,1060088159162.000000,11438278590.000000,1464191685578.000000
12M 2013,257459202436.000000,,1639556916889.000000,,1639556916889.000000,,-49509334996.000000,-237962660511.000000,-256739332059.000000,-310982884911.000000,-855194212477.000000,-441164451387.000000,-85739050589.000000,,257459202436.000000,-552935522913.000000,,-352512000000.000000,,,30519870000.000000,,,,58683630955.000000,16154633216.000000,74838264171.000000,,,750865000.000000,,,-255947520699.000000,28073900000.000000,,-53679835830.000000,,,-24979065555.000000,,,,-552935522913.000000,-174937932539.000000,32668511072.000000,,,,,,,,,,,,-91000000000.000000,,,-91000000000.000000,-44160000000.000000,-1397861111.000000,,,,,,-71048582500.000000,,,,-174937932539.000000,-470414253016.000000,1464191705578.000000,26952360141.000000,1020729812703.000000
12M 2014,269660839437.000000,,1785858808631.000000,,1785858808631.000000,,-49296611865.000000,-211684987285.000000,-308362776606.000000,-565086896740.000000,-1134431272496.000000,-295699088641.000000,-86067608057.000000,,269660839437.000000,340713066334.000000,,378656000000.000000,,,5373356788.000000,,,,63875143544.000000,5236708526.000000,69111852070.000000,,,324250000.000000,,,26283372798.000000,12503100000.000000,,-121220435453.000000,,,-30318429869.000000,,,,340713066334.000000,-284123811790.000000,70342377152.000000,,,,,-500000017220.000000,,,,,,,,200000000000.000000,,200000000000.000000,,-10518222222.000000,,,,,-2870250000.000000,-41077699500.000000,,,,-284123811790.000000,326250093981.000000,1020729812703.000000,9270590180.000000,1356250496864.000000
12M 2015,529593180350.000000,,2112533169170.000000,,2112533169170.000000,,-56866100072.000000,-247134756688.000000,-394064940650.000000,-561185768971.000000,-1259251566381.000000,-226589525894.000000,-95617208519.000000,-1481688026.000000,529593180350.000000,-14416103067.000000,,,,,-36675930143.000000,,,,68945729822.000000,,68945729822.000000,,,1027308333.000000,,,,27987500000.000000,,-67082379673.000000,,,-4284404305.000000,,-4333927101.000000,,-14416103067.000000,-100782629576.000000,273111776.000000,,,-1024000000.000000,,,,,,,,,,57000000000.000000,,57000000000.000000,,-34125967968.000000,,,,-27000000000.000000,-517500000.000000,-93986412500.000000,-1306922669.000000,-94938215.000000,,-100782629576.000000,414394447707.000000,1314090591379.000000,38867064242.000000,1767352103328.000000
12M 2016,-247404129615.000000,,2146809575223.000000,2150000000.000000,2148959575223.000000,,-43805444520.000000,-214769264532.000000,-378208598294.000000,-671330061278.000000,-1308113368624.000000,-1001479854034.000000,-85464140326.000000,-1306341854.000000,-247404129615.000000,-19351487474.000000,,,,,31086605369.000000,,,,71178409921.000000,,71178409921.000000,,2500000000.000000,934009091.000000,,,,8600000000.000000,-60200000000.000000,-64314356801.000000,,,-7706455075.000000,,-1429699979.000000,,-19351487474.000000,-1498952775.000000,,-87232605443.000000,256842500000.000000,-34088000000.000000,,,,,,,,,,,-230000000000.000000,-230000000000.000000,,-18456378929.000000,,,235216500000.000000,,,-121016612625.000000,-2448412079.000000,-315943699.000000,,-1498952775.000000,-268254569864.000000,1767352103328.000000,-18730494536.000000,1480367038928.000000
12M 2017,487352295369.000000,,2251951126591.000000,40000000.000000,2251991126591.000000,,-140483364487.000000,-190525719049.000000,-294852432451.000000,-580652185465.000000,-1206513701452.000000,-468890099158.000000,-86551226326.000000,-2683804286.000000,487352295369.000000,-266810570315.000000,,,,,-15512992712.000000,,,,60614931137.000000,,60614931137.000000,,4800000000.000000,80070000.000000,-42222763494.000000,,,34450000000.000000,-26500000000.000000,-41600411029.000000,,-1153286325.000000,-239766117892.000000,,,,-266810570315.000000,-104444911173.000000,263442839976.000000,-169609894557.000000,,-59654000000.000000,,,,,144000000.000000,,,,,,-27000000000.000000,-27000000000.000000,,-12754268915.000000,,,936000000.000000,,,-97195201875.000000,-2536519621.000000,-217866181.000000,,-104444911173.000000,116096813881.000000,1480367038928.000000,1633862074.000000,1598097714883.000000
