Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,4583278343.000000,-3289166916.000000,1294111427.000000,-475808410.000000,-1081259609.000000,605451199.000000,-475808410.000000,818303017.000000,,,,,818303017.000000,,818303017.000000,,818303017.000000,818303017.000000,818303017.000000,,818303017.000000,818303017.000000,818303017.000000,,818303017.000000
12M 2020,3788155945.000000,-3113575792.000000,674580153.000000,-274640968.000000,-818219658.000000,543578690.000000,-274640968.000000,399939185.000000,,,,,399939185.000000,,399939185.000000,58301813.000000,458240998.000000,399939185.000000,399939185.000000,,399939185.000000,458240998.000000,458240998.000000,,458240998.000000
12M 2021,6590750543.000000,-5098494404.000000,1492256139.000000,-1215981391.000000,-1551669010.000000,335687619.000000,-1215981391.000000,276274748.000000,-1271020004.000000,-1271020004.000000,,-1271020004.000000,-994745256.000000,,-994745256.000000,-9936229.000000,-1004681485.000000,-994745256.000000,-994745256.000000,,-994745256.000000,-1004681485.000000,-1004681485.000000,,-1004681485.000000
12M 2022,10893008748.000000,-8981738262.000000,1911270486.000000,-1801521081.000000,-2105010291.000000,303489210.000000,-1801521081.000000,109749405.000000,-2285362528.000000,-2285362528.000000,,-2285362528.000000,-2175613123.000000,,-2175613123.000000,-8169413.000000,-2183782536.000000,-2175613123.000000,-2175613123.000000,,-2175613123.000000,-2183782536.000000,-2183782536.000000,,-2183782536.000000
12M 2023,12368445625.000000,-10089742369.000000,2278703256.000000,-1421528865.000000,-1851216871.000000,429688006.000000,-1421528865.000000,857174391.000000,-2186044356.000000,-2186044356.000000,,-2186044356.000000,-1328869965.000000,,-1328869965.000000,3048481.000000,-1325821484.000000,-1328869965.000000,-1328869965.000000,,-1328869965.000000,-1325821484.000000,-1325821484.000000,,-1325821484.000000
12M 2024,14534752332.000000,-10966518713.000000,3568233619.000000,-1742079970.000000,-1829680008.000000,87600038.000000,-1742079970.000000,1826153649.000000,-2441461794.000000,-2444857768.000000,3395974.000000,-2441461794.000000,-615308145.000000,,-615308145.000000,-4724614.000000,-620032759.000000,-615308145.000000,-615308145.000000,,-615308145.000000,-620032759.000000,-620032759.000000,,-620032759.000000
