Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Pihak Berelasi,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,10358356.000000,,,,200000000.000000,200000000.000000,,200000000.000000,726733315.000000,13000000.000000,950091671.000000,,,57777443861.000000,435000000.000000,58212443861.000000,59162535532.000000,,,23558360397.000000,,,75000000.000000,75000000.000000,5243765.000000,451116632.000000,22277000000.000000,750000000.000000,23558360397.000000,46288254.000000,,46288254.000000,46288254.000000,23604648651.000000,,50000000000.000000,,-14442113119.000000,,35557886881.000000,59162535532.000000,892856800.000000
12M 2020,,,70098830.000000,,,,,,,,722356399.000000,60246510.000000,852701739.000000,,,87075273943.000000,420000000.000000,87495273943.000000,88347975682.000000,,,24088431618.000000,,,920978033.000000,920978033.000000,60773420.000000,829680165.000000,22277000000.000000,,24088431618.000000,103452204.000000,,103452204.000000,103452204.000000,24191883822.000000,,71428544000.000000,6711419981.000000,-14042173934.000000,58301813.000000,64156091860.000000,88347975682.000000,892856800.000000
12M 2021,,,112910299.000000,,,,,,,,796659150.000000,,909569449.000000,,,87157028619.000000,405000000.000000,87562028619.000000,88471598068.000000,,,23920948278.000000,,,122672119.000000,122672119.000000,50447727.000000,1470828432.000000,22277000000.000000,,23920948278.000000,1399239415.000000,1200000000.000000,199239415.000000,1399239415.000000,25320187693.000000,,71428544000.000000,6711419981.000000,-15036919190.000000,48365584.000000,63151410375.000000,88471598068.000000,892856800.000000
12M 2022,,,1100026237.000000,380652096.000000,380652096.000000,380652096.000000,12972392.000000,,12972392.000000,12972392.000000,476940487.000000,76346919.000000,2046938131.000000,,937757326.000000,84852689522.000000,390000000.000000,86180446848.000000,88227384979.000000,,,25172974221.000000,,,1329136234.000000,1329136234.000000,573642576.000000,949358311.000000,22277000000.000000,43837100.000000,25172974221.000000,2085953519.000000,1755137112.000000,330816407.000000,2085953519.000000,27258927740.000000,,71429054400.000000,6711738981.000000,-17212532313.000000,40196171.000000,60968457239.000000,88227384979.000000,892863180.000000
12M 2023,,,539516597.000000,768870154.000000,768870154.000000,768870154.000000,11999000.000000,,11999000.000000,11999000.000000,502576341.000000,416666668.000000,2239628760.000000,,945122559.000000,83453394997.000000,375000000.000000,84773517556.000000,87013146316.000000,,,25260341077.000000,,,1902319982.000000,1902319982.000000,384523541.000000,696497554.000000,22277000000.000000,,25260341077.000000,1802456204.000000,1511029474.000000,291426730.000000,1802456204.000000,27062797281.000000,,71736767680.000000,6711738981.000000,-18541402278.000000,43244652.000000,59950349035.000000,87013146316.000000,896709596.000000
12M 2024,,,517067106.000000,777186122.000000,777186122.000000,777186122.000000,1223288533.000000,1176928572.000000,46359961.000000,1223288533.000000,674602409.000000,186528606.000000,3378672776.000000,,1006630387.000000,81766465209.000000,360000000.000000,83133095596.000000,86511768372.000000,,,26935670096.000000,,,1713368861.000000,1713368861.000000,306435229.000000,1017389259.000000,23898476747.000000,,26935670096.000000,245782000.000000,,245782000.000000,245782000.000000,27181452096.000000,,71736767680.000000,6711738981.000000,-19156710423.000000,38520038.000000,59330316276.000000,86511768372.000000,896709596.000000
