Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok Dan Beban Operasional Lainnya,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Operasional Lainnya,Total Pembayaran Kepada Pemasok Dan Beban Operasional Lainnya,Penerimaan Pengasilan Keuangan,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan (Penambahan) Piutang Lain-Lain Dari Pihak Berelasi,Penerimaan Utang Lain-Lain Dari Pihak Berelasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Penerimaan Atas Agio Saham Sehubungan Dengan Penawaran Umum Saham Perdana,Pembayaran Biaya Emisi Saham,Penambahan (Pembayaran) Utang Kepada Pihak Berelasi,Penerimaan Utang Lain-Lain Dari Pihak Berelasi,Pelaksanaan Waran,Penambahan Utang Lain-Lain Kepada Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,3564947746.000000,6396909707.000000,-811417098.000000,-2020544863.000000,,,-2020544863.000000,,,3564947746.000000,-16330481400.000000,-200000000.000000,,-15680481400.000000,-450000000.000000,-16330481400.000000,12755960821.000000,14000000000.000000,,,-1244039179.000000,,,,12755960821.000000,-9572833.000000,19931189.000000,10358356.000000
12M 2020,2072723991.000000,3438155945.000000,-1054652190.000000,-310779764.000000,,,-310779764.000000,,,2072723991.000000,-30902947498.000000,200000000.000000,,-31102947498.000000,,-30902947498.000000,28889963981.000000,21428544000.000000,8571417600.000000,-1859997619.000000,,,,750000000.000000,28889963981.000000,59740474.000000,10358356.000000,70098830.000000
12M 2021,769529084.000000,6590750543.000000,-1477924021.000000,-3072277434.000000,,,-3072277434.000000,,-1271020004.000000,769529084.000000,-1926717615.000000,,,-1926717615.000000,,-1926717615.000000,1200000000.000000,,,,,1200000000.000000,,,1200000000.000000,42811469.000000,70098830.000000,112910299.000000
12M 2022,626889189.000000,10499384260.000000,-1442134240.000000,-6144998303.000000,,,-6144998303.000000,,-2285362528.000000,626889189.000000,-195420763.000000,,,-195420763.000000,,-195420763.000000,555647512.000000,,,,,555137112.000000,510400.000000,,555647512.000000,987115938.000000,112910299.000000,1100026237.000000
12M 2023,-70879698.000000,11980227567.000000,-3140513446.000000,,-4418291685.000000,-2306257778.000000,-6724549463.000000,,-2186044356.000000,-70879698.000000,-553235582.000000,,,-553235582.000000,,-553235582.000000,63605640.000000,,,,,-244107640.000000,307713280.000000,,63605640.000000,-560509640.000000,1100026237.000000,539516597.000000
12M 2024,1677594749.000000,14526436364.000000,-2962387023.000000,,-5194693811.000000,-2250298987.000000,-7444992798.000000,3395974.000000,-2444857768.000000,1677594749.000000,-189014768.000000,,,-189014768.000000,,-189014768.000000,-1511029472.000000,,,,,-1511029472.000000,,,-1511029472.000000,-22449491.000000,539516597.000000,517067106.000000
