Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Keuntungan Atas Penjualan Entitas Anak,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Proforma Hak Minoritas,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Proforma Hak Minoritas,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,78007381394.000000,-54915373841.000000,23092007553.000000,-14198819642.000000,-2619314468.000000,-11579505174.000000,-14198819642.000000,8893187911.000000,-4568532784.000000,275847222.000000,42526264.000000,,,,-4618849329.000000,-268056941.000000,-4568532784.000000,4324655127.000000,663444222.000000,4988099349.000000,-296676453.000000,,,,4691422896.000000,,,4691422896.000000,4988099349.000000,-296676453.000000,,,,4691422896.000000,,,,
12M 2009,92606609515.000000,-60253390203.000000,32353219312.000000,-19029774842.000000,-3931908827.000000,-15097866015.000000,-19029774842.000000,13323444470.000000,-7607260954.000000,109375001.000000,40646796.000000,,,,-7145824427.000000,-611458324.000000,-7607260954.000000,5716183516.000000,-852309986.000000,4863873530.000000,161939902.000000,,,,5025813432.000000,,,5025813432.000000,4863873530.000000,161939902.000000,,,,5025813432.000000,,,,
12M 2010,262973804523.000000,-217905899511.000000,45067905012.000000,-32056616778.000000,-4692313757.000000,-27364303021.000000,-32056616778.000000,13011288234.000000,-12357974166.000000,140469868.000000,70193197.000000,,,66397849.000000,-11486654764.000000,-1148380316.000000,-12357974166.000000,653314068.000000,-782937643.000000,-129623575.000000,14310420.000000,,,401692234.000000,286379079.000000,,,286379079.000000,-129623575.000000,14310420.000000,,,401692234.000000,286379079.000000,,,,
12M 2011,171766045055.000000,-107117504919.000000,64648540136.000000,-40735794022.000000,-4476361202.000000,-36259432820.000000,-40735794022.000000,23912746114.000000,-13849274315.000000,845579566.000000,56401378.000000,,,568223.000000,-15705913369.000000,954089887.000000,-13849274315.000000,10063471799.000000,-5592766824.000000,4470704975.000000,,,,,4470704975.000000,,4470704975.000000,4470704975.000000,4315604152.000000,155100823.000000,,,,4470704975.000000,4470704975.000000,4315604152.000000,155100823.000000,4470704975.000000
12M 2012,201199180415.000000,-119717107505.000000,81482072910.000000,-47678716644.000000,-4898253070.000000,-42780463574.000000,-47678716644.000000,33803356266.000000,-23998677304.000000,1156680635.000000,400785189.000000,,,-110978291.000000,-24902705614.000000,-542459223.000000,-23998677304.000000,9804678962.000000,-3871713444.000000,5932965518.000000,,,,,5932965518.000000,,5932965518.000000,5932965518.000000,6133809139.000000,-200843621.000000,,,,5932965518.000000,5932965518.000000,6133809139.000000,-200843621.000000,5932965518.000000
12M 2013,236843506074.000000,-141345545379.000000,95497960695.000000,-59332529216.000000,-5160554245.000000,-54171974971.000000,-59332529216.000000,36165431479.000000,-32212494909.000000,107579026.000000,732020020.000000,,-51676159.000000,3267333.000000,-32742603844.000000,-261081285.000000,-32212494909.000000,3952936570.000000,-2182665430.000000,1770271140.000000,,,,,1770271140.000000,,1770271140.000000,1770271140.000000,1553067948.000000,217203192.000000,,,,1770271140.000000,1770271140.000000,1553067948.000000,217203192.000000,1770271140.000000
12M 2014,239793008620.000000,-158084694778.000000,81708313842.000000,-61786684815.000000,-5044509283.000000,-56742175532.000000,-61786684815.000000,19921629027.000000,-15480191709.000000,19266548581.000000,1290651293.000000,,-285681165.000000,25802238.000000,-35340253939.000000,-437258717.000000,-15480191709.000000,4441437318.000000,-929011073.000000,3512426245.000000,,,,,3512426245.000000,,3512426245.000000,3512426245.000000,2432883289.000000,1079542956.000000,,,,3512426245.000000,3512426245.000000,2432883289.000000,1079542956.000000,3512426245.000000
12M 2015,165182842010.000000,-129376344537.000000,35806497473.000000,-59737102877.000000,-5447900960.000000,-54289201917.000000,-59737102877.000000,-23930605404.000000,-27062934624.000000,3980159528.000000,1374780015.000000,,-679062249.000000,9236873.000000,-30090371950.000000,-1657676841.000000,-27062934624.000000,-50993540028.000000,11901800250.000000,-39091739778.000000,,,,,-39091739778.000000,1242359006.000000,-37849380772.000000,-39091739778.000000,-39843609349.000000,751869571.000000,,,,-39091739778.000000,-37849380772.000000,-38727772044.000000,878391272.000000,-37849380772.000000
12M 2016,137812110039.000000,-101497913850.000000,36314196189.000000,-44119788602.000000,-3291676551.000000,-40828112051.000000,-44119788602.000000,-7805592413.000000,-21309208932.000000,976189652.000000,165106043.000000,,-152266439.000000,-720090.000000,-21996121644.000000,-301396454.000000,-21309208932.000000,-29114801345.000000,4615867766.000000,-24498933579.000000,,,,,-24498933579.000000,-1091624855.000000,-25590558434.000000,-24498933579.000000,-25170897095.000000,671963516.000000,,,,-24498933579.000000,-25590558434.000000,-26293226729.000000,702668295.000000,-25590558434.000000
12M 2017,138290318255.000000,-83299550037.000000,54990768218.000000,-43225996028.000000,-4681759242.000000,-38544236786.000000,-43225996028.000000,11764772190.000000,56576437355.000000,-20125444324.000000,38298076.000000,,-705103560.000000,-11751930.000000,-13979374180.000000,91359813273.000000,56576437355.000000,68341209545.000000,-17916532749.000000,50424676796.000000,,,,,50424676796.000000,-1013429454.000000,49411247342.000000,50424676796.000000,48419930451.000000,2004746345.000000,,,,50424676796.000000,49411247342.000000,47369580074.000000,2041667268.000000,49411247342.000000
