Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Tunai Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Pajak Pertambahan Nilai Atas Barang Mewah,Pembayaran Pajak Penghasilan,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penurunan / (Kenaikan) Piutang Dari Pihak Berelasi,Pembayaran Piutang Pihak Berelasi Non-Usaha,Penurunan / (Kenaikan) Utang Dari Pihak Berelasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Hak Guna,Uang Muka Untuk Perolehan Aset Tetap,"Perolehan Aset Tetap Dalam Rangka Bangun, Kelola Dan Alih",Investasi Di Entitas Asosiasi,Penambahan Investasi Saham,Penjualan Aset Tetap Tidak Digunakan,Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Arus Kas Neto Dari Akuisisi Anak Perusahaan,Penjualan Aset Lain-Lain Yang Tidak Digunakan,Penurunan Deposito Berjangka Yang Dibatasi Pencairannya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan / (Penurunan) Utang Kepada Pihak Berelasi,Penurunan Utang Pihak Berelasi Non-Usaha,Penerimaan/ (Pembayaran) Pinjaman Bank Jangka Pendek - Neto,Hasil Penawaran Umum Obligasi - Neto,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Pinjaman Bank Jangka Panjang,Penerimaan Penambahan Modal Hmetd Ii,Pembayaran Pinjaman Pembelian Aset Tetap,Pembayaran Liabilitas Sewa Pembiayaan,Konversi Waran Menjadi Saham,Penurunan (Kenaikan) Deposito Yang Dibatasi Penggunaannya,Penerimaan Pinjaman Pembelian Aset Tetap,Penambahan Modal Disetor Entitas Anak Oleh Kepentingan Nonpengendali,Pembayaran Bunga,Pembayaran Dividen Tunai,Dividen Tunai Entitas Anak Kepada Kepentingan Nonpengendali,Pembayaran Utang Obligasi,Penerimaan Surat Utang Jangka Menengah,Pembayaran Surat Utang Jangka Menengah,Penerimaan Penawaran Umum Terbatas Saham Biasa-Neto,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Penyesuaian Proforma Dari Transaksi Restrukturisasi Entitas Sepengendali,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,19410125915.000000,77601137464.000000,-53572162220.000000,,,,-4618849329.000000,,,19410125915.000000,-38957813196.000000,42305853.000000,-6781645681.000000,,,-10414723951.000000,1207500000.000000,,-23011249417.000000,,,,,,,,,,-38957813196.000000,18801453727.000000,5657296770.000000,,,,-5552691808.000000,20123931500.000000,,-804804335.000000,,,,,200000000.000000,,-822278400.000000,,,,,,,18801453727.000000,-746233554.000000,2537848773.000000,,,,1791615219.000000
12M 2009,19747158702.000000,92267923962.000000,-65303206080.000000,,,-71734753.000000,-7145824427.000000,,,19747158702.000000,-15447844017.000000,40646796.000000,-357472989.000000,,,-10708190237.000000,122500000.000000,,-3465397183.000000,-622676000.000000,,,,,-457254404.000000,,,,-15447844017.000000,-1980941414.000000,446003150.000000,,,,-6804219338.000000,7487465675.000000,,-2172279601.000000,,,,,,,-937911300.000000,,,,,,,-1980941414.000000,2318373271.000000,1791615219.000000,,,,4109988490.000000
12M 2010,32995847727.000000,270055474066.000000,-225560865107.000000,,,-12106468.000000,-11486654764.000000,,,32995847727.000000,-28950295383.000000,70193197.000000,-1743565930.000000,,,-7461600950.000000,293850000.000000,,-21324056303.000000,,,,,,1214884603.000000,,,,-28950295383.000000,-4708439094.000000,159162337.000000,,,,-4617297176.000000,1090290778.000000,,-965432322.000000,,,,,630000000.000000,,-1005162711.000000,,,,,,,-4708439094.000000,-662886750.000000,8243156166.000000,-4133167676.000000,-27639124.000000,,3419462616.000000
12M 2011,31530302012.000000,302101759379.000000,-254908276745.000000,,-42471087.000000,,-15620709535.000000,,,31530302012.000000,-19309383203.000000,56401378.000000,-4374738344.000000,,,-2347942160.000000,2346507045.000000,,-14249257903.000000,-740353219.000000,,,,,,,,,-19309383203.000000,-12823570380.000000,5560404976.000000,,3965200129.000000,,-14915041414.000000,25000000000.000000,,-32439134071.000000,,,,,5000000.000000,,,,,,,,,-12823570380.000000,-602651571.000000,3419462616.000000,,5928847.000000,,2822739892.000000
12M 2012,52730782858.000000,342290732797.000000,-274352171421.000000,6911617229.000000,-111891661.000000,,-22007504086.000000,,,52730782858.000000,-66189899658.000000,400785189.000000,5712517190.000000,,,-21869275877.000000,1902033335.000000,,-52268116412.000000,-67843083.000000,,,,,,,,,-66189899658.000000,37306722586.000000,-1583379291.000000,,-28420750523.000000,146167894753.000000,-71369165386.000000,,,-7487876967.000000,,,,,,,,,,,,,,37306722586.000000,23847605786.000000,2822739892.000000,,84065859.000000,,26754411537.000000
12M 2013,26554047142.000000,210476418918.000000,-152643141107.000000,,-41518422.000000,,-31237712247.000000,,,26554047142.000000,-94525016729.000000,732020020.000000,-1802244656.000000,,,-29231688513.000000,326000000.000000,,-64549103580.000000,,,,,,,,,,-94525016729.000000,58798137863.000000,7619093441.000000,,4500000000.000000,,-18911245730.000000,1500000000.000000,,-8720981294.000000,,,,,72811271446.000000,,,,,,,,,58798137863.000000,-9172831724.000000,26754411536.000000,,2055052.000000,,17583634864.000000
12M 2014,55286077186.000000,232439261403.000000,-141780631247.000000,,-36713690.000000,,-35335839280.000000,,,55286077186.000000,-4307439363.000000,1290651293.000000,-1002607713.000000,,,-2534376588.000000,25143087803.000000,,-27204194158.000000,,,,,,,,,,-4307439363.000000,-56026235026.000000,-9272810847.000000,,-4500000000.000000,,-40949637803.000000,,,-15216985200.000000,-124038976.000000,852357800.000000,,13184880000.000000,,,,,,,,,,-56026235026.000000,-5047597203.000000,17583634864.000000,,249352.000000,998.000000,12536288011.000000
12M 2015,19891515487.000000,193231253814.000000,-141542901655.000000,,-158586420.000000,,-31638250252.000000,,,19891515487.000000,46827220477.000000,1374780015.000000,-28164901327.000000,,,-2273543402.000000,15650307303.000000,,60240577888.000000,,,,,,,,,,46827220477.000000,-73350108349.000000,22530590201.000000,,,,-52819999499.000000,,,-14772897476.000000,-1527801575.000000,4375000000.000000,,,,,,,-150000000000.000000,146865000000.000000,-28000000000.000000,,,-73350108349.000000,-6631372385.000000,12536288011.000000,,157410.000000,,5905073036.000000
12M 2016,29004568087.000000,131364310342.000000,-79343140921.000000,,-271140652.000000,,-22745460682.000000,,,29004568087.000000,1720240532.000000,165106043.000000,21891280521.000000,,,-5494394492.000000,10345994902.000000,,-13427746442.000000,,,-11760000000.000000,,,,,,,1720240532.000000,-31276339431.000000,22834358768.000000,,,,-18121519009.000000,,,-10213066171.000000,-2776132094.000000,19075.000000,,,,,,,,99000000000.000000,-122000000000.000000,,,-31276339431.000000,-551530812.000000,5905073036.000000,,-4686993.000000,,5348855231.000000
12M 2017,48588756636.000000,146066859493.000000,-96886004445.000000,,-592098412.000000,,,,,48588756636.000000,79402607618.000000,38298078.000000,-1906649787.000000,,,-52241410665.000000,,,-11836460590.000000,,,,,119163576962.000000,,26185253620.000000,,,79402607618.000000,-128512892443.000000,-12619643215.000000,,4920797925.000000,,-17033314828.000000,26000000000.000000,,-13606244709.000000,-3137628967.000000,,,,,-14036858649.000000,,,,,-99000000000.000000,,,-128512892443.000000,-521528189.000000,5348855231.000000,,2017674.000000,,4829344716.000000
