Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Surat Berharga Jangka Menengah,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Obligasi,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1791615219.000000,,10115901832.000000,4615728479.000000,5500173353.000000,10115901832.000000,319801658.000000,453693927.000000,,3495563948.000000,16176576584.000000,,3747425141.000000,28547430.000000,83440011976.000000,159200000.000000,,,28878585166.000000,116253769713.000000,132430346297.000000,,,40082310845.000000,24673518794.000000,,21054840.000000,3389723349.000000,3410778189.000000,365028508.000000,497655796.000000,1057755503.000000,,,6666582450.000000,,,2119349953.000000,8785932403.000000,1291641652.000000,40082310845.000000,22625818501.000000,,,11508991880.000000,,6448249294.000000,17957241174.000000,3391540572.000000,,,1277036755.000000,22625818501.000000,62708129346.000000,,42827000000.000000,16543147614.000000,8706826023.000000,,,8706826023.000000,2097110173.000000,-451866859.000000,69722216951.000000,132430346297.000000,428270000.000000
12M 2009,,,4109988490.000000,,10815358161.000000,3365773276.000000,7449584885.000000,10815358161.000000,438224913.000000,733642525.000000,,5437101212.000000,21534315301.000000,,4104898129.000000,188383596.000000,105286786385.000000,175581301.000000,275025000.000000,,23873326128.000000,133904000539.000000,155438315840.000000,,,42052749695.000000,23365259617.000000,,18274150.000000,4790266839.000000,4808540989.000000,252689106.000000,280131992.000000,1338455806.000000,,,7899512309.000000,,,2368292726.000000,10267805035.000000,1739867150.000000,42052749695.000000,39735277889.000000,446003150.000000,,28845416683.000000,,4376106920.000000,33221523603.000000,4333514461.000000,,,1734236675.000000,39735277889.000000,81788027584.000000,,42827000000.000000,16543147614.000000,12794728155.000000,,,12794728155.000000,1937279346.000000,-451866859.000000,73650288256.000000,155438315840.000000,428270000.000000
12M 2010,,,3419462616.000000,,9487030864.000000,1471818683.000000,8015212181.000000,9487030864.000000,3481225805.000000,996273029.000000,5675017383.000000,16848954961.000000,39907964658.000000,,,1900309978.000000,161199093162.000000,75774711.000000,,,27296869624.000000,190472047475.000000,230380012133.000000,,,75589457724.000000,24455550395.000000,,93476020.000000,17537121590.000000,17630597610.000000,778244090.000000,721810294.000000,1728391461.000000,1271657835.000000,,14458136105.000000,,,9006048100.000000,23464184205.000000,5539021834.000000,75589457724.000000,80330957896.000000,,,51458695711.000000,,19510252556.000000,70968948267.000000,6767677925.000000,,,2594331704.000000,80330957896.000000,155920415620.000000,,42827000000.000000,16543147614.000000,12075944548.000000,,,12075944548.000000,2085525226.000000,927979125.000000,74459596513.000000,230380012133.000000,428270000.000000
12M 2011,,,2822739892.000000,,18838177605.000000,5382773127.000000,13455404478.000000,18838177605.000000,2026485192.000000,943497848.000000,,17023618940.000000,41654519477.000000,,10049755727.000000,1343876654.000000,172660813385.000000,75774711.000000,,,36969594777.000000,221099815254.000000,262754334731.000000,,,103094703054.000000,28420750524.000000,,768046559.000000,15120348489.000000,15888395048.000000,2326254664.000000,888070109.000000,3342397652.000000,,,45360835525.000000,,,3736846606.000000,49097682131.000000,3131152926.000000,103094703054.000000,80724330189.000000,6832062811.000000,,52754919860.000000,,6036698263.000000,58791618123.000000,11790540696.000000,,,3310108559.000000,80724330189.000000,183819033243.000000,,42827000000.000000,16543147614.000000,16391548700.000000,,,16391548700.000000,2245626049.000000,927979125.000000,78935301488.000000,262754334731.000000,428270000.000000
12M 2012,,,26754411536.000000,,16183131099.000000,4705918291.000000,11477212808.000000,16183131099.000000,1704127089.000000,1016664059.000000,,8446873346.000000,54105207129.000000,,4337238564.000000,1145049419.000000,251450526898.000000,75774711.000000,,,74946878700.000000,331955468292.000000,386060675421.000000,,,46399601975.000000,,,1088196657.000000,9000718031.000000,10088914688.000000,1776842196.000000,1122056580.000000,6132451591.000000,,,18791959480.000000,,,5530758103.000000,24322717583.000000,2956619337.000000,46399601975.000000,254792725440.000000,4618683046.000000,,74377090720.000000,,9256289799.000000,83633380519.000000,15330399434.000000,146966250013.000000,,4244012428.000000,254792725440.000000,301192327415.000000,,42827027000.000000,16543201614.000000,22525357839.000000,,,22525357839.000000,2044782428.000000,927979125.000000,84868348006.000000,386060675421.000000,428270270.000000
12M 2013,,,17583634864.000000,,42110914123.000000,27563725882.000000,14547188241.000000,42110914123.000000,3466057978.000000,2037249582.000000,,8405624261.000000,73603480808.000000,,6139483220.000000,963768753.000000,336482725971.000000,75774711.000000,,2897531713.000000,95347067505.000000,441906351873.000000,515509832681.000000,,,69385386862.000000,4500000000.000000,,569791184.000000,6020755926.000000,6590547110.000000,4778657386.000000,527224897.000000,8440819686.000000,,,31055239481.000000,,,10473044474.000000,41528283955.000000,3019853828.000000,69385386862.000000,288992526347.000000,12086236544.000000,,95702564990.000000,,11624135692.000000,107326700682.000000,17397514870.000000,148243618428.000000,,3938455823.000000,288992526347.000000,358377913209.000000,,85654054000.000000,45283188917.000000,24078425787.000000,305000000.000000,23773425787.000000,24078425787.000000,2121092940.000000,-4842172.000000,157131919472.000000,515509832681.000000,856540540.000000
12M 2014,,,12536288011.000000,,49863479061.000000,26679852708.000000,23183626353.000000,49863479061.000000,3683668943.000000,1353833384.000000,,9610886360.000000,77048155759.000000,,7142090935.000000,42787490.000000,268703457427.000000,,,2611850542.000000,121759763647.000000,400259950041.000000,477308105800.000000,,,69097621618.000000,,,466899043.000000,8477917718.000000,8944816761.000000,2105383817.000000,672721792.000000,10766357865.000000,,,30059999988.000000,291353644.000000,,12838315204.000000,43189668836.000000,3418672547.000000,69097621618.000000,246152180664.000000,2813425697.000000,,55748166680.000000,560077604.000000,16074169762.000000,72382414046.000000,17341710080.000000,149520986844.000000,,4093643997.000000,246152180664.000000,315249802282.000000,,86141115600.000000,45648485117.000000,26511309076.000000,305000000.000000,26206309076.000000,26511309076.000000,4107151436.000000,-349757711.000000,162058303518.000000,477308105800.000000,861411156.000000
12M 2015,,,5905073036.000000,,22183265265.000000,13692449940.000000,8490815325.000000,22183265265.000000,4448676980.000000,1291963997.000000,,8316543374.000000,42145522652.000000,,35306992262.000000,37232755.000000,186708278742.000000,,,2922788293.000000,91706005945.000000,316681297997.000000,358826820649.000000,,,164670613402.000000,,,2208044.000000,3859229648.000000,3861437692.000000,1437865575.000000,503645166.000000,9688161532.000000,,,12521499988.000000,1979450240.000000,121303333331.000000,9588349322.000000,145392632881.000000,3786870556.000000,164670613402.000000,65572284501.000000,25344015898.000000,,20466667181.000000,2488407433.000000,9141118168.000000,32096192782.000000,5545480987.000000,,,2586594834.000000,65572284501.000000,230242897903.000000,,88641115600.000000,47523485117.000000,-12216462968.000000,305000000.000000,-12521462968.000000,-12216462968.000000,4985542708.000000,-349757711.000000,128583922746.000000,358826820649.000000,886411156.000000
12M 2016,,,5348855231.000000,,16310801831.000000,6909766045.000000,9401035786.000000,16310801831.000000,7014800937.000000,1290097106.000000,,16658704072.000000,46623259177.000000,,6097035503.000000,3172665025.000000,74868917088.000000,,,2770521854.000000,171424859090.000000,258333998560.000000,304957257737.000000,,,138281620188.000000,,,1458461962.000000,4756156963.000000,6214618925.000000,1222532729.000000,818863174.000000,7803117749.000000,,,7999999992.000000,2855891687.000000,98683736107.000000,9290715532.000000,118830343318.000000,3392144293.000000,138281620188.000000,63682254162.000000,40859698428.000000,,6866648168.000000,2588474797.000000,6950776971.000000,16405899936.000000,3444220015.000000,,,2972435783.000000,63682254162.000000,201963874350.000000,,88641126500.000000,47523493292.000000,-38509689697.000000,305000000.000000,-38814689697.000000,-38509689697.000000,5688211003.000000,-349757711.000000,102993383387.000000,304957257737.000000,886411265.000000
12M 2017,,,4829344712.000000,,9317195790.000000,2227871598.000000,7089324192.000000,9317195790.000000,1381851564.000000,1045400804.000000,,6091597572.000000,22665390442.000000,,8003685290.000000,72865368.000000,139027813962.000000,,,2065418294.000000,128168301312.000000,277338084226.000000,300003474668.000000,,,53152285722.000000,4920797925.000000,,1749941000.000000,3243670435.000000,4993611435.000000,9885120154.000000,676967356.000000,7955211487.000000,,,2600000000.000000,1546282170.000000,,16399215704.000000,20545497874.000000,4175079491.000000,53152285722.000000,94446558217.000000,28240055213.000000,,21233333332.000000,760455347.000000,22971678500.000000,44965467179.000000,17337551175.000000,,,3903484650.000000,94446558217.000000,147598843939.000000,,88641126500.000000,47523493292.000000,8859890377.000000,305000000.000000,8554890377.000000,8859890377.000000,7729878271.000000,-349757711.000000,152404630729.000000,300003474668.000000,886411265.000000
