Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,1146887827845.000000,-978048496384.000000,168839331461.000000,-96653223015.000000,-63997895653.000000,-32655327362.000000,-96653223015.000000,72186108446.000000,-13158310946.000000,-12606957000.000000,,8896791.000000,,,-560250737.000000,-13158310946.000000,59027797500.000000,-15205766152.000000,43822031348.000000,-422188898.000000,43399842450.000000,43822031348.000000,43822031348.000000,,43822031348.000000,43399842450.000000,43399842450.000000,,43399842450.000000
12M 2017,1209215316632.000000,-1044272071444.000000,164943245188.000000,-92002953201.000000,-52068785657.000000,-39934167544.000000,-92002953201.000000,72940291987.000000,-8555871138.000000,-10012722452.000000,,198137955.000000,,,1258713359.000000,-8555871138.000000,64384420849.000000,-16420307909.000000,47964112940.000000,-908047643.000000,47056065297.000000,47964112940.000000,47964112940.000000,,47964112940.000000,47056065297.000000,47056065297.000000,,47056065297.000000
12M 2018,1430785280985.000000,-1228387538365.000000,202397742620.000000,-73551663568.000000,-35260004286.000000,-38291659282.000000,-73551663568.000000,128846079052.000000,-8023780988.000000,-12974049318.000000,,39459148.000000,,,4910809182.000000,-8023780988.000000,120822298064.000000,-30627161799.000000,90195136265.000000,2375778375.000000,92570914640.000000,90195136265.000000,90195136265.000000,,90195136265.000000,92570914640.000000,92570914640.000000,,92570914640.000000
12M 2019,1653031823505.000000,-1412510688423.000000,240521135082.000000,-81016838417.000000,-31124408909.000000,-49892429508.000000,-81016838417.000000,159504296665.000000,-17325213245.000000,-16749467477.000000,-247232.000000,24626355.000000,,,-600124891.000000,-17325213245.000000,142179083420.000000,-38455949448.000000,103723133972.000000,-450000692.000000,103273133280.000000,103723133972.000000,103723228652.000000,-94680.000000,103723133972.000000,103273133280.000000,103273227960.000000,-94680.000000,103273133280.000000
12M 2020,1173189488886.000000,-1029660122589.000000,143529366297.000000,-74777078851.000000,-28970674554.000000,-45806404297.000000,-74777078851.000000,68752287446.000000,-17877605897.000000,-18578305433.000000,7004918.000000,15534278.000000,,,678160340.000000,-17877605897.000000,50874681549.000000,-12836262144.000000,38038419405.000000,-600591193.000000,37437828212.000000,38038419405.000000,38043800534.000000,-5381129.000000,38038419405.000000,37437828212.000000,37443209341.000000,-5381129.000000,37437828212.000000
12M 2021,933597187584.000000,-820501051093.000000,113096136491.000000,-77282561871.000000,-29184335807.000000,-48098226064.000000,-77282561871.000000,35813574620.000000,-17815831487.000000,-22605423222.000000,74939.000000,9878900.000000,-1104224.000000,,4780742120.000000,-17815831487.000000,17997743133.000000,-5464655429.000000,12533087704.000000,3244347813.000000,15777435517.000000,12533087704.000000,12804501815.000000,-271414111.000000,12533087704.000000,15777435517.000000,16048849628.000000,-271414111.000000,15777435517.000000
12M 2022,925708985640.000000,-823698275632.000000,102010710008.000000,-80942598736.000000,-31119106274.000000,-49823492462.000000,-80942598736.000000,21068111272.000000,-20406130187.000000,-21213995865.000000,,15560188.000000,,,792305490.000000,-20406130187.000000,661981085.000000,-571408608.000000,90572477.000000,193445996.000000,284018473.000000,90572477.000000,1797143563.000000,-1706571086.000000,90572477.000000,284018473.000000,1990589559.000000,-1706571086.000000,284018473.000000
12M 2023,1284510497729.000000,-1181248706736.000000,103261790993.000000,-94834347530.000000,-42048861400.000000,-52785486130.000000,-94834347530.000000,8427443463.000000,-10739733249.000000,-16209563554.000000,,94608670.000000,-18390189.000000,40440639.000000,5353171185.000000,-10739733249.000000,-2312289786.000000,-1058536071.000000,-3370825857.000000,-7362177.000000,-3378188034.000000,-3370825857.000000,-1465736323.000000,-1905089534.000000,-3370825857.000000,-3378188034.000000,-1471547679.000000,-1906640355.000000,-3378188034.000000
12M 2024,1298675060004.000000,-1194458402751.000000,104216657253.000000,-94735188937.000000,-38888201476.000000,-55846987461.000000,-94735188937.000000,9481468316.000000,-14066566128.000000,-27807426863.000000,,262004533.000000,297630209.000000,349359346.000000,12831866647.000000,-14066566128.000000,-4585097812.000000,-1526644053.000000,-6111741865.000000,1944511802.000000,-4167230063.000000,-6111741865.000000,-3000946555.000000,-3110795310.000000,-6111741865.000000,-4167230063.000000,-1082447788.000000,-3084782275.000000,-4167230063.000000
