Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pendapatan Bunga,Pembayaran Kepada :,Pemasok,Karyawan,Total Pembayaran Kepada :,Pembayaran Beban Usaha Dan Lainnya,Pembayaran Bunga,Pembayaran Pajak,Penerimaan Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Perangkat Lunak,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Denda Scbd,Penggantian Asuransi,Penerimaan Dividen,Pembayaran Jaminan Sewa,Penjualan Portofolio Efek,Penempatan Portofolio Efek,Penempatan Investasi Pada Entitas Asosiasi,Penerimaan Dekonsolidasi Entitas Anak,Penempatan Aset Lancar Lainnya,Pembelian Properti Investasi,Penempatan Uang Muka Investasi,Penerimaan (Pengeluaran) Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Agio Saham Dari Penawaran Umum Saham Perdana,Penambahan Setoran Modal Penawaran Umum Saham Perdana,Penerimaan Dari Agio Waran Seri I,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Pihak Berelasi,Penambahan Utang Pihak Berelasi,Penambahan Modal Saham Oleh Kepentingan Nonpengendali,Beban Emisi Saham,Pembayaran Pokok Dari Liabilitas Sewa,Pembayaran Utang Pembiayaan,Penerimaan Piutang,Penambahan Piutang Pihak Berelasi,Pembayaran Dividen,Tambahan Modal Disetor - Pengampunan Pajak,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,"Kas Dan Bank, Dan Cerukan Entitas Anak Saat Dekonsolidasi",Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,23774545294.000000,1074407186553.000000,8896791.000000,,-930741337894.000000,-21551052272.000000,-952292390166.000000,-73171914660.000000,-12606957003.000000,-12570276221.000000,,23774545294.000000,-28903784500.000000,-26829859900.000000,-519043358.000000,-1650881242.000000,96000000.000000,,,,,,,,,,,,,-28903784500.000000,6599836800.000000,,,,,6308535093.000000,,,,,,,,-994947223.000000,285714430.000000,,,1000534500.000000,6599836800.000000,1470597594.000000,,996789219.000000,2467386813.000000
12M 2017,-115201632290.000000,1088353100069.000000,198137955.000000,,-1074342539295.000000,-29369212172.000000,-1103711751467.000000,-68130464914.000000,-10012722452.000000,-21897931481.000000,,-115201632290.000000,-15685709995.000000,-15085368531.000000,-320816100.000000,-384225364.000000,,,104700000.000000,,,,,,,,,,,-15685709995.000000,164730567619.000000,166026845638.000000,,50973154362.000000,,-43645295883.000000,,,,,,-7351683721.000000,,-1272452777.000000,,,,,164730567619.000000,33843225334.000000,,2467386813.000000,36310612147.000000
12M 2018,7395470836.000000,1418979454035.000000,39459148.000000,,-1295937173855.000000,-26243871998.000000,-1322181045853.000000,-46015729797.000000,-12974049318.000000,-30452617379.000000,,7395470836.000000,-86260187510.000000,2000859291.000000,-75276000.000000,-88390770801.000000,205000000.000000,,,,,,,,,,,,,-86260187510.000000,85481686080.000000,,,8816290100.000000,,91361209253.000000,,,,,,,,-497675013.000000,2000000.000000,,-14200138260.000000,,85481686080.000000,6616969406.000000,,36310612147.000000,42927581553.000000
12M 2019,105224199992.000000,1665704200445.000000,24626355.000000,,-1412362951135.000000,-27598341817.000000,-1439961292952.000000,-53582002456.000000,-16335371792.000000,-50625959608.000000,,105224199992.000000,-103037657405.000000,,,-103037657405.000000,,,,,,,,,,,,,,-103037657405.000000,10173945075.000000,,,1267662400.000000,20000000000.000000,-20000000000.000000,35623786762.000000,,,,,,,-576574987.000000,,,-26140929100.000000,,10173945075.000000,12360487662.000000,,-8814145299.000000,3546342363.000000
12M 2020,78181287748.000000,1177280477313.000000,15534278.000000,,-979242690523.000000,-29243839683.000000,-1008486530206.000000,-52852192405.000000,-17812981340.000000,-19963019892.000000,,78181287748.000000,-116487026832.000000,,,-116487026832.000000,,,,,,,,,,,,,,-116487026832.000000,12396079723.000000,,,14566597850.000000,107500000000.000000,-77500000000.000000,4531518650.000000,-6612204828.000000,,,150000000.000000,,-1604163549.000000,,,,-28635668400.000000,,12396079723.000000,-25909659361.000000,,3546342363.000000,-22363316998.000000
12M 2021,13949428441.000000,893370432553.000000,9878900.000000,,-768966706160.000000,-29778526344.000000,-798745232504.000000,-47242780611.000000,-22061046881.000000,-11381823016.000000,,13949428441.000000,-85729286305.000000,,,-85626494123.000000,2271818.000000,,,,-105064000.000000,,,,,,,,,-85729286305.000000,39424635414.000000,,,,92500000000.000000,-32500000000.000000,,-10062930180.000000,,,,,-834681726.000000,,,,-9677752680.000000,,39424635414.000000,-32355222450.000000,,-22363316998.000000,-54718539448.000000
12M 2022,208500977805.000000,1020341423430.000000,15560188.000000,,-696225353750.000000,-35659229713.000000,-731884583463.000000,-47477093304.000000,-21948261577.000000,-10546067469.000000,,208500977805.000000,-62887295977.000000,,,-56871358518.000000,,,,,,,-85916758459.000000,,79900821000.000000,,,,,-62887295977.000000,-140997275340.000000,,,,90000000000.000000,-210000000000.000000,,-10062930180.000000,,,25000000.000000,,-1281592480.000000,,,,-9677752680.000000,,-140997275340.000000,4616406488.000000,17369396356.000000,-54718539448.000000,-32732736604.000000
12M 2023,-62204134454.000000,1302757918793.000000,94608670.000000,,-1235237027767.000000,-36986824377.000000,-1272223852144.000000,-73407428000.000000,-15688248767.000000,-3737133006.000000,,-62204134454.000000,-178436410268.000000,,,-10821054518.000000,48810811.000000,,,2230103500.000000,,820000000.000000,-155641858358.000000,-9000000000.000000,,-4000000000.000000,-1472411703.000000,-600000000.000000,,-178436410268.000000,238718728879.000000,,,,230000000000.000000,-30000000000.000000,,-10062930176.000000,,40743372889.000000,5770000000.000000,,-1293630021.000000,-72170460.000000,13311839327.000000,,-9677752680.000000,,238718728879.000000,-1921815843.000000,,-32732736604.000000,-34654552447.000000
12M 2024,-65854436603.000000,1315727654401.000000,262004533.000000,,-1220514903039.000000,-37212015603.000000,-1257726918642.000000,-90708361914.000000,-27341222975.000000,-6067592006.000000,,-65854436603.000000,-26227352663.000000,,,-17106274097.000000,633333334.000000,,,9340620000.000000,,36084733600.000000,-56396790500.000000,-1893000000.000000,,4000000000.000000,-889975000.000000,,,-26227352663.000000,93490482379.000000,,,,247500000000.000000,-175000000000.000000,40000000000.000000,-5576532270.000000,,-2790570077.000000,,,-913083054.000000,-51579540.000000,,,-9677752680.000000,,93490482379.000000,1408693113.000000,,-34654552447.000000,-33245859334.000000
