Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengeluaran Kas Kepada Pemasok Dan Karyawan,Pengeluaran Kas Kepada Pemasok,"Pengeluaran Kas Kepada Direktur, Komisaris, Dan Karyawan",Total Pengeluaran Kas Kepada Pemasok Dan Karyawan,Penghasilan Bunga,Pembayaran Beban Keuangan,Penerimaan Klaim Pengembalian Pajak,Pembayaran Klaim Pengembalian Pajak,Pembayaran Royalti Kepada Pemerintah,Pembayaran Pajak,Penerimaan Restitusi Pajak,Pembayaran Untuk Deposit Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen,Pembayaran Deviden,Penerimaan Re-Floating Saham,Pembayaran Re-Floating Saham,Pencarian Aset Keuangan Lainnya,Penempatan Aset Keuangan Lainnya,Penempatan Aset Keuangan Tidak Lancar Lainnya,Pencairan Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Pengembalian Klaim Pengembalian Pajak,Pembayaran Klaim Pengembalian Pajak,Penerimaan Uang Muka Dari Pihak Berelasi,Pembayaran Uang Muka Ke Pihak Berelasi,Penerimaan Utang,Pembayaran Utang,Penerimaan Piutang,Pembayaran Piutang,Pelunasan Piutang Lain-Lain Dari Pihak Berelasi,Kenaikan Piutang Lain-Lain Pada Pihak Berelasi,Pencairan Rekening Bank Dibatasi Penggunaannya,Penempatan Rekening Bank Dibatasi Penggunaannya,Penerimaan Uang Muka Dan Aset Tidak Lancar Lainnya,Pembayaran Uang Muka Dan Aset Tidak Lancar Lainnya,Penerimaan Uang Muka Dari Penjualan Entitas Anak,Penempatan Investasi Lain,Pembayaran Untuk Investasi Di Entitas Anak,Hasil Penjualan Investasi Pada Anak Perusahaan,Penempatan Investasi Dalam Unit Penyertaan,Pengembalian Uang Muka,Pengembalian Investasi Lain Dan Uang Muka,Pembayaran Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Uang Muka Atas Modal Saham Dari Kepentingan Non Pengendali,Penambahan Aset Tidak Berwujud,Alokasi Aset Untuk Di Jual,Pemeliharaan Kapal,Perolehan Aset Tetap,Penjualan Entitas Anak,Penambahan Kas Karena Akuisisi Entitas Anak,Hasil Penjualan Aset Tetap Dan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Penerimaan Refundable Deposit,Penambahan Properti Pertambangan,Kenaikan Investasi Pada Entitas Anak,Pembayaran Akuisisi Entitas Asosiasi,Pembayaran Untuk Beban Ditangguhkan,Penambahan Aset Eksplorasi Dan Evaluasi,Akuisisi Perusahaan Asosiasi Dan Anak Perusahaan,Pembayaran Untuk Tambahan Kepemilikan Saham Di Entitas Anak,Pemberian Pinjaman Kepada Pihak Hubungan Istimewa,Penyelesaian Melalui Escrow Account Dari Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Transaksi Jual Dan Sewa Balik,"Penerimaan Utang Bank, Utang Jangka Panjang Dan Sewa Pembiayaan",Penerimaan Dari Penerbitan Saham Melalui Penawaran Umum Pendanaan Anak Perusahaan,Pembayaran Biaya Emisi Saham,Penambahan Setoran Modal,"Pembayaran Utang Bank, Utang Jangka Panjang Dan Sewa Pembiayaan",Pembayaran Utang Lain-Lain,Penerimaan Dari Utang Lain Lain,Pembayaran Pinjaman Jangka Panjang Dan Liabilitas Sewa Pembiayaan,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Pembayaran Dividen Perusahaan,Pembayaran Dividen Kepada Pemegang Saham,Pembayaran Dari Transaksi Pembelian Kembali Saham Entitas Anak,Pembayaran Dari Transaksi Pembelian Kembali Saham Perusahaan,Penambahan Kepentingan Non Pengendali,Penerimaan Utang Bank,Penerimaan Utang Dari Pihak Berealisi,Pembayaran Liabilitas Sewa Pembiayaan,Pengembalian Kelebihan Pembayaran Atas Bunga Pinjaman Jangka Panjang,Penerimaan Pinjaman Pihak Hubungan Berelasi,Penerimaan Dari Penerbitan Obligasi,Penerimaan Dari Utang Lain Lain Pihak Berelasi,Pembayaran Utang Dari Pihak Berelasi,Penerimaan Uang Muka Untuk Penyertaan Modal,Pembayaran Biaya Penerbitan Obligasi,Pembayaran Untuk Biaya Transaksi Utang Bank,Pembayaran Biaya Transaksi Terkait Penerbitan Utang Obligasi,Pembayaran Utang Obligasi,Penerimaan Dari Piutang Lain-Lain,Pembayaran Piutang Lain-Lain,Pengeluaran Untuk Piutang Lainnya,Pembayaran Uang Muka Setoran Modal Di Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penyesuaian Konsilidasi,Pengaruh Perubahan Kurs Mata Uang Asing,Kas Dan Setara Kas Akhir Periode
12M 2008,-234998714000.000000,2363515685000.000000,-2316038747000.000000,,,-2316038747000.000000,68145306000.000000,-206572525000.000000,,,,-144048433000.000000,,,-234998714000.000000,-869021164000.000000,494832953000.000000,,,,,,,209370750000.000000,-867432406000.000000,,,,,,,,-242095045000.000000,10589023000.000000,,189176435000.000000,,,,,-622014834000.000000,,1350000000.000000,,,,,,,,,-42943943000.000000,,,1557821000.000000,,,,,,,-1411918000.000000,,,,-869021164000.000000,2149018284000.000000,,,2457768900000.000000,,,-38257000000.000000,,,-3907962000.000000,-125000000000.000000,,,,,,,,,,,,,,,,,,-141585654000.000000,,,,,2149018284000.000000,1044998406000.000000,873445648000.000000,,413538932000.000000,2331982986000.000000
12M 2009,130167146000.000000,2470377400000.000000,-2015311932000.000000,,,-2015311932000.000000,58138435000.000000,-242105156000.000000,,,,-140931601000.000000,,,130167146000.000000,-796097287000.000000,1139792876000.000000,,,,,,,88033836000.000000,,,,,,,,,-385541394000.000000,12215000.000000,,95917272000.000000,-475905556000.000000,,,,-346234781000.000000,,,,254521229000.000000,,,,,,,-105128481000.000000,,,33810000.000000,,,,,,,-1061598313000.000000,,,,-796097287000.000000,1726496995000.000000,,4436680000.000000,,,,,,,-108276511000.000000,-437399928000.000000,,,,,,,,,,,2332498558000.000000,20605428000.000000,,,,,,-85367232000.000000,,,,,1726496995000.000000,1060566854000.000000,2331982986000.000000,,-447505456000.000000,2945044384000.000000
12M 2010,-533540825000.000000,4008117054000.000000,-3971088251000.000000,,,-3971088251000.000000,41135398000.000000,-406496038000.000000,,,,-242692787000.000000,37483799000.000000,,-533540825000.000000,449823706000.000000,1598291157000.000000,,,,,,,231880211000.000000,-1017943656000.000000,,,,,85240355000.000000,,,,,,590706797000.000000,-3105689000.000000,,,,-22942344000.000000,,,,,65772129000.000000,,,,,,-988202714000.000000,,,300960000.000000,,,,,,,-32097580000.000000,,-58075920000.000000,,449823706000.000000,-653918501000.000000,,165121650000.000000,,,,-471077000.000000,,,-198283969000.000000,-612776469000.000000,,,,,,,,,,,,,,,-7508636000.000000,,,,,,,,-653918501000.000000,-737635620000.000000,2945044384000.000000,,-96614324000.000000,2110794440000.000000
12M 2011,112201000000.000000,5015940000000.000000,-4343310000000.000000,,,-4343310000000.000000,35070000000.000000,-445646000000.000000,,,,-278266000000.000000,128413000000.000000,,112201000000.000000,-783853000000.000000,1470582000000.000000,,,,1403154000000.000000,-878265000000.000000,,,,,,,,,,49023000000.000000,,,,,,,,,,,,,,,,,-421274000000.000000,,,-1333704000000.000000,,,1881000000.000000,,,,,,,-1075250000000.000000,,,,-783853000000.000000,1932022000000.000000,,2444795000000.000000,,,,-1006896000000.000000,,,,-135385000000.000000,,,,,,,,,,,942051000000.000000,,,,-304978000000.000000,,,,,,,-7565000000.000000,1932022000000.000000,1260370000000.000000,2110794000000.000000,,62481000000.000000,3433645000000.000000
12M 2012,21752147.000000,734653205.000000,-614595903.000000,,,-614595903.000000,6581832.000000,-70756746.000000,,,,-44960834.000000,10830593.000000,,21752147.000000,31291830.000000,212591514.000000,,115988000.000000,-9325573.000000,359459126.000000,-238079366.000000,,,,,,,,,,,,,,,,3152181.000000,-33361745.000000,,,,,,,,,,-11987835.000000,,,-236984469.000000,,,4606993.000000,,,,,,,-134766996.000000,,,,31291830.000000,-79847224.000000,81000000.000000,340948364.000000,,,2040000.000000,-369917709.000000,-25610106.000000,,,-43307773.000000,,,,,,,,,,,,,,,,,,-65000000.000000,,,,,-79847224.000000,-26803247.000000,378655161.000000,,-1476248.000000,350375666.000000
12M 2013,95335182.000000,797071485.000000,,-372986670.000000,-221434416.000000,-594421086.000000,4819020.000000,-44044933.000000,,,,-74536798.000000,6447494.000000,,95335182.000000,40155587.000000,113532968.000000,,,,109860957.000000,-109178460.000000,-3303024.000000,,-4736933.000000,,,,,,,,,,,,,117003.000000,,,,,,,,,,,-2746686.000000,,,-49128910.000000,,,2372746.000000,,,,,-21077978.000000,,4443904.000000,,,,40155587.000000,-151402641.000000,8082059.000000,,,,,-467346424.000000,-53049.000000,,,-25806103.000000,,,,,,90432755.000000,,,,,500000000.000000,,,,-15499379.000000,,,-241212500.000000,,,,,-151402641.000000,-15911872.000000,350375666.000000,,-7896351.000000,326567443.000000
12M 2014,-7081556.000000,983991890.000000,,-724648132.000000,-176414535.000000,-901062667.000000,18594779.000000,-64218670.000000,,,,-50404432.000000,9820066.000000,-3802522.000000,-7081556.000000,32386372.000000,92973304.000000,,,,2450171.000000,-1005539.000000,,,,,,,,,,,,5665857.000000,,,,,-2561235.000000,,,,1644000.000000,,,,,,-1841044.000000,,,-66732287.000000,,,3623729.000000,,,,,,-1030584.000000,-800000.000000,,,,32386372.000000,-18652385.000000,,77246000.000000,,,,-89646496.000000,-194779.000000,371886.000000,,-6428996.000000,,,,,,,,,,,,,,,,,,,,,,,-18652385.000000,6652431.000000,326567443.000000,,-522662.000000,332697212.000000
12M 2015,-73388148.000000,1138967559.000000,,-943785596.000000,-177227405.000000,-1121013001.000000,9738644.000000,-64887945.000000,,,,-37837470.000000,4772545.000000,-3128480.000000,-73388148.000000,10064149.000000,70659435.000000,,,,4034458.000000,-6435474.000000,,,,,,,,,,,,6698629.000000,-7020000.000000,,,703648.000000,-1788930.000000,,,-994000.000000,1176867.000000,,,,,,-923819.000000,,,-57787828.000000,,,4638997.000000,,,,,,-1621538.000000,-1276296.000000,,,,10064149.000000,-8304807.000000,7128000.000000,564288818.000000,,,,-493841926.000000,,1117279.000000,,-8803185.000000,,,,,,,,,,,,,,,-1049993.000000,,,-77143800.000000,,,,,-8304807.000000,-71628806.000000,332697212.000000,,-2036205.000000,259032201.000000
12M 2016,40022412.000000,772775192.000000,,-554332296.000000,-152746485.000000,-707078781.000000,4792205.000000,-51601415.000000,,,,-24675714.000000,49660132.000000,-3849207.000000,40022412.000000,116662550.000000,84737287.000000,,,,29170120.000000,-14032967.000000,,,,,,,,,,,,13103243.000000,-8377536.000000,,,30738.000000,,,,,380974.000000,,,,,9560532.000000,-98385.000000,,,-21888508.000000,,,29104194.000000,,,,,,-777142.000000,-4250000.000000,,,,116662550.000000,-172222777.000000,7677643.000000,300463966.000000,,,,-480214386.000000,,,,-150000.000000,,,,,,,,,,,,,,,,,,,,,,,-172222777.000000,-15537815.000000,259032201.000000,,895778.000000,244390164.000000
12M 2017,185724488.000000,1267926890.000000,,-855894335.000000,-144644675.000000,-1000539010.000000,5773443.000000,-54266311.000000,,,-18485577.000000,-49061954.000000,34377007.000000,,185724488.000000,-332809326.000000,143418161.000000,,,,19543141.000000,-28355897.000000,,,,,,,,,,,,16295497.000000,-6780619.000000,,,27203.000000,-380000.000000,,,,12476.000000,,,,,,-84124.000000,,,-65583509.000000,,,2126855.000000,,,,,,,-413048510.000000,,,,-332809326.000000,524392764.000000,1915000.000000,130127821.000000,,,,-242792150.000000,,,,,,,,,,,,,,,831088700.000000,,,,-24519607.000000,,,-171427000.000000,,,,,524392764.000000,377307926.000000,244390164.000000,,347264.000000,622045354.000000
