Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Properti Pertambangan,Aset Eksplorasi Dan Evaluasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Investasi Pada Entitas Pengendalian Bersama,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Utang Dari Pihak Ketiga,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pinjaman Jangka Panjang,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,2331982986000.000000,716219453000.000000,406321141000.000000,,406321141000.000000,406321141000.000000,64066687000.000000,6935588000.000000,57131099000.000000,64066687000.000000,,403233004000.000000,3921823271000.000000,,261110800000.000000,253428234000.000000,7682566000.000000,261110800000.000000,,,,2550019134000.000000,,,97164297000.000000,274534480000.000000,,1605534022000.000000,4788362733000.000000,8710186004000.000000,,,780526823000.000000,,,160844819000.000000,249108797000.000000,409953616000.000000,,209745000.000000,5266814000.000000,5476559000.000000,59462882000.000000,50029737000.000000,,5437348000.000000,,,,5437348000.000000,250166681000.000000,780526823000.000000,2715997358000.000000,,8703529000.000000,,2689805435000.000000,,,2698508964000.000000,,,,,,,,17488394000.000000,2715997358000.000000,3496524181000.000000,,520714200000.000000,2232869046000.000000,2073762785000.000000,,2073762785000.000000,2073762785000.000000,52648000.000000,386263144000.000000,5213661823000.000000,8710186004000.000000,5207142000.000000
12M 2009,,,2945044384000.000000,550759010000.000000,773230710000.000000,72840600000.000000,700390110000.000000,773230710000.000000,142619929000.000000,122452740000.000000,20167189000.000000,142619929000.000000,37600000000.000000,426834983000.000000,4876089016000.000000,,486350712000.000000,486350712000.000000,,486350712000.000000,,,1060360000.000000,2779220582000.000000,,,1189110159000.000000,303420985000.000000,331095083000.000000,1717267855000.000000,6807525736000.000000,11683614752000.000000,,,1382491174000.000000,51700000000.000000,,299211127000.000000,383434387000.000000,682645514000.000000,,,25062467000.000000,25062467000.000000,23915038000.000000,112034412000.000000,,6911746000.000000,192822200000.000000,,,199733946000.000000,287399797000.000000,1382491174000.000000,4956459620000.000000,,4547192000.000000,460130000000.000000,4335116754000.000000,,,4799793946000.000000,,,,,,73296608000.000000,,83369066000.000000,4956459620000.000000,6338950794000.000000,,520714200000.000000,2232869046000.000000,2362033027000.000000,10000000000.000000,2352033027000.000000,2362033027000.000000,12741551000.000000,216306134000.000000,5344663958000.000000,11683614752000.000000,5207142000.000000
12M 2010,,,2110794440000.000000,1572157298000.000000,606430463000.000000,39830130000.000000,566600333000.000000,606430463000.000000,77434983000.000000,54388275000.000000,23046708000.000000,77434983000.000000,50445561000.000000,548628985000.000000,4965891730000.000000,,532719715000.000000,523488343000.000000,9231372000.000000,532719715000.000000,,,1366850000.000000,2561835867000.000000,,,1895715411000.000000,312377854000.000000,300706467000.000000,888169093000.000000,6492891257000.000000,11458782987000.000000,,,1359525425000.000000,216212100000.000000,,160570180000.000000,429362461000.000000,589932641000.000000,,557442000.000000,9554155000.000000,10111597000.000000,44447904000.000000,200729235000.000000,,7765235000.000000,165337724000.000000,,,173102959000.000000,124988989000.000000,1359525425000.000000,4643362969000.000000,,13525282000.000000,277606827000.000000,4173919091000.000000,,,4465051200000.000000,,,,,,83346926000.000000,,94964843000.000000,4643362969000.000000,6002888394000.000000,,520714200000.000000,2228816225000.000000,2526032556000.000000,20000000000.000000,2506032556000.000000,2526032556000.000000,17562342000.000000,162769270000.000000,5455894593000.000000,11458782987000.000000,5207142000.000000
12M 2011,,,3433645000000.000000,,1101675000000.000000,174679000000.000000,926996000000.000000,1101675000000.000000,148435000000.000000,87112000000.000000,61323000000.000000,148435000000.000000,100253000000.000000,1562493000000.000000,6346501000000.000000,,460677000000.000000,460677000000.000000,,460677000000.000000,,,1740000000.000000,3036864000000.000000,213406000000.000000,10146000000.000000,5349777000000.000000,1291509000000.000000,521343000000.000000,1021854000000.000000,11907316000000.000000,18253817000000.000000,,,3876137000000.000000,1875313000000.000000,,96374000000.000000,782648000000.000000,879022000000.000000,,2839000000.000000,25386000000.000000,28225000000.000000,75415000000.000000,353704000000.000000,,279150000000.000000,244134000000.000000,,,523284000000.000000,141174000000.000000,3876137000000.000000,6648557000000.000000,,706388000000.000000,387486000000.000000,5023846000000.000000,30408000000.000000,,6148128000000.000000,,,,,,350417000000.000000,,150012000000.000000,6648557000000.000000,10524694000000.000000,,521019000000.000000,2238195000000.000000,3505668000000.000000,30000000000.000000,3475668000000.000000,3505668000000.000000,1292209000000.000000,172032000000.000000,7729123000000.000000,18253817000000.000000,5207142000.000000
12M 2012,,,350375666.000000,,143458506.000000,33466558.000000,109991948.000000,143458506.000000,14759452.000000,6042480.000000,8716972.000000,14759452.000000,20854037.000000,161245873.000000,690693534.000000,,54468803.000000,53501030.000000,967773.000000,54468803.000000,,,548030.000000,288079887.000000,25528684.000000,954577.000000,752660541.000000,371820837.000000,115693441.000000,46815722.000000,1656570522.000000,2347264056.000000,,,527616177.000000,276657034.000000,,3292909.000000,89855134.000000,93148043.000000,,,8206100.000000,8206100.000000,5996266.000000,55091293.000000,,32306078.000000,55725080.000000,,,88031158.000000,486283.000000,527616177.000000,794927594.000000,,88391992.000000,89789367.000000,493663485.000000,1284737.000000,,673129581.000000,,,,,,98698573.000000,,23099440.000000,794927594.000000,1322543771.000000,,56892154.000000,239985258.000000,436159897.000000,4283901.000000,431875996.000000,436159897.000000,227782040.000000,63900936.000000,1024720285.000000,2347264056.000000,5207142000.000000
12M 2013,,,326567443.000000,,157508652.000000,30095112.000000,127413540.000000,157508652.000000,10655236.000000,6888692.000000,3766544.000000,10655236.000000,17277837.000000,247336390.000000,759345558.000000,,50231322.000000,48184815.000000,2046507.000000,50231322.000000,,,68568.000000,286550051.000000,21102394.000000,,696791991.000000,320036926.000000,119454101.000000,62742405.000000,1556977758.000000,2316323316.000000,,,347398333.000000,37735393.000000,,248087.000000,66080338.000000,66328425.000000,,1505453.000000,5977793.000000,7483246.000000,5558500.000000,118780781.000000,,12756345.000000,48014837.000000,17165617.000000,,77936799.000000,33575189.000000,347398333.000000,1019053345.000000,,87933439.000000,51794506.000000,761974054.000000,194779.000000,,901896778.000000,,,,,,93474531.000000,,23682036.000000,1019053345.000000,1366451678.000000,,56892154.000000,250847921.000000,354672781.000000,5312496.000000,349360285.000000,354672781.000000,229951416.000000,57507366.000000,949871638.000000,2316323316.000000,5210192000.000000
12M 2014,,,332697212.000000,,170404709.000000,11262337.000000,159142372.000000,170404709.000000,8923423.000000,3355077.000000,5568346.000000,8923423.000000,13596283.000000,305797681.000000,831419308.000000,,38206228.000000,36566963.000000,1639265.000000,38206228.000000,14456847.000000,26960922.000000,713088.000000,271766662.000000,14487529.000000,,660415384.000000,284981837.000000,119454101.000000,27490386.000000,1458932984.000000,2290352292.000000,,,396736289.000000,86249677.000000,,19995.000000,104221448.000000,104241443.000000,,1402711.000000,12343683.000000,13746394.000000,7071099.000000,86109922.000000,,15831756.000000,31631848.000000,17165617.000000,,64629221.000000,34688533.000000,396736289.000000,981113153.000000,,71194730.000000,20819823.000000,767837029.000000,1488866.000000,,861340448.000000,,,,,,90721355.000000,,29051350.000000,981113153.000000,1377849442.000000,,56892154.000000,250847921.000000,327157991.000000,5312496.000000,321845495.000000,327157991.000000,220163562.000000,57441222.000000,912502850.000000,2290352292.000000,5210192000.000000
12M 2015,,,259032201.000000,,167103008.000000,19780511.000000,147322497.000000,167103008.000000,11645966.000000,3705409.000000,7940557.000000,11645966.000000,9652095.000000,379878421.000000,827311691.000000,,37662767.000000,35712307.000000,1950460.000000,37662767.000000,13393606.000000,7276970.000000,432932.000000,277545435.000000,13026000.000000,,596387117.000000,218884208.000000,120235296.000000,38289189.000000,1323133520.000000,2150445211.000000,,,505612838.000000,206015295.000000,,273217.000000,124195804.000000,124469021.000000,,211835.000000,1888674.000000,2100509.000000,8025658.000000,70928113.000000,,18292014.000000,19074671.000000,15765900.000000,,53132585.000000,40941657.000000,505612838.000000,813287965.000000,,52386572.000000,9567165.000000,649115106.000000,1350110.000000,,712418953.000000,,,,,,74333754.000000,,26535258.000000,813287965.000000,1318900803.000000,,56892154.000000,250847921.000000,282444383.000000,5312496.000000,277131887.000000,282444383.000000,179526239.000000,61833711.000000,831544408.000000,2150445211.000000,5210192000.000000
12M 2016,,,244390164.000000,,110414894.000000,7336484.000000,103078410.000000,110414894.000000,11477224.000000,7463133.000000,4014091.000000,11477224.000000,8912188.000000,292241763.000000,667436233.000000,,27543694.000000,24415240.000000,3128454.000000,27543694.000000,18437706.000000,777142.000000,373236.000000,260422206.000000,10832519.000000,,518071372.000000,167781402.000000,120235296.000000,30422263.000000,1154896836.000000,1822333069.000000,,,312981711.000000,77863574.000000,,64246.000000,115780509.000000,115844755.000000,,1259778.000000,2814314.000000,4074092.000000,4422484.000000,38446609.000000,,21847065.000000,6859968.000000,15715599.000000,,44422632.000000,27907565.000000,312981711.000000,768241790.000000,,18267630.000000,9759327.000000,654958556.000000,4879.000000,,682990392.000000,,,,,,57889627.000000,,27361771.000000,768241790.000000,1081223501.000000,,56892154.000000,253074906.000000,214850301.000000,5312496.000000,209537805.000000,214850301.000000,151867338.000000,64424869.000000,741109568.000000,1822333069.000000,5210192000.000000
12M 2017,,,622045354.000000,,338599250.000000,17434148.000000,321165102.000000,338599250.000000,45612359.000000,1848445.000000,43763914.000000,45612359.000000,76426790.000000,271102568.000000,1353786321.000000,,26961177.000000,24660748.000000,2300429.000000,26961177.000000,8692249.000000,7309549.000000,305578.000000,109962668.000000,10392783.000000,,610613683.000000,755845199.000000,698614543.000000,53221653.000000,2281919082.000000,3635705403.000000,,,659498294.000000,81344235.000000,,3947517.000000,230667803.000000,234615320.000000,,1389531.000000,15880090.000000,17269621.000000,180538611.000000,63252680.000000,,924935.000000,7168300.000000,22877683.000000,,30970918.000000,51506909.000000,659498294.000000,1861184789.000000,,,10763586.000000,1293837983.000000,,,1304601569.000000,,925614.000000,,,925614.000000,354225711.000000,,201431895.000000,1861184789.000000,2520683083.000000,,56892154.000000,253826135.000000,550267313.000000,5312496.000000,544954817.000000,550267313.000000,190463455.000000,63573263.000000,1115022320.000000,3635705403.000000,5210192000.000000
