Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Wesel Bayar,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sukuk,Utang Lain Jangka Panjang,Kewajiban Kontrak Swap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sukuk,Wesel Bayar,Kewajiban Kontrak Swap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1742666000000.000000,1171826000000.000000,359826000000.000000,812000000000.000000,1171826000000.000000,45478000000.000000,,,45478000000.000000,645890000000.000000,643757000000.000000,2133000000.000000,645890000000.000000,983008000000.000000,492642000000.000000,5081510000000.000000,,9283000000.000000,,87593000000.000000,,1903870000000.000000,1903870000000.000000,1903870000000.000000,,110166000000.000000,2608307000000.000000,4719219000000.000000,9800729000000.000000,,,4531454000000.000000,,1191752000000.000000,459305000000.000000,45295000000.000000,1303092000000.000000,472353000000.000000,,74800000000.000000,441640000000.000000,,9625000000.000000,495230000000.000000,38362000000.000000,1059657000000.000000,,,4531454000000.000000,2062442000000.000000,3143000000.000000,,1462850000000.000000,,,,,4699000000.000000,1467549000000.000000,233435000000.000000,8888000000.000000,349427000000.000000,2062442000000.000000,6593896000000.000000,,2355961000000.000000,-21198000000.000000,1033042000000.000000,18000000000.000000,1015042000000.000000,1033042000000.000000,55631000000.000000,-216603000000.000000,3206833000000.000000,9800729000000.000000,4711922000.000000
12M 2009,,,2252173000000.000000,1164368000000.000000,94368000000.000000,1070000000000.000000,1164368000000.000000,30993000000.000000,,,30993000000.000000,136935000000.000000,135967000000.000000,968000000.000000,136935000000.000000,1171805000000.000000,309965000000.000000,5066239000000.000000,,9447000000.000000,,31500000000.000000,,2178493000000.000000,2178493000000.000000,2178493000000.000000,,50423000000.000000,3224042000000.000000,5493905000000.000000,10560144000000.000000,,,3144994000000.000000,,1294678000000.000000,184852000000.000000,43616000000.000000,,566481000000.000000,,1011667000000.000000,,,2269000000.000000,,41431000000.000000,1055367000000.000000,,,3144994000000.000000,3854123000000.000000,5520000000.000000,,903333000000.000000,521807000000.000000,,1788211000000.000000,,4460000000.000000,3217811000000.000000,322796000000.000000,,307996000000.000000,3854123000000.000000,6999117000000.000000,,2360537000000.000000,-17537000000.000000,1333077000000.000000,20000000000.000000,1313077000000.000000,1333077000000.000000,93929000000.000000,-208979000000.000000,3561027000000.000000,10560144000000.000000,4721073575.000000
12M 2010,,,2565235000000.000000,1389545000000.000000,44545000000.000000,1345000000000.000000,1389545000000.000000,20305000000.000000,,,20305000000.000000,166495000000.000000,164986000000.000000,1509000000.000000,166495000000.000000,969713000000.000000,283617000000.000000,5394910000000.000000,,1113357000000.000000,,29667000000.000000,,1503459000000.000000,1503459000000.000000,1503459000000.000000,,304730000000.000000,3074477000000.000000,6025690000000.000000,11420600000000.000000,,,3063982000000.000000,,987993000000.000000,1108223000000.000000,83199000000.000000,,467787000000.000000,,370000000000.000000,,,2035000000.000000,,44745000000.000000,416780000000.000000,,,3063982000000.000000,1162586000000.000000,6284000000.000000,,269730000000.000000,523666000000.000000,,,,,793396000000.000000,98585000000.000000,1070000000.000000,263251000000.000000,1162586000000.000000,4226568000000.000000,,2788273000000.000000,324652000000.000000,4150741000000.000000,22000000000.000000,4128741000000.000000,4150741000000.000000,52574000000.000000,-122208000000.000000,7194032000000.000000,11420600000000.000000,5576546800.000000
12M 2011,,,1403075000000.000000,391442000000.000000,311442000000.000000,80000000000.000000,391442000000.000000,34711000000.000000,,,34711000000.000000,222885000000.000000,220369000000.000000,2516000000.000000,222885000000.000000,1266120000000.000000,300330000000.000000,3618563000000.000000,,9502000000.000000,1171243000000.000000,32794000000.000000,,1643505000000.000000,1643505000000.000000,1643505000000.000000,,276883000000.000000,3555679000000.000000,6689606000000.000000,10308169000000.000000,,,2960433000000.000000,,1290377000000.000000,249710000000.000000,43424000000.000000,,595393000000.000000,,440000000000.000000,339431000000.000000,,,,2098000000.000000,781529000000.000000,,,2960433000000.000000,1664288000000.000000,3416000000.000000,,1307040000000.000000,186505000000.000000,,,,,1493545000000.000000,154772000000.000000,2308000000.000000,10247000000.000000,1664288000000.000000,4624721000000.000000,,2788273000000.000000,324652000000.000000,2642389000000.000000,24000000000.000000,2618389000000.000000,2642389000000.000000,50340000000.000000,-122206000000.000000,5683448000000.000000,10308169000000.000000,5576546800.000000
12M 2012,,,1361736000000.000000,,,,,43338000000.000000,43338000000.000000,,43338000000.000000,,,,,1670574000000.000000,2009092000000.000000,5084740000000.000000,,7884000000.000000,,,,775125000000.000000,,775125000000.000000,1188000000.000000,113255000000.000000,2243014000000.000000,3140466000000.000000,8225206000000.000000,,,2715926000000.000000,,1422313000000.000000,,76151000000.000000,,323466000000.000000,,535000000000.000000,,,,,2098000000.000000,537098000000.000000,92405000000.000000,264493000000.000000,2715926000000.000000,1663526000000.000000,,,1280100000000.000000,51747000000.000000,135493000000.000000,,,,1467340000000.000000,61401000000.000000,,134785000000.000000,1663526000000.000000,4379452000000.000000,,278827000000.000000,324652000000.000000,2831270000000.000000,26000000000.000000,2805270000000.000000,2831270000000.000000,30000000.000000,410975000000.000000,3845754000000.000000,8225206000000.000000,5576546800.000000
12M 2013,,,1302610000000.000000,,,,,33866000000.000000,33866000000.000000,,33866000000.000000,380176000000.000000,,,380176000000.000000,2273548000000.000000,177789000000.000000,4167989000000.000000,,,,,,1086757000000.000000,,1086757000000.000000,4762000000.000000,56331000000.000000,1263679000000.000000,2411529000000.000000,6579518000000.000000,,,3037430000000.000000,,1989126000000.000000,,54246000000.000000,,337677000000.000000,,,51939000000.000000,135899000000.000000,,,,187838000000.000000,263227000000.000000,205316000000.000000,3037430000000.000000,247118000000.000000,,,,,,,,,,94179000000.000000,,152939000000.000000,247118000000.000000,3284548000000.000000,,268898000000.000000,774578000000.000000,2251464000000.000000,28000000000.000000,2223464000000.000000,2251464000000.000000,30000000.000000,,3294970000000.000000,6579518000000.000000,5377962800.000000
12M 2014,,,747710000000.000000,,,,,31331000000.000000,31331000000.000000,,31331000000.000000,351933000000.000000,,,351933000000.000000,2655023000000.000000,118067000000.000000,3904064000000.000000,,,,,,1272601000000.000000,,1272601000000.000000,6316000000.000000,57272000000.000000,587041000000.000000,1923230000000.000000,5827294000000.000000,,,2749630000000.000000,,1893341000000.000000,,155913000000.000000,,305118000000.000000,,,,,,,,,179266000000.000000,215992000000.000000,2749630000000.000000,228978000000.000000,,,,,,,,,,46331000000.000000,,182647000000.000000,228978000000.000000,2978608000000.000000,,268898000000.000000,774578000000.000000,1805180000000.000000,30000000000.000000,1775180000000.000000,1805180000000.000000,30000000.000000,,2848686000000.000000,5827294000000.000000,5377962800.000000
12M 2015,,,408945000000.000000,,,,,26012000000.000000,26012000000.000000,,26012000000.000000,647867000000.000000,,,647867000000.000000,2758970000000.000000,129395000000.000000,3971189000000.000000,,,,,,1461743000000.000000,,1461743000000.000000,3984000000.000000,67826000000.000000,789468000000.000000,2323021000000.000000,6294210000000.000000,,,2814709000000.000000,250000000000.000000,1763250000000.000000,,82271000000.000000,,360274000000.000000,,,,,,,,,210233000000.000000,148681000000.000000,2814709000000.000000,703907000000.000000,,,400000000000.000000,,,,,,400000000000.000000,56895000000.000000,,247012000000.000000,703907000000.000000,3518616000000.000000,,268898000000.000000,774578000000.000000,1732088000000.000000,32000000000.000000,1700088000000.000000,1732088000000.000000,30000000.000000,,2775594000000.000000,6294210000000.000000,5377962800.000000
12M 2016,,,248697000000.000000,,,,,46533000000.000000,46533000000.000000,,46533000000.000000,883880000000.000000,,,883880000000.000000,2747344000000.000000,176004000000.000000,4102458000000.000000,,,,,,1575559000000.000000,,1575559000000.000000,1739000000.000000,14022000000.000000,1007956000000.000000,2599276000000.000000,6701734000000.000000,,,3333880000000.000000,140000000000.000000,2317779000000.000000,,54105000000.000000,,400131000000.000000,,,,,,,,,249538000000.000000,172327000000.000000,3333880000000.000000,938122000000.000000,,,610000000000.000000,,,,,,610000000000.000000,71255000000.000000,,256867000000.000000,938122000000.000000,4272002000000.000000,,268898000000.000000,774578000000.000000,1386226000000.000000,34000000000.000000,1352226000000.000000,1386226000000.000000,30000000.000000,,2429732000000.000000,6701734000000.000000,5377962800.000000
12M 2017,,,373008000000.000000,,,,,68029000000.000000,33700000000.000000,34329000000.000000,68029000000.000000,232683000000.000000,,,232683000000.000000,1581846000000.000000,230267000000.000000,2485833000000.000000,,,,,,1486219000000.000000,,1486219000000.000000,2407000000.000000,452677000000.000000,999923000000.000000,2941226000000.000000,5427059000000.000000,,,3876194000000.000000,1490000000000.000000,1411185000000.000000,,22883000000.000000,,496387000000.000000,,,,,,,,,173455000000.000000,282284000000.000000,3876194000000.000000,376694000000.000000,,,,,,,,,,82051000000.000000,,294643000000.000000,376694000000.000000,4252888000000.000000,,268898000000.000000,774578000000.000000,130665000000.000000,36000000000.000000,94665000000.000000,130665000000.000000,30000000.000000,,1174171000000.000000,5427059000000.000000,5377962800.000000
