Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari :,Pelanggan,Pendapatan Sewa,Total Penerimaan Kas Dari :,Pembayaran Untuk/Kepada :,Pemasok,Beban Usaha,Karyawan,Pajak Penghasilan Badan,Beban Sewa,Total Pembayaran Untuk/Kepada :,Hasil Pengembalian Biaya Sewa Dibayar Dimuka,Pembayaran Biaya Bunga Atas Liabilitas Sewa,Pengurangan (Penambahan) Piutang Lain-Lain,Penerimaan Pajak Penghasilan,Pendapatan Lainnya,Beban Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Yang Dimiliki Hingga Jatuh Tempo:,Penjualan /Penerimaan Atas Pelunasan,Pembelian,Total Investasi Yang Dimiliki Hingga Jatuh Tempo:,Aset Tetap:,Penjualan Aset Tetap,Perolehan Aset Tetap,Total Aset Tetap:,Uang Muka Untuk Perolehan Aset Tetap,Aset Tak Berwujud:,Penambahan Aset Tidak Berwujud,Total Aset Tak Berwujud:,Penambahan Aset Keuangan Lainnya-Bersih,Penambahan Uang Muka Dan Jaminan Sewa,Hasil Pengembalian Uang Muka Dan Jaminan Sewa,Properti Investasi:,Penjualan Properti Investasi,Penambahan Properti Investasi,Total Properti Investasi:,Penerimaan Dividen Tunai Dari Entitas Asosiasi,Hasil Penjualan :,Investasi Entitas Anak,Investasi Jangka Panjang Lainnya-Bersih,Aset Transaksi Restrukturisasi Entitas Sepengendali,Investasi Perusahaan Asosiasi - Bersih,Total Hasil Penjualan :,Pembelian Investasi Jangka Panjang Lainnya,Penambahan /Pengurangan Aset Lancar Lainnya-Bersih,Penambahan / Pengurangan Aset Tidak Lancar Lainnya,Pengurangan Utang Lain-Lain Atas Pengembalian Dana Escrow,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kepada:,Pemilik Entitas Induk,Kepentingan Non-Pengendali,Pemegang Saham Minoritas Anak Perusahaan,Total Pembayaran Dividen Kepada:,Pembayaran Penurunan Nilai Saham,Pinjaman Jangka Panjang:,Penerimaan,Pembayaran,Total Pinjaman Jangka Panjang:,Pendapatan Bunga,Beban Bunga Dan Pendanaan Lainnya,Penambahan (Pengurangan) Utang Pihak Berelasi Non-Usaha,Penambahan Utang Lain-Lain,Penambahan Modal Entitas Anak Dari Pihak Non-Pengendali,Penerimaan Dari Penerbitan Notes,Penerimaan Dari Penerbitan Obligasi,Penerimaan Dari Waran,Pengeluaran Penawaran Umum Terbatas Kepada Pemegang Saham,Penerimaan Penawaran Umum Terbatas Kepada Pemegang Saham,Pembayaran Notes,Pembayaran Kas Untuk Bagian Pokok Liabilitas Sewa,Pembayaran Obligasi Dan Sukuk,Pengeluaran Dari Beban Emisi Notes,Pengeluaran Dari Beban Emisi Obligasi,Biaya Emisi Saham,Pembelian Kembali Notes,Pembelian Kembali Obligasi,Penerimaan Dari Penawaran Umum Terbatas Vi,Penerimaan Dari Pmhmetd Vii,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Entitas Anak Yang Tidak Lagi Dikonsolidasi,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,753074000000.000000,,12028146000000.000000,68139000000.000000,12096285000000.000000,,-8711361000000.000000,-212293000000.000000,-783272000000.000000,-31581000000.000000,-607721000000.000000,-10346228000000.000000,,,-514206000000.000000,,366183000000.000000,-848960000000.000000,753074000000.000000,-1950107000000.000000,,90452000000.000000,-827780000000.000000,-737328000000.000000,,8234000000.000000,-193258000000.000000,-185024000000.000000,-339684000000.000000,,,,,-669256000000.000000,,,,,,5000000000.000000,,,,,,,,-4980000000.000000,-18835000000.000000,,-1950107000000.000000,175291000000.000000,,-51903000000.000000,,,-51903000000.000000,,,1265670000000.000000,-593370000000.000000,672300000000.000000,233763000000.000000,-392850000000.000000,-1784000000.000000,,,,,,,,-277235000000.000000,,-7000000000.000000,,,,,,,,175291000000.000000,-1021742000000.000000,2764408000000.000000,,,1742666000000.000000
12M 2009,1229946000000.000000,,13815095000000.000000,60916000000.000000,13876011000000.000000,,-10774226000000.000000,-341740000000.000000,-829057000000.000000,-18159000000.000000,-884046000000.000000,-12847228000000.000000,,,558443000000.000000,,346759000000.000000,-704039000000.000000,1229946000000.000000,-1431236000000.000000,,1825920000000.000000,-1840203000000.000000,-14283000000.000000,,7140000000.000000,-247196000000.000000,-240056000000.000000,-277995000000.000000,,,,,-891600000000.000000,,,,,,,,,100000000.000000,210834000000.000000,52001000000.000000,262935000000.000000,,10175000000.000000,25621000000.000000,-306033000000.000000,-1431236000000.000000,710797000000.000000,,,,-2500000000.000000,-2500000000.000000,,,2070043000000.000000,-1692693000000.000000,377350000000.000000,351173000000.000000,-609232000000.000000,2377000000.000000,,,1091975000000.000000,528000000000.000000,8237000000.000000,-18918000000.000000,709000000.000000,-553820000000.000000,,-443000000000.000000,-13672000000.000000,-7882000000.000000,,,,,,710797000000.000000,509507000000.000000,1742666000000.000000,,,2252173000000.000000
12M 2010,571896000000.000000,,9552033000000.000000,185883000000.000000,9737916000000.000000,,-7159255000000.000000,-512008000000.000000,-490085000000.000000,,-520445000000.000000,-8681793000000.000000,,,-6744000000.000000,,385385000000.000000,-862868000000.000000,571896000000.000000,4577161000000.000000,,806778000000.000000,-1033053000000.000000,-226275000000.000000,,21411000000.000000,-98908000000.000000,-77497000000.000000,-137575000000.000000,,,,,-15915000000.000000,,,,,,,,5048158000000.000000,,,,5048158000000.000000,,-28900000000.000000,15165000000.000000,,4577161000000.000000,-4497478000000.000000,,-2014943000000.000000,,-10998000000.000000,-2025941000000.000000,,,639730000000.000000,-1915000000000.000000,-1275270000000.000000,304756000000.000000,-385487000000.000000,764000000.000000,,,,,769925000000.000000,,,-1886225000000.000000,,,,,,,,,,-4497478000000.000000,651579000000.000000,2252173000000.000000,-338517000000.000000,,2565235000000.000000
12M 2011,197687000000.000000,,9253744000000.000000,213368000000.000000,9467112000000.000000,,-7704032000000.000000,-428412000000.000000,-470469000000.000000,,-521788000000.000000,-9124701000000.000000,,,6458000000.000000,,446163000000.000000,-597345000000.000000,197687000000.000000,170952000000.000000,,1346872000000.000000,-346353000000.000000,1000519000000.000000,,14500000000.000000,-340856000000.000000,-326356000000.000000,,,,,,-546974000000.000000,,,,,,,,,196465000000.000000,,,196465000000.000000,,-1645000000.000000,-151057000000.000000,,170952000000.000000,-1529273000000.000000,,-2581422000000.000000,-9998000000.000000,,-2591420000000.000000,,,2745000000000.000000,-1640000000000.000000,1105000000000.000000,174496000000.000000,-214481000000.000000,-2868000000.000000,,,,,,,,,,,,,,,,,,-1529273000000.000000,-1160634000000.000000,2565235000000.000000,,-1526000000.000000,1403075000000.000000
12M 2012,395213000000.000000,,10868826000000.000000,272758000000.000000,11141584000000.000000,,-9253861000000.000000,-631682000000.000000,-608109000000.000000,-13726000000.000000,-559196000000.000000,-11066574000000.000000,,,,,1121131000000.000000,-800928000000.000000,395213000000.000000,2819419000000.000000,,204489000000.000000,-84000000000.000000,120489000000.000000,,90339000000.000000,-381527000000.000000,-291188000000.000000,,,,,-7178000000.000000,-280866000000.000000,304637000000.000000,,45000000000.000000,-470000000.000000,44530000000.000000,5000000000.000000,,1939274000000.000000,,,,1939274000000.000000,,-11141000000.000000,995862000000.000000,,2819419000000.000000,-2786347000000.000000,,-32268000000.000000,-15117000000.000000,,-47385000000.000000,-2420083000000.000000,,1140000000000.000000,-1090000000000.000000,50000000000.000000,167170000000.000000,-233380000000.000000,37331000000.000000,,,,,,,,,,-340000000000.000000,,,,,,,,-2786347000000.000000,428285000000.000000,1403075000000.000000,-475626000000.000000,6002000000.000000,1361736000000.000000
12M 2013,1099595000000.000000,,11922235000000.000000,123032000000.000000,12045267000000.000000,,-10059857000000.000000,-454587000000.000000,-662855000000.000000,,-322594000000.000000,-11499893000000.000000,,,,,1009019000000.000000,-454798000000.000000,1099595000000.000000,1658770000000.000000,,1491000000000.000000,,1491000000000.000000,,1099000000.000000,-299042000000.000000,-297943000000.000000,,,-4604000000.000000,-4604000000.000000,-17679000000.000000,-185464000000.000000,790203000000.000000,,,,,,,,,,,,,5208000000.000000,-121951000000.000000,,1658770000000.000000,-2818089000000.000000,,-1000301000000.000000,,,-1000301000000.000000,,,300000000000.000000,-2116570000000.000000,-1816570000000.000000,96614000000.000000,-97832000000.000000,,,,,,,,,,,,,,,,,,,-2818089000000.000000,-59724000000.000000,1361736000000.000000,,598000000.000000,1302610000000.000000
12M 2014,490349000000.000000,,13592940000000.000000,138922000000.000000,13731862000000.000000,,-11709095000000.000000,-635094000000.000000,-808548000000.000000,-53042000000.000000,-589675000000.000000,-13795454000000.000000,,,,,1131948000000.000000,-578007000000.000000,490349000000.000000,130048000000.000000,,62980000000.000000,,62980000000.000000,,1509000000.000000,-110888000000.000000,-109379000000.000000,,,-3453000000.000000,-3453000000.000000,25472000000.000000,-152416000000.000000,759073000000.000000,,,,,,,,2000000.000000,,,2000000.000000,,-21139000000.000000,-431092000000.000000,,130048000000.000000,-1175519000000.000000,,-1000301000000.000000,,,-1000301000000.000000,,,,,,34644000000.000000,-21862000000.000000,,,,,,,,,,,-188000000000.000000,,,,,,,,-1175519000000.000000,-555122000000.000000,1302610000000.000000,,222000000.000000,747710000000.000000
12M 2015,-141062000000.000000,,13934177000000.000000,208066000000.000000,14142243000000.000000,,-11822331000000.000000,-644101000000.000000,-956249000000.000000,-143328000000.000000,-752623000000.000000,-14318632000000.000000,,,,,646027000000.000000,-610700000000.000000,-141062000000.000000,-582865000000.000000,,,,,,4211000000.000000,-130292000000.000000,-126081000000.000000,,,,,-73000000.000000,-65261000000.000000,1052000000.000000,,,,,,,,-31750000000.000000,,,-31750000000.000000,,17936000000.000000,-378688000000.000000,,-582865000000.000000,385294000000.000000,,-231252000000.000000,,,-231252000000.000000,,,650000000000.000000,,650000000000.000000,11131000000.000000,-44585000000.000000,,,,,,,,,,,,,,,,,,,385294000000.000000,-338633000000.000000,747710000000.000000,,-132000000.000000,408945000000.000000
12M 2016,582579000000.000000,,13506803000000.000000,193209000000.000000,13700012000000.000000,,-10928220000000.000000,-518057000000.000000,-952378000000.000000,-57284000000.000000,-740032000000.000000,-13195971000000.000000,,,,,723972000000.000000,-645434000000.000000,582579000000.000000,-627666000000.000000,,,,,,1715000000.000000,-93448000000.000000,-91733000000.000000,,,-4000000.000000,-4000000.000000,-143000000.000000,-52229000000.000000,7971000000.000000,,,,,,,,-158010000000.000000,,,-158010000000.000000,,1131000000.000000,-334649000000.000000,,-627666000000.000000,-115225000000.000000,,-139827000000.000000,,,-139827000000.000000,,,100000000000.000000,,100000000000.000000,6931000000.000000,-82329000000.000000,,,,,,,,,,,,,,,,,,,-115225000000.000000,-160312000000.000000,408945000000.000000,,64000000.000000,248697000000.000000
12M 2017,-142531000000.000000,,12541284000000.000000,135185000000.000000,12676469000000.000000,,-11307015000000.000000,-527400000000.000000,-966526000000.000000,-63031000000.000000,-747150000000.000000,-13611122000000.000000,,,,,1360474000000.000000,-568352000000.000000,-142531000000.000000,-375850000000.000000,,,,,,1976000000.000000,-57372000000.000000,-55396000000.000000,,,-2506000000.000000,-2506000000.000000,-225000000.000000,-16389000000.000000,4107000000.000000,,,,,,,,-121179000000.000000,,,-121179000000.000000,,19000000.000000,-184281000000.000000,,-375850000000.000000,642668000000.000000,,,,,,,,740000000000.000000,,740000000000.000000,7545000000.000000,-104877000000.000000,,,,,,,,,,,,,,,,,,,642668000000.000000,124287000000.000000,248697000000.000000,,24000000.000000,373008000000.000000
