Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Derivatif,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,8907959039.000000,207402875110.000000,16377178716.000000,191025696394.000000,207402875110.000000,454266431.000000,,,454266431.000000,245088171071.000000,13000583026.000000,474853854677.000000,,,318676623016.000000,2432994190.000000,,,34086067009.000000,355195684215.000000,830049538892.000000,,,277815142643.000000,179952851760.000000,,15979327387.000000,52699725065.000000,68679052452.000000,17511779387.000000,1364788062.000000,,,1364788062.000000,,10306670982.000000,,,,,,,277815142643.000000,37760602234.000000,22572802656.000000,,,,,,15187799578.000000,37760602234.000000,315575744877.000000,,143966886000.000000,19395349853.000000,302036394724.000000,3000000000.000000,299036394724.000000,302036394724.000000,,31288970925.000000,17786192513.000000,514473794015.000000,830049538892.000000,1439668860.000000
12M 2008,,,13616224914.000000,243397543665.000000,12887735652.000000,230509808013.000000,243397543665.000000,1019208716.000000,,,1019208716.000000,286370184563.000000,10811555628.000000,555214717486.000000,,,358494769438.000000,2432994190.000000,,,13610702659.000000,374538466287.000000,929753183773.000000,,,305410849490.000000,189828274652.000000,,19437049671.000000,51339561634.000000,70776611305.000000,28099370625.000000,4825724472.000000,,,4825724472.000000,,11880868436.000000,,,,,,,305410849490.000000,35878365244.000000,18193733997.000000,,,,,,17684631247.000000,35878365244.000000,341289214734.000000,,143966886000.000000,19395349853.000000,366495266489.000000,28793377200.000000,337701889289.000000,366495266489.000000,,41322511759.000000,17283954938.000000,588463969039.000000,929753183773.000000,1439668860.000000
12M 2009,,,8680070248.000000,278344486082.000000,48949838138.000000,229394647944.000000,278344486082.000000,753582754.000000,,,753582754.000000,254929357536.000000,32182338956.000000,574889835576.000000,,,341364253389.000000,2432994190.000000,,,22964192847.000000,366761440426.000000,941651276002.000000,,,362255240112.000000,163718149855.000000,,32607111352.000000,128196428347.000000,160803539699.000000,24214528328.000000,,,,,,13004555830.000000,,,,,,514466400.000000,362255240112.000000,35141995504.000000,12743289601.000000,,,,,,22398705903.000000,35141995504.000000,397397235616.000000,,143966886000.000000,19395349853.000000,319386934027.000000,28893377200.000000,290493556827.000000,319386934027.000000,,45573959810.000000,15930910696.000000,544254040386.000000,941651276002.000000,1439668860.000000
12M 2010,,,14305267597.000000,313677087848.000000,47278062354.000000,266399025494.000000,313677087848.000000,445709305.000000,,,445709305.000000,307043616019.000000,26226627164.000000,661698307933.000000,,,376794731615.000000,2432994190.000000,,,26177215793.000000,405404941598.000000,1067103249531.000000,,,304354095506.000000,41020976059.000000,,25031647276.000000,99802638799.000000,124834286075.000000,46356880537.000000,,,,,,12564076225.000000,,,79577876610.000000,,79577876610.000000,,304354095506.000000,194273788621.000000,7462571564.000000,,,158702673119.000000,,158702673119.000000,28108543938.000000,194273788621.000000,498627884127.000000,,143966886000.000000,19395349853.000000,340236848615.000000,28993377200.000000,311243471415.000000,340236848615.000000,,48303419199.000000,16572861737.000000,568475365404.000000,1067103249531.000000,1439668860.000000
12M 2011,,,16616294713.000000,357904767353.000000,44454339780.000000,313450427573.000000,357904767353.000000,348303427.000000,,,348303427.000000,324505617528.000000,19565795689.000000,718940778710.000000,,,397702004051.000000,2432994190.000000,,,17782165430.000000,417917163671.000000,1136857942381.000000,,,264727968142.000000,103210020285.000000,,18963562409.000000,67505965249.000000,86469527658.000000,52431652552.000000,,,,,3217034554.000000,19399733093.000000,,,,,,,264727968142.000000,201517632260.000000,6250665737.000000,,,159278486645.000000,,159278486645.000000,35988479878.000000,201517632260.000000,466245600402.000000,,143966886000.000000,19395349853.000000,426725908192.000000,28993377200.000000,397732530992.000000,426725908192.000000,,64748638533.000000,15775559401.000000,670612341979.000000,1136857942381.000000,1439668860.000000
12M 2012,,,59381305253.000000,429229274900.000000,57427103244.000000,371802171656.000000,429229274900.000000,1579028220.000000,,,1579028220.000000,381656722612.000000,27432945903.000000,899279276888.000000,,557194944.000000,488863243722.000000,2432994190.000000,,,50071763846.000000,541925196702.000000,1441204473590.000000,,,462534538242.000000,111592691655.000000,,22009990835.000000,84165732532.000000,106175723367.000000,47066611378.000000,,,,,,32236907470.000000,,62500000000.000000,79879611857.000000,,142379611857.000000,23082992515.000000,462534538242.000000,158341331840.000000,2615067459.000000,,31250000000.000000,79724983393.000000,,110974983393.000000,44751280988.000000,158341331840.000000,620875870082.000000,,143966886000.000000,42407264036.000000,458870636217.000000,28993377200.000000,429877259017.000000,458870636217.000000,,175083817255.000000,,820328603508.000000,1441204473590.000000,1439668860.000000
12M 2013,,,93398584508.000000,558146976937.000000,24916176240.000000,533230800697.000000,558146976937.000000,2880295851.000000,2751093196.000000,129202655.000000,2880295851.000000,397738160890.000000,44988019236.000000,1097152037422.000000,,5584112605.000000,492164737137.000000,,36037450628.000000,,70164907384.000000,603951207754.000000,1701103245176.000000,,,523047319216.000000,146159961277.000000,,18879770361.000000,145089975845.000000,163969746206.000000,46126784476.000000,,1742569078.000000,302324669.000000,2044893747.000000,8371994783.000000,52802549511.000000,,66250000000.000000,,,66250000000.000000,37321389216.000000,523047319216.000000,171256915653.000000,,,35000000000.000000,79815253446.000000,,114815253446.000000,56441662207.000000,171256915653.000000,694304234869.000000,,143966886000.000000,49206731626.000000,644385525574.000000,28993377200.000000,615392148374.000000,644385525574.000000,,169239867107.000000,,1006799010307.000000,1701103245176.000000,1439668860.000000
12M 2014,,,75860000000.000000,574052000000.000000,12708000000.000000,561344000000.000000,574052000000.000000,611000000.000000,362000000.000000,249000000.000000,611000000.000000,432027000000.000000,51180000000.000000,1133730000000.000000,,14024000000.000000,492897000000.000000,,34569000000.000000,,74175000000.000000,615665000000.000000,1749395000000.000000,,,536800000000.000000,132148000000.000000,,10287000000.000000,142079000000.000000,152366000000.000000,32724000000.000000,,3616000000.000000,15000000.000000,3631000000.000000,6366000000.000000,48804000000.000000,,47500000000.000000,79908000000.000000,,127408000000.000000,33353000000.000000,536800000000.000000,65758000000.000000,,,,,,,65758000000.000000,65758000000.000000,602558000000.000000,,143967000000.000000,49692000000.000000,811361000000.000000,28993000000.000000,782368000000.000000,811361000000.000000,,141817000000.000000,,1146837000000.000000,1749395000000.000000,1439668860.000000
12M 2015,,,122963000000.000000,599855000000.000000,8033000000.000000,591822000000.000000,599855000000.000000,14149000000.000000,14086000000.000000,63000000.000000,14149000000.000000,560755000000.000000,70836000000.000000,1368558000000.000000,,34924000000.000000,714935000000.000000,,32066000000.000000,,69625000000.000000,851550000000.000000,2220108000000.000000,,,571712000000.000000,77355000000.000000,,13444000000.000000,163307000000.000000,176751000000.000000,43213000000.000000,,50089000000.000000,30000000.000000,50119000000.000000,,37076000000.000000,,139073000000.000000,,2287000000.000000,141360000000.000000,45838000000.000000,571712000000.000000,208148000000.000000,7333000000.000000,,93015000000.000000,,1953000000.000000,94968000000.000000,105847000000.000000,208148000000.000000,779860000000.000000,,143967000000.000000,49692000000.000000,1033892000000.000000,28993000000.000000,1004899000000.000000,1033892000000.000000,,220456000000.000000,-7759000000.000000,1440248000000.000000,2220108000000.000000,1439668860.000000
12M 2016,,,96510000000.000000,728221000000.000000,10354000000.000000,717867000000.000000,728221000000.000000,3939000000.000000,3702000000.000000,237000000.000000,3939000000.000000,555341000000.000000,70376000000.000000,1454387000000.000000,,35107000000.000000,658258000000.000000,,19748000000.000000,,87240000000.000000,800353000000.000000,2254740000000.000000,,,508482000000.000000,105497000000.000000,,32744000000.000000,213074000000.000000,245818000000.000000,37703000000.000000,,9928000000.000000,122000000.000000,10050000000.000000,,55422000000.000000,,7593000000.000000,,2369000000.000000,9962000000.000000,44030000000.000000,508482000000.000000,166203000000.000000,,,38118000000.000000,,3578000000.000000,41696000000.000000,124507000000.000000,166203000000.000000,674685000000.000000,,143967000000.000000,49899000000.000000,1192888000000.000000,28993000000.000000,1163895000000.000000,1192888000000.000000,,202292000000.000000,-8991000000.000000,1580055000000.000000,2254740000000.000000,5758675440.000000
12M 2017,,,71000000000.000000,767169000000.000000,59509000000.000000,707660000000.000000,767169000000.000000,2138000000.000000,2024000000.000000,114000000.000000,2138000000.000000,657257000000.000000,72546000000.000000,1570110000000.000000,,39345000000.000000,683803000000.000000,62955000000.000000,23901000000.000000,,63227000000.000000,873231000000.000000,2443341000000.000000,,,419913000000.000000,54332000000.000000,,30623000000.000000,163609000000.000000,194232000000.000000,43459000000.000000,,6032000000.000000,8000000.000000,6040000000.000000,,59006000000.000000,,8660000000.000000,,3158000000.000000,11818000000.000000,51026000000.000000,419913000000.000000,195244000000.000000,,,33431000000.000000,,6347000000.000000,39778000000.000000,155466000000.000000,195244000000.000000,615157000000.000000,,143967000000.000000,49899000000.000000,1392022000000.000000,28993000000.000000,1363029000000.000000,1392022000000.000000,,236351000000.000000,5945000000.000000,1828184000000.000000,2443341000000.000000,5758675440.000000
