Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,1064055094611.000000,-820276078899.000000,243779015712.000000,-93899617204.000000,-55427419246.000000,-38367968086.000000,-104229872.000000,-93899617204.000000,149879398508.000000,-19261970599.000000,549750493.000000,-13223890202.000000,-9073330875.000000,2485499985.000000,-19261970599.000000,130617427909.000000,-42054634409.000000,-37718481400.000000,-4336153009.000000,-42054634409.000000,88562793500.000000,-8237828290.000000,,80324965210.000000,,,,,80324965210.000000,88562793500.000000,-8237828290.000000,,,80324965210.000000,,,,,
12M 2008,1353586085743.000000,-1024832073460.000000,328754012283.000000,-114690463616.000000,-70079667543.000000,-45726984524.000000,1116188451.000000,-114690463616.000000,214063548667.000000,-70440033685.000000,1522771250.000000,-59176626398.000000,-21022377485.000000,8236198948.000000,-70440033685.000000,143623514982.000000,-42118055642.000000,-46497124300.000000,4379068658.000000,-42118055642.000000,101505459340.000000,-10033540834.000000,,91471918506.000000,,,,,91471918506.000000,101505459340.000000,-10033540834.000000,,,91471918506.000000,,,,,
12M 2009,1374651605661.000000,-1058386588783.000000,316265016878.000000,-113708522342.000000,-76089086395.000000,-50396551937.000000,12777115990.000000,-113708522342.000000,202556494536.000000,-16695117784.000000,1947521486.000000,-9206276862.000000,7284970877.000000,-16721333285.000000,-16695117784.000000,185861376752.000000,-42909653664.000000,-48360098060.000000,5450444396.000000,-42909653664.000000,142951723088.000000,-10101448050.000000,,132850275038.000000,,,,,132850275038.000000,142951723088.000000,-10101448050.000000,,,132850275038.000000,,,,,
12M 2010,1561786956669.000000,-1192997424382.000000,368789532287.000000,-137072794666.000000,-77869011288.000000,-63075181999.000000,3871398621.000000,-137072794666.000000,231716737621.000000,-26951849531.000000,1603136072.000000,-4725418524.000000,,-23829567079.000000,-26951849531.000000,204764888090.000000,-39915316713.000000,-45196034750.000000,5280718037.000000,-39915316713.000000,164849571377.000000,-14429459389.000000,,150420111988.000000,,,,,150420111988.000000,164849571377.000000,-14429459389.000000,,,150420111988.000000,,,,,
12M 2011,1807890780238.000000,-1347221072817.000000,460669707421.000000,-156377595449.000000,-88659610019.000000,-75504520791.000000,7786535361.000000,-156377595449.000000,304292111972.000000,-24694081338.000000,1797431355.000000,-28401310609.000000,,1909797916.000000,-24694081338.000000,279598030634.000000,-60337544674.000000,-61549450500.000000,1211905826.000000,-60337544674.000000,219260485960.000000,,,219260485960.000000,,,,219260485960.000000,219260485960.000000,200865266626.000000,18395219334.000000,,,219260485960.000000,219260485960.000000,200865266626.000000,18395219334.000000,,219260485960.000000
12M 2012,2163842229019.000000,-1617273517537.000000,546568711482.000000,-184713248411.000000,-103135817221.000000,-80451439094.000000,-1125992096.000000,-184713248411.000000,361855463071.000000,-17134101311.000000,2292877139.000000,-29597455959.000000,-1133051136.000000,11303528645.000000,-17134101311.000000,344721361760.000000,-76178030268.000000,-80562549000.000000,4384518732.000000,-76178030268.000000,268543331492.000000,,,268543331492.000000,,,,268543331492.000000,268543331492.000000,233209607910.000000,35333723582.000000,,,268543331492.000000,268543331492.000000,233209607910.000000,35333723582.000000,,268543331492.000000
12M 2013,2372982726295.000000,-1735273675627.000000,637709050668.000000,-147930337136.000000,-111535903365.000000,-104928486571.000000,68534052800.000000,-147930337136.000000,489778713532.000000,-31183295647.000000,3218665383.000000,-30304009765.000000,-4097951265.000000,,-31183295647.000000,458595417885.000000,-107817613944.000000,,,-107817613944.000000,350777803941.000000,,-12555011632.000000,338222792309.000000,,,,338222792309.000000,338222792309.000000,320441754089.000000,30336049852.000000,-12555011632.000000,,338222792309.000000,338222792309.000000,320441754089.000000,30336049852.000000,-12555011632.000000,338222792309.000000
12M 2014,2632860000000.000000,-1847890000000.000000,784970000000.000000,-218805000000.000000,-123582000000.000000,-113319000000.000000,18096000000.000000,-218805000000.000000,566165000000.000000,-25015000000.000000,4922000000.000000,-28469000000.000000,-1468000000.000000,,-25015000000.000000,541150000000.000000,-119683000000.000000,,,-119683000000.000000,421467000000.000000,,-1031000000.000000,420436000000.000000,,,,420436000000.000000,420436000000.000000,391155000000.000000,30312000000.000000,-1031000000.000000,,420436000000.000000,420436000000.000000,390124000000.000000,30312000000.000000,,420436000000.000000
12M 2015,2802924000000.000000,-1933387000000.000000,869537000000.000000,-266540000000.000000,-161496000000.000000,-127337000000.000000,22293000000.000000,-266540000000.000000,602997000000.000000,-19280000000.000000,4280000000.000000,-25420000000.000000,1860000000.000000,,-19280000000.000000,583717000000.000000,-122410000000.000000,,,-122410000000.000000,461307000000.000000,,,461307000000.000000,-15219000000.000000,-15219000000.000000,-15219000000.000000,446088000000.000000,461307000000.000000,427628000000.000000,33679000000.000000,,,461307000000.000000,446088000000.000000,416936000000.000000,29152000000.000000,,446088000000.000000
12M 2016,2879876000000.000000,-1945735000000.000000,934141000000.000000,-266084000000.000000,-160375000000.000000,-144759000000.000000,39050000000.000000,-266084000000.000000,668057000000.000000,-9849000000.000000,3402000000.000000,-15438000000.000000,2187000000.000000,,-9849000000.000000,658208000000.000000,-156016000000.000000,,,-156016000000.000000,502192000000.000000,,,502192000000.000000,-27693000000.000000,,-27693000000.000000,474499000000.000000,502192000000.000000,452885000000.000000,49307000000.000000,,,502192000000.000000,474499000000.000000,437599000000.000000,36900000000.000000,,474499000000.000000
12M 2017,3339964000000.000000,-2333049000000.000000,1006915000000.000000,-284062000000.000000,-178480000000.000000,-152812000000.000000,47230000000.000000,-284062000000.000000,722853000000.000000,-2215000000.000000,3247000000.000000,-9616000000.000000,4154000000.000000,,-2215000000.000000,720638000000.000000,-165250000000.000000,,,-165250000000.000000,555388000000.000000,,,555388000000.000000,7914000000.000000,,7914000000.000000,563302000000.000000,555388000000.000000,499430000000.000000,55958000000.000000,,,555388000000.000000,563302000000.000000,502004000000.000000,61298000000.000000,,563302000000.000000
12M 2018,3933353000000.000000,-2740108000000.000000,1193245000000.000000,-361376000000.000000,-198252000000.000000,-176609000000.000000,13485000000.000000,-361376000000.000000,831869000000.000000,-3588000000.000000,2745000000.000000,-9822000000.000000,3489000000.000000,,-3588000000.000000,828281000000.000000,-194731000000.000000,,,-194731000000.000000,633550000000.000000,,,633550000000.000000,17748000000.000000,,17748000000.000000,651298000000.000000,633550000000.000000,556904000000.000000,76646000000.000000,,,633550000000.000000,651298000000.000000,570817000000.000000,80481000000.000000,,651298000000.000000
12M 2019,3935811000000.000000,-2744171000000.000000,1191640000000.000000,-368872000000.000000,-200531000000.000000,-198995000000.000000,30654000000.000000,-368872000000.000000,822768000000.000000,-726000000.000000,1672000000.000000,-7310000000.000000,4912000000.000000,,-726000000.000000,822042000000.000000,-183366000000.000000,,,-183366000000.000000,638676000000.000000,,,638676000000.000000,-20560000000.000000,,-20560000000.000000,618116000000.000000,638676000000.000000,577522000000.000000,61154000000.000000,,,638676000000.000000,618116000000.000000,559951000000.000000,58165000000.000000,,618116000000.000000
12M 2020,3233693000000.000000,-2196408000000.000000,1037285000000.000000,-343841000000.000000,-184756000000.000000,-174015000000.000000,14930000000.000000,-343841000000.000000,693444000000.000000,-9176000000.000000,6438000000.000000,-18553000000.000000,2939000000.000000,,-9176000000.000000,684268000000.000000,-145152000000.000000,,,-145152000000.000000,539116000000.000000,,,539116000000.000000,16292000000.000000,,16292000000.000000,555408000000.000000,539116000000.000000,487742000000.000000,51374000000.000000,,,539116000000.000000,555408000000.000000,501369000000.000000,54039000000.000000,,555408000000.000000
12M 2021,4162931000000.000000,-2825555000000.000000,1337376000000.000000,-406536000000.000000,-221827000000.000000,-209757000000.000000,25048000000.000000,-406536000000.000000,930840000000.000000,-8672000000.000000,7266000000.000000,-19040000000.000000,3102000000.000000,,-8672000000.000000,922168000000.000000,-193905000000.000000,,,-193905000000.000000,728263000000.000000,,,728263000000.000000,-18515000000.000000,,-18515000000.000000,709748000000.000000,728263000000.000000,662041000000.000000,66222000000.000000,,,728263000000.000000,709748000000.000000,649568000000.000000,60180000000.000000,,709748000000.000000
