Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pendapatan Bunga,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Keuangan,Pembayaran Kepada Pemerintah,Kegiatan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Dari Bank Yang Dibatasi Penggunaannya,Penempatan Pada Bank Yang Dibatasi Penggunaannya,Perolehan Aset Tak Berwujud,Aset Lain-Lain,Penambahan Investasi Pada Entitas Anak Dari Transaksi Dengan Kepentingan Nonpengendali,Laba (Rugi) Atas Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Pembayaran Untuk Perolehan Entitas Anak,Penambahan Beban Proyek Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Perolehan Dari Penawaran Umum Perdana Saham,Setoran Modal Entitas Anak Dari Kepentingan Nonpengendali,Beban Emisi Saham,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Bank Jangka Panjang,Pembiayaan,Penerimaan Utang Bank,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Penghasilan Komprehensif Lain,Divestasi Saham,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,-11555549571.000000,131836347707.000000,56262626.000000,-118836684289.000000,-5081720616.000000,-8967870340.000000,-2532814799.000000,-8029069860.000000,-11555549571.000000,-16350999585.000000,,-14986051579.000000,,,,,,-1364948006.000000,,,-16350999585.000000,31465549133.000000,,,1650000000.000000,,-3786862262.000000,-5214184044.000000,,,40466595439.000000,,-1650000000.000000,,,,,,,31465549133.000000,3558999977.000000,7255745290.000000,,10814745267.000000
12M 2018,-94882320599.000000,196227908850.000000,353504344.000000,-257046757503.000000,-12008296356.000000,-11492167076.000000,-3015824322.000000,-7900688536.000000,-94882320599.000000,1024493585.000000,14986051479.000000,-8190367027.000000,-2591731804.000000,,-2388000000.000000,,,-791459063.000000,,,1024493585.000000,101263892324.000000,67000000000.000000,45000000000.000000,12000000.000000,-6685200000.000000,-4522656247.000000,-3788654861.000000,,,-1901596568.000000,6150000000.000000,,,,,,,,101263892324.000000,7406065310.000000,10814745367.000000,,18220810677.000000
12M 2019,42720961748.000000,191773330873.000000,976890245.000000,-122088577003.000000,-7924348652.000000,-7036894698.000000,-1688890094.000000,-11290548923.000000,42720961748.000000,-52226250583.000000,,-6629928681.000000,,,,3006034000.000000,-9854874797.000000,-28572481105.000000,-10175000000.000000,,-52226250583.000000,4600260912.000000,474800800.000000,,,,-3797432897.000000,19509925623.000000,,,-11465663029.000000,,,-121369585.000000,,,,,,4600260912.000000,-4905027923.000000,18220810677.000000,,13315782754.000000
12M 2020,-31016760178.000000,72466799740.000000,365357622.000000,-65007509215.000000,-13881239999.000000,-16028541206.000000,186479013.000000,-9118106133.000000,-31016760178.000000,-1500426261.000000,,,-656000000.000000,,,682500000.000000,-186846236.000000,-1206247365.000000,,-133832660.000000,-1500426261.000000,21924813657.000000,800017100.000000,696014878.000000,,,-3012619659.000000,5507607553.000000,,,16126453583.000000,,,-601527328.000000,,,,,2408867530.000000,21924813657.000000,-10592372782.000000,13315782754.000000,,2723409972.000000
12M 2021,-9139688431.000000,80290852050.000000,10681132.000000,-68888740700.000000,-12324641972.000000,-5706589241.000000,1269991219.000000,-3791240919.000000,-9139688431.000000,-977740764.000000,,,,,,50400000.000000,-148739764.000000,-879401000.000000,,,-977740764.000000,10738278640.000000,2510059860.000000,,,,-2150037344.000000,-1448232473.000000,,,,,,,,,,11826488597.000000,,10738278640.000000,620849445.000000,2723409973.000000,,3344259418.000000
12M 2022,-27541264257.000000,64223681291.000000,,-91764945548.000000,,,,,-27541264257.000000,22835503752.000000,,,563750000.000000,261172500.000000,,,,22010581252.000000,,,22835503752.000000,3656222629.000000,,,,,-2115157492.000000,1740682832.000000,,,,,,1729816605.000000,69341392.000000,456261591.000000,,1775277701.000000,,3656222629.000000,-1049537876.000000,3344259421.000000,,2294721545.000000
