Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,146174365817.000000,-122006464446.000000,24167901371.000000,-15373064525.000000,-1125390348.000000,-14247674177.000000,-15373064525.000000,8794836846.000000,-7662396462.000000,-6392294555.000000,,402419124.000000,56262626.000000,,-1728783657.000000,-7662396462.000000,,1132440384.000000,-1385042604.000000,-252602220.000000,661791418.000000,409189198.000000,-252602220.000000,431250349.000000,-683852569.000000,,-252602220.000000,409189198.000000,1093041767.000000,-683852569.000000,409189198.000000
12M 2018,236184959298.000000,-197520078346.000000,38664880952.000000,-25699911324.000000,-5263281142.000000,-20436630182.000000,-25699911324.000000,12964969628.000000,-8141446684.000000,-9577914283.000000,,2891589172.000000,353504344.000000,,-1808625917.000000,-8141446684.000000,,4823522944.000000,-1907799673.000000,2915723271.000000,782470522.000000,3698193793.000000,2915723271.000000,3000504503.000000,-84781232.000000,,2915723271.000000,3698193793.000000,3782975025.000000,-84781232.000000,3698193793.000000
12M 2019,144400863183.000000,-114240466085.000000,30160397098.000000,-23368285836.000000,-3013305703.000000,-20354980133.000000,-23368285836.000000,6792111262.000000,-5878324326.000000,-5090457555.000000,428344387.000000,662379597.000000,976890245.000000,,-2855481000.000000,-5878324326.000000,,721971451.000000,-868670590.000000,-146699139.000000,1124382622.000000,977683483.000000,-146699139.000000,-166294972.000000,19595833.000000,,-146699139.000000,977683483.000000,958087650.000000,19595833.000000,977683483.000000
12M 2020,71141862149.000000,-81785227387.000000,-10643365238.000000,-35124029776.000000,-2347633347.000000,-32776396429.000000,-35124029776.000000,-45767395014.000000,-15831428922.000000,-14025290937.000000,434462112.000000,-28031908.000000,365357622.000000,,-2577925811.000000,-15831428922.000000,,-61865196191.000000,10174967276.000000,-51690228915.000000,,-51690228915.000000,-51690228917.000000,-50899580627.000000,-790648290.000000,,-51690228917.000000,-51690228917.000000,-50899580627.000000,-790648290.000000,-51690228917.000000
12M 2021,86034518419.000000,-89198473152.000000,-3163954733.000000,-19390458851.000000,-1426205125.000000,-17964253726.000000,-19390458851.000000,-22554413584.000000,-8427971751.000000,-8100209533.000000,-166035665.000000,116399015.000000,10681136.000000,-837296219.000000,548489515.000000,-8427971751.000000,,-31136111147.000000,2728251411.000000,-28407859736.000000,1481371074.000000,-26926488662.000000,-28407859735.000000,-28233723591.000000,-174136144.000000,,-28407859735.000000,-26926488661.000000,-26752352517.000000,-174136144.000000,-26926488661.000000
12M 2022,90825390976.000000,-73560494401.000000,17264896575.000000,-19284484717.000000,-880900899.000000,-18403583818.000000,-19284484717.000000,-2019588142.000000,-11059129337.000000,,,,,,,-11059129337.000000,,-13078717479.000000,,-13078717479.000000,69341392.000000,-13009376087.000000,-13078717478.000000,-12994136178.000000,-84581300.000000,,-13078717478.000000,-13009376087.000000,-12925243224.000000,-84132863.000000,-13009376087.000000
