Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,"1,070 B","(2,023 B)",(953 B),-91.56
12M 2019,"1,289 B","(1,350 B)",(61 B),-1.73
12M 2020,"1,071 B","(1,463 B)",(391 B),-9.65
12M 2021,"1,015 B",(623 B),392 B,9.29
12M 2022,880 B,(546 B),333 B,7.89
12M 2023,291 B,(553 B),(262 B),-6.21
12M 2024,425 B,(218 B),207 B,4.91
