Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok,Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan (Penurunan) Piutang Lain-Lain Dari Pihak Berelasi,Penerimaan Kas Dari Kombinasi Bisnis,Penerimaan Bunga,Kas Bersih Yang Diperoleh Pada Saat Akuisisi,Pembelian Saham Entitas Anak Dari Pasar,Penerimaan Hasil Penjualan Aset Tetap,Penerimaan Hasil Penjualan Aktiva Tetap,Akuisisi Entitas Anak,Penambahan Aset Tidak Berwujud,Penambahan Aset Konten,Penambahan (Penurunan) Aset Lainnya Dan Uang Muka,Penempatan Uang Muka Investasi,Penambahan Investasi Saham Entitas Asosiasi,Penempatan Investasi Pada Saham Entitas Anak,Penurunan Uang Muka Pembelian Aset Tetap,Penempatan Pada Rekening Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal,Penambahan Uang Muka Setoran Modal,Penambahan (Penurunan) Uang Muka Setoran Modal,Penerimaan Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan,Penerimaan Dari Obligasi Wajib Koversi,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Bunga,Penerimaan Modal Disetor Entitas Anak Oleh Non-Controlling,Penambahan Utang Lain-Lain Kepada Pihak Berelasi,Penurunan Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan Utang Bank Jangka Panjang,Pembayaran Biaya Transaksi Atas Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,1070245000000.000000,3198280000000.000000,-548652000000.000000,-1560946000000.000000,-7474000000.000000,-10963000000.000000,1070245000000.000000,-1991846000000.000000,-1987645000000.000000,-5687000000.000000,,2282000000.000000,,,4340000000.000000,,,-35136000000.000000,,,,,,30000000000.000000,,-1991846000000.000000,930460000000.000000,564862000000.000000,292963000000.000000,,5380000000.000000,,,828987000000.000000,,-159168000000.000000,,,-20732000000.000000,,,-581832000000.000000,930460000000.000000,8859000000.000000,66332000000.000000,196000000.000000,75387000000.000000
12M 2019,1289120000000.000000,3423503000000.000000,-526477000000.000000,-1590768000000.000000,-14007000000.000000,-3131000000.000000,1289120000000.000000,-1651585000000.000000,-1333155000000.000000,,1996000000.000000,12191000000.000000,,,1604000000.000000,,-317380000000.000000,-16841000000.000000,,,,,,,,-1651585000000.000000,371240000000.000000,1925559000000.000000,,,,-1515000000.000000,,,-307771000000.000000,-140992000000.000000,,181993000000.000000,,,,-1286034000000.000000,371240000000.000000,8775000000.000000,75387000000.000000,,84162000000.000000
12M 2020,1071288000000.000000,3663307000000.000000,-526225000000.000000,-2045541000000.000000,-19971000000.000000,-282000000.000000,1071288000000.000000,-2307455000000.000000,-1462693000000.000000,,,1160000000.000000,,-388135000000.000000,,,-7534000000.000000,,-271654000000.000000,-163456000000.000000,,,,,-15143000000.000000,-2307455000000.000000,1232758000000.000000,1845577000000.000000,,,,-2158000000.000000,,,250000000000.000000,-62499000000.000000,,,-353000000000.000000,,-1275000000.000000,-443887000000.000000,1232758000000.000000,-3409000000.000000,84162000000.000000,,80753000000.000000
12M 2021,1014853000000.000000,3667386000000.000000,-408217000000.000000,-2221217000000.000000,-22646000000.000000,-453000000.000000,1014853000000.000000,-1117656000000.000000,-622875000000.000000,,,848000000.000000,,388135000000.000000,1992000000.000000,,-576023000000.000000,,-305111000000.000000,-4622000000.000000,,,,,,-1117656000000.000000,50017000000.000000,456525000000.000000,,,,-6745000000.000000,,,200000000000.000000,-217908000000.000000,,24101000000.000000,,,-2000000000.000000,-403956000000.000000,50017000000.000000,-52786000000.000000,80753000000.000000,,27967000000.000000
12M 2022,879546000000.000000,2749587000000.000000,-186356000000.000000,-1627779000000.000000,-12085000000.000000,-43821000000.000000,879546000000.000000,-460028000000.000000,-546464000000.000000,,,735000000.000000,,,136539000000.000000,,-33140000000.000000,,,-17698000000.000000,,,,,,-460028000000.000000,-430509000000.000000,,,,,-8815000000.000000,,13000000000.000000,,-133443000000.000000,,,,17000000000.000000,,-318251000000.000000,-430509000000.000000,-10991000000.000000,27967000000.000000,,16976000000.000000
12M 2023,290748000000.000000,2064825000000.000000,-381047000000.000000,-1351369000000.000000,-3883000000.000000,-37778000000.000000,290748000000.000000,1119541000000.000000,-552661000000.000000,,,3146000000.000000,,,8863000000.000000,,,,,1660193000000.000000,,,,,,1119541000000.000000,-929125000000.000000,,,,,6235000000.000000,,25000000000.000000,,-132489000000.000000,,,,,,-827871000000.000000,-929125000000.000000,481164000000.000000,16976000000.000000,,498140000000.000000
12M 2024,424668000000.000000,1837060000000.000000,-216916000000.000000,-1154259000000.000000,-3519000000.000000,-37698000000.000000,424668000000.000000,-590609000000.000000,-217639000000.000000,,,3056000000.000000,,,30514000000.000000,,,,,-406540000000.000000,,,,,,-590609000000.000000,-302362000000.000000,,,,,4149000000.000000,,-25000000000.000000,,-59852000000.000000,,,,,,-221659000000.000000,-302362000000.000000,-468303000000.000000,498140000000.000000,,29837000000.000000
