Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Bunga,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Pembayaran Dividen,Agio Saham,Agio Waran,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Piutang Lain-Lain,Pembayaran Pituang Lain-Lain,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,4766723101.000000,59686909189.000000,-48244878580.000000,-3845887733.000000,-745978186.000000,-2083441589.000000,4766723101.000000,-246950388.000000,-246950388.000000,,,-246950388.000000,-1665810725.000000,,,,,,-1749284644.000000,,,83473919.000000,,-1665810725.000000,2853961988.000000,1973305524.000000,4827267512.000000
12M 2019,-11126398854.000000,31496667859.000000,-38701189463.000000,-1946998120.000000,-1797421924.000000,-177457206.000000,-11126398854.000000,-11007000.000000,-11007000.000000,,,-11007000.000000,10742178972.000000,,,,,11289202673.000000,-458223701.000000,,-88800000.000000,,,10742178972.000000,-395226882.000000,4827267512.000000,4432040630.000000
12M 2020,265174852.000000,45270521145.000000,-39248551689.000000,-3352745046.000000,-2872748379.000000,468698821.000000,265174852.000000,-7160709900.000000,-7160709900.000000,,,-7160709900.000000,8048102128.000000,,,,,1100000000.000000,-243197872.000000,291300000.000000,,6900000000.000000,,8048102128.000000,1152567080.000000,4432040630.000000,5584607710.000000
12M 2021,5843718303.000000,57902573607.000000,-45211952225.000000,-4298694842.000000,1595457934.000000,-4143666171.000000,5843718303.000000,-1502815680.000000,-1502815680.000000,,,-1502815680.000000,-821333962.000000,12000000000.000000,,,,,-5803633962.000000,,-117700000.000000,,-6900000000.000000,-821333962.000000,3519568661.000000,5584607710.000000,9104176371.000000
12M 2022,-20384455628.000000,95838849905.000000,-102720533556.000000,-7371184243.000000,-378693452.000000,-5752894282.000000,-20384455628.000000,-5229578856.000000,-4709328856.000000,-520250000.000000,,-5229578856.000000,64556775252.000000,7000277080.000000,-188020604.000000,59532012495.000000,,,-1322924165.000000,,-464569554.000000,,,64556775252.000000,38942740768.000000,9104176371.000000,48046917139.000000
12M 2023,-24367715469.000000,121769732532.000000,-129722071889.000000,-9352940465.000000,-91688688.000000,-6970746959.000000,-24367715469.000000,-2652051650.000000,-2652051650.000000,,,-2652051650.000000,745567944.000000,371690.000000,-340048871.000000,4088590.000000,,629994481.000000,,,451162054.000000,,,745567944.000000,-26274199175.000000,48046917139.000000,21772717964.000000
12M 2024,4855487232.000000,84251955743.000000,-60570330532.000000,-10676335034.000000,-474681646.000000,-7675121299.000000,4855487232.000000,-1116132770.000000,-961532770.000000,-175000000.000000,20400000.000000,-1116132770.000000,-2751114400.000000,,-422560153.000000,,,-1997297747.000000,,,-331256500.000000,,,-2751114400.000000,988240062.000000,21772717963.000000,22760958025.000000
