Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Piutang Usaha,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lembaga Keuangan Lain,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,13829282930.000000,,5329520031.000000,347254942.000000,,,347254942.000000,51465896258.000000,602876565.000000,71574830726.000000,,872773628648.000000,2296360425.000000,,174045858.000000,,974262202.000000,876218297133.000000,947793127859.000000,,,250623338239.000000,4394971166.000000,,207947604500.000000,,207947604500.000000,2446825619.000000,,,8635999841.000000,,8635999841.000000,27197937113.000000,250623338239.000000,87766226494.000000,,,84719963378.000000,,84719963378.000000,3046263116.000000,87766226494.000000,338389564733.000000,,600500000000.000000,,3039795099.000000,,3039795099.000000,3039795099.000000,2458550.000000,5861309477.000000,609403563126.000000,947793127859.000000,609403563126.000000
12M 2011,,,11807387087.000000,,9782189296.000000,396088607.000000,,,396088607.000000,84169008049.000000,1825400277.000000,107980073316.000000,,930648481903.000000,,,2583942720.000000,11279703.000000,525175000.000000,933768879326.000000,1041748952642.000000,,,410310056316.000000,7136393203.000000,,122299873521.000000,929377889.000000,123229251410.000000,2120149444.000000,,,259854909465.000000,,259854909465.000000,17969352794.000000,410310056316.000000,10961254021.000000,,,10262044166.000000,,10262044166.000000,699209855.000000,10961254021.000000,421271310337.000000,,600500000000.000000,,9949472003.000000,,9949472003.000000,9949472003.000000,4166860825.000000,5861309477.000000,620477642305.000000,1041748952642.000000,1201000000.000000
12M 2012,,,63989827098.000000,,25966772385.000000,26268230.000000,,,26268230.000000,396656843319.000000,6831227852.000000,493470938884.000000,,736865019375.000000,,,3153259726.000000,25632749.000000,198750000.000000,740242661850.000000,1233713600734.000000,,,206411466948.000000,5054271254.000000,,5149150743.000000,244372500.000000,5393523243.000000,2393277863.000000,,,171422013489.000000,,171422013489.000000,22148381099.000000,206411466948.000000,,,,,,,,,206411466948.000000,,1000500000000.000000,,14373866481.000000,,14373866481.000000,14373866481.000000,6566957828.000000,5861309477.000000,1027302133786.000000,1233713600734.000000,10005000000.000000
12M 2013,,,58972249517.000000,,54842988132.000000,25670151305.000000,,,25670151305.000000,270921867673.000000,52353910593.000000,462761167220.000000,,754813631496.000000,6301559385.000000,19244282420.000000,47306684050.000000,156275068.000000,,827822432419.000000,1290583599639.000000,,,244665323511.000000,16946477931.000000,,9832276506.000000,583731944.000000,10416008450.000000,5745280090.000000,,,162600000000.000000,342409806.000000,162942409806.000000,48615147234.000000,244665323511.000000,1577578965.000000,,,,708450525.000000,708450525.000000,869128440.000000,1577578965.000000,246242902476.000000,,1001088525000.000000,44362500.000000,34337928378.000000,1000000000.000000,33337928378.000000,34337928378.000000,246537375.000000,8623343910.000000,1044340697163.000000,1290583599639.000000,10010885250.000000
12M 2014,,,95326382553.000000,,28006453261.000000,21581714126.000000,,,21581714126.000000,383137534251.000000,21843447068.000000,549895531259.000000,,754813631496.000000,4252396344.000000,28915539930.000000,52020875018.000000,194759529.000000,,840197202317.000000,1390092733576.000000,,,270994571775.000000,24026033687.000000,,41340958082.000000,1652000.000000,41342610082.000000,12142578354.000000,,,167842536946.000000,372737693.000000,168215274639.000000,25268075013.000000,270994571775.000000,27474906418.000000,,26269201855.000000,,335712831.000000,26604914686.000000,869991732.000000,27474906418.000000,298469478193.000000,,1001088525000.000000,44367750.000000,81597043133.000000,1000000000.000000,80597043133.000000,81597043133.000000,269975590.000000,8623343910.000000,1091623255383.000000,1390092733576.000000,10011027500.000000
12M 2015,,,57144557936.000000,,30552390753.000000,23906942810.000000,23906942810.000000,,23906942810.000000,352939842953.000000,8377713041.000000,472921447493.000000,,754813631496.000000,3229201147.000000,53387422768.000000,52122179220.000000,88838239.000000,,863641272870.000000,1336562720363.000000,,,217481089914.000000,13363831405.000000,,7994863062.000000,735724808.000000,8730587870.000000,11733700295.000000,,,165374789644.000000,338230484.000000,165713020128.000000,17939950216.000000,217481089914.000000,22521172726.000000,,21674582279.000000,,,21674582279.000000,846590447.000000,22521172726.000000,240002262640.000000,,1001102765600.000000,30138280.000000,86640944773.000000,2000000000.000000,84640944773.000000,86640944773.000000,163265160.000000,8623343910.000000,1096560457723.000000,1336562720363.000000,10011027656.000000
12M 2016,,,57031612270.000000,,29952246026.000000,3672159490.000000,3672159490.000000,,3672159490.000000,383210129192.000000,9549849896.000000,483415996874.000000,,754813631496.000000,2402481783.000000,50067273320.000000,53926689665.000000,242294979.000000,,861452371243.000000,1344868368117.000000,,,205714540205.000000,1509285684.000000,,,854689673.000000,854689673.000000,17240821677.000000,,,161811406582.000000,2760116.000000,161814166698.000000,24295576473.000000,205714540205.000000,41482879162.000000,,39929253490.000000,,,39929253490.000000,1553625672.000000,41482879162.000000,247197419367.000000,,1001102765600.000000,8653482190.000000,87769669386.000000,2098000000.000000,85671669386.000000,87769669386.000000,145031574.000000,,1097670948750.000000,1344868368117.000000,10011027656.000000
12M 2017,,,43561392367.000000,11080674277.000000,43372561656.000000,2339953701.000000,2339953701.000000,,2339953701.000000,428514262906.000000,15549587174.000000,544418432081.000000,,754813631496.000000,1756781250.000000,48955779196.000000,52129133342.000000,482465910.000000,,858137791194.000000,1402556223275.000000,,,173511729486.000000,12914053001.000000,,,3250253524.000000,3250253524.000000,19303928247.000000,,,137305257505.000000,,137305257505.000000,738237209.000000,173511729486.000000,130879970168.000000,,128675526442.000000,,,128675526442.000000,2204443726.000000,130879970168.000000,304391699654.000000,,1001102765600.000000,8653482190.000000,88055140349.000000,2122000000.000000,85933140349.000000,88055140349.000000,353135482.000000,,1098164523621.000000,1402556223275.000000,10011027656.000000
12M 2018,,,57239689509.000000,,6181230668.000000,1940253311.000000,1940253311.000000,,1940253311.000000,441569413198.000000,9858271198.000000,516788857884.000000,,754813631496.000000,1898731086.000000,48018342961.000000,50331577017.000000,501078648.000000,,855563361208.000000,1372352219092.000000,,,140479803689.000000,19397138014.000000,,,5546685193.000000,5546685193.000000,20828430382.000000,,,91259126215.000000,,91259126215.000000,3448423885.000000,140479803689.000000,132180447038.000000,,129394499802.000000,,,129394499802.000000,2785947236.000000,132180447038.000000,272660250727.000000,,1001102765600.000000,8653482190.000000,89240001349.000000,2147000000.000000,87093001349.000000,89240001349.000000,695719226.000000,,1099691968365.000000,1372352219092.000000,10011027656.000000
12M 2019,,,45797271163.000000,,15808968041.000000,1209681032.000000,1209681032.000000,,1209681032.000000,462088411389.000000,9000357557.000000,533904689182.000000,,754813631496.000000,3446462120.000000,47503057291.000000,454765919.000000,48534020694.000000,,854751937520.000000,1388656626702.000000,,,152802474557.000000,25655408733.000000,,,8161728000.000000,8161728000.000000,27473588662.000000,,,89363421863.000000,,89363421863.000000,2148327299.000000,152802474557.000000,134056245065.000000,,130894486374.000000,,,130894486374.000000,3161758691.000000,134056245065.000000,286858719622.000000,,1001102765600.000000,8653482190.000000,91033163902.000000,2172000000.000000,88861163902.000000,91033163902.000000,1008495388.000000,,1101797907080.000000,1388656626702.000000,10011027656.000000
