Period,Arus Kas Dari Aktivitas Operasi,Pendapatan Dari Pelanggan,"Pembayaran Kepada Kontraktor, Pemasok Dan Untuk Beban Operasi Lainnya",Pembayaran Kepada Kontraktor Dan Untuk Beban Operasi Lainnya,Pembayaran Kepada Pemasok Dan Untuk Beban Operasional Lainnya,"Total Pembayaran Kepada Kontraktor, Pemasok Dan Untuk Beban Operasi Lainnya",Pendapatan Lain - Lain,Pembayaran Kepada Karyawan,Pembayaran Beban Keuangan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Penerimaan Bunga Deposito,Penerimaan Dari Penjualan Saham,Penerimaan Penjualan Aset Tetap,Pembayaran Akuisisi Saham Entitas Anak,Pencairan Atau Penempatan Investasi Jangka Pendek,Peneriman Dari Pelepasan Entitas Anak Tahun 2013,Pencairan Deposito,Penempatan Deposito,Peningkatan Modal Entitas Anak,Saldo Kas Dan Bank Entitas Anak Yang Dilepas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pihak Berelasi,Penerimaan Pihak Berelasi,Penambahan Setoran Modal Saham,Penerimaan Setoran Modal Penawaran Umum Saham Perdana,Pembayaran Sewa Pembiayaan,Penerimaan Lain-Lain Pihak Ketiga,Pembayaran Utang Bank Dan Lembaga Keuangan Lainnya,Penerimaan Utang Bank Dan Lembaga Keuangan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-71191035680.000000,55571875247.000000,,-25231321140.000000,-58491561579.000000,-83722882719.000000,,-3067067114.000000,-39756003445.000000,-216957649.000000,-71191035680.000000,-3850356837.000000,-1792864299.000000,,,,,-2257492538.000000,,,,,200000000.000000,,-3850356837.000000,73019496674.000000,-103741493738.000000,,,,,,-36943209440.000000,213704199852.000000,73019496674.000000,-2021895843.000000,13829282930.000000,11807387087.000000
12M 2012,-132178744884.000000,68224722396.000000,,-143768699845.000000,-16349760255.000000,-160118460100.000000,,-5162244496.000000,-34943744363.000000,-179018321.000000,-132178744884.000000,206847815.000000,-1223666450.000000,,1430514265.000000,,,,,,,,,,206847815.000000,184154337080.000000,-117150722778.000000,,400000000000.000000,,,,-204294940142.000000,105600000000.000000,184154337080.000000,52182440011.000000,11807387087.000000,63989827098.000000
12M 2013,9269532424.000000,111832247005.000000,,-56493473307.000000,-19305552947.000000,-75799026254.000000,,-8040014218.000000,-17825156216.000000,-898517893.000000,9269532424.000000,-24834767394.000000,-6684192029.000000,-19244282420.000000,1789165710.000000,,,-124000000.000000,,,,,,-571458655.000000,-24834767394.000000,10547657389.000000,-5149150743.000000,9832276506.000000,,632887500.000000,-62139669.000000,,-15306216205.000000,20600000000.000000,10547657389.000000,-5017577581.000000,63989827098.000000,58972249517.000000
12M 2014,-13476847432.000000,157360091143.000000,,-66112889570.000000,-70930416854.000000,-137043306424.000000,,-10003178377.000000,-21280968583.000000,-2509485191.000000,-13476847432.000000,-12847035352.000000,-5846693945.000000,-9671257510.000000,2670916103.000000,,,,,,,,,,-12847035352.000000,62678015820.000000,-1416761700.000000,32925443276.000000,5250.000000,,-342409807.000000,,-168488261199.000000,200000000000.000000,62678015820.000000,36354133036.000000,58972249517.000000,95326382553.000000
12M 2015,24315650291.000000,116505513372.000000,,-37718282971.000000,-11586582141.000000,-49304865112.000000,,-9770844964.000000,-24665696953.000000,-8448456052.000000,24315650291.000000,-21718804098.000000,-1382225645.000000,-24471882838.000000,4135304385.000000,,,,,,,,,,-21718804098.000000,-40778670810.000000,-51723143684.000000,18377048664.000000,11130.000000,,-370220042.000000,,-41402934507.000000,34340567629.000000,-40778670810.000000,-38181824617.000000,95326382553.000000,57144557936.000000
12M 2016,-29361404834.000000,63591157255.000000,-55669540505.000000,,,-55669540505.000000,,-9152435770.000000,-26687713447.000000,-1442872367.000000,-29361404834.000000,22887504449.000000,-240037000.000000,-539266897.000000,2492381127.000000,,651416670.000000,,,20523010549.000000,,,,,22887504449.000000,6360954719.000000,-7994863062.000000,,,,-335470368.000000,,-29862972203.000000,44554260352.000000,6360954719.000000,-112945666.000000,57144557936.000000,57031612270.000000
12M 2017,-80194620091.000000,31373448628.000000,-95010112073.000000,,,-95010112073.000000,,-8830927477.000000,-6064889888.000000,-1662139281.000000,-80194620091.000000,2484276312.000000,-38289500.000000,,2522565812.000000,,,,,,,,,,2484276312.000000,64240123876.000000,,,,,,,-107497413385.000000,171737537261.000000,64240123876.000000,-13470219903.000000,57031612270.000000,43561392367.000000
12M 2018,43732373077.000000,107683104214.000000,-42502110407.000000,,,-42502110407.000000,,-9293989833.000000,-10592584533.000000,-1562046364.000000,43732373077.000000,13610444209.000000,-119405181.000000,,2649175113.000000,,,,,,11080674277.000000,,,,13610444209.000000,-43664520144.000000,,,,,,,-172769041534.000000,129104521390.000000,-43664520144.000000,13678297142.000000,43561392367.000000,57239689509.000000
12M 2019,-12957149358.000000,61714329982.000000,-51425138220.000000,,,-51425138220.000000,,-11105243043.000000,-10287117424.000000,-1853980653.000000,-12957149358.000000,1910448792.000000,-79382990.000000,,1989831782.000000,,,,,,,,,,1910448792.000000,-395717780.000000,,,,,,,-21783313372.000000,21387595592.000000,-395717780.000000,-11442418346.000000,57239689509.000000,45797271163.000000
12M 2020,375168782.000000,54800969300.000000,-37561965215.000000,,,-37561965215.000000,,-10444834979.000000,-6077545574.000000,-341454750.000000,375168782.000000,91188386867.000000,-86076745.000000,,1441538642.000000,89832924970.000000,,,,,,,,,91188386867.000000,-94193421863.000000,,,,,,,-94193421863.000000,,-94193421863.000000,-2629866214.000000,45797271163.000000,43167404949.000000
