Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,56079399370.000000,-41836609923.000000,14242789447.000000,-7429655368.000000,-1637438124.000000,-5792217244.000000,,-7429655368.000000,6813134079.000000,-2598722699.000000,-2037109446.000000,,,-561613253.000000,-2598722699.000000,4214411380.000000,-210190528.000000,-221470231.000000,11279703.000000,-210190528.000000,4004220852.000000,,4004220852.000000,,4004220852.000000,4004220852.000000,3937558615.000000,66662237.000000,4004220852.000000,4004220852.000000,3937558615.000000,66662237.000000,4004220852.000000
12M 2012,81090378630.000000,-59764975564.000000,21325403066.000000,-9956548797.000000,-1954673974.000000,-8001874823.000000,,-9956548797.000000,11368854269.000000,-2216603198.000000,-3940823660.000000,,,1724220462.000000,-2216603198.000000,9152251071.000000,-2327759590.000000,-2342112636.000000,14353046.000000,-2327759590.000000,6824491481.000000,,6824491481.000000,,6824491481.000000,6824491481.000000,4424394478.000000,2400097003.000000,6824491481.000000,6824491481.000000,4424394478.000000,2400097003.000000,6824491481.000000
12M 2013,120925114528.000000,-76035713268.000000,44889401260.000000,-21236600804.000000,-4037159636.000000,-17682845356.000000,483404188.000000,-21236600804.000000,23652800456.000000,1572621223.000000,-216544487.000000,1789165710.000000,,,1572621223.000000,25225421679.000000,-5087920438.000000,-5218562757.000000,130642319.000000,-5087920438.000000,20137501241.000000,390061713.000000,20527562954.000000,,20527562954.000000,20527562954.000000,19964061848.000000,563501106.000000,20527562954.000000,20527562954.000000,19964061848.000000,563501106.000000,20527562954.000000
12M 2014,154187673595.000000,-80808196500.000000,73379477095.000000,-22356246324.000000,-6300939843.000000,-17390886815.000000,1335580334.000000,-22356246324.000000,51023230771.000000,3356871564.000000,-878910319.000000,4235781883.000000,,,3356871564.000000,54380102335.000000,-7097549365.000000,-7136033826.000000,38484461.000000,-7097549365.000000,47282552970.000000,,47282552970.000000,,47282552970.000000,47282552970.000000,47259114755.000000,23438215.000000,47282552970.000000,47282552970.000000,47259114755.000000,23438215.000000,47282552970.000000
12M 2015,119810618136.000000,-81919468938.000000,37891149198.000000,-31226170819.000000,-9249972071.000000,-23156363692.000000,1180164944.000000,-31226170819.000000,6664978379.000000,3679265625.000000,-456038760.000000,4135304385.000000,,,3679265625.000000,10344244004.000000,-5364137520.000000,-5247632985.000000,-116504535.000000,-5364137520.000000,4980106484.000000,,4980106484.000000,-42915274.000000,4937191210.000000,4980106484.000000,5086829586.000000,-106723102.000000,4980106484.000000,4937191210.000000,5043901640.000000,-106710430.000000,4937191210.000000
12M 2016,53677931667.000000,-31115404758.000000,22562526909.000000,-19088227349.000000,-3378348572.000000,-15709878777.000000,,-19088227349.000000,3474299560.000000,-2344354263.000000,-6971313399.000000,2492381127.000000,-2683896583.000000,4818474592.000000,-2344354263.000000,1129945297.000000,68891670.000000,-58995619.000000,127887289.000000,68891670.000000,1198836967.000000,,1198836967.000000,-88345940.000000,1110491027.000000,1198836967.000000,1216869881.000000,-18032914.000000,1198836967.000000,1110491027.000000,1128724613.000000,-18233586.000000,1110491027.000000
12M 2017,66581958479.000000,-41745715145.000000,24836243334.000000,-23507079012.000000,-2965470325.000000,-20541608687.000000,,-23507079012.000000,1329164322.000000,-980831850.000000,-6064889888.000000,2522565813.000000,-1287893451.000000,3849385676.000000,-980831850.000000,348332472.000000,81897554.000000,81897554.000000,,81897554.000000,430230026.000000,,430230026.000000,63344845.000000,493574871.000000,430230026.000000,221869844.000000,208360182.000000,430230026.000000,493574871.000000,285470963.000000,208103908.000000,493574871.000000
12M 2018,77542232036.000000,-45109601927.000000,32432630109.000000,-23144084809.000000,-2094324010.000000,-21049760799.000000,,-23144084809.000000,9288545300.000000,-7638723143.000000,-10592584533.000000,2704913409.000000,-1562046364.000000,1810994345.000000,-7638723143.000000,1649822157.000000,-86046150.000000,-86046150.000000,,-86046150.000000,1563776007.000000,,1563776007.000000,-36331263.000000,1527444744.000000,1563776007.000000,1219671308.000000,344104699.000000,1563776007.000000,1527444744.000000,1184861000.000000,342583744.000000,1527444744.000000
12M 2019,74159226110.000000,-37891579965.000000,36267646145.000000,-24932496939.000000,-2739730079.000000,-22192766860.000000,,-24932496939.000000,11335149206.000000,-9253696583.000000,-10332543154.000000,2033573595.000000,-1853980653.000000,899253629.000000,-9253696583.000000,2081452623.000000,-97716429.000000,-37463250.000000,-60253179.000000,-97716429.000000,1983736194.000000,,1983736194.000000,122202521.000000,2105938715.000000,1983736194.000000,1672061436.000000,311674758.000000,1983736194.000000,2105938715.000000,1793162553.000000,312776162.000000,2105938715.000000
12M 2020,40264350922.000000,-25489473009.000000,14774877913.000000,-23159770630.000000,-3346295776.000000,-19813474854.000000,,-23159770630.000000,-8384892717.000000,-4722967994.000000,-6077545574.000000,1441538642.000000,-341454750.000000,254493688.000000,-4722967994.000000,-13107860711.000000,-130377594.000000,-14388660.000000,-115988934.000000,-130377594.000000,-13238238305.000000,,-13238238305.000000,-92951858.000000,-13331190163.000000,-13238238305.000000,-13183249840.000000,-54988465.000000,-13238238305.000000,-13331190163.000000,-13275921706.000000,-55268457.000000,-13331190163.000000
