Period,Total Pendapatan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,388662512.000000,-301294175.000000,87368337.000000,-10369456.000000,299950.000000,-6546605.000000,-4280637.000000,157836.000000,-10369456.000000,76998881.000000,-19256668.000000,,,,-19256668.000000,57742213.000000,,57742213.000000,-7979329.000000,49762884.000000,57742213.000000,57742213.000000,,57742213.000000,49762884.000000,49762884.000000,,49762884.000000
12M 2017,439281242.000000,-373054965.000000,66226277.000000,1522596.000000,415409.000000,-8740342.000000,-529123.000000,10376652.000000,1522596.000000,67748873.000000,-16802524.000000,,,,-16802524.000000,50946349.000000,,50946349.000000,-218886.000000,50727463.000000,50946349.000000,50946349.000000,,50946349.000000,50727463.000000,50727463.000000,,50727463.000000
12M 2018,470019786.000000,-421022798.000000,48996988.000000,-7365207.000000,795704.000000,-16102259.000000,,7941348.000000,-7365207.000000,41631781.000000,-11086922.000000,,,,-11086922.000000,30544859.000000,,30544859.000000,3014823.000000,33559682.000000,30544859.000000,30544859.000000,,30544859.000000,33559682.000000,33559682.000000,,33559682.000000
12M 2019,519484485.000000,-504442309.000000,15042176.000000,-17197464.000000,441422.000000,-19591875.000000,,1952989.000000,-17197464.000000,-2155288.000000,-833235.000000,,,,-833235.000000,-2988523.000000,,-2988523.000000,1320414.000000,-1668109.000000,-2988523.000000,-3185993.000000,197470.000000,-2988523.000000,-1668109.000000,-1865579.000000,197470.000000,-1668109.000000
12M 2020,253841435.000000,-565181957.000000,-311340522.000000,-31420850.000000,112766.000000,-28165478.000000,,-3368138.000000,-31420850.000000,-342761372.000000,14000568.000000,,,,14000568.000000,-328760804.000000,,-328760804.000000,2853435.000000,-325907369.000000,-328760804.000000,-328789058.000000,28254.000000,-328760804.000000,-325907369.000000,-325935623.000000,28254.000000,-325907369.000000
12M 2021,210593315.000000,-305088245.000000,-94494930.000000,-17148369.000000,72488.000000,-22422554.000000,,5201697.000000,-17148369.000000,-111643299.000000,-15708504.000000,,,,-15708504.000000,-127351803.000000,,-127351803.000000,3022876.000000,-124328927.000000,-127351803.000000,-127396390.000000,44587.000000,-127351803.000000,-124328927.000000,-124373514.000000,44587.000000,-124328927.000000
12M 2022,238703893.000000,-213836674.000000,24867219.000000,-19363914.000000,141760.000000,-22087788.000000,,2582114.000000,-19363914.000000,5503305.000000,-1874974.000000,,,,-1874974.000000,3628331.000000,,3628331.000000,3718622.000000,7346953.000000,3628331.000000,3571764.000000,56567.000000,3628331.000000,7346953.000000,7290386.000000,56567.000000,7346953.000000
12M 2023,373206984.000000,-345505584.000000,27701400.000000,-7971376.000000,238867.000000,-23619058.000000,,15408815.000000,-7971376.000000,19730024.000000,438665.000000,,,,438665.000000,20168689.000000,,20168689.000000,-235166.000000,19933523.000000,20168689.000000,20276463.000000,-107774.000000,20168689.000000,19933523.000000,20041297.000000,-107774.000000,19933523.000000
12M 2024,421223186.000000,-379219103.000000,42004083.000000,-17259968.000000,337803.000000,-20166464.000000,,2568693.000000,-17259968.000000,24744115.000000,2155930.000000,,,,2155930.000000,26900045.000000,,26900045.000000,452802.000000,27352847.000000,26900045.000000,26891116.000000,8929.000000,26900045.000000,27352847.000000,27343918.000000,8929.000000,27352847.000000
