Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2016,(218 B),(330 B),(548 B),-823795.11
12M 2017,227 B,(530 B),(303 B),-10.73
12M 2018,"(1,063 B)",(669 B),"(1,732 B)",-61.36
12M 2019,369 B,(710 B),(342 B),-12.10
12M 2020,"(1,635 B)",(150 B),"(1,785 B)",-63.21
12M 2021,194 B,(18 B),176 B,6.22
12M 2022,119 B,(45 B),73 B,2.60
12M 2023,474 B,(14 B),460 B,16.28
12M 2024,229 B,(65 B),165 B,5.84
