Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Pendapatan Bunga,Pembayaran Untuk Beban Operasional,Pembayaran Untuk Pemasok Dan Kontraktor,Pembayaran Untuk Gaji Dan Imbalan Kerja Karyawan,Pembayaran Pajak,Penerimaan Atas Pengembalian Pajak,Pembayaran Beban Bunga,Pembayaran Royalti,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penempatan Investasi Jangka Pendek,Pembayaran Penyertaan Saham,Pinjaman Ke Pihak Ketiga,Penerimaan Pengembalian Dari Pinjaman Pihak Ketiga,Pinjaman Ke Pihak Berelasi,Pembayaran Perolehan Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penerimaan Dari Pelepasan Entitas Anak,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dari Penawaran Saham Perdana Setelah Dikurangi Biaya Penerbitan Saham,Penerimaan Kas Melalui Hmetd Setelah Dikurangi Dengan Biaya Emisi Efek,Pembayaran Kembali Hutang Bank Jangka Panjang,Penerimaan Dari Obligasi,Pembayaran Hutang Obligasi,Penerimaan (Pembayaran) Pinjaman Utang Bank,Penerimaan Dari Pinjaman Jangka Panjang,Penerimaan Dari Pinjaman Jangka Pendek,Total Penerimaan (Pembayaran) Pinjaman Utang Bank,Penerimaan Dari Kepentingan Non-Pengendali,Uang Muka Setoran Modal Dari Kepentingan Nonpengendali Entitas Anak,Setoran Modal Dari Kepentingan Nonpengendali Entitas Anak,Pembayaran Dividen,Pembayaran Atas Biaya Penerbitan Obligasi,Pembelian Saham Treasuri,Penerimaan Dari Penjualan Saham Treasuri,Pembayaran Kembali Hutang Bank Jangka Pendek,Pembayaran Liabilitas Sewa,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Dari Entitas Anak Yang Baru Diperoleh,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,56084131253.000000,480988643288.000000,1328339480.000000,-141679573980.000000,-217173654116.000000,-26138636531.000000,-22932750391.000000,,-12355769950.000000,-5952466547.000000,56084131253.000000,-32781929063.000000,106500000.000000,-19870278663.000000,,,,,,,,,,-13018150400.000000,-32781929063.000000,-16302272123.000000,,,-16250000000.000000,,,,19947727877.000000,,19947727877.000000,,,,-20000000000.000000,,,,,,,-16302272123.000000,-1932295929.000000,5067634138.000000,,52877663474.000000,57945297612.000000
12M 2010,113567953650.000000,596590101410.000000,4079913333.000000,-117513533100.000000,-293904170350.000000,-33458264517.000000,-31063427202.000000,,-5071844926.000000,-6090820998.000000,113567953650.000000,-148216568526.000000,1345273228.000000,-162579992154.000000,,,,,,,,,,13018150400.000000,-148216568526.000000,94087293768.000000,187837293768.000000,,-93750000000.000000,,,,,,,,,,,,,,,,,94087293768.000000,3337717871.000000,62776396763.000000,,57945297612.000000,120721694375.000000
12M 2011,147561847765.000000,796101771127.000000,1721179555.000000,-260960498446.000000,-280982126088.000000,-54487230120.000000,-45458674270.000000,,-869362972.000000,-7503211021.000000,147561847765.000000,-227919146653.000000,20882409.000000,-217674494859.000000,-10265534203.000000,,,,,,,,,,-227919146653.000000,8095636590.000000,,,33039417684.000000,,,,,,,,,,-24943781094.000000,,,,,,,8095636590.000000,-62671191.000000,-72324333489.000000,,120721694375.000000,48397360886.000000
12M 2012,189081795465.000000,1173402656222.000000,389661277.000000,-385243141309.000000,-453414457913.000000,-93272545990.000000,-42483323209.000000,,,-10297053613.000000,189081795465.000000,-429596376405.000000,24877388.000000,-352235257283.000000,-76634597336.000000,-751399174.000000,,,,,,,,,-429596376405.000000,229617609920.000000,,,,,,,269456048599.000000,,269456048599.000000,,,,-28983133261.000000,,,,,,-10855305418.000000,229617609920.000000,371249736.000000,-10525721284.000000,,48397360886.000000,37871639602.000000
12M 2013,314587624896.000000,1485453914476.000000,2810954756.000000,-448357684534.000000,-468224933707.000000,-188495952499.000000,-55774109123.000000,,,-12824564473.000000,314587624896.000000,-521623972724.000000,45447278.000000,-258396791605.000000,-260954418701.000000,-2318209696.000000,,,,,,,,,-521623972724.000000,268838641163.000000,,,,495910464028.000000,,,166395063900.000000,,166395063900.000000,,,,-37285218800.000000,,,,-310000000000.000000,,-46181667965.000000,268838641163.000000,1468323297.000000,63270616632.000000,,37871639602.000000,101142256234.000000
12M 2014,364975619113.000000,1884185170040.000000,970187057.000000,-506452002874.000000,-671439775017.000000,-279452239543.000000,-48104729139.000000,,,-14730991411.000000,364975619113.000000,-395917648518.000000,156041708.000000,-375877783119.000000,-14715868342.000000,-5480038765.000000,,,,,,,,,-395917648518.000000,93490563844.000000,,,,,,,179662623900.000000,,179662623900.000000,,,,-15792816001.000000,,,,,,-70379244055.000000,93490563844.000000,-1106660689.000000,61441873750.000000,,101142256234.000000,162584129984.000000
12M 2015,555511840614.000000,2178287946822.000000,14832584141.000000,-616394121263.000000,-597612920013.000000,-330530935742.000000,-76292405931.000000,,,-16778307400.000000,555511840614.000000,-240459788371.000000,1054795318.000000,-195298394940.000000,-42361881193.000000,-3854307556.000000,,,,,,,,,-240459788371.000000,36943105517.000000,,,,497300000000.000000,,,-340000000000.000000,,-340000000000.000000,,,,-27991754000.000000,-841358133.000000,-767101075.000000,,,,-90756681275.000000,36943105517.000000,657994938.000000,352653152698.000000,,162584129984.000000,515237282682.000000
12M 2016,414702426418.000000,2542862221691.000000,17956462159.000000,-807587015486.000000,-775102495137.000000,-442818515138.000000,-101019619984.000000,,,-19588611687.000000,414702426418.000000,-216566544621.000000,338786191.000000,-147837284265.000000,-14167208027.000000,-12202617268.000000,,,,,,-42698221252.000000,,,-216566544621.000000,-100760131559.000000,,,,,,,,,,,,44522737290.000000,-53698271000.000000,,,,,,-91584597849.000000,-100760131559.000000,-1623856740.000000,95751893498.000000,,515237282682.000000,610989176180.000000
12M 2017,370617213073.000000,2492110177593.000000,28107278470.000000,-935536177710.000000,-644565952383.000000,-501558370919.000000,-49102534677.000000,,,-18837207301.000000,370617213073.000000,-369535482630.000000,613037789.000000,-239718652189.000000,-96923224129.000000,-5450644101.000000,,-14508000000.000000,-13548000000.000000,,,,,,-369535482630.000000,1282056152415.000000,,1308245463349.000000,,,,,,119270800000.000000,119270800000.000000,,,13248750000.000000,-69488903000.000000,,,881075000.000000,,,-90101032934.000000,1282056152415.000000,942509002.000000,1284080391860.000000,,610989176180.000000,1895069568040.000000
12M 2018,295922456326.000000,2682698927734.000000,73883003706.000000,-1172786519441.000000,-649137250442.000000,-619860133320.000000,-20320139824.000000,19947254011.000000,,-18502686098.000000,295922456326.000000,-367322473111.000000,390605024.000000,-195721480406.000000,-160806939102.000000,-7434658627.000000,,-3750000000.000000,,,,,,,-367322473111.000000,-543604133261.000000,,,,,-500000000000.000000,,85474750000.000000,41358750000.000000,126833500000.000000,,,23194845849.000000,-36005365328.000000,,,-77244732741.000000,,,-80382381041.000000,-543604133261.000000,1732630803.000000,-613271519243.000000,12727212093.000000,1895069568040.000000,1294525260890.000000
