Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Investasi Jangka Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,57945297612.000000,53134831686.000000,53134831686.000000,,53134831686.000000,,9074625513.000000,,17429747531.000000,137584502342.000000,,204680869234.000000,,,,4712301659.000000,209393170893.000000,346977673235.000000,,,95447823253.000000,,,37634706115.000000,,37634706115.000000,13108059385.000000,,,13108059385.000000,12161800167.000000,7543257586.000000,,25000000000.000000,,,25000000000.000000,,95447823253.000000,83689837287.000000,68750000000.000000,,,6590489024.000000,8349348263.000000,83689837287.000000,179137660540.000000,,86050600000.000000,349534267.000000,81439878428.000000,,81439878428.000000,81439878428.000000,,,167840012695.000000,346977673235.000000,86050600.000000
12M 2010,,,120721694375.000000,75641640405.000000,73792955578.000000,1848684827.000000,75641640405.000000,,9602287926.000000,,7021123711.000000,212986746417.000000,,345865687828.000000,,,,9412907581.000000,355278595409.000000,568265341826.000000,,,92639122006.000000,,,19449334803.000000,7897018340.000000,27346353143.000000,36795135334.000000,,,36795135334.000000,15604637383.000000,12892996146.000000,,,,,,,92639122006.000000,20173788982.000000,,,,7948815578.000000,12224973404.000000,20173788982.000000,112812910988.000000,,101236000000.000000,173001428035.000000,181215002803.000000,,181215002803.000000,181215002803.000000,,,455452430838.000000,568265341826.000000,1012360000.000000
12M 2011,,,48397360886.000000,103387896337.000000,101501209883.000000,1886686454.000000,103387896337.000000,262603539.000000,16305869407.000000,,21877222589.000000,190230952758.000000,,546098568681.000000,,,,22807397061.000000,568905965742.000000,759136918500.000000,,,148209117955.000000,,,47816645361.000000,17736833011.000000,65553478372.000000,65876802143.000000,,,65876802143.000000,6454184728.000000,10324652712.000000,,,,,,,148209117955.000000,64486617759.000000,33071521262.000000,,,10989153322.000000,20425943175.000000,64486617759.000000,212695735714.000000,,101236000000.000000,173001428035.000000,272203754751.000000,,272203754751.000000,272203754751.000000,,,546441182786.000000,759136918500.000000,1012360000.000000
12M 2012,,,37871639602.000000,136203406473.000000,133480005931.000000,2723400542.000000,136203406473.000000,421608083.000000,22598712855.000000,,22722667132.000000,219818034145.000000,,893898142271.000000,,1426300220.000000,,89802204587.000000,985126647078.000000,1204944681223.000000,,,195455567772.000000,,,59450463974.000000,19582888186.000000,79033352160.000000,86024594555.000000,,,86024594555.000000,6775419619.000000,17142497535.000000,,6072955763.000000,,,6072955763.000000,406748140.000000,195455567772.000000,342881515901.000000,296844192237.000000,,,16341933308.000000,29695390356.000000,342881515901.000000,538337083673.000000,,101236000000.000000,173001428035.000000,392370169515.000000,,392370169515.000000,392370169515.000000,,,666607597550.000000,1204944681223.000000,1012360000.000000
12M 2013,,,101142256234.000000,182707148115.000000,178120550160.000000,4586597955.000000,182707148115.000000,381871649.000000,36523703417.000000,,43126040502.000000,363881019917.000000,,1175251173341.000000,,2563059592.000000,,280993794258.000000,1458808027191.000000,1822689047108.000000,,,320197405822.000000,,,98921504236.000000,60393955703.000000,159315459939.000000,118044464058.000000,,,118044464058.000000,5303215646.000000,37018290679.000000,,,,,,515975500.000000,320197405822.000000,715153991615.000000,160484234676.000000,,495910464028.000000,14596982924.000000,44162309987.000000,715153991615.000000,1035351397437.000000,,101236000000.000000,173001428035.000000,513100221636.000000,,513100221636.000000,513100221636.000000,,,787337649671.000000,1822689047108.000000,5061800000.000000
12M 2014,,,162584129984.000000,213306120787.000000,111532931932.000000,101773188855.000000,213306120787.000000,100814310.000000,40795755774.000000,,3529567680.000000,420316388535.000000,,1679981658119.000000,,6929513926.000000,,35666715636.000000,1722577887681.000000,2142894276216.000000,,,307608669233.000000,,,75575779566.000000,50029102783.000000,125604882349.000000,,67921963066.000000,637868703.000000,68559831769.000000,6270644015.000000,59037600971.000000,,47647294496.000000,,,47647294496.000000,488415633.000000,307608669233.000000,875163252239.000000,291203527978.000000,,496541543422.000000,30431313157.000000,56986867682.000000,875163252239.000000,1182771921472.000000,,101236000000.000000,173001428035.000000,685884926709.000000,2000000000.000000,683884926709.000000,685884926709.000000,,,960122354744.000000,2142894276216.000000,5061800000.000000
12M 2015,,,515237282682.000000,248671775050.000000,128778761810.000000,119893013240.000000,248671775050.000000,1872642383.000000,43169425832.000000,,4039520150.000000,812990646097.000000,,1821378205498.000000,,7661491831.000000,,64293293608.000000,1893332990937.000000,2706323637034.000000,,,395920006814.000000,,,105328056535.000000,54338837418.000000,159666893953.000000,,135105314310.000000,1711704398.000000,136817018708.000000,26145331440.000000,72219714864.000000,,,,,,1071047849.000000,395920006814.000000,1121868678348.000000,,,994405038101.000000,38031900243.000000,89431740004.000000,1121868678348.000000,1517788685162.000000,,101236000000.000000,173001428035.000000,915064624912.000000,4000000000.000000,911064624912.000000,915064624912.000000,,-767101075.000000,1188534951872.000000,2706323637034.000000,5061800000.000000
12M 2016,,,610989176180.000000,280381386519.000000,138850856494.000000,141530530025.000000,280381386519.000000,3572146022.000000,50746886585.000000,,3724742751.000000,949414338057.000000,,1842722492525.000000,,62056464165.000000,,65447563971.000000,1970226520661.000000,2919640858718.000000,,,320501824382.000000,,,110777948813.000000,61675545442.000000,172453494255.000000,,83714622240.000000,782140497.000000,84496762737.000000,11877411678.000000,50840874863.000000,,,,,,833280849.000000,320501824382.000000,1156387262310.000000,,,995987913319.000000,62892779031.000000,97506569960.000000,1156387262310.000000,1476889086692.000000,,101236000000.000000,173001428035.000000,1127741662038.000000,6000000000.000000,1121741662038.000000,1127741662038.000000,43453590351.000000,-2680908398.000000,1442751772026.000000,2919640858718.000000,5061800000.000000
12M 2017,,,1895069568040.000000,324917530235.000000,164515198562.000000,160402331673.000000,324917530235.000000,13032991162.000000,50264253248.000000,,36653096334.000000,2319937439019.000000,,1993663314016.000000,,62295673598.000000,14508000000.000000,169169282778.000000,2239636270392.000000,4559573709411.000000,,,1027176531240.000000,119270800000.000000,,95574720224.000000,54496677667.000000,150071397891.000000,,103448215037.000000,8811309470.000000,112259524507.000000,7791273454.000000,138278119910.000000,,,,499505415478.000000,499505415478.000000,,1027176531240.000000,712291462742.000000,,,498209629859.000000,77378693668.000000,136703139215.000000,712291462742.000000,1739467993982.000000,,123729777760.000000,1458867087549.000000,1193185012557.000000,8000000000.000000,1185185012557.000000,1193185012557.000000,46111791742.000000,-1787954179.000000,2820105715429.000000,4559573709411.000000,6186488888.000000
12M 2018,,,1294525260890.000000,412949853861.000000,206166236967.000000,206783616894.000000,412949853861.000000,41126316396.000000,65127735601.000000,,62680132490.000000,1876409299238.000000,,2222133112899.000000,,61438598870.000000,22281617509.000000,211547752367.000000,2517401081645.000000,4393810380883.000000,,,525422150049.000000,41358750000.000000,,125226004282.000000,64860371621.000000,190086375903.000000,,195940600992.000000,8859902936.000000,204800503928.000000,29692476082.000000,59484044136.000000,,,,,,,525422150049.000000,951487110723.000000,206793750000.000000,,498968280020.000000,92168041162.000000,153557039541.000000,951487110723.000000,1476909260772.000000,,123729777760.000000,1458867087549.000000,1337358114301.000000,10000000000.000000,1327358114301.000000,1337358114301.000000,75017233163.000000,-78071092662.000000,2916901120111.000000,4393810380883.000000,6186488888.000000
