Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,485919837348.000000,-263821222220.000000,222098615128.000000,-130580003456.000000,,-111294790944.000000,-22508628852.000000,-133803419796.000000,-1932295929.000000,50666663.000000,5105045606.000000,-130580003456.000000,91518611672.000000,-11027430470.000000,1328339480.000000,-12355769950.000000,,,,-11027430470.000000,80491181202.000000,-23376323070.000000,57114858132.000000,,57114858132.000000,57114858132.000000,57114858132.000000,,57114858132.000000,57114858132.000000,57114858132.000000,,57114858132.000000
12M 2010,612192357641.000000,-323167484228.000000,289024873413.000000,-153366968391.000000,,-133769106121.000000,-29563972815.000000,-163333078936.000000,3337717871.000000,187980143.000000,6440412531.000000,-153366968391.000000,135657905022.000000,-991931593.000000,4079913333.000000,-5071844926.000000,,,,-991931593.000000,134665973429.000000,-34890849054.000000,99775124375.000000,,99775124375.000000,99775124375.000000,99775124375.000000,,99775124375.000000,99775124375.000000,99775124375.000000,,99775124375.000000
12M 2011,813342078952.000000,-433938241819.000000,379403837133.000000,-226176982402.000000,,-183167996158.000000,-49749648429.000000,-232917644587.000000,-2995175384.000000,-65862741.000000,9801700310.000000,-226176982402.000000,153226854731.000000,1721179555.000000,1721179555.000000,,,,,1721179555.000000,154948034286.000000,-39015501244.000000,115932533042.000000,,115932533042.000000,115932533042.000000,115932533042.000000,,115932533042.000000,115932533042.000000,115932533042.000000,,115932533042.000000
12M 2012,1190825893340.000000,-634412985295.000000,556412908045.000000,-357009588561.000000,-370258127976.000000,,,-370258127976.000000,,,13248539415.000000,-357009588561.000000,199403319484.000000,389661277.000000,389661277.000000,,,,,389661277.000000,199792980761.000000,-50643432736.000000,149149548025.000000,,149149548025.000000,149149548025.000000,149149548025.000000,,149149548025.000000,149149548025.000000,149149548025.000000,,149149548025.000000
12M 2013,1505519937691.000000,-806917558963.000000,698602378728.000000,-466211035387.000000,-488675578783.000000,,,-488675578783.000000,,,22464543396.000000,-466211035387.000000,232391343341.000000,-21586439179.000000,2810954756.000000,-24397393935.000000,,,,-21586439179.000000,210804904162.000000,-52789633241.000000,158015270921.000000,,158015270921.000000,158015270921.000000,158015270921.000000,,158015270921.000000,158015270921.000000,158015270921.000000,,158015270921.000000
12M 2014,1880262901697.000000,-978850415303.000000,901412486394.000000,-602783793837.000000,-638811878281.000000,,,-638811878281.000000,,,36028084444.000000,-602783793837.000000,298628692557.000000,-45865784454.000000,970187057.000000,-46835971511.000000,,,,-45865784454.000000,252762908103.000000,-64185387029.000000,188577521074.000000,,188577521074.000000,188577521074.000000,188577521074.000000,,188577521074.000000,188577521074.000000,188577521074.000000,,188577521074.000000
12M 2015,2174501712899.000000,-1019511433830.000000,1154990279069.000000,-701331789068.000000,-739133258994.000000,,,-739133258994.000000,,,37801469926.000000,-701331789068.000000,453658490001.000000,-75406874913.000000,18540730176.000000,-90239459054.000000,,,-3708146035.000000,-75406874913.000000,378251615088.000000,-107712914648.000000,270538700440.000000,-6827973000.000000,263710727440.000000,270538700440.000000,270538700440.000000,,270538700440.000000,263710727440.000000,263710727440.000000,,263710727440.000000
12M 2016,2521920968213.000000,-1220832597005.000000,1301088371208.000000,-858043393820.000000,-918136528749.000000,,,-918136528749.000000,,,60093134929.000000,-858043393820.000000,443044977388.000000,-73628135690.000000,22438468835.000000,-91584597849.000000,,,-4482006676.000000,-73628135690.000000,369416841698.000000,-89639472867.000000,279777368831.000000,-16385014967.000000,263392353864.000000,279777368831.000000,279960998626.000000,-183629795.000000,279777368831.000000,263392353864.000000,264461500803.000000,-1069146939.000000,263392353864.000000
12M 2017,2491100179560.000000,-1183169352508.000000,1307930827052.000000,-1050766125858.000000,-1106974224495.000000,,,-1106974224495.000000,,,56208098637.000000,-1050766125858.000000,257164701194.000000,-71017366664.000000,35121841969.000000,-91930964348.000000,,,-14208244285.000000,-71017366664.000000,186147334530.000000,-50783313391.000000,135364021139.000000,-10896463085.000000,124467558054.000000,135364021139.000000,145981447247.000000,-10617426108.000000,135364021139.000000,124467558054.000000,135058106663.000000,-10590548609.000000,124467558054.000000
12M 2018,2766545866684.000000,-1274332759465.000000,1492213107219.000000,-1297798393278.000000,-1353753543617.000000,,,-1353753543617.000000,,,55955150339.000000,-1297798393278.000000,194414713941.000000,-7478389026.000000,84633658042.000000,-82233618970.000000,-467282442.000000,,-9411145656.000000,-7478389026.000000,186936324915.000000,-59764888552.000000,127171436363.000000,9129654534.000000,136301090897.000000,127171436363.000000,172687391659.000000,-45515955296.000000,127171436363.000000,136301090897.000000,181140061333.000000,-44838970436.000000,136301090897.000000
