Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk:,Pemasok,Karyawan,Beban Usaha,Total Pembayaran Kas Untuk:,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lainnya",Penerimaan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan & Jasa Keuangan,Pembayaran Liabilitas Imbalan Kerja,Penerimaan Tagihan Pajak Penghasilan,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Uang Muka Pembelian,Uang Muka Untuk Perolehan Aset Tetap,Piranti Lunak Komputer,Total Uang Muka Pembelian,Pembayaran Untuk Perolehan Kepemilikan Pada Entitas Asosiasi,Hasil Pelepasan Investasi Saham Pada Entitas Anak,Investasi Pada Entitas Asosiasi,Investasi Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Modal Disetor,Penerimaan Dari Saham Mesop Tahap 1,Utang Bank:,Penerimaan,Pembayaran,Total Utang Bank:,Utang Lain-Lain:,Penerimaan,Pembayaran,Total Utang Lain-Lain:,Penerimaan Deviden Dari Entitas Anak,Pembayaran Deviden Ke Pemegang Saham,Pembayaran Utang Sewa Pembiayaan,Pembayaran Saham Non Pengendali,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Nonpengendali,Pembayaran Utang Pembiayan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Bunga Atas Liabilitas Sewa,Pembayaran Atas Utang Pembelian Aset Tetap,Deposito Berjangka,Penerimaan (Pembayaran) Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Efek Neto Pelepasan Investasi Saham Pada Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2012,-4963820792.000000,160397110460.000000,,-106959974336.000000,-24396049208.000000,-19937573317.000000,-151293596861.000000,,67727475.000000,-4236260046.000000,-6530520877.000000,,,-3368280943.000000,-4963820792.000000,-16842355759.000000,-18161135337.000000,41000000.000000,,,,-350000000.000000,-350000000.000000,,-1052220422.000000,,2680000000.000000,-16842355759.000000,19399714332.000000,,,,38505525942.000000,-11428185283.000000,27077340659.000000,,1041829200.000000,-4504557715.000000,-3462728515.000000,,-1440000000.000000,-674897812.000000,,-2100000000.000000,,,,,,,,19399714332.000000,-2406462219.000000,10283523456.000000,231934414.000000,-2789347662.000000,5319647989.000000
12M 2013,32608048455.000000,192576241350.000000,,-70474614731.000000,-30060765364.000000,-30733354843.000000,-131268734938.000000,,165289752.000000,-9711871853.000000,-20110919125.000000,,,958043269.000000,32608048455.000000,-53384672773.000000,-53384672773.000000,,,,,,,,,,,-53384672773.000000,34133912247.000000,60500000000.000000,,,65383983590.000000,-84720542431.000000,-19336558841.000000,,1018561359.000000,-743752063.000000,274809296.000000,,-5922266472.000000,-1382071736.000000,,,,,,,,,,34133912247.000000,13357287929.000000,5319647989.000000,,,18676935918.000000
12M 2014,-8934864561.000000,221306720849.000000,,-139953718819.000000,-125595085.000000,-65517280696.000000,-205596594600.000000,,1400660658.000000,-10730460826.000000,-15481731953.000000,,,166541311.000000,-8934864561.000000,-68856290495.000000,-68921290495.000000,65000000.000000,,,,,,,,,,-68856290495.000000,117241372919.000000,,,,215123684778.000000,-100176647916.000000,114947036862.000000,,4909850716.000000,-318576107.000000,4591274609.000000,,,-2296938552.000000,,,,,,,,,,117241372919.000000,39450217863.000000,18676935918.000000,,,58127153781.000000
12M 2015,12492895463.000000,220099785008.000000,,-107158806050.000000,-390385800.000000,-67667467507.000000,-175216659357.000000,,1127295682.000000,-8694319922.000000,-24823205948.000000,,,,12492895463.000000,-19437180285.000000,-19878180285.000000,441000000.000000,,,,,,,,,,-19437180285.000000,-40281997165.000000,152250000.000000,,,,-31456053171.000000,-31456053171.000000,,,-1006579524.000000,-1006579524.000000,-5978714330.000000,,-1992900140.000000,,,,,,,,,,-40281997165.000000,-47226281987.000000,58127153781.000000,,,10900871794.000000
12M 2016,39892829665.000000,181379368279.000000,,-64035236385.000000,-237381814.000000,-53883429189.000000,-118156047388.000000,,336328506.000000,-7159975603.000000,-16843110570.000000,,,336266441.000000,39892829665.000000,-7557450121.000000,-7986650121.000000,429200000.000000,,,,,,,,,,-7557450121.000000,-24465864999.000000,,,,,-20491733470.000000,-20491733470.000000,,,,,-2856630971.000000,,-1117500558.000000,,,,,,,,,,-24465864999.000000,7869514545.000000,10900871794.000000,,,18770386339.000000
12M 2017,8238805310.000000,164251693520.000000,,-67902624883.000000,-34927465569.000000,-30025302869.000000,-132855393321.000000,,266125205.000000,-8019790683.000000,-14789896116.000000,,,-613933295.000000,8238805310.000000,-6992509055.000000,-6663949055.000000,,-328560000.000000,,,,,,,,,-6992509055.000000,-5049652113.000000,,,,,-1039495725.000000,-1039495725.000000,,,,,-3227280000.000000,,-424595778.000000,,,,,,-261747722.000000,-96532888.000000,,,-5049652113.000000,-3803355858.000000,8770386339.000000,,,4967030481.000000
12M 2018,27583121972.000000,204175720402.000000,,-91728708816.000000,-39863585492.000000,-29102995555.000000,-160695289863.000000,,491791985.000000,-6370347975.000000,,,,-10018752577.000000,27583121972.000000,-8544353253.000000,-5244353253.000000,,,,,,,-3300000000.000000,,,,-8544353253.000000,-14275489472.000000,,,,,-13867225053.000000,-13867225053.000000,,,,,,,-59035500.000000,,,,,,-74016000.000000,-275212919.000000,,,-14275489472.000000,4763279247.000000,4967030481.000000,,,9730309728.000000
12M 2019,37059345494.000000,245914483712.000000,,-120079824962.000000,-51867117327.000000,-27599620115.000000,-199546562404.000000,,541891245.000000,-13502335577.000000,-14867170551.000000,,,18519039069.000000,37059345494.000000,-31808120746.000000,-16093433650.000000,504460000.000000,-219147096.000000,,,,,-16000000000.000000,,,,-31808120746.000000,-4017711240.000000,,,,7172982723.000000,-8136549716.000000,-963566993.000000,,,,,,,-438465286.000000,,,,,,-233468093.000000,-119700704.000000,,-2262510164.000000,-4017711240.000000,1233513508.000000,9730309728.000000,,,10963823236.000000
12M 2020,25431274798.000000,273231078667.000000,,,,,,-212503046783.000000,806725066.000000,-20555299403.000000,-15548182749.000000,,,,25431274798.000000,-19865787534.000000,-12683737345.000000,2949811.000000,,,,,,-7185000000.000000,,,,-19865787534.000000,-3168111388.000000,,,,7680800000.000000,-9393750415.000000,-1712950415.000000,,,,,,,,,,-2001559845.000000,,,,,546398872.000000,,-3168111388.000000,2397375876.000000,10963823236.000000,,,13361199112.000000
12M 2021,19860831566.000000,265133123344.000000,,,,,,-221218443353.000000,565518568.000000,-10291768441.000000,-13927748712.000000,-399849840.000000,,,19860831566.000000,-12268940952.000000,-12050669110.000000,352090908.000000,-570362750.000000,,,,,,,,,-12268940952.000000,-4222322337.000000,,,,2915466529.000000,-4850196153.000000,-1934729624.000000,,,,,,,,,,-2252592713.000000,-33918665.000000,-1081335.000000,,,,,-4222322337.000000,3369568277.000000,13361199112.000000,,,16730767389.000000
