Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,153699210713.000000,-68515206135.000000,85184004578.000000,-46911914427.000000,-25921676868.000000,-25320845563.000000,4330608004.000000,-46911914427.000000,38272090151.000000,-10110222942.000000,-1899885717.000000,,67727475.000000,,-6530520877.000000,-1747543823.000000,-10110222942.000000,28161867209.000000,-8539470412.000000,,,,-8539470412.000000,19622396797.000000,,19622396797.000000,19622396797.000000,18646602971.000000,975793826.000000,19622396797.000000,19622396797.000000,18646602971.000000,975793826.000000,19622396797.000000
12M 2013,184161222868.000000,-85435866938.000000,98725355930.000000,-44866778637.000000,-39285116719.000000,-21509003488.000000,15927341570.000000,-44866778637.000000,53858577293.000000,-19946833373.000000,,,165289752.000000,,-20112123125.000000,,-19946833373.000000,33911743920.000000,-9711871853.000000,,,,-9711871853.000000,24199872067.000000,,24199872067.000000,24199872068.000000,20569891258.000000,3629980810.000000,24199872068.000000,24199872068.000000,20569891258.000000,3629980810.000000,24199872068.000000
12M 2014,256881565791.000000,-133681942114.000000,123199623677.000000,-65407221799.000000,-37990840444.000000,-34838023932.000000,7421642577.000000,-65407221799.000000,57792401878.000000,-14614070941.000000,,,1400660658.000000,,-16014731599.000000,,-14614070941.000000,43178330937.000000,-11221564241.000000,,,,-11221564241.000000,31956766696.000000,,31956766696.000000,31956766696.000000,31959326818.000000,-2560122.000000,31956766696.000000,31956766696.000000,31959326818.000000,-2560122.000000,31956766696.000000
12M 2015,202115388442.000000,-80504548493.000000,121610839949.000000,-71705825370.000000,-39823905580.000000,-35160474535.000000,3278554745.000000,-71705825370.000000,49905014579.000000,-23695929442.000000,,,1127276506.000000,,-24823205948.000000,,-23695929442.000000,26209085137.000000,-7765510591.000000,,,,-7765510591.000000,18443574546.000000,-1912181772.000000,16531392774.000000,18443574546.000000,18447541195.000000,-3966649.000000,18443574546.000000,16531392774.000000,16535359423.000000,-3966649.000000,16531392774.000000
12M 2016,170213172087.000000,-66810329122.000000,103402842965.000000,-65186942200.000000,-35439002652.000000,-29747939548.000000,,-65186942200.000000,38215900765.000000,-15610758331.000000,,,,,-16843110570.000000,1232352239.000000,-15610758331.000000,22605142434.000000,-6733259519.000000,,,,-6733259519.000000,15871882915.000000,5371414253.000000,21243297168.000000,15871882915.000000,15885342753.000000,-13459838.000000,15871882915.000000,21243297168.000000,21256757006.000000,-13459838.000000,21243297168.000000
12M 2017,168065942352.000000,-66441119482.000000,101624822870.000000,-66868926474.000000,-36646482231.000000,-30222444243.000000,,-66868926474.000000,34755896396.000000,-15556290973.000000,-854414103.000000,,362910761.000000,,-15156654421.000000,91866790.000000,-15556290973.000000,19199605423.000000,-5277612742.000000,-5809693750.000000,569878568.000000,-37797560.000000,-5277612742.000000,13921992681.000000,-2555938414.000000,11366054267.000000,13921992681.000000,13938362557.000000,-16369876.000000,13921992681.000000,11366054267.000000,11382641604.000000,-16587337.000000,11366054267.000000
12M 2018,216508943536.000000,-83550991275.000000,132957952261.000000,-75023342612.000000,-37195895951.000000,-37827446661.000000,,-75023342612.000000,57934609649.000000,-17281569810.000000,-3640507145.000000,,491791985.000000,-34726660.000000,-14400185454.000000,302057464.000000,-17281569810.000000,40653039839.000000,-10250978638.000000,-10184191952.000000,,-66786686.000000,-10250978638.000000,30402061201.000000,-2252059605.000000,28150001596.000000,30402061201.000000,30385796476.000000,16264725.000000,30402061201.000000,28150001596.000000,28133736871.000000,16264725.000000,28150001596.000000
12M 2019,242761693999.000000,-97996322205.000000,144765371794.000000,-96555220133.000000,-49001157478.000000,-47554062655.000000,,-96555220133.000000,48210151661.000000,-13959225065.000000,1596895350.000000,-280415381.000000,541891245.000000,-415189018.000000,-15334845364.000000,-67561897.000000,-13959225065.000000,34250926596.000000,-8506484979.000000,-8442405019.000000,,-64079960.000000,-8506484979.000000,25744441617.000000,27634911.000000,25772076528.000000,25744441617.000000,25726966584.000000,17475033.000000,25744441617.000000,25772076528.000000,25754613416.000000,17463112.000000,25772076528.000000
12M 2020,248930980599.000000,-105037449253.000000,143893531346.000000,-90855388451.000000,-43738424695.000000,-47116963756.000000,,-90855388451.000000,53038142895.000000,-14053155720.000000,-1445293045.000000,,806669844.000000,-273300712.000000,-15827581619.000000,2686349812.000000,-14053155720.000000,38984987175.000000,-8832527395.000000,-8613837060.000000,-217651111.000000,-1039224.000000,-8832527395.000000,30152459780.000000,-258171850.000000,29894287930.000000,30152459780.000000,30051939238.000000,100520542.000000,30152459780.000000,29894287930.000000,29797397413.000000,96890517.000000,29894287930.000000
12M 2021,252448924906.000000,-108092657082.000000,144356267824.000000,-104835884988.000000,-59543058190.000000,-45292826798.000000,,-104835884988.000000,39520382836.000000,-10855058107.000000,-915211953.000000,,565518568.000000,1017449105.000000,-13928517454.000000,2405703627.000000,-10855058107.000000,28665324729.000000,-7993092605.000000,-8087315091.000000,108466452.000000,-14243966.000000,-7993092605.000000,20672232124.000000,3674499776.000000,24346731900.000000,20672232124.000000,19453658649.000000,1218573475.000000,20672232124.000000,24346731900.000000,23128448376.000000,1218283524.000000,24346731900.000000
12M 2022,295022431265.000000,-136453649371.000000,158568781894.000000,-117248147179.000000,-52295813311.000000,-64952333868.000000,,-117248147179.000000,41320634715.000000,-14479030672.000000,-1576881883.000000,,667894210.000000,1652456179.000000,-14654145025.000000,-568354153.000000,-14479030672.000000,26841604043.000000,-12787322625.000000,-11427652742.000000,-1359669883.000000,,-12787322625.000000,14054281418.000000,-302043662.000000,13752237756.000000,14054281418.000000,12766514074.000000,1287767344.000000,14054281418.000000,13752237756.000000,12462732853.000000,1289504903.000000,13752237756.000000
