Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Pembelian Aset Tetap,Utang Lain Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Pembelian Aset Tetap,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,5319647989.000000,,32102975019.000000,228104261.000000,31874870758.000000,32102975019.000000,4379766870.000000,,,4379766870.000000,85309165633.000000,14076897527.000000,141188453038.000000,,172143752.000000,36383470570.000000,,,620589175.000000,215050000.000000,37391253497.000000,,178579706535.000000,,,66208567406.000000,,9577923136.000000,8957575557.000000,18535498693.000000,33077648951.000000,8657562730.000000,1165576696.000000,1248224234.000000,,,1248224234.000000,,1476973954.000000,436848327.000000,759454703.000000,,,2673276984.000000,850779118.000000,66208567406.000000,43873101929.000000,,11424860190.000000,528407171.000000,514299231.000000,,29063714423.000000,41531281015.000000,2341820914.000000,43873101929.000000,110081669335.000000,,10000420000.000000,4370431826.000000,54226994969.000000,,,54226994969.000000,34673013.000000,-134482608.000000,68498037200.000000,,178579706535.000000,11390.000000
12M 2013,,,18676935918.000000,,41875974563.000000,,41875974563.000000,41875974563.000000,994030273.000000,,,994030273.000000,119772921592.000000,26769185597.000000,208089047943.000000,,,86750180574.000000,,,706650638.000000,3932697500.000000,91389528712.000000,,299478576655.000000,,,74159675347.000000,,9704779953.000000,5256472254.000000,14961252207.000000,44553942220.000000,3283132587.000000,956550294.000000,6216009874.000000,,,6216009874.000000,,,987258082.000000,,,,987258082.000000,3201530083.000000,74159675347.000000,41603188518.000000,,37396900157.000000,660972185.000000,,,3545316176.000000,41603188518.000000,,41603188518.000000,115762863865.000000,,140500000000.000000,4370431826.000000,38945090557.000000,,,38945090557.000000,34673014.000000,-134482608.000000,183715712789.000000,,299478576654.000000,1405000000.000000
12M 2014,,,58127153781.000000,,76350235749.000000,1894417593.000000,74455818156.000000,76350235749.000000,1575086646.000000,,,1575086646.000000,128912575300.000000,19034286884.000000,283999338360.000000,,,154845426928.000000,,,879064644.000000,,155724491572.000000,,439723829932.000000,,,206129979038.000000,,12483841554.000000,5345287657.000000,17829129211.000000,49126526588.000000,2446590673.000000,27075751.000000,,1073954252.000000,4500998893.000000,5574953145.000000,,126329117762.000000,1637594183.000000,,,,127966711945.000000,3158991725.000000,206129979038.000000,21340630745.000000,,14907934177.000000,,,,1468842615.000000,16376776792.000000,4963853953.000000,21340630745.000000,227470609783.000000,,107500000000.000000,33427734326.000000,71432642336.000000,,,71432642336.000000,27326094.000000,-134482608.000000,212253220148.000000,,439723829931.000000,1405000000.000000
12M 2015,,,10900871794.000000,,58365839183.000000,20688821.000000,58345150362.000000,58365839183.000000,1200062397.000000,,,1200062397.000000,159792913619.000000,26875616097.000000,257135303090.000000,,,163588285518.000000,,,1149158505.000000,,164737444023.000000,,421872747113.000000,,,177093362706.000000,,19024952634.000000,3030257341.000000,22055209975.000000,25635045989.000000,1139204984.000000,607497617.000000,,477097500.000000,4091276121.000000,4568373621.000000,,118467259804.000000,1064581767.000000,,,,119531841571.000000,3556188949.000000,177093362706.000000,24168630111.000000,,14805219565.000000,,,,489548839.000000,15294768404.000000,8873861707.000000,24168630111.000000,201261992817.000000,,107576000000.000000,33503984326.000000,79641973216.000000,,,79641973216.000000,23279363.000000,-134482608.000000,220610754297.000000,,421872747114.000000,1075760000.000000
12M 2016,,,18770386339.000000,,47199642991.000000,1048047298.000000,46151595693.000000,47199642991.000000,999115551.000000,,,999115551.000000,151431399318.000000,15115775995.000000,233516320194.000000,,,173059344587.000000,,,1410134236.000000,,174469478823.000000,,407985799017.000000,,,154451484608.000000,,12896407143.000000,3572381267.000000,16468788410.000000,20937121560.000000,1974823172.000000,31751948.000000,,477097500.000000,4022422786.000000,4499520286.000000,,106088008010.000000,233377412.000000,,,,106321385422.000000,4218093810.000000,154451484608.000000,14280463740.000000,,10751890179.000000,,,,203252636.000000,10955142815.000000,3325320925.000000,14280463740.000000,168731948348.000000,,107576000000.000000,33937353656.000000,97835160094.000000,,,97835160094.000000,39819525.000000,-134482608.000000,239253850667.000000,,407985799015.000000,1075760000.000000
12M 2017,,,15063563369.000000,,51013891822.000000,1067202602.000000,49946689220.000000,51013891822.000000,1045368784.000000,42885800.000000,1002482984.000000,1045368784.000000,159429959785.000000,17803702659.000000,244356486419.000000,,,173517072505.000000,424246500.000000,,2831992275.000000,2051509281.000000,178824820561.000000,,423181306980.000000,,,162612162913.000000,,17712037788.000000,5293805688.000000,23005843476.000000,127926800000.000000,1780218510.000000,616277683.000000,,979337500.000000,3985022786.000000,4964360286.000000,,3220384050.000000,12034270.000000,,74016000.000000,,3306434320.000000,1012228638.000000,162612162913.000000,13176519133.000000,,5394328252.000000,,,67848000.000000,,5462176252.000000,7714342881.000000,13176519133.000000,175788682046.000000,,107576000000.000000,33937353656.000000,105990521698.000000,16000000000.000000,89990521698.000000,105990521698.000000,23232188.000000,-134482608.000000,247392624934.000000,,423181306980.000000,1075760000.000000
12M 2018,,,9730309728.000000,10371745807.000000,63347114956.000000,1126732689.000000,62220382267.000000,63347114956.000000,921290149.000000,391462939.000000,529827210.000000,921290149.000000,162845314432.000000,19120791751.000000,266336566823.000000,,,174283415905.000000,341821843.000000,3265273340.000000,4024767608.000000,2051509281.000000,183966787977.000000,,450303354800.000000,,,161275642980.000000,,15204984598.000000,3038495984.000000,18243480582.000000,120389399000.000000,6102937971.000000,757768138.000000,,479339588.000000,10955022786.000000,11434362374.000000,,2088393369.000000,453100966.000000,,67848000.000000,,2609342335.000000,1738352580.000000,161275642980.000000,13435085290.000000,,1269444880.000000,244207776.000000,,,,1513652656.000000,11921432634.000000,13435085290.000000,174710728270.000000,,107576000000.000000,33937353656.000000,134124258569.000000,16000000000.000000,118124258569.000000,134124258569.000000,89496913.000000,-134482608.000000,275592626530.000000,,450303354800.000000,1075760000.000000
12M 2019,,,10963823236.000000,10491446511.000000,60194325243.000000,1126732689.000000,59067592554.000000,60194325243.000000,3524107858.000000,,,3524107858.000000,180839287377.000000,11525156175.000000,277538146400.000000,,,187217815781.000000,380316536.000000,18850084322.000000,5296891292.000000,1577401385.000000,213322509316.000000,,490860655716.000000,,,172681301594.000000,,11371594457.000000,2782356313.000000,14153950770.000000,120610908381.000000,2050053817.000000,432632912.000000,,511904955.000000,29524258082.000000,30036163037.000000,,320877504.000000,258843456.000000,,1112229422.000000,,1691950382.000000,3705642295.000000,172681301594.000000,16814651064.000000,,1067771682.000000,,,1522556848.000000,,2590328530.000000,14224322534.000000,16814651064.000000,189495952658.000000,,107576000000.000000,33937353656.000000,159878871985.000000,16000000000.000000,143878871985.000000,159878871985.000000,106960025.000000,-134482608.000000,301364703058.000000,,490860655716.000000,1075760000.000000
12M 2020,,,13361199112.000000,10661447897.000000,63949833306.000000,1126732689.000000,62823100617.000000,63949833306.000000,5118579034.000000,3202473094.000000,1916105940.000000,5118579034.000000,185623386596.000000,11822576346.000000,290537022291.000000,,,204487863689.000000,259092392.000000,10576783611.000000,5152057884.000000,1207819262.000000,221683616838.000000,,512220639129.000000,,,162664484708.000000,,12148733312.000000,2375925185.000000,14524658497.000000,119488929028.000000,3989480158.000000,364088818.000000,,9949680.000000,21112325459.000000,21122275139.000000,,374983934.000000,,1958520696.000000,,,2333504630.000000,841548438.000000,162664484708.000000,16335119306.000000,,674982927.000000,,1511763275.000000,,,2186746202.000000,14148373104.000000,16335119306.000000,178999604014.000000,,107576000000.000000,33937353656.000000,189676269398.000000,16000000000.000000,173676269398.000000,189676269398.000000,2031412061.000000,,333221035115.000000,,512220639129.000000,1075760000.000000
12M 2021,,,21566665738.000000,10636811491.000000,54753896950.000000,2115494369.000000,52638402581.000000,54753896950.000000,8976787016.000000,5739035548.000000,3237751468.000000,8976787016.000000,190144968351.000000,21256415518.000000,307335545064.000000,,,212753597804.000000,621079536.000000,14155446256.000000,4224126964.000000,3239290026.000000,234993540586.000000,,542329085650.000000,,,165727263794.000000,,11212104213.000000,3109606060.000000,14321710273.000000,117552798597.000000,4028862151.000000,887597045.000000,,30000000.000000,21781413402.000000,21811413402.000000,,1125159992.000000,300892519.000000,2371385698.000000,,,3797438209.000000,3327444117.000000,165727263794.000000,15134095961.000000,,2094610716.000000,88295411.000000,1417758160.000000,,,3600664287.000000,11533431674.000000,15134095961.000000,180861359755.000000,,107576000000.000000,33937353656.000000,212804717774.000000,16000000000.000000,196804717774.000000,212804717774.000000,9160506051.000000,-2010851586.000000,361467725895.000000,,542329085650.000000,1075760000.000000
