Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,6010830.92,0.00,6010830.92,36 B,42 B,77 B,72 B,75 B
12M 2013,1.72,130.73,1.72,130.73,46 B,42 B,87 B,68 B,134 B
12M 2014,2.85,151.05,2.85,151.05,177 B,16 B,193 B,135 B,78 B
12M 2015,1.08,205.05,1.08,205.05,145 B,15 B,160 B,150 B,80 B
12M 2016,1.34,222.37,1.34,222.37,127 B,11 B,11 B,119 B,79 B
12M 2017,0.87,229.95,0.87,229.55,131 B,5 B,137 B,122 B,82 B
12M 2018,0.73,256.10,0.73,255.78,123 B,2 B,125 B,115 B,105 B
12M 2019,0.66,280.04,0.66,279.69,122 B,3 B,125 B,114 B,105 B
12M 2020,0.50,307.87,0.50,307.62,122 B,2 B,124 B,111 B,128 B
12M 2021,0.67,327.50,0.67,326.92,121 B,4 B,125 B,103 B,142 B
12M 2022,0.58,338.54,0.58,337.97,119 B,4 B,123 B,107 B,137 B
12M 2023,0.51,364.90,0.51,364.14,122 B,5 B,127 B,108 B,133 B
12M 2024,0.48,369.00,0.48,368.45,139 B,7 B,146 B,137 B,116 B
