Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Bunga Dan Sewa,Retribusi Pajak - Bersih,Penerimaan Restitusi Pajak,Pendapatan Lain-Lain,Pembayaran Asuransi,Pembayaran Beban Keuangan,Pembayaran Jaminan,Hasil Dari Klaim Asuransi,Pembayaran Bunga Dan Denda,Pengembalian Atas Lebih Bayar Pph Badan 2005,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penambahan Uang Muka Penyertaan Saham,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Kembali Uang Muka Untuk Perolehan Aset Tetap,Pengembalian Uang Muka Investasi Saham,Perolehan Aset Tetap,Pencairan (Penempatan) Deposito,Pencairan Investasi Jangka Pendek,Penambahan Investasi Saham,Pendapatan Deviden,Pembayaran Dividen,Pengambilalihan Saham Kepentingan Nonpengendali,Penambahan Properti Investasi,Penambahan Investasi Pada Entitas Asosiasi,Penerimaan Bunga,Pembayaran Sewa Aset,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penyertaan Saham Kepentingan Non Pengendali,Penambahan (Pembayaran) Hutang Bank,Penambahan Utang Bank,Pembayaran Utang Bank,Total Penambahan (Pembayaran) Hutang Bank,Penambahan Hutang Bank Jangka Panjang,Pembayaran Hutang Bank Jangka Panjang,Penambahan Hutang Lembaga Keuangan,Pembayaran Hutang Lembaga Keuangan,Jaminan Distributor,Penambahan Piutang Pihak Berelasi,Pelunasan (Penambahan) Piutang Lain-Lain - Pihak Berelasi,Penambahan Utang Pihak Berelasi,Pelunasan Utang Pihak Berelasi,Penambahan Hutang Obligasi,Pembayaran Hutang Obligasi,Pembayaran Dividen,Pembayaran Beban Emisi Obligasi,Penambahan Modal Dari Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Cadangan Penurunan Nilai Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-9779515730.000000,671751971629.000000,-666667826940.000000,533438320.000000,,,842422324.000000,,-10221698048.000000,,,,,-6017823015.000000,-9779515730.000000,-61477789955.000000,960000000.000000,,,,,-37162539955.000000,,,,,,,-25275250000.000000,,,,-61477789955.000000,69099162239.000000,,,68772580542.000000,,68772580542.000000,,,,,326581697.000000,,,,,,,,,,69099162239.000000,,-2158143446.000000,7296332520.000000,,,5138189074.000000
12M 2009,99952885153.000000,695674892707.000000,-580977812282.000000,40652901.000000,,,,,-8900180607.000000,,,,,-5884667566.000000,99952885153.000000,-15955927413.000000,678016000.000000,,,,,-16633943413.000000,,,,,,,,,,,-15955927413.000000,-81457068474.000000,,,-81457068474.000000,,-81457068474.000000,,,,,,,,,,,,,,,-81457068474.000000,,2539889266.000000,5138189074.000000,,,7678078340.000000
12M 2010,-13517981904.000000,785166436623.000000,-787000413186.000000,37708900.000000,,,,,-6334613498.000000,,2273027217.000000,,,-7660127960.000000,-13517981904.000000,-27219453753.000000,120909091.000000,,,,,-26590362844.000000,-750000000.000000,,,,,,,,,,-27219453753.000000,41368392867.000000,,,882528539370.000000,-841160146503.000000,41368392867.000000,,,,,,,,,,,,,,,41368392867.000000,,630957210.000000,7678078340.000000,,,8309035550.000000
12M 2011,89728684467.000000,1129178216278.000000,-1019755707949.000000,33146819.000000,,,614434692.000000,,-9783797384.000000,,,,,-10557607989.000000,89728684467.000000,-295364823989.000000,133568183.000000,,,,,-296248392172.000000,750000000.000000,,,,,,,,,,-295364823989.000000,203678079895.000000,50000000.000000,,1272989823684.000000,-1095818743789.000000,177171079895.000000,,,,,,-43000000.000000,,26500000000.000000,,,,,,,203678079895.000000,,-1958059627.000000,8309035550.000000,,,6350975923.000000
12M 2012,24460960446.000000,1338580659544.000000,-1271876923229.000000,204389907.000000,,,661198141.000000,,-25880479859.000000,,,,,-17227884058.000000,24460960446.000000,-186333476390.000000,920345453.000000,,-37591674504.000000,,,-105562147339.000000,-44100000000.000000,,,,,,,,,,-186333476390.000000,163812211037.000000,15000000000.000000,,3052155615764.000000,-2905226762360.000000,146928853404.000000,,,,,,-15000000000.000000,,16883357633.000000,,,,,,,163812211037.000000,,1939695093.000000,6350975923.000000,13920415.000000,,8304591431.000000
12M 2013,58655739190.000000,1830411833585.000000,-1712469037262.000000,671893805.000000,,,9836139118.000000,,-38527682322.000000,,,,,-31267407734.000000,58655739190.000000,-151623548332.000000,12052359879.000000,,-53021919199.000000,,,-137834297012.000000,,27180308000.000000,,,,,,,,,-151623548332.000000,94984424983.000000,,,4262066966250.000000,-4274077696566.000000,-12010730316.000000,141450000000.000000,-36534844701.000000,3832000000.000000,-1916000000.000000,,164000000.000000,,,,,,,,,94984424983.000000,,2016615841.000000,8304591431.000000,12151926.000000,,10333359198.000000
12M 2014,198516135904.000000,2340219228997.000000,-2060794752233.000000,1132584101.000000,,10389817950.000000,13340750768.000000,,-52430677415.000000,,,,,-53340816264.000000,198516135904.000000,-230464942295.000000,1687009089.000000,,-140157318497.000000,,,-92187632887.000000,,193000000.000000,,,,,,,,,-230464942295.000000,30764501441.000000,,,3266373529740.000000,-3377235265698.000000,-110861735958.000000,39700000000.000000,-88022762338.000000,,-1916000000.000000,,36000000.000000,,,-54854234247.000000,250000000000.000000,,,-3316766016.000000,,30764501441.000000,,-1184304950.000000,10333359198.000000,16637579.000000,,9165691827.000000
12M 2015,194843122728.000000,2766017442274.000000,-2467752251734.000000,1096855758.000000,,,15586181098.000000,,-68882910848.000000,,,,,-51222193820.000000,194843122728.000000,-244350415675.000000,8283074119.000000,-76400000000.000000,-62495926137.000000,10000000000.000000,,-133088563657.000000,,9351000000.000000,,,,,,,,,-244350415675.000000,50164482090.000000,,,3983587402661.000000,-3938578423542.000000,45008979119.000000,80300000000.000000,-57685448993.000000,6297200000.000000,-3211991940.000000,,45000000.000000,,,4628393244.000000,,-35000000000.000000,,,9782350660.000000,50164482090.000000,,657189143.000000,9165691827.000000,-7708731.000000,,9815172239.000000
12M 2016,166186126054.000000,2812924501582.000000,-2556162596327.000000,10471317774.000000,,,16096801763.000000,,-71798849557.000000,,,,,-45345049181.000000,166186126054.000000,-339686560362.000000,40909091.000000,-19500000000.000000,-55012137328.000000,,40000000000.000000,-99835983297.000000,,-190429348828.000000,,,,-14950000000.000000,,,,,-339686560362.000000,189124769166.000000,,-238407534287.000000,,,-238407534287.000000,,-64668518588.000000,,-3085208060.000000,,-4746850000.000000,,,-46861894.000000,500000000000.000000,,,-2720508773.000000,2800250768.000000,189124769166.000000,,15624334858.000000,9815172239.000000,-40601292.000000,,25398905805.000000
12M 2017,301239769296.000000,3090817273031.000000,-2696484410311.000000,9541369163.000000,,,36315557984.000000,,-78262287403.000000,,,,,-60687733168.000000,301239769296.000000,7275400045.000000,38181818.000000,,,,,-25895177329.000000,,33270395556.000000,,,,,-138000000.000000,,,,7275400045.000000,-263419427248.000000,,13313857223.000000,,,13313857223.000000,,-67125694471.000000,,,,-224750000.000000,,,5297160000.000000,,-215000000000.000000,,,320000000.000000,-263419427248.000000,,45095742093.000000,24759150419.000000,99974928.000000,,69954867440.000000
12M 2018,245006975842.000000,3035794864122.000000,-2699004635996.000000,17433447867.000000,,,34662775867.000000,,-54068571704.000000,,,,,-89810904314.000000,245006975842.000000,-224855119317.000000,62218182.000000,-3500000000.000000,-17865224474.000000,,,-10292448596.000000,,-180608516429.000000,,,,,-3901148000.000000,-8750000000.000000,,,-224855119317.000000,-26261229113.000000,,-1487391897.000000,,,-1487391897.000000,,-23313059995.000000,,,,-1031985871.000000,,,-3798791350.000000,,,,,3370000000.000000,-26261229113.000000,,-6109372588.000000,69954867440.000000,261313623.000000,,64106808475.000000
12M 2019,499922010752.000000,3078344422903.000000,-2496224830427.000000,10213008603.000000,,,39034114332.000000,,-38620788761.000000,,,,,-92823915898.000000,499922010752.000000,-182053329010.000000,3318725727.000000,,-329718922531.000000,,,-73546293907.000000,,209143161701.000000,,,,,,8750000000.000000,,,-182053329010.000000,-275002698121.000000,,12397585549.000000,,,12397585549.000000,,,,,,-8971554402.000000,,,6396270732.000000,,-300000000000.000000,,,15175000000.000000,-275002698121.000000,,42865983621.000000,64106808475.000000,-655650340.000000,-5590000000.000000,100727141756.000000
12M 2020,926245668352.000000,3568611108810.000000,-2571416899991.000000,15550205750.000000,,,51570182858.000000,,-22110081169.000000,,,,,-115958847906.000000,926245668352.000000,-844525649794.000000,104036364.000000,,-24215123665.000000,,,-231719162493.000000,,-448690000000.000000,-40000000000.000000,,-100005400000.000000,,,,,,-844525649794.000000,-31870948952.000000,,-27668470562.000000,,,-27668470562.000000,,,,,,8413292342.000000,,,-12665770732.000000,,,,,50000000.000000,-31870948952.000000,,49849069606.000000,100727141756.000000,563682813.000000,-8000000000.000000,143139894175.000000
12M 2021,624353076652.000000,4606266016908.000000,-3948050330118.000000,20819221234.000000,,,114753637557.000000,,-11040852347.000000,,,,,-158394616582.000000,624353076652.000000,-368008129066.000000,653928813.000000,,-3653738425.000000,,,-62008319454.000000,,-303000000000.000000,,,,,,,,,-368008129066.000000,-193539661871.000000,,7672217594.000000,,,7672217594.000000,,,,,,-1192879465.000000,,,-94000000.000000,,-200000000000.000000,,,75000000.000000,-193539661871.000000,,62805285715.000000,143139894175.000000,1125598374.000000,3050300.000000,207073828564.000000
12M 2022,677186311780.000000,5415861181337.000000,-4788482188038.000000,28306167718.000000,,,155625987899.000000,,-33799846.000000,,,,,-134091037290.000000,677186311780.000000,-645244791400.000000,2105755045.000000,,-27497210398.000000,,,-81613336047.000000,,-538240000000.000000,,,,,,,,,-645244791400.000000,-1894878369.000000,,-10999428515.000000,,,-10999428515.000000,,,,,,-4008322664.000000,,,13062872810.000000,,,,,50000000.000000,-1894878369.000000,,30046642011.000000,207073828564.000000,4648662920.000000,,241769133495.000000
12M 2023,1040203617434.000000,5291592918146.000000,-4195793581667.000000,66187178994.000000,,,72619802539.000000,,-8293573.000000,,,,,-194394407005.000000,1040203617434.000000,-1011699992873.000000,2478140770.000000,,-1670167339.000000,,,-114413166304.000000,,-898094800000.000000,,,,,,,,,-1011699992873.000000,540151380.000000,,,,,,,,,,,476253320.000000,,,6000000.000000,,,,,57898060.000000,540151380.000000,,29043775941.000000,241769133495.000000,4723305140.000000,,275536214576.000000
12M 2024,1028899613407.000000,5250247282517.000000,-4149168570333.000000,120770099449.000000,,,37548438268.000000,,-300093.000000,,,,,-230497336401.000000,1028899613407.000000,177196731433.000000,33981550255.000000,,-629820514.000000,,,-74761733728.000000,,5749200000.000000,,212857535420.000000,,,,,,,177196731433.000000,-14288188635.000000,,,,,,,,,,,-1255815825.000000,,,-13082372810.000000,,,,,50000000.000000,-14288188635.000000,,1191808156205.000000,275536214576.000000,18813783911.000000,,1486158154692.000000
