Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.54,277.43,0.54,277.43,114 B,,114 B,109 B,50 B
12M 2009,0.81,308.79,0.81,308.79,33 B,,33 B,25 B,76 B
12M 2010,1.13,341.33,1.13,341.33,74 B,,74 B,66 B,121 B
12M 2011,1.85,373.91,1.85,373.91,176 B,101 B,277 B,271 B,11 B
12M 2012,2.44,430.88,2.44,430.88,342 B,56 B,398 B,389 B,(1 B)
12M 2013,2.99,518.26,2.99,518.26,361 B,132 B,492 B,482 B,85 B
12M 2014,4.70,612.53,4.70,612.53,281 B,297 B,579 B,570 B,261 B
12M 2015,4.01,751.06,4.01,751.06,312 B,304 B,616 B,606 B,321 B
12M 2016,3.61,882.47,3.61,882.47,262 B,548 B,809 B,784 B,364 B
12M 2017,4.16,1047.49,4.16,1047.49,29 B,513 B,542 B,472 B,589 B
12M 2018,3.01,1244.71,3.01,1244.71,318 B,199 B,518 B,454 B,574 B
12M 2019,2.78,1616.06,2.78,1616.06,31 B,200 B,231 B,130 B,757 B
12M 2020,4.71,2016.95,4.71,2016.95,203 B,,203 B,60 B,880 B
12M 2021,3.02,2495.89,3.02,2495.89,11 B,,11 B,(196 B),"1,504 B"
12M 2022,2.57,2974.86,2.57,2974.86,,,,(242 B),"2,045 B"
12M 2023,2.55,3676.35,2.55,3676.35,,,,(276 B),"2,993 B"
12M 2024,2.92,4669.93,2.92,4669.93,,,,"(1,486 B)","4,270 B"
