Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5138189074.000000,,69303517698.000000,28881389296.000000,40422128402.000000,69303517698.000000,4321495617.000000,4321495617.000000,,4321495617.000000,177038920787.000000,15831094584.000000,271633217760.000000,,,25275250000.000000,325176639144.000000,4664677568.000000,355116566712.000000,626749784472.000000,,,221491179518.000000,114031394357.000000,58732615005.000000,4243320247.000000,3433604624.000000,,40734802247.000000,,40734802247.000000,,,,,,315443038.000000,221491179518.000000,41821727518.000000,35581191997.000000,,,,6240535521.000000,41821727518.000000,263312907036.000000,,131000000000.000000,300000000.000000,232136877436.000000,,,232136877436.000000,,,363436877436.000000,626749784472.000000,1310000000.000000
12M 2009,,,7678078340.000000,,61406212396.000000,31100695492.000000,30305516904.000000,61406212396.000000,342801630.000000,342801630.000000,,342801630.000000,112157066768.000000,4150651333.000000,185734810467.000000,,,25715669808.000000,325884194275.000000,11385771275.000000,362985635358.000000,548720445825.000000,,,110001009598.000000,32574325883.000000,41138067503.000000,2443187154.000000,2534163388.000000,,31162090670.000000,,31162090670.000000,,,,,,149175000.000000,110001009598.000000,34210191438.000000,27310863532.000000,,,,6899327906.000000,34210191438.000000,144211201036.000000,,131000000000.000000,300000000.000000,273209244789.000000,,,273209244789.000000,,,404509244789.000000,548720445825.000000,1310000000.000000
12M 2010,,,8309035550.000000,750000000.000000,112411508138.000000,71200548782.000000,41210959356.000000,112411508138.000000,469899108.000000,469899108.000000,,469899108.000000,146012968638.000000,23339447691.000000,291292859125.000000,,,36148414409.000000,319075542490.000000,2757159524.000000,357981116423.000000,649273975548.000000,,,170422732529.000000,73942718750.000000,64770312354.000000,3429584008.000000,5796168407.000000,,22015499239.000000,,22015499239.000000,,,,,,468449771.000000,170422732529.000000,31511241030.000000,22956215416.000000,,,,8555025614.000000,31511241030.000000,201933973559.000000,,131000000000.000000,300000000.000000,315840003889.000000,,,315840003889.000000,199998100.000000,,447340001989.000000,649273975548.000000,1310000000.000000
12M 2011,,,6350975923.000000,,113929853227.000000,57550980261.000000,56378872966.000000,113929853227.000000,487271939.000000,487271939.000000,,487271939.000000,161699916410.000000,31517964420.000000,313985981919.000000,,243000000.000000,35495321050.000000,579812502191.000000,5229122704.000000,620779945945.000000,934765927864.000000,,,303434183764.000000,176113798645.000000,78557267479.000000,4898941606.000000,11331828543.000000,,20051758990.000000,11767976614.000000,31819735604.000000,,,,,,712611887.000000,303434183764.000000,141266587264.000000,29237258338.000000,26500000000.000000,74625000000.000000,,10904328926.000000,141266587264.000000,444700771028.000000,,131000000000.000000,300000000.000000,358516439284.000000,,,358516439284.000000,248717552.000000,,490065156836.000000,934765927864.000000,1310000000.000000
12M 2012,,,8304591431.000000,44100000000.000000,184127594068.000000,100061558878.000000,84066035190.000000,184127594068.000000,16626884682.000000,1383884682.000000,15243000000.000000,16626884682.000000,242653601169.000000,74026864845.000000,569839536195.000000,,,27272941305.000000,651321554715.000000,1406803675.000000,680001299695.000000,1249840835890.000000,,,571296021580.000000,323042652049.000000,152608191720.000000,4606002997.000000,16036615471.000000,,309846153.000000,55151334247.000000,55461180400.000000,,18750000000.000000,,,18750000000.000000,791378943.000000,571296021580.000000,98853474000.000000,29109366670.000000,,55875000000.000000,,13869107330.000000,98853474000.000000,670149495580.000000,,131000000000.000000,300000000.000000,433159333740.000000,,,433159333740.000000,15232006570.000000,,579691340310.000000,1249840835890.000000,1310000000.000000
12M 2013,,,10333359198.000000,16919692000.000000,217472413620.000000,112423355720.000000,105049057900.000000,217472413620.000000,18277040149.000000,3198040149.000000,15079000000.000000,18277040149.000000,285793392774.000000,135467897365.000000,684263795106.000000,,,27198674523.000000,757396305300.000000,1200619963.000000,785795599786.000000,1470059394892.000000,,,598988885897.000000,311031921733.000000,109260771008.000000,5568502952.000000,16142844498.000000,,48806557206.000000,55151334247.000000,103957891453.000000,,47932659202.000000,1916000000.000000,,49848659202.000000,3178295051.000000,598988885897.000000,176942099882.000000,27603495987.000000,,131607496097.000000,,17731107798.000000,176942099882.000000,775930985779.000000,,131000000000.000000,300000000.000000,547621477732.000000,,,547621477732.000000,15206931381.000000,,694128409113.000000,1470059394892.000000,1310000000.000000
12M 2014,,,9165691827.000000,16726692000.000000,259526887337.000000,108488354757.000000,151038532580.000000,259526887337.000000,22332483455.000000,7289483455.000000,15043000000.000000,22332483455.000000,309595185554.000000,182083459257.000000,799430399430.000000,,,36700193995.000000,862321588223.000000,1751912247.000000,900773694465.000000,1700204093895.000000,,,538631479995.000000,200170185775.000000,165403967607.000000,10688972765.000000,37122586333.000000,,41203711963.000000,297100000.000000,41500811963.000000,,46374709215.000000,,34761006676.000000,81135715891.000000,2609239661.000000,538631479995.000000,343978800839.000000,24616745768.000000,,84842683745.000000,212555942427.000000,21963428899.000000,343978800839.000000,882610280834.000000,,131000000000.000000,300000000.000000,671119623494.000000,,,671119623494.000000,15174189567.000000,,817593813061.000000,1700204093895.000000,1310000000.000000
12M 2015,,,9815172239.000000,7375692000.000000,289000051239.000000,129169623932.000000,159830427307.000000,289000051239.000000,26428118826.000000,11430118826.000000,14998000000.000000,26428118826.000000,298729619637.000000,244120779835.000000,875469433776.000000,,,36293093713.000000,1006244781146.000000,1560728535.000000,1044098603394.000000,1919568037170.000000,,,554491047968.000000,245179164894.000000,141269291565.000000,11890042491.000000,36506503310.000000,,42424003240.000000,4925493244.000000,47349496484.000000,,63891025005.000000,3085208060.000000,,66976233065.000000,5320316159.000000,554491047968.000000,356267550945.000000,20448072908.000000,,90406756094.000000,213448344528.000000,31964377415.000000,356267550945.000000,910758598913.000000,,131000000000.000000,300000000.000000,856842665523.000000,,,856842665523.000000,24925544228.000000,-4258771494.000000,1008809438257.000000,1919568037170.000000,1310000000.000000
12M 2016,,,25398905805.000000,197805040828.000000,361142451690.000000,116018096040.000000,245124355650.000000,361142451690.000000,9874527843.000000,9549527843.000000,325000000.000000,9874527843.000000,279955459843.000000,46957575419.000000,921133961428.000000,,19419850000.000000,35953845852.000000,1133722474056.000000,226181363605.000000,1415277533513.000000,2336411494941.000000,,,556752312634.000000,6771630607.000000,191716507632.000000,12149249829.000000,48232675878.000000,,31144909911.000000,4878631350.000000,36023541261.000000,,40352487874.000000,,214452093850.000000,254804581724.000000,7054125703.000000,556752312634.000000,611147044637.000000,18298901345.000000,,50011725558.000000,497601329086.000000,45235088648.000000,611147044637.000000,1167899357271.000000,,131000000000.000000,1347146100.000000,1031314985585.000000,,,1031314985585.000000,12480192800.000000,-7630186815.000000,1168512137670.000000,2336411494941.000000,1310000000.000000
12M 2017,,,69954867440.000000,164534645272.000000,370294715115.000000,122580584762.000000,247714130353.000000,370294715115.000000,18542201244.000000,18217201244.000000,325000000.000000,18542201244.000000,299078174645.000000,25581446651.000000,947986050367.000000,,19644600000.000000,37656473492.000000,1125768977479.000000,211376341858.000000,1394446392829.000000,2342432443196.000000,,,358963437494.000000,20085487830.000000,191057166317.000000,31185152877.000000,45254264467.000000,,34651593554.000000,10175791350.000000,44827384904.000000,,8625412227.000000,,,8625412227.000000,17928568872.000000,358963437494.000000,598696937342.000000,23773818194.000000,,14687647768.000000,498298611105.000000,61936860275.000000,598696937342.000000,957660374836.000000,,131000000000.000000,1347146100.000000,1247680784928.000000,,,1247680784928.000000,12559505292.000000,-7815367960.000000,1384772068360.000000,2342432443196.000000,1310000000.000000
12M 2018,,,64106808475.000000,345143161701.000000,422375898115.000000,158456254158.000000,263919643957.000000,422375898115.000000,21976099495.000000,21971963624.000000,4135871.000000,21976099495.000000,313291338820.000000,83913516312.000000,1250806822918.000000,,20997450000.000000,40481811912.000000,1096143561950.000000,222760163250.000000,1380382987112.000000,2631189810030.000000,,,676673564908.000000,18598095933.000000,232453396104.000000,3804791041.000000,53663959436.000000,,38760736070.000000,6377000000.000000,45137736070.000000,,,,299690770049.000000,299690770049.000000,23324816275.000000,676673564908.000000,308128298170.000000,34190909530.000000,,,199383242197.000000,74554146443.000000,308128298170.000000,984801863078.000000,,131000000000.000000,1347146100.000000,1502876626810.000000,,,1502876626810.000000,15822549429.000000,-4658375387.000000,1646387946952.000000,2631189810030.000000,1310000000.000000
12M 2019,,,100727141756.000000,126000000000.000000,541811807501.000000,183022151732.000000,358789655769.000000,541811807501.000000,58680909922.000000,48864234149.000000,9816675773.000000,58680909922.000000,316826909348.000000,21359533159.000000,1165406301686.000000,,20156464500.000000,62585454835.000000,1124520287704.000000,508894575229.000000,1716156782268.000000,2881563083954.000000,,,408490550651.000000,30995681483.000000,203738548137.000000,34734349950.000000,46981401480.000000,,52365704481.000000,12773270732.000000,65138975213.000000,,,,,,26901594388.000000,408490550651.000000,325065525323.000000,40287008195.000000,,,199610266989.000000,85168250139.000000,325065525323.000000,733556075974.000000,,131000000000.000000,1347146100.000000,1985498393789.000000,,,1985498393789.000000,30971806067.000000,-810337976.000000,2148007007980.000000,2881563083954.000000,1310000000.000000
