Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Bunga,Pembayaran Untuk :,Pemasok,Aktivitas Operasi Lainnya,"Direktur , Karyawan Dan Beban Operasional Lainnya",Total Pembayaran Untuk :,Kas Yang Dihasilkan Dari Operasi,Pendapatan Bunga,Penerimaan Dividen,Penerimaan Kembali Dari Restitusi Pajak,Pembayaran Bunga Dan Administrasi,Biaya Operasional,Pembayaran Surat Ketetapan Pajak,Pembayaran Biaya Keuangan,Pembayaran Pajak Dan Pinalti,Pengembalian Kelebihan Pembayaran Pajak Penghasilan Badan,Penerimaan Kas Dari Restitusi Pajak Penghasilan Di Entitas Anak,Pemindahan Dana Tidak Wajar Di Entitas Anak,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Pemberian Pinjaman Kepada Pihak Ketiga,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Kas Dari Deposito Jangka Pendek,Aset Keuangan Tersedia Untuk Dijual,Penjualan Aset Tetap,Akusisi Kepentingan Non Pengendali,Penempatan Deposito Jangka Pendek,Penarikan Deposito Berjangka,Perolehan Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Penambahan Setoran Modal Melalui Penerbitan Saham,Penerimaan Hutang Lain-Lain Pihak Ketiga,Penambahan (Pengurangan) Pinjaman Jangka Pendek,Penerimaan Pinjaman Untuk Pihak Yang Mempunyai Hubungan Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Pembayaran Dividen Oleh Entitas Anak,Pembayaran Utang Pembiayaan Konsumen,Akuisisi Kepemilikan Di Entitas Anak Dari Pihak Non-Pengendali,Pembayaran Biaya Put,Pembayaran Hutang Lain-Lain Pihak Ketiga - Bambang Hk,Pembayaran Hutang Lain-Lain Pihak Ketiga Sehubung Dengan Hutang Ke Kp2ln,Pembayaran Biaya Utang Lain-Lain Pihak Ketiga,Pembayaran Pesangon Karyawan,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Kepada Pihak Yang Hubungan Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Selisih Kurs Dari Penjabaran Laporan Keuangan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kenaikan Dana Dalam Pembatasan,Kas Dan Setara Kas Akhir Periode
12M 2008,-94382487.000000,1925355717.000000,160517.000000,,-398024400.000000,,-964459100.000000,-1362483500.000000,,,,,-1006596.000000,-573663350.000000,,,-82745275.000000,,,,,,-94382487.000000,-18352370.000000,-18352370.000000,,,,,,,,,,,,-18352370.000000,95238000.000000,153000000.000000,-57762000.000000,,,,,,,,,,,,,,,,,,95238000.000000,,,-17496857.000000,20474454.000000,,2977597.000000
12M 2009,57964639.000000,2241383590.000000,494710.000000,,-708451735.000000,,-752303050.000000,-1460754785.000000,,,,,-1088481.000000,-489842050.000000,,,-232228345.000000,,,,,,57964639.000000,-23074068.000000,-23074068.000000,,,,,,,,,,,,-23074068.000000,-10199250.000000,113660750.000000,-123860000.000000,,,,,,,,,,,,,,,,,,-10199250.000000,,,24691321.000000,2977597.000000,,27668918.000000
12M 2010,257276.000000,2419096488.000000,340787.000000,,-505829842.000000,,-1134028550.000000,-1639858392.000000,,,,,-1309632.000000,-425720000.000000,,,-352291975.000000,,,,,,257276.000000,-40018408.000000,-40018408.000000,,,,,,,,,,,,-40018408.000000,37334150.000000,99194150.000000,-61860000.000000,,,,,,,,,,,,,,,,,,37334150.000000,,,-2426982.000000,27668918.000000,,25241936.000000
12M 2011,39030031000.000000,827509214000.000000,,,-756186223000.000000,,-41758598000.000000,-797944821000.000000,,1601887000.000000,,60099778000.000000,-3414836000.000000,,,,-48821191000.000000,,,,,,39030031000.000000,-586377068000.000000,-71299484000.000000,,,,,,,922416000.000000,,,,-516000000000.000000,-586377068000.000000,550219034000.000000,136860000000.000000,-90750000000.000000,526807729000.000000,8573775000.000000,,8675000.000000,,-25923000000.000000,,,,,-282000000.000000,-994790000.000000,-2965164000.000000,-975153000.000000,,-141038000.000000,,550219034000.000000,,,2871997000.000000,25107156000.000000,-1133928000.000000,26845225000.000000
12M 2012,151133802000.000000,1756050978000.000000,,,-1583936542000.000000,,-56865990000.000000,-1640802532000.000000,,1532685000.000000,23830230000.000000,80336486000.000000,-5795910000.000000,,,,-64018135000.000000,,,,,,151133802000.000000,-767790559000.000000,-431461351000.000000,,,,,,,217792000.000000,,,,-336547000000.000000,-767790559000.000000,633638869000.000000,400478000000.000000,-48055000000.000000,335020502000.000000,,,,,-52209000000.000000,,,,-688833000.000000,,,,,,-906800000.000000,,633638869000.000000,,,16982112000.000000,63717033000.000000,,80699145000.000000
12M 2013,35862020000.000000,2380086437000.000000,,,-2097475900000.000000,,-71797098000.000000,-2169272998000.000000,,2380196000.000000,,75975105000.000000,-12332689000.000000,,,,-240974031000.000000,,,,,,35862020000.000000,-232893161000.000000,-229924141000.000000,,,,,,-2969020000.000000,,,,,,-232893161000.000000,229745956000.000000,760059000000.000000,-700670000000.000000,209032956000.000000,,,,,-38676000000.000000,,,,,,,,,,,,229745956000.000000,,,32714815000.000000,80699145000.000000,,113413960000.000000
12M 2014,442455604000.000000,3016075042000.000000,,,-2338690514000.000000,-27078699000.000000,-116321089000.000000,-2482090302000.000000,,7345433000.000000,,9964769000.000000,-14035759000.000000,,,,-94803579000.000000,,,,,,442455604000.000000,-238200985000.000000,-238577376000.000000,,-171945000.000000,,,,,548336000.000000,,,,,-238200985000.000000,-100162725000.000000,158457000000.000000,-201118500000.000000,,,,,,-57364125000.000000,-137100000.000000,,,,,,,,,,,-100162725000.000000,6401308000.000000,,110493202000.000000,113413960000.000000,,223907162000.000000
12M 2015,43216962.000000,229189056.000000,,,-162172306.000000,-829897.000000,-11367772.000000,-174369975.000000,,492087.000000,,,,,-344100.000000,-1424317.000000,-7651237.000000,,471193.000000,-3145745.000000,,,43216962.000000,-10915306.000000,-6696469.000000,,-96290.000000,,,,,77453.000000,,-4200000.000000,,,-10915306.000000,-20030109.000000,18000000.000000,-30000000.000000,,,,,,-8008915.000000,-21194.000000,,,,,,,,,,,-20030109.000000,-55417.000000,,12216130.000000,17998968.000000,,30215098.000000
12M 2016,24489412.000000,190195720.000000,,,-141650844.000000,-1829289.000000,-12748942.000000,-156229075.000000,,708932.000000,,,,,,-926429.000000,-9567746.000000,,308010.000000,,,,24489412.000000,1776987.000000,-2451668.000000,,-3118.000000,,,4200000.000000,,31773.000000,,,,,1776987.000000,-35028515.000000,,-27000000.000000,,,,,,-8008915.000000,-19600.000000,,,,,,,,,,,-35028515.000000,241376.000000,,-8520740.000000,30215098.000000,,21694358.000000
12M 2017,30976599.000000,187375533.000000,,,-136607876.000000,,-14455397.000000,-151063273.000000,,1071930.000000,,,,,,-576327.000000,-7387315.000000,,,1556051.000000,,,30976599.000000,-4594308.000000,-2563457.000000,-2089687.000000,,,,,,58836.000000,,,,,-4594308.000000,-27054404.000000,,-10000000.000000,,,,,,-17010669.000000,-43735.000000,,,,,,,,,,,-27054404.000000,-124751.000000,,-796864.000000,21694358.000000,,20897494.000000
12M 2018,54562403.000000,235668976.000000,,,-159031717.000000,,-14799787.000000,-173831504.000000,,1086596.000000,,,,,,-390726.000000,-8387845.000000,,416906.000000,,,,54562403.000000,-13815112.000000,-11058639.000000,-2763216.000000,-7761.000000,,,,,68354.000000,-53850.000000,,,,-13815112.000000,-18039168.000000,,,,,,,,-18003510.000000,-35658.000000,,,,,,,,,,,-18039168.000000,-1112687.000000,,21595436.000000,20897494.000000,,42492930.000000
12M 2019,17327420.000000,240722333.000000,,,-200521281.000000,,-14643834.000000,-215165115.000000,,1295591.000000,,,,,,-400973.000000,-10205044.000000,,1080628.000000,,,,17327420.000000,-11973247.000000,-11993853.000000,-67551.000000,-22995.000000,,,,,111152.000000,,,,,-11973247.000000,-24050814.000000,,-5000000.000000,,,,,,-19018414.000000,-32400.000000,,,,,,,,,,,-24050814.000000,461195.000000,,-18235446.000000,42492930.000000,,24257484.000000
12M 2020,46359578.000000,180627810.000000,,,-115142042.000000,,-13563786.000000,-128705828.000000,,1161740.000000,,,,,,-52828.000000,-6671316.000000,,,,,,46359578.000000,-2446171.000000,-2567219.000000,,,,,,,121048.000000,,,,,-2446171.000000,-20504521.000000,,-5000000.000000,,,,,-476096.000000,-15002925.000000,-25500.000000,,,,,,,,,,,-20504521.000000,-175504.000000,,23233382.000000,24257484.000000,,47490866.000000
12M 2021,59440035.000000,175728709.000000,,,-94989963.000000,,-16075631.000000,-111065594.000000,,1185798.000000,,,,,,-44902.000000,-6876839.000000,,512863.000000,,,,59440035.000000,-2928755.000000,-2770860.000000,-791435.000000,,,,,,633540.000000,,,,,-2928755.000000,-15373867.000000,,,,,,,-310642.000000,-15002925.000000,-60300.000000,,,,,,,,,,,-15373867.000000,-244877.000000,,40892536.000000,47490866.000000,,88383402.000000
12M 2022,18333177.000000,141107084.000000,,,-116553938.000000,,-14589261.000000,-131143199.000000,,1300349.000000,,,,,,-70531.000000,-7408788.000000,,13722949.000000,,825313.000000,,18333177.000000,-5406502.000000,-4044680.000000,-1526815.000000,-3200.000000,,,,,168193.000000,,,,,-5406502.000000,-5648178.000000,,,,,,,-608381.000000,-5008329.000000,-31468.000000,,,,,,,,,,,-5648178.000000,3297334.000000,,10575831.000000,88383402.000000,,98959233.000000
