Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,2977597.000000,748595673.000000,,,748595673.000000,6046174818.000000,,,6046174818.000000,20500000.000000,,105351637.000000,6923599725.000000,,,,,,126540498.000000,,,,,496666669.000000,623207167.000000,7546806892.000000,,,5232131476.000000,,705893673.000000,,,705893673.000000,1459969833.000000,,,1459969833.000000,1768652989.000000,,1768652989.000000,1297614981.000000,,,,,5232131476.000000,843514644.000000,,325960953.000000,,163879150.000000,,,353674541.000000,843514644.000000,6075646120.000000,,42025000000.000000,21092840568.000000,-61646679796.000000,,,-61646679796.000000,,,1471160772.000000,,7546806892.000000,1681000000.000000
12M 2009,,,27668918.000000,710352900.000000,,,710352900.000000,5461525538.000000,,,5461525538.000000,20500000.000000,,116315436.000000,6336362792.000000,,,,,,115832369.000000,,,,,478333335.000000,594165704.000000,6930528496.000000,,,5077427449.000000,,514860000.000000,,,514860000.000000,1382790000.000000,,,1382790000.000000,1732409244.000000,,1732409244.000000,1447368205.000000,,,,,5077427449.000000,897234259.000000,,267551462.000000,,142362700.000000,,,487320097.000000,897234259.000000,5974661708.000000,,42025000000.000000,21092840568.000000,-62161973780.000000,,,-62161973780.000000,,,955866788.000000,,6930528496.000000,1681000000.000000
12M 2010,,,25241936.000000,582614431.000000,,,582614431.000000,31065800.000000,,,31065800.000000,20500000.000000,,75816850.000000,735239017.000000,,,,,,135710493.000000,1726255269.000000,,,,465000002.000000,2326965764.000000,3062204781.000000,,,3256871984.000000,,413360000.000000,,,413360000.000000,1294290000.000000,,,1294290000.000000,224487090.000000,,224487090.000000,1324734894.000000,,,,,3256871984.000000,704332388.000000,,,,132362700.000000,,,571969688.000000,704332388.000000,3961204372.000000,,42025000000.000000,21092840568.000000,-64016840159.000000,,,-64016840159.000000,,,-898999591.000000,,3062204781.000000,1681000000.000000
12M 2011,,,26845225000.000000,78238641000.000000,78238641000.000000,,78238641000.000000,5575487000.000000,1895000.000000,5573592000.000000,5575487000.000000,42316420000.000000,,69284827000.000000,222260600000.000000,,,,,,199435598000.000000,1417251000.000000,,,,196159000.000000,201049008000.000000,423309608000.000000,,,238380810000.000000,136020000000.000000,,10555016000.000000,80249678000.000000,90804694000.000000,,24465000.000000,3606894000.000000,3631359000.000000,2243652000.000000,,2243652000.000000,5681105000.000000,,,,,238380810000.000000,5668993000.000000,,,,,,,5668993000.000000,5668993000.000000,244049803000.000000,,294175000000.000000,295750570000.000000,-72098620000.000000,,-72098620000.000000,-72098620000.000000,169812000.000000,-338736957000.000000,179259805000.000000,,423309608000.000000,1470875000.000000
12M 2012,,,80699145000.000000,162284834000.000000,162284834000.000000,,162284834000.000000,2413149000.000000,,2413149000.000000,2413149000.000000,199594326000.000000,,160034157000.000000,605025611000.000000,,,,,,684040704000.000000,3040559000.000000,,,,474151000.000000,687555414000.000000,1292581025000.000000,,,656406693000.000000,198235000000.000000,,45889088000.000000,120313176000.000000,166202264000.000000,,550123000.000000,275282829000.000000,275832952000.000000,6451476000.000000,,6451476000.000000,9685001000.000000,,,,,656406693000.000000,365117225000.000000,352955000000.000000,,,,,,12162225000.000000,365117225000.000000,1021523918000.000000,,374902832000.000000,549354407000.000000,-36216163000.000000,,-36216163000.000000,-36216163000.000000,1028206000.000000,-618012175000.000000,271057107000.000000,,1292581025000.000000,1874514158.000000
12M 2013,,,113413960000.000000,237754879000.000000,237754879000.000000,,237754879000.000000,5196843000.000000,50000000.000000,5146843000.000000,5196843000.000000,240080938000.000000,,314233439000.000000,910680059000.000000,,390143000.000000,390143000.000000,,390143000.000000,897650278000.000000,3662809000.000000,,,,3434974000.000000,905138204000.000000,1815818263000.000000,,,525257514000.000000,268158000000.000000,,41673749000.000000,177155080000.000000,218828829000.000000,,9324000.000000,7836675000.000000,7845999000.000000,10722390000.000000,,10722390000.000000,19702296000.000000,,,,,525257514000.000000,508305736000.000000,493654500000.000000,,,,,,14651236000.000000,508305736000.000000,1033563250000.000000,,441262500000.000000,130159496000.000000,137238911000.000000,,137238911000.000000,137238911000.000000,1254545000.000000,72339561000.000000,782255013000.000000,,1815818263000.000000,2206312500.000000
12M 2014,,,223907162000.000000,245720939000.000000,245720939000.000000,,245720939000.000000,3104511000.000000,,3104511000.000000,3104511000.000000,237573360000.000000,,311013790000.000000,1021319762000.000000,,97400000.000000,97400000.000000,,97400000.000000,976929045000.000000,4953117000.000000,,,,27797771000.000000,1009777333000.000000,2031097095000.000000,,,548502471000.000000,273680000000.000000,,47175818000.000000,193782137000.000000,240957955000.000000,,3000000.000000,9095918000.000000,9098918000.000000,14735893000.000000,,14735893000.000000,10029705000.000000,,,,,548502471000.000000,479284798000.000000,460280000000.000000,,,,,,19004798000.000000,479284798000.000000,1027787269000.000000,,441262500000.000000,130159496000.000000,347665815000.000000,44126250000.000000,303539565000.000000,347665815000.000000,1705282000.000000,82516733000.000000,1003309826000.000000,,2031097095000.000000,2206312500.000000
12M 2015,,,30215098.000000,16895765.000000,16895765.000000,,16895765.000000,182129.000000,,182129.000000,182129.000000,13368775.000000,,24669027.000000,85330794.000000,,30257.000000,,,30257.000000,68626497.000000,453746.000000,127121.000000,,,6664294.000000,75901915.000000,161232709.000000,,,36628689.000000,17500000.000000,,1561997.000000,13744790.000000,15306787.000000,,1522.000000,484889.000000,486411.000000,,2332665.000000,2332665.000000,343875.000000,,,,658951.000000,36628689.000000,31256434.000000,29500000.000000,,,,,,1756434.000000,31256434.000000,67885123.000000,,48352110.000000,12618152.000000,58316108.000000,7375885.000000,50940223.000000,58316108.000000,150836.000000,-26089620.000000,93347586.000000,,161232709.000000,2206312500.000000
12M 2016,,,21694358.000000,16806500.000000,16806500.000000,,16806500.000000,226052.000000,,226052.000000,226052.000000,13008960.000000,,32322399.000000,84058269.000000,,31661.000000,,,31661.000000,56268446.000000,539773.000000,91997.000000,,,6264116.000000,63195993.000000,147254262.000000,,,19555540.000000,2000000.000000,,2279195.000000,12089454.000000,14368649.000000,,19245.000000,518326.000000,537571.000000,,1140560.000000,1140560.000000,933134.000000,,,,575626.000000,19555540.000000,20217461.000000,18000000.000000,,,,,,2217461.000000,20217461.000000,39773001.000000,,48352110.000000,12618152.000000,71260249.000000,9670422.000000,61589827.000000,71260249.000000,174657.000000,-24923907.000000,107481261.000000,,147254262.000000,2206312500.000000
12M 2017,,,20897494.000000,17501050.000000,15401317.000000,2099733.000000,17501050.000000,1616684.000000,9847.000000,1606837.000000,1616684.000000,16522685.000000,,29425362.000000,85963275.000000,,121226.000000,,,121226.000000,44258697.000000,833538.000000,53171.000000,,,4838068.000000,50104700.000000,136067975.000000,,,30214626.000000,10000000.000000,,1458817.000000,14518497.000000,15977314.000000,,22613.000000,691542.000000,714155.000000,,1004394.000000,1004394.000000,1218996.000000,,,,1299767.000000,30214626.000000,3312006.000000,,,,,,,3312006.000000,3312006.000000,33526632.000000,,48352110.000000,12618152.000000,66484416.000000,9670422.000000,56813994.000000,66484416.000000,153527.000000,-25066862.000000,102541343.000000,,136067975.000000,2206312500.000000
