Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1748702009.000000,,1748702009.000000,-3161198786.000000,-3161198786.000000,-3161198786.000000,-1412496777.000000,317842912.000000,160517.000000,,-35945862.000000,-35945862.000000,,,353628257.000000,317842912.000000,,-1094653865.000000,-185349220.000000,,-185349220.000000,,-185349220.000000,-1280003085.000000,,-1280003085.000000,,,,,-1280003085.000000,-1280003085.000000,,-1280003085.000000,,,,
12M 2009,2047250938.000000,,2047250938.000000,-1944382496.000000,-1944382496.000000,-1944382496.000000,102868442.000000,-676571917.000000,494776.000000,,-74368525.000000,-74368525.000000,,,-602698168.000000,-676571917.000000,,-573703475.000000,58409491.000000,,58409491.000000,,58409491.000000,-515293984.000000,,-515293984.000000,,,,,-515293984.000000,-515293984.000000,,-515293984.000000,,,,
12M 2010,1947360109.000000,,1947360109.000000,-1823350759.000000,-1823350759.000000,-1823350759.000000,124009350.000000,28119890.000000,340687.000000,,-49442734.000000,-49442734.000000,,,77221937.000000,28119890.000000,,152129240.000000,199629508.000000,,199629508.000000,,199629508.000000,351758748.000000,,351758748.000000,,,,,351758748.000000,351758748.000000,,351758748.000000,,,,
12M 2011,878652897000.000000,-798803133000.000000,79849764000.000000,-34018400000.000000,-34018400000.000000,-34018400000.000000,45831364000.000000,1124670000.000000,1601381000.000000,,-3413290000.000000,-3413290000.000000,-3547971000.000000,448668000.000000,6035882000.000000,1124670000.000000,,46956034000.000000,-12163143000.000000,-11586095000.000000,-577048000.000000,,-12163143000.000000,34792891000.000000,,34792891000.000000,-41183677000.000000,-41183677000.000000,-41183677000.000000,-6390786000.000000,34792891000.000000,34759295000.000000,33596000.000000,34792891000.000000,-6390786000.000000,-6424382000.000000,33596000.000000,-6390786000.000000
12M 2012,1793727320000.000000,-1561296954000.000000,232430366000.000000,-64348724000.000000,-64348724000.000000,-64348724000.000000,168081642000.000000,-8323906000.000000,1532685000.000000,,-5795910000.000000,-5795910000.000000,-7302552000.000000,104692000.000000,3137179000.000000,-8323906000.000000,,159757736000.000000,-41958687000.000000,-43007335000.000000,1048648000.000000,,-41958687000.000000,117799049000.000000,,117799049000.000000,-81649258000.000000,-81649258000.000000,-81649258000.000000,36149791000.000000,117799049000.000000,117531715000.000000,267334000.000000,117799049000.000000,36149791000.000000,35882457000.000000,267334000.000000,36149791000.000000
12M 2013,2455556483000.000000,-2109615854000.000000,345940629000.000000,-68188410000.000000,-68188410000.000000,-68188410000.000000,277752219000.000000,-43142725000.000000,2380196000.000000,,-36251491000.000000,-36251491000.000000,-12332689000.000000,,3061259000.000000,-43142725000.000000,,234609494000.000000,-60825410000.000000,-60927348000.000000,101938000.000000,,-60825410000.000000,173784084000.000000,,173784084000.000000,,,,173784084000.000000,173784084000.000000,173455074000.000000,329010000.000000,173784084000.000000,173784084000.000000,173455074000.000000,329010000.000000,173784084000.000000
12M 2014,3024041102000.000000,-2574099826000.000000,449941276000.000000,-80452062000.000000,-80452062000.000000,-80452062000.000000,369489214000.000000,-8521375000.000000,7345433000.000000,-15290759000.000000,,-15290759000.000000,-7083104000.000000,,6507055000.000000,-8521375000.000000,,360967839000.000000,-92668214000.000000,,,,-92668214000.000000,268299625000.000000,,268299625000.000000,10256413000.000000,10256413000.000000,10256413000.000000,278556038000.000000,268299625000.000000,267791029000.000000,508596000.000000,268299625000.000000,278556038000.000000,277968201000.000000,587837000.000000,278556038000.000000
12M 2015,226332334.000000,-184061492.000000,42270842.000000,-6639785.000000,-6639785.000000,-6639785.000000,35631057.000000,-2143147.000000,492087.000000,-1411408.000000,,-1411408.000000,-2143644.000000,,919818.000000,-2143147.000000,,33487910.000000,-8755345.000000,,,,-8755345.000000,24732565.000000,,24732565.000000,-4006786.000000,-4006786.000000,-4006786.000000,20725779.000000,24732565.000000,24685343.000000,47222.000000,24732565.000000,20725779.000000,20688219.000000,37560.000000,20725779.000000
12M 2016,190106455.000000,-154166301.000000,35940154.000000,-7254513.000000,-7254513.000000,-7254513.000000,28685641.000000,767281.000000,708932.000000,-914924.000000,,-914924.000000,730976.000000,,242297.000000,767281.000000,,29452922.000000,-8194069.000000,,,,-8194069.000000,21258853.000000,,21258853.000000,903337.000000,903337.000000,903337.000000,22162190.000000,21258853.000000,21218336.000000,40517.000000,21258853.000000,22162190.000000,22118769.000000,43421.000000,22162190.000000
12M 2017,188070083.000000,-160672366.000000,27397717.000000,-9423881.000000,-9423881.000000,-9423881.000000,17973836.000000,-957164.000000,1071930.000000,-568133.000000,,-568133.000000,-225346.000000,,-1235615.000000,-957164.000000,,17016672.000000,-4710316.000000,,,,-4710316.000000,12306356.000000,,12306356.000000,-191870.000000,-191870.000000,-191870.000000,12114486.000000,12306356.000000,12282468.000000,23888.000000,12306356.000000,12114486.000000,12091881.000000,22605.000000,12114486.000000
