Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penghasilan Bunga,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk:,"Gaji, Upah Dan Kesejahteraan Karyawan",Beban Usaha,Biaya Keuangan,Pajak Penghasilan,Total Pembayaran Kas Untuk:,Penerimaan Kas Dari Kegiatan Usaha Lainnya,Pembayaran Kas Untuk Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penyertaan Saham,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Investasi,Pendapatan Dividen,Perolehan Aset Tetap,Perolehan Aset Tetap.,Perolehan Aset Hak Guna,Total Perolehan Aset Tetap,Perolehan Sewa Jangka Panjang,Perolehan Biaya Ditangguhkan,Investasi Jangka Pendek,Investasi Jangka Panjang,Deposito Berjangka,Pencairan Deposito Berjangka,Penghasilan Bunga,Penambahan Investasi Entitas Asosiasi,Pembayaran Penambahan Investasi Pada Saham,Pembayaran Penambahan Investasi Pada Obligasi Konversi,Surplus Kas Melalui Akuisi Entitas Anak Baru,Penambahan Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Penerbitan Obligasi,Investasi Jangka Pendek Entitas Anak,Penerbitan Saham Baru,Setoran Modal Saham Dari Kepentingan Nonpengendali,Tambahan Modal Disetor -Bersih,Tambahan Modal Ditempatkan Disetor Penuh,Agio Saham,Pinjaman Jangka Panjang,Total Penerimaan Dari:,Pembayaran Untuk:,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Obligasi,Utang Bank Jangka Pendek,Dividen Kas Melalui Entitas Anak,Dividen Kas,Pinjaman,Beban Bunga,Liabilitas Sewa,Beban Transaksi Obligasi,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dari Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,437785000000.000000,8219608000000.000000,5179000000.000000,-6886312000000.000000,,-474352000000.000000,-396177000000.000000,-34884000000.000000,-10920000000.000000,-916333000000.000000,15643000000.000000,,437785000000.000000,-651064000000.000000,17147000000.000000,-30000000000.000000,,,,-505265000000.000000,,,-505265000000.000000,-118068000000.000000,-14878000000.000000,,,,,,,,,,,-651064000000.000000,193252000000.000000,,1085000000000.000000,105769000000.000000,,,,,,,,,1190769000000.000000,,-2938000000.000000,-4579000000.000000,,,-990000000000.000000,,,,,,,-997517000000.000000,193252000000.000000,-20027000000.000000,,361242000000.000000,341215000000.000000
12M 2009,559280000000.000000,10561562000000.000000,9441000000.000000,-8851454000000.000000,,-606070000000.000000,-497105000000.000000,-44473000000.000000,-34790000000.000000,-1182438000000.000000,22169000000.000000,,559280000000.000000,-526995000000.000000,20906000000.000000,-6750000000.000000,,,,-364227000000.000000,,,-364227000000.000000,-171948000000.000000,-4976000000.000000,,,,,,,,,,,-526995000000.000000,14385000000.000000,,5795000000000.000000,,,,131568000000.000000,,,,,,5926568000000.000000,,-35256000000.000000,-3982000000.000000,,,-5840000000000.000000,,-32945000000.000000,,,,,-5912183000000.000000,14385000000.000000,46670000000.000000,,341215000000.000000,387885000000.000000
12M 2010,659353000000.000000,14058330000000.000000,2981000000.000000,-11926188000000.000000,,-776976000000.000000,-682383000000.000000,-61637000000.000000,-26553000000.000000,-1547549000000.000000,71779000000.000000,,659353000000.000000,-1050530000000.000000,28244000000.000000,,,,,-749580000000.000000,,,-749580000000.000000,-309274000000.000000,-20634000000.000000,714000000.000000,,,,,,,,,,-1050530000000.000000,438109000000.000000,,24925000000000.000000,393600000000.000000,,,,,,,,,25318600000000.000000,,-56834000000.000000,-2328000000.000000,,,-24775000000000.000000,,-46329000000.000000,,,,,-24880491000000.000000,438109000000.000000,46932000000.000000,,387885000000.000000,434817000000.000000
12M 2011,930507000000.000000,18116860000000.000000,2739000000.000000,-15216845000000.000000,,-1021801000000.000000,-861335000000.000000,-86587000000.000000,-42501000000.000000,-2012224000000.000000,39977000000.000000,,930507000000.000000,-788030000000.000000,36315000000.000000,,-7576000000.000000,,,-527815000000.000000,,,-527815000000.000000,-281103000000.000000,-7851000000.000000,,,,,,,,,,,-788030000000.000000,7734000000.000000,,98000000000.000000,37579000000.000000,,,,,,,,,135579000000.000000,,,-7733000000.000000,,,,,-120112000000.000000,,,,,-127845000000.000000,7734000000.000000,150211000000.000000,,434817000000.000000,585028000000.000000
12M 2012,864179000000.000000,23177062000000.000000,9288000000.000000,-19796783000000.000000,,-1310913000000.000000,-1041820000000.000000,-45119000000.000000,-55835000000.000000,-2453687000000.000000,-71701000000.000000,,864179000000.000000,-1516843000000.000000,42357000000.000000,,-30412000000.000000,,1007000000.000000,-906782000000.000000,,,-906782000000.000000,-591374000000.000000,-31639000000.000000,,,,,,,,,,,-1516843000000.000000,994200000000.000000,,288250000000.000000,,,,1166235000000.000000,35000000000.000000,,,,,1489485000000.000000,,-300720000000.000000,-17143000000.000000,,,,,-177422000000.000000,,,,,-495285000000.000000,994200000000.000000,341536000000.000000,,585028000000.000000,926564000000.000000
12M 2013,1160105000000.000000,34453298000000.000000,10584000000.000000,-28999080000000.000000,,-2468369000000.000000,-1829639000000.000000,-284394000000.000000,-123875000000.000000,-4706277000000.000000,401580000000.000000,,1160105000000.000000,-3219841000000.000000,59135000000.000000,,-46600000000.000000,,,-1247035000000.000000,,,-1247035000000.000000,-926142000000.000000,-46558000000.000000,,,,,,,,,,-1012641000000.000000,-3219841000000.000000,1522595000000.000000,,990000000000.000000,1247800000000.000000,,,,,,,,,2237800000000.000000,,-472778000000.000000,-32386000000.000000,-12653000000.000000,,,-4865000000.000000,-192523000000.000000,,,,,-715205000000.000000,1522595000000.000000,-537141000000.000000,,1127626000000.000000,590485000000.000000
12M 2014,1548810000000.000000,41319899000000.000000,,-34538778000000.000000,,-3063600000000.000000,-2244820000000.000000,,-137334000000.000000,-5445754000000.000000,458485000000.000000,-245042000000.000000,1548810000000.000000,-2877802000000.000000,64089000000.000000,,59223000000.000000,,,-1450310000000.000000,,,-1450310000000.000000,-977400000000.000000,-40505000000.000000,,,,,8686000000.000000,-22761000000.000000,,,,-518824000000.000000,-2877802000000.000000,1245587000000.000000,,214188000000.000000,850000000000.000000,1000000000000.000000,,518165000000.000000,10000000.000000,,,,,2582363000000.000000,,-666032000000.000000,-21917000000.000000,-9063000000.000000,,,-8733000000.000000,-160437000000.000000,,-465078000000.000000,,-5516000000.000000,-1336776000000.000000,1245587000000.000000,-83405000000.000000,,590485000000.000000,507080000000.000000
12M 2015,3411211000000.000000,48451284000000.000000,,-38757242000000.000000,,-3846306000000.000000,-2642416000000.000000,,-157006000000.000000,-6645728000000.000000,375133000000.000000,-12236000000.000000,3411211000000.000000,-3096475000000.000000,43912000000.000000,,15622000000.000000,,,-1598862000000.000000,,,-1598862000000.000000,-1443726000000.000000,-121299000000.000000,,,,,7878000000.000000,,,,,,-3096475000000.000000,-77058000000.000000,,57904100000000.000000,750000000000.000000,1000000000000.000000,,1541798000000.000000,,,,,,61195898000000.000000,,-1338413000000.000000,-17173000000.000000,-8757000000.000000,,-59226100000000.000000,-5552000000.000000,-159870000000.000000,,-515948000000.000000,,-1143000000.000000,-61272956000000.000000,-77058000000.000000,237678000000.000000,,527088000000.000000,764766000000.000000
12M 2016,2099475000000.000000,55570277000000.000000,,-46024990000000.000000,,-4775490000000.000000,-2927962000000.000000,,-173709000000.000000,-7877161000000.000000,443769000000.000000,-12420000000.000000,2099475000000.000000,-4060032000000.000000,31795000000.000000,,9885000000.000000,,,-2198773000000.000000,,,-2198773000000.000000,-1711895000000.000000,-172605000000.000000,,,,,7098000000.000000,-25537000000.000000,,,,,-4060032000000.000000,2132405000000.000000,,74127000000000.000000,800000000000.000000,,,,97960000000.000000,,,,,75024960000000.000000,,-426389000000.000000,-10481000000.000000,-3927000000.000000,,-71740000000000.000000,-5742000000.000000,-180632000000.000000,,-525384000000.000000,,,-72892555000000.000000,2132405000000.000000,171848000000.000000,,764766000000.000000,936614000000.000000
12M 2017,3322625000000.000000,61286567000000.000000,,-49281250000000.000000,,-5524845000000.000000,-3306421000000.000000,,-195383000000.000000,-9026649000000.000000,364675000000.000000,-20718000000.000000,3322625000000.000000,-3625051000000.000000,39660000000.000000,,-58794000000.000000,,,-1574150000000.000000,,,-1574150000000.000000,-1712337000000.000000,-241019000000.000000,,,,,6086000000.000000,-83497000000.000000,,,,-1000000000.000000,-3625051000000.000000,298713000000.000000,,135842458000000.000000,750000000000.000000,1000000000000.000000,,,29388000000.000000,,,,,137621846000000.000000,,-530556000000.000000,-7294000000.000000,-1803000000.000000,,-134947457000000.000000,-7847000000.000000,-180632000000.000000,,-647544000000.000000,,-1000000000000.000000,-137323133000000.000000,298713000000.000000,-3713000000.000000,,936614000000.000000,932901000000.000000
