Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,8309032000000.000000,-7042860000000.000000,1266172000000.000000,-1067335000000.000000,-927899000000.000000,-162236000000.000000,11959000000.000000,10841000000.000000,-1067335000000.000000,198837000000.000000,-33442000000.000000,5359000000.000000,-38801000000.000000,,,-33442000000.000000,165395000000.000000,-32643000000.000000,-26669000000.000000,-5974000000.000000,,-32643000000.000000,132752000000.000000,,132752000000.000000,,,132752000000.000000,132752000000.000000,,132752000000.000000,,,,
12M 2009,10555113000000.000000,-8970325000000.000000,1584788000000.000000,-1339832000000.000000,-1159768000000.000000,-214688000000.000000,12580000000.000000,22044000000.000000,-1339832000000.000000,244956000000.000000,-32259000000.000000,9320000000.000000,-41579000000.000000,,,-32259000000.000000,212697000000.000000,-26274000000.000000,-19178000000.000000,-7096000000.000000,,-26274000000.000000,186423000000.000000,,186423000000.000000,,,186423000000.000000,186423000000.000000,,186423000000.000000,,,,
12M 2010,14063557000000.000000,-11918051000000.000000,2145506000000.000000,-1795983000000.000000,-1574736000000.000000,-259917000000.000000,18294000000.000000,20376000000.000000,-1795983000000.000000,349523000000.000000,-59284000000.000000,3000000000.000000,-62284000000.000000,,,-59284000000.000000,290239000000.000000,-34416000000.000000,-24422000000.000000,-9994000000.000000,,-34416000000.000000,255823000000.000000,,255823000000.000000,,,255823000000.000000,255823000000.000000,,255823000000.000000,,,,
12M 2011,18227044000000.000000,-15406118000000.000000,2820926000000.000000,-2323866000000.000000,-2073926000000.000000,-316127000000.000000,,66187000000.000000,-2323866000000.000000,497060000000.000000,-87080000000.000000,2968000000.000000,-90048000000.000000,,,-87080000000.000000,409980000000.000000,-49306000000.000000,-29052000000.000000,-20254000000.000000,,-49306000000.000000,360674000000.000000,,360674000000.000000,14700000000.000000,375374000000.000000,360674000000.000000,360674000000.000000,,360674000000.000000,375374000000.000000,375374000000.000000,,375374000000.000000
12M 2012,23366331000000.000000,-19766433000000.000000,3599898000000.000000,-2992992000000.000000,-2650939000000.000000,-435094000000.000000,,93041000000.000000,-2992992000000.000000,606906000000.000000,-38823000000.000000,9504000000.000000,-48327000000.000000,,,-38823000000.000000,568083000000.000000,-87007000000.000000,-87007000000.000000,,,-87007000000.000000,481076000000.000000,,481076000000.000000,134137000000.000000,615213000000.000000,481076000000.000000,480956000000.000000,120000000.000000,481076000000.000000,615213000000.000000,615093000000.000000,120000000.000000,615213000000.000000
12M 2013,34897259000000.000000,-28577920000000.000000,6319339000000.000000,-5374684000000.000000,-4852020000000.000000,-706267000000.000000,,183603000000.000000,-5374684000000.000000,944655000000.000000,-277629000000.000000,10534000000.000000,-288163000000.000000,,,-277629000000.000000,667026000000.000000,-107188000000.000000,-107188000000.000000,,,-107188000000.000000,559838000000.000000,9204000000.000000,569042000000.000000,,569042000000.000000,569042000000.000000,538357000000.000000,30685000000.000000,569042000000.000000,569042000000.000000,538357000000.000000,30685000000.000000,569042000000.000000
12M 2014,41773316000000.000000,-34101616000000.000000,7671700000000.000000,-6503193000000.000000,-5961851000000.000000,-800799000000.000000,,259457000000.000000,-6503193000000.000000,1168507000000.000000,-465553000000.000000,8686000000.000000,-466495000000.000000,-7744000000.000000,,-465553000000.000000,702954000000.000000,-130636000000.000000,-130636000000.000000,,,-130636000000.000000,572318000000.000000,,572318000000.000000,323000000.000000,572641000000.000000,572318000000.000000,533540000000.000000,38778000000.000000,572318000000.000000,572641000000.000000,533863000000.000000,38778000000.000000,572641000000.000000
12M 2015,48265453000000.000000,-39056413000000.000000,9209040000000.000000,-8065151000000.000000,-7484699000000.000000,-952246000000.000000,,371794000000.000000,-8065151000000.000000,1143889000000.000000,-514159000000.000000,7878000000.000000,-515389000000.000000,-6648000000.000000,,-514159000000.000000,629730000000.000000,-165526000000.000000,-119423000000.000000,,-46103000000.000000,-165526000000.000000,464204000000.000000,,464204000000.000000,11048000000.000000,475252000000.000000,464204000000.000000,451088000000.000000,13116000000.000000,464204000000.000000,475252000000.000000,461206000000.000000,14046000000.000000,475252000000.000000
12M 2016,56107056000000.000000,-45234558000000.000000,10872498000000.000000,-9600318000000.000000,-8931421000000.000000,-1130554000000.000000,,461657000000.000000,-9600318000000.000000,1272180000000.000000,-524634000000.000000,7098000000.000000,-525827000000.000000,-5905000000.000000,,-524634000000.000000,747546000000.000000,-193711000000.000000,-128061000000.000000,,-65650000000.000000,-193711000000.000000,553835000000.000000,,553835000000.000000,-22569000000.000000,531266000000.000000,553835000000.000000,601589000000.000000,-47754000000.000000,553835000000.000000,531266000000.000000,578179000000.000000,-46913000000.000000,531266000000.000000
12M 2017,61464903000000.000000,-49463586000000.000000,12001317000000.000000,-10964360000000.000000,-10347220000000.000000,-1207704000000.000000,,590564000000.000000,-10964360000000.000000,1036957000000.000000,-655615000000.000000,6086000000.000000,-646936000000.000000,-14765000000.000000,,-655615000000.000000,381342000000.000000,-123607000000.000000,-61138000000.000000,,-62469000000.000000,-123607000000.000000,257735000000.000000,,257735000000.000000,-142237000000.000000,115498000000.000000,257735000000.000000,300275000000.000000,-42540000000.000000,257735000000.000000,115498000000.000000,160354000000.000000,-44856000000.000000,115498000000.000000
