Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Investasi Jangka Panjang,Aset Tetap,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,341215000000.000000,,460000000.000000,196625000000.000000,18866000000.000000,177759000000.000000,196625000000.000000,9095000000.000000,,,9095000000.000000,599472000000.000000,94587000000.000000,1241454000000.000000,,,,,808091000000.000000,,257082000000.000000,1065173000000.000000,2306627000000.000000,,,1571391000000.000000,345000000000.000000,,12116000000.000000,1086629000000.000000,1098745000000.000000,46222000000.000000,,,46222000000.000000,18807000000.000000,18106000000.000000,,35256000000.000000,3387000000.000000,,,,38643000000.000000,5868000000.000000,1571391000000.000000,129336000000.000000,3386000000.000000,,67575000000.000000,,1385000000.000000,,,,68960000000.000000,,56990000000.000000,129336000000.000000,1700727000000.000000,,308860000000.000000,,297080000000.000000,,297080000000.000000,297080000000.000000,,-40000000.000000,605900000000.000000,2306627000000.000000,3088600000.000000
12M 2009,,,387885000000.000000,,607000000.000000,207076000000.000000,9583000000.000000,197493000000.000000,207076000000.000000,14990000000.000000,,,14990000000.000000,816245000000.000000,107540000000.000000,1534343000000.000000,,,,,972947000000.000000,,353189000000.000000,1326136000000.000000,2860479000000.000000,,,1858443000000.000000,300000000000.000000,,20960000000.000000,1397263000000.000000,1418223000000.000000,54126000000.000000,,,54126000000.000000,13571000000.000000,17822000000.000000,,35256000000.000000,1517000000.000000,,,,36773000000.000000,17928000000.000000,1858443000000.000000,110943000000.000000,10482000000.000000,,32319000000.000000,,410000000.000000,,,,32729000000.000000,,67732000000.000000,110943000000.000000,1969386000000.000000,,343177000000.000000,97251000000.000000,450558000000.000000,1000000000.000000,449558000000.000000,450558000000.000000,,107000000.000000,891093000000.000000,2860479000000.000000,3431777000.000000
12M 2010,,,434817000000.000000,,,225073000000.000000,11183000000.000000,213890000000.000000,225073000000.000000,21415000000.000000,,,21415000000.000000,1328986000000.000000,154787000000.000000,2165078000000.000000,,,,141488000000.000000,1464781000000.000000,,491582000000.000000,2097851000000.000000,4262929000000.000000,,,2775514000000.000000,449250000000.000000,,10640000000.000000,1930987000000.000000,1941627000000.000000,92778000000.000000,,,92778000000.000000,8756000000.000000,26627000000.000000,,113250000000.000000,988000000.000000,,,,114238000000.000000,142238000000.000000,2775514000000.000000,402309000000.000000,20476000000.000000,,287687000000.000000,,1183000000.000000,,,,288870000000.000000,,92963000000.000000,402309000000.000000,3177823000000.000000,,343177000000.000000,97251000000.000000,539940000000.000000,2000000000.000000,537940000000.000000,539940000000.000000,,104738000000.000000,1085106000000.000000,4262929000000.000000,3431777000.000000
12M 2011,,,585028000000.000000,,,351488000000.000000,6081000000.000000,345407000000.000000,351488000000.000000,41919000000.000000,,,41919000000.000000,1413885000000.000000,189733000000.000000,2582053000000.000000,,,,156188000000.000000,1668522000000.000000,,608169000000.000000,2432879000000.000000,5014932000000.000000,,,3099699000000.000000,548563000000.000000,,12736000000.000000,2195077000000.000000,2207813000000.000000,106869000000.000000,,,106869000000.000000,13607000000.000000,31700000000.000000,,156474000000.000000,4963000000.000000,,,,161437000000.000000,29710000000.000000,3099699000000.000000,454753000000.000000,40730000000.000000,,284633000000.000000,,6400000000.000000,,,,291033000000.000000,,122990000000.000000,454753000000.000000,3554452000000.000000,,343177000000.000000,97251000000.000000,900614000000.000000,3000000000.000000,897614000000.000000,900614000000.000000,,119438000000.000000,1460480000000.000000,5014932000000.000000,3431777000.000000
12M 2012,,,926564000000.000000,,,566095000000.000000,1778000000.000000,564317000000.000000,566095000000.000000,192020000000.000000,468000000.000000,191552000000.000000,192020000000.000000,2101473000000.000000,281626000000.000000,4067778000000.000000,,,,290325000000.000000,2191135000000.000000,,954608000000.000000,3436068000000.000000,7503846000000.000000,,,4065584000000.000000,838688000000.000000,,18788000000.000000,2841940000000.000000,2860728000000.000000,132372000000.000000,,,132372000000.000000,30612000000.000000,45759000000.000000,,34437000000.000000,11736000000.000000,,,,46173000000.000000,111252000000.000000,4065584000000.000000,338756000000.000000,44657000000.000000,,108878000000.000000,,11695000000.000000,,,,120573000000.000000,,173526000000.000000,338756000000.000000,4404340000000.000000,,377495000000.000000,1229168000000.000000,1204148000000.000000,4000000000.000000,1200148000000.000000,1204148000000.000000,35120000000.000000,253575000000.000000,3099506000000.000000,7503846000000.000000,3774954700.000000
12M 2013,,,604677000000.000000,,,1047723000000.000000,,1047723000000.000000,1047723000000.000000,176412000000.000000,,176412000000.000000,176412000000.000000,3345239000000.000000,553019000000.000000,5727070000000.000000,,,24681000000.000000,,3387604000000.000000,,1822872000000.000000,5235157000000.000000,10962227000000.000000,,,6978407000000.000000,1911810000000.000000,,21770000000.000000,3816301000000.000000,3838071000000.000000,362787000000.000000,,,362787000000.000000,20703000000.000000,104654000000.000000,,564622000000.000000,15266000000.000000,7727000000.000000,,,587615000000.000000,152767000000.000000,6978407000000.000000,1380093000000.000000,39350000000.000000,,1015874000000.000000,12168000000.000000,8336000000.000000,,,,1036378000000.000000,,304365000000.000000,1380093000000.000000,8358500000000.000000,,377495000000.000000,465675000000.000000,1549982000000.000000,5000000000.000000,1544982000000.000000,1549982000000.000000,249197000000.000000,-38622000000.000000,2603727000000.000000,10962227000000.000000,37749547000.000000
12M 2014,,,517980000000.000000,,,1533402000000.000000,,1533402000000.000000,1533402000000.000000,205782000000.000000,722000000.000000,205060000000.000000,205782000000.000000,4817131000000.000000,731126000000.000000,7805421000000.000000,,16598000000.000000,33769000000.000000,,4030038000000.000000,,2106742000000.000000,6187147000000.000000,13992568000000.000000,,,8534521000000.000000,2123306000000.000000,,33244000000.000000,4836443000000.000000,4869687000000.000000,404990000000.000000,,,404990000000.000000,37591000000.000000,153025000000.000000,,755702000000.000000,12616000000.000000,7979000000.000000,,,776297000000.000000,169625000000.000000,8534521000000.000000,2451497000000.000000,31624000000.000000,,1007383000000.000000,7346000000.000000,3293000000.000000,,,,1018022000000.000000,995403000000.000000,406448000000.000000,2451497000000.000000,10986018000000.000000,,386143000000.000000,975192000000.000000,1923085000000.000000,6000000000.000000,1917085000000.000000,1923085000000.000000,105720000000.000000,-383590000000.000000,3006550000000.000000,13992568000000.000000,38614252900.000000
12M 2015,,,764766000000.000000,,,1324004000000.000000,6392000000.000000,1317612000000.000000,1324004000000.000000,193309000000.000000,4154000000.000000,189155000000.000000,193309000000.000000,4545921000000.000000,910527000000.000000,7738527000000.000000,,12025000000.000000,33662000000.000000,,4678086000000.000000,,2733587000000.000000,7457360000000.000000,15195887000000.000000,,,7023633000000.000000,789937000000.000000,,103534000000.000000,4793492000000.000000,4897026000000.000000,,1407000000.000000,479347000000.000000,480754000000.000000,28999000000.000000,223323000000.000000,,401394000000.000000,8608000000.000000,3857000000.000000,,,413859000000.000000,189735000000.000000,7023633000000.000000,3322038000000.000000,3435000000.000000,,775208000000.000000,3865000000.000000,1820000000.000000,,,,780893000000.000000,1994260000000.000000,543450000000.000000,3322038000000.000000,10345671000000.000000,,415245000000.000000,2478160000000.000000,2225570000000.000000,7000000000.000000,2218570000000.000000,2225570000000.000000,123101000000.000000,-391860000000.000000,4850216000000.000000,15195887000000.000000,41524501700.000000
12M 2016,,,936614000000.000000,,,1808864000000.000000,11847000000.000000,1797017000000.000000,1808864000000.000000,257740000000.000000,1665000000.000000,256075000000.000000,257740000000.000000,6058907000000.000000,1170792000000.000000,10232917000000.000000,,31058000000.000000,80872000000.000000,,5743768000000.000000,,3385752000000.000000,9241450000000.000000,19474367000000.000000,,,11420080000000.000000,3179025000000.000000,,103953000000.000000,5556956000000.000000,5660909000000.000000,,677000000.000000,526121000000.000000,526798000000.000000,42600000000.000000,245784000000.000000,,524772000000.000000,4566000000.000000,1503000000.000000,999080000000.000000,,1529921000000.000000,235043000000.000000,11420080000000.000000,2759524000000.000000,,,1022729000000.000000,2502000000.000000,890000000.000000,,,,1026121000000.000000,997706000000.000000,735697000000.000000,2759524000000.000000,14179604000000.000000,,415245000000.000000,2479828000000.000000,2646527000000.000000,8000000000.000000,2638527000000.000000,2646527000000.000000,157409000000.000000,-404246000000.000000,5294763000000.000000,19474367000000.000000,41524501700.000000
12M 2017,,,946700000000.000000,,,1897118000000.000000,5627000000.000000,1891491000000.000000,1897118000000.000000,416642000000.000000,171000000.000000,416471000000.000000,416642000000.000000,6934065000000.000000,1349665000000.000000,11544190000000.000000,,95657000000.000000,171440000000.000000,,6042904000000.000000,,4047549000000.000000,10357550000000.000000,21901740000000.000000,,,13055903000000.000000,4088799000000.000000,,132963000000.000000,6576258000000.000000,6709221000000.000000,,,447245000000.000000,447245000000.000000,35524000000.000000,282931000000.000000,,688166000000.000000,3339000000.000000,1186000000.000000,598360000000.000000,,1291051000000.000000,201132000000.000000,13055903000000.000000,3595667000000.000000,,,1078314000000.000000,3085000000.000000,1004000000.000000,,,,1082403000000.000000,1395666000000.000000,1117598000000.000000,3595667000000.000000,16651570000000.000000,,415245000000.000000,2479828000000.000000,2766170000000.000000,9000000000.000000,2757170000000.000000,2766170000000.000000,142273000000.000000,-553346000000.000000,5250170000000.000000,21901740000000.000000,41524501700.000000
