Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Pihak Ketiga,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Akseptasi,Utang Pajak,Beban Akrual,Beban Akrual,Others,Total Beban Akrual,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Others,Total Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,3088296000.000000,46886299000.000000,137858363000.000000,735833850000.000000,735833850000.000000,,669775071000.000000,,,669775071000.000000,,669775071000.000000,73887864000.000000,,73887864000.000000,248653000.000000,,,,772024723000.000000,1703769269000.000000,,,2014546000.000000,1000260281000.000000,44633000.000000,1000215648000.000000,1000260281000.000000,171074012000.000000,,171074012000.000000,171074012000.000000,,4022772000.000000,8729506000.000000,8729506000.000000,,8729506000.000000,,,324633464000.000000,1510734581000.000000,,151088221000.000000,,151088221000.000000,20660277000.000000,21286190000.000000,,21286190000.000000,21286190000.000000,,193034688000.000000,1703769269000.000000,1510882208.000000
12M 2009,,6882828000.000000,109532685000.000000,487813132000.000000,1501899777000.000000,1501899777000.000000,,1206115292000.000000,,,1206115292000.000000,,1206115292000.000000,87631334000.000000,,87631334000.000000,454409000.000000,,,,1560751675000.000000,3459181355000.000000,,,609146000.000000,2451524112000.000000,101344000.000000,2451422768000.000000,2451524112000.000000,217120060000.000000,,217120060000.000000,217120060000.000000,,8233388000.000000,28302043000.000000,28302043000.000000,,28302043000.000000,,,248880288000.000000,2954669037000.000000,,453264662000.000000,,453264662000.000000,7522410000.000000,43725246000.000000,4250000000.000000,39475246000.000000,43725246000.000000,,504512318000.000000,3459181355000.000000,4532646624.000000
12M 2010,,11433888000.000000,261071404000.000000,1343709383000.000000,723213699000.000000,723213699000.000000,,1817950714000.000000,,,1817950714000.000000,,1817950714000.000000,100653945000.000000,,100653945000.000000,,,,,864585184000.000000,4399404518000.000000,,,47862346000.000000,3617301460000.000000,415805000.000000,3616885655000.000000,3617301460000.000000,26220923000.000000,,26220923000.000000,26220923000.000000,,4961997000.000000,21263430000.000000,21263430000.000000,,21263430000.000000,338760000.000000,,137585468000.000000,3855534384000.000000,,453264662000.000000,,453264662000.000000,7522410000.000000,67812713000.000000,8750000000.000000,59062713000.000000,67812713000.000000,15270349000.000000,543870134000.000000,4399404518000.000000,4532646624.000000
12M 2011,,14850000000.000000,371065000000.000000,1342901000000.000000,993053000000.000000,993053000000.000000,,1740790000000.000000,,,1740790000000.000000,,1740790000000.000000,139537000000.000000,,139537000000.000000,2370000000.000000,,,,1083426000000.000000,4694939000000.000000,,,8247000000.000000,3975641000000.000000,5091000000.000000,3970550000000.000000,3975641000000.000000,66729000000.000000,,,66729000000.000000,,11266000000.000000,21506000000.000000,21506000000.000000,,21506000000.000000,,,2762000000.000000,4086151000000.000000,,453265000000.000000,,453265000000.000000,7522000000.000000,96756000000.000000,13250000000.000000,83506000000.000000,96756000000.000000,51245000000.000000,608788000000.000000,4694939000000.000000,4532646624.000000
12M 2012,,22402000000.000000,414717000000.000000,748682000000.000000,1301837000000.000000,1301837000000.000000,,2813287000000.000000,13892000000.000000,2799395000000.000000,2813287000000.000000,,2813287000000.000000,148955000000.000000,,148955000000.000000,2433000000.000000,,,,1515701000000.000000,5666177000000.000000,,,13933000000.000000,4778019000000.000000,6254000000.000000,4771765000000.000000,4778019000000.000000,187356000000.000000,,,187356000000.000000,,14666000000.000000,9527000000.000000,9527000000.000000,,9527000000.000000,,,4888000000.000000,5008389000000.000000,,455085000000.000000,,455085000000.000000,7522000000.000000,146348000000.000000,18811000000.000000,127537000000.000000,146348000000.000000,48833000000.000000,657788000000.000000,5666177000000.000000,4550852657.000000
12M 2013,,26199000000.000000,472688000000.000000,1034881000000.000000,1535465000000.000000,1535465000000.000000,,3734689000000.000000,101000000.000000,3734588000000.000000,3734689000000.000000,,3734689000000.000000,167240000000.000000,,167240000000.000000,6113000000.000000,,,,1697466000000.000000,7139276000000.000000,,,10291000000.000000,5893147000000.000000,8275000000.000000,5884872000000.000000,5893147000000.000000,280066000000.000000,,,280066000000.000000,,19621000000.000000,21671000000.000000,,,21671000000.000000,,,8090000000.000000,6232886000000.000000,,639742000000.000000,,639742000000.000000,9058000000.000000,219423000000.000000,23811000000.000000,195612000000.000000,219423000000.000000,38167000000.000000,906390000000.000000,7139276000000.000000,6397416110.000000
12M 2014,,39991000000.000000,775440000000.000000,1501346000000.000000,1917531000000.000000,1917531000000.000000,,4729920000000.000000,3900000000.000000,4726020000000.000000,4729920000000.000000,,4729920000000.000000,179384000000.000000,,179384000000.000000,4237000000.000000,,,,2021458000000.000000,9251776000000.000000,,,11510000000.000000,8112281000000.000000,9385000000.000000,8102896000000.000000,8112281000000.000000,101768000000.000000,,,101768000000.000000,,18879000000.000000,22454000000.000000,,,22454000000.000000,,,10691000000.000000,8277583000000.000000,,639742000000.000000,,639742000000.000000,9058000000.000000,296688000000.000000,29311000000.000000,267377000000.000000,296688000000.000000,28705000000.000000,974193000000.000000,9251776000000.000000,6397416110.000000
12M 2015,,62662000000.000000,891684000000.000000,1834572000000.000000,2459134000000.000000,2459134000000.000000,,6044761000000.000000,4815000000.000000,6039946000000.000000,6044761000000.000000,,6044761000000.000000,231792000000.000000,,231792000000.000000,3867000000.000000,,,,3089859000000.000000,12159197000000.000000,,,20740000000.000000,10819859000000.000000,28818000000.000000,10791041000000.000000,10819859000000.000000,10134000000.000000,,,10134000000.000000,,17034000000.000000,28202000000.000000,,,28202000000.000000,,194166000000.000000,15646000000.000000,11105781000000.000000,,640453000000.000000,,640453000000.000000,9058000000.000000,393014000000.000000,34811000000.000000,358203000000.000000,393014000000.000000,10891000000.000000,1053416000000.000000,12159197000000.000000,6404528162.000000
12M 2016,,78996000000.000000,1027544000000.000000,1724389000000.000000,3739483000000.000000,3739483000000.000000,,6636940000000.000000,3324000000.000000,6633616000000.000000,6636940000000.000000,,6636940000000.000000,319465000000.000000,,319465000000.000000,4671000000.000000,,,,4415409000000.000000,14207414000000.000000,,,11680000000.000000,12019809000000.000000,24987000000.000000,11994822000000.000000,12019809000000.000000,361654000000.000000,,,361654000000.000000,,16404000000.000000,27650000000.000000,,,27650000000.000000,,438478000000.000000,16699000000.000000,12892374000000.000000,,703794000000.000000,,703794000000.000000,8471000000.000000,499452000000.000000,40311000000.000000,459141000000.000000,499452000000.000000,103323000000.000000,1315040000000.000000,14207414000000.000000,7037943495.000000
12M 2017,,68881000000.000000,1109986000000.000000,2513237000000.000000,4081822000000.000000,4081822000000.000000,,7115383000000.000000,7256000000.000000,7108127000000.000000,7115383000000.000000,,7115383000000.000000,328164000000.000000,,328164000000.000000,4605000000.000000,,,,5209217000000.000000,16349473000000.000000,,,35681000000.000000,14109109000000.000000,106923000000.000000,14002186000000.000000,14109109000000.000000,6552000000.000000,,,6552000000.000000,25849000000.000000,23540000000.000000,38776000000.000000,,,38776000000.000000,,683162000000.000000,18418000000.000000,14941087000000.000000,,703950000000.000000,,703950000000.000000,8472000000.000000,597779000000.000000,45811000000.000000,551968000000.000000,597779000000.000000,98185000000.000000,1408386000000.000000,16349473000000.000000,7039500962.000000
