Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Penerimaan Provisi Dan Komisi,Pembayaran Bunga Dan Pembiayaan Lainnya,Pembayaran Beban Umum Dan Administrasi,Pembayaran Beban Tenaga Kerja Dan Tunjangan,Penerimaan (Pembayaran) Operasional Lainnya - Bersih,Penerimaan Operasional Lainnya,Pembayaran Operasional Lainnya,Total Penerimaan (Pembayaran) Operasional Lainnya - Bersih,Penerimaan (Pembayaran) Non-Operasional - Bersih,Penerimaan Dari Pendapatan Non-Operasional,Pembayaran Untuk Beban Non Operasional,Total Penerimaan (Pembayaran) Non-Operasional - Bersih,Keuntungan (Kerugian) Selisih Kurs Mata Uang Asing - Bersih,Cadangan Umum,Pembayaran Beban Pajak Penghasilan,Kenaikan (Penurunan) Aset Operasi :,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek,Kredit Yang Diberikan,Aset Lain-Lain,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Total Kenaikan (Penurunan) Aset Operasi :,Penurunan (Kenaikan) Liabilitas Operasi:,Simpanan Dari Nasabah,Simpanan Dari Bank Lain,Utang Pajak,Kewajiban Tangguhan,Estimasi Komitmen Dan Tontinjensi,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Beban Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain,Kewajiban Lain-Lain,Total Beban Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain,Total Penurunan (Kenaikan) Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Revaluasi Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Perolehan Aset Tetap,Keuntungan (Kerugian) Yang Belum Terealisasi Atas Perubahan Nilai Wajar Efek-Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Saham Baru,Obligasi Subordinasi Yang Diterbitkan,Biaya Emisi Obligasi Subordinasi,Pelaksanaan Waran Saham,Efek Yang Dijual Dengan Janji Dibeli Kembali,Setoran Modal,Biaya Emisi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-165810306000.000000,163222573000.000000,11728436000.000000,-115997858000.000000,-12016936000.000000,-11287245000.000000,-2121487000.000000,,,-2121487000.000000,,,-1453019000.000000,-1453019000.000000,-2342413000.000000,,,,-8500345000.000000,-349910949000.000000,-108011466000.000000,-6699094000.000000,,-473121854000.000000,,222980011000.000000,51022343000.000000,-7167726000.000000,,,,10744869000.000000,,10744869000.000000,277579497000.000000,,-165810306000.000000,-31189920000.000000,,,,-31189920000.000000,-31189920000.000000,,-31189920000.000000,207516376000.000000,,,,,207516376000.000000,,,207516376000.000000,10516150000.000000,54701928000.000000,,65218078000.000000
12M 2009,-108442145000.000000,214239078000.000000,17200805000.000000,-151805626000.000000,-17877526000.000000,-18302411000.000000,-2141587000.000000,,,-2141587000.000000,,,-107383000.000000,-107383000.000000,-4121596000.000000,,,,-350894268000.000000,-763483007000.000000,-539736913000.000000,-1418550000.000000,,-1655532738000.000000,,1451263831000.000000,46046049000.000000,-2596416000.000000,,,,15293375000.000000,,15293375000.000000,1510006839000.000000,,-108442145000.000000,-23608979000.000000,,,854687000.000000,-24463666000.000000,-23608979000.000000,,-23608979000.000000,212039902000.000000,,,,,-76998674000.000000,305198206000.000000,-16159630000.000000,212039902000.000000,79988778000.000000,65218078000.000000,,145206856000.000000
12M 2010,620413633000.000000,336727893000.000000,4144305000.000000,-237961658000.000000,-29763336000.000000,-33093501000.000000,25845096000.000000,,,25845096000.000000,,,-7421037000.000000,-7421037000.000000,-342231000.000000,-4500000000.000000,,,,220810757000.000000,-611835422000.000000,-48407815000.000000,,-439432480000.000000,,1165777348000.000000,-190899137000.000000,-3271391000.000000,-5535561000.000000,-75264000.000000,,40214587000.000000,,40214587000.000000,1006210582000.000000,,620413633000.000000,-10877113000.000000,,,,-26147462000.000000,-26147462000.000000,15270349000.000000,-10877113000.000000,-107356460000.000000,,,,,-111856460000.000000,4500000000.000000,,-107356460000.000000,502180060000.000000,1332142392000.000000,,1834322452000.000000
12M 2011,-290191000000.000000,419072000000.000000,2227000000.000000,-268692000000.000000,-44006000000.000000,-42808000000.000000,-12472000000.000000,,,-12472000000.000000,-15817000000.000000,,,-15817000000.000000,,,,,-671012000000.000000,-103358000000.000000,72608000000.000000,40480000000.000000,,-661282000000.000000,,366764000000.000000,40706000000.000000,-70000000.000000,,,,-73813000000.000000,,-73813000000.000000,333587000000.000000,,-290191000000.000000,2382000000.000000,,,,-2171000000.000000,-2171000000.000000,4553000000.000000,2382000000.000000,-135242000000.000000,,,,,-135242000000.000000,,,-135242000000.000000,-423051000000.000000,1834322000000.000000,,1411271000000.000000
12M 2012,-31551000000.000000,429326000000.000000,,-269861000000.000000,-37158000000.000000,-58206000000.000000,-4059000000.000000,,,-4059000000.000000,-22000000.000000,,,-22000000.000000,,,-12790000000.000000,,437210000000.000000,-364940000000.000000,-1072888000000.000000,2850000000.000000,,-997768000000.000000,,802378000000.000000,120627000000.000000,1280000000.000000,,,,,-5298000000.000000,-5298000000.000000,918987000000.000000,,-31551000000.000000,-18223000000.000000,,,180000000.000000,-18403000000.000000,-18223000000.000000,,-18223000000.000000,1820000000.000000,,,,1820000000.000000,,,,1820000000.000000,-47954000000.000000,1411271000000.000000,,1363317000000.000000
12M 2013,134892000000.000000,549309000000.000000,,-337242000000.000000,-28790000000.000000,-73119000000.000000,,18385000000.000000,-19942000000.000000,-1557000000.000000,,40000000.000000,-983000000.000000,-943000000.000000,,,-24612000000.000000,,,-241696000000.000000,-911780000000.000000,-6109000000.000000,,-1159585000000.000000,,1115128000000.000000,92710000000.000000,3021000000.000000,,,,,572000000.000000,572000000.000000,1211431000000.000000,,134892000000.000000,-28857000000.000000,,,879000000.000000,-29736000000.000000,-28857000000.000000,,-28857000000.000000,186193000000.000000,188350000000.000000,,,,,,-2157000000.000000,186193000000.000000,292228000000.000000,1363317000000.000000,,1655545000000.000000
12M 2014,705431000000.000000,782817000000.000000,,-564810000000.000000,-68114000000.000000,-89480000000.000000,,30501000000.000000,-4508000000.000000,25993000000.000000,,86000000.000000,-1538000000.000000,-1452000000.000000,,,-28798000000.000000,,-18447000000.000000,-389223000000.000000,-994498000000.000000,7602000000.000000,,-1394566000000.000000,,2219134000000.000000,-178298000000.000000,5565000000.000000,,,,,-2560000000.000000,-2560000000.000000,2043841000000.000000,,705431000000.000000,-22987000000.000000,,,273000000.000000,-23260000000.000000,-22987000000.000000,,-22987000000.000000,,,,,,,,,,682444000000.000000,1655545000000.000000,,2337989000000.000000
12M 2015,845700000000.000000,1097421000000.000000,,-822966000000.000000,-82070000000.000000,-119837000000.000000,,41645000000.000000,-10614000000.000000,31031000000.000000,,195000000.000000,-5542000000.000000,-5347000000.000000,,,-28492000000.000000,,18447000000.000000,-552693000000.000000,-1310557000000.000000,-3300000000.000000,,-1848103000000.000000,,2707578000000.000000,-91634000000.000000,-1382000000.000000,,,,,9501000000.000000,9501000000.000000,2624063000000.000000,,845700000000.000000,-61235000000.000000,,,23288000000.000000,-84523000000.000000,-61235000000.000000,,-61235000000.000000,194282000000.000000,,200000000000.000000,-6429000000.000000,711000000.000000,,,,194282000000.000000,978747000000.000000,2337989000000.000000,,3316736000000.000000
12M 2016,-173319000000.000000,1270629000000.000000,,-878011000000.000000,-110777000000.000000,-151493000000.000000,,59425000000.000000,-1275000000.000000,58150000000.000000,,196000000.000000,-7161000000.000000,-6965000000.000000,,,-32849000000.000000,,,-1280349000000.000000,-592179000000.000000,9297000000.000000,,-1863231000000.000000,,1199950000000.000000,351520000000.000000,-630000000.000000,,,,,-9612000000.000000,-9612000000.000000,1541228000000.000000,,-173319000000.000000,-31654000000.000000,,,,-31654000000.000000,-31654000000.000000,,-31654000000.000000,305722000000.000000,64520000000.000000,250000000000.000000,-7032000000.000000,86000000.000000,,,-1852000000.000000,305722000000.000000,100749000000.000000,3316736000000.000000,,3417485000000.000000
12M 2017,1060492000000.000000,1294530000000.000000,,-901940000000.000000,-83953000000.000000,-176515000000.000000,,42052000000.000000,-14829000000.000000,27223000000.000000,,46000000.000000,-8640000000.000000,-8594000000.000000,,,-19029000000.000000,,,-342341000000.000000,-478442000000.000000,-43173000000.000000,,-863956000000.000000,,2089301000000.000000,-355102000000.000000,-2448000000.000000,,,,,60975000000.000000,60975000000.000000,1792726000000.000000,,1060492000000.000000,-38074000000.000000,,,595000000.000000,-38669000000.000000,-38074000000.000000,,-38074000000.000000,242982000000.000000,,250000000000.000000,-7174000000.000000,156000000.000000,,,,242982000000.000000,1265400000000.000000,3417485000000.000000,,4682885000000.000000
