Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Penjualan Efek-Efek,Provisi Dan Komisi Lainnya,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Kerugian Dari Penjualan Aset-Aset Keuangan,Kerugian Transaksi Mata Uang Asing,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,174954607000.000000,163222573000.000000,11732034000.000000,174954607000.000000,-115997858000.000000,-115997858000.000000,-115997858000.000000,58956749000.000000,-13959729000.000000,,-498558000.000000,,997344000.000000,498786000.000000,,-119313000.000000,-5305226000.000000,-3920827000.000000,-2623873000.000000,-2342412000.000000,-146864000.000000,,-14458515000.000000,-13959729000.000000,,44997020000.000000,-1216902000.000000,2386000.000000,-1219288000.000000,,-1216902000.000000,43780118000.000000,-4817941000.000000,-6281369000.000000,1463428000.000000,-4817941000.000000,38962177000.000000,,,,,38962177000.000000,38962177000.000000,,38962177000.000000,,,,
12M 2009,239507485000.000000,222275681000.000000,17231804000.000000,239507485000.000000,-153322375000.000000,-153322375000.000000,-153322375000.000000,86185110000.000000,-23118488000.000000,,1680645000.000000,,710224000.000000,2390869000.000000,,-1018353000.000000,-9802706000.000000,-6638104000.000000,-2882808000.000000,-4121596000.000000,-1045790000.000000,,-25509357000.000000,-23118488000.000000,,63066622000.000000,-195634000.000000,57862000.000000,-253496000.000000,,-195634000.000000,62870988000.000000,-6807032000.000000,-7012788000.000000,205756000.000000,-6807032000.000000,56063956000.000000,,,,,56063956000.000000,56063956000.000000,,56063956000.000000,,,,
12M 2010,343229755000.000000,336727893000.000000,6501862000.000000,343229755000.000000,-237961658000.000000,-237961658000.000000,-237961658000.000000,105268097000.000000,-15268747000.000000,,6002537000.000000,,1603172000.000000,7605709000.000000,,-2426077000.000000,-10657726000.000000,-9564837000.000000,41151000.000000,-342231000.000000,75264000.000000,,-22874456000.000000,-15268747000.000000,,89999350000.000000,87483000.000000,201278000.000000,-113795000.000000,,87483000.000000,90086833000.000000,-5874321000.000000,-5388193000.000000,-486128000.000000,-5874321000.000000,84212512000.000000,,,,,84212512000.000000,84212512000.000000,,84212512000.000000,,,,
12M 2011,385805000000.000000,382385000000.000000,3420000000.000000,385805000000.000000,-275361000000.000000,-275361000000.000000,-275361000000.000000,110444000000.000000,1572000000.000000,,36686000000.000000,,2467000000.000000,39153000000.000000,,-1526000000.000000,-12898000000.000000,-11870000000.000000,-13479000000.000000,2421000000.000000,-229000000.000000,,-37581000000.000000,1572000000.000000,,112016000000.000000,3803000000.000000,4093000000.000000,-290000000.000000,,3803000000.000000,115819000000.000000,-6503000000.000000,-9211000000.000000,2708000000.000000,-6503000000.000000,109316000000.000000,37111000000.000000,37111000000.000000,37111000000.000000,146427000000.000000,109316000000.000000,109316000000.000000,,109316000000.000000,146427000000.000000,146427000000.000000,,146427000000.000000
12M 2012,431486000000.000000,427309000000.000000,4177000000.000000,431486000000.000000,-269311000000.000000,-269311000000.000000,-269311000000.000000,162175000000.000000,-102808000000.000000,,38654000000.000000,,1927000000.000000,40581000000.000000,,-11062000000.000000,-51346000000.000000,-45395000000.000000,-35066000000.000000,-520000000.000000,,,-143389000000.000000,-102808000000.000000,,59367000000.000000,-21000000.000000,73000000.000000,-94000000.000000,,-21000000.000000,59346000000.000000,-14847000000.000000,-14910000000.000000,63000000.000000,-14847000000.000000,44499000000.000000,-534000000.000000,-534000000.000000,-534000000.000000,43965000000.000000,44499000000.000000,44499000000.000000,,44499000000.000000,43965000000.000000,43965000000.000000,,43965000000.000000
12M 2013,553884000000.000000,547977000000.000000,5907000000.000000,553884000000.000000,-344842000000.000000,-344842000000.000000,-344842000000.000000,209042000000.000000,-31002000000.000000,,16011000000.000000,,2374000000.000000,18385000000.000000,,-353000000.000000,-12319000000.000000,-16773000000.000000,-29611000000.000000,9669000000.000000,,,-49387000000.000000,-31002000000.000000,,178040000000.000000,-916000000.000000,67000000.000000,-983000000.000000,,-916000000.000000,177124000000.000000,-22866000000.000000,-26546000000.000000,3680000000.000000,-22866000000.000000,154258000000.000000,-8068000000.000000,-8068000000.000000,-8068000000.000000,146190000000.000000,154258000000.000000,154258000000.000000,,154258000000.000000,146190000000.000000,146190000000.000000,,146190000000.000000
12M 2014,792064000000.000000,786137000000.000000,5927000000.000000,792064000000.000000,-570303000000.000000,-570303000000.000000,-570303000000.000000,221761000000.000000,-17328000000.000000,,27104000000.000000,,3398000000.000000,30502000000.000000,,-14000000.000000,-18059000000.000000,-25249000000.000000,-2883000000.000000,-1625000000.000000,,,-47830000000.000000,-17328000000.000000,,204433000000.000000,-1467000000.000000,114000000.000000,-1581000000.000000,,-1467000000.000000,202966000000.000000,-24366000000.000000,-22490000000.000000,-1876000000.000000,-24366000000.000000,178600000000.000000,-6727000000.000000,-6727000000.000000,-6727000000.000000,171873000000.000000,178600000000.000000,178600000000.000000,,178600000000.000000,171873000000.000000,171873000000.000000,,171873000000.000000
12M 2015,1120950000000.000000,1116871000000.000000,4079000000.000000,1120950000000.000000,-828538000000.000000,-828538000000.000000,-828538000000.000000,292412000000.000000,-24816000000.000000,,33729000000.000000,,7916000000.000000,41645000000.000000,,-1392000000.000000,-21530000000.000000,-32925000000.000000,-17933000000.000000,7319000000.000000,,,-66461000000.000000,-24816000000.000000,,267596000000.000000,-3711000000.000000,1831000000.000000,-5542000000.000000,,-3711000000.000000,263885000000.000000,-28825000000.000000,-28029000000.000000,-796000000.000000,-28825000000.000000,235060000000.000000,-9906000000.000000,-9906000000.000000,-9906000000.000000,225154000000.000000,235060000000.000000,235060000000.000000,,235060000000.000000,225154000000.000000,225154000000.000000,,225154000000.000000
12M 2016,1238425000000.000000,1238425000000.000000,,1238425000000.000000,-878011000000.000000,-878011000000.000000,-878011000000.000000,360414000000.000000,11414000000.000000,,22409000000.000000,30860000000.000000,37016000000.000000,90285000000.000000,,2607000000.000000,-26937000000.000000,-35313000000.000000,-1275000000.000000,-17953000000.000000,,,-78871000000.000000,11414000000.000000,,371828000000.000000,-7258000000.000000,,,,-7258000000.000000,364570000000.000000,-32568000000.000000,-33219000000.000000,651000000.000000,-32568000000.000000,332002000000.000000,105413000000.000000,105413000000.000000,105413000000.000000,437415000000.000000,332002000000.000000,332002000000.000000,,332002000000.000000,437415000000.000000,437415000000.000000,,437415000000.000000
12M 2017,1290234000000.000000,1290234000000.000000,,1290234000000.000000,-922595000000.000000,-922595000000.000000,-922595000000.000000,367639000000.000000,-244307000000.000000,,18192000000.000000,6683000000.000000,35369000000.000000,60244000000.000000,,-26655000000.000000,-170446000000.000000,-119854000000.000000,-441000000.000000,12845000000.000000,,,-304551000000.000000,-244307000000.000000,,123332000000.000000,-8594000000.000000,,,,-8594000000.000000,114738000000.000000,-28598000000.000000,-28614000000.000000,16000000.000000,-28598000000.000000,86140000000.000000,7049000000.000000,7049000000.000000,7049000000.000000,93189000000.000000,86140000000.000000,86140000000.000000,,86140000000.000000,93189000000.000000,93189000000.000000,,93189000000.000000
