Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Operasional Lainnya,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Setoran Modal Entitas Anak Oleh Kepentingan Non-Pengendali,Penerimaan Hasil Penjualan Aset Tetap,Investasi Pada Ventura Bersama,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Uang Jaminan,Pembayaran Utang Pembelian Aset Tetap,Penambahan Biaya Lisensi Yang Ditangguhkan,Akuisisi Kepentingan Non Pengendali,Pemberian Pinjaman Kepada Ventura Bersama,Perolehan Aset Tetap,Perolehan Merk Dagang,Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Sehubungan Dengan Penawaran Umum Perdana,Kenaikan (Penurunan) Piutang Dan Utang Kepada Pihak Berelasi - Bersih,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Pembelian Kendaraan,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Atas Pinjaman Dari Pihak Ketiga,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Liabilitas Sewa,Pembayaran Pokok Obligasi,Pembayaran Dividen Tunai,Penerimaan Dari Penerbitan Modal Disetor Entitas Anak Dari Pemegang Saham Terdahulu,Penerimaan Dari Penerbitan Modal Disetor Entitas Anak Dari Kepentingan Non-Pengendali,Pembayaran Atas Pengurangan Modal Saham Entitas Anak Kepada Kepentingan Non-Pengendali,Pembayaran Dividen Entitas Anak Kepada Pemegang Saham Terdahulu,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non-Pengendali,Pembayaran Untuk Perubahan Proporsi Yang Dimiliki Oleh Kepentingan Non-Pengendali,Penerimaan Dari Penerbitan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Peningkatan Kas Dan Setara Kas Akibat Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2017,500581000000.000000,5039299000000.000000,-542956000000.000000,-2795095000000.000000,-1023275000000.000000,5900000000.000000,-11782000000.000000,-171510000000.000000,500581000000.000000,-178965000000.000000,4995000000.000000,,6176000000.000000,,-3950000000.000000,-21305000000.000000,,,,,-164881000000.000000,,,-178965000000.000000,-821528000000.000000,,-102786000000.000000,,-395000000000.000000,,,,-23742000000.000000,,-90000000000.000000,-210000000000.000000,,,,,,,,-821528000000.000000,-89912000000.000000,327678000000.000000,,237766000000.000000
12M 2018,543567000000.000000,6302868000000.000000,-640052000000.000000,-3681757000000.000000,-1200672000000.000000,8458000000.000000,-5068000000.000000,-240210000000.000000,543567000000.000000,-280029000000.000000,9357000000.000000,,4374000000.000000,,-3334000000.000000,-19088000000.000000,,,,,-252913000000.000000,-18500000000.000000,75000000.000000,-280029000000.000000,-34099000000.000000,987840000000.000000,-71353000000.000000,,-25000000000.000000,,,,-39187000000.000000,,-888897000000.000000,,2500000000.000000,,,-2000000.000000,,,,-34099000000.000000,229439000000.000000,237766000000.000000,,467205000000.000000
12M 2019,823703000000.000000,7450312000000.000000,-783681000000.000000,-4100476000000.000000,-1499444000000.000000,50202000000.000000,-10623000000.000000,-282587000000.000000,823703000000.000000,-301494000000.000000,11373000000.000000,,1083000000.000000,,-2226000000.000000,-28762000000.000000,,,,,-282962000000.000000,,,-301494000000.000000,-454191000000.000000,,66105000000.000000,350000000000.000000,-350000000000.000000,,,,-41193000000.000000,,-479103000000.000000,,,,,,,,,-454191000000.000000,68018000000.000000,467205000000.000000,,535223000000.000000
12M 2020,22678000000.000000,4732247000000.000000,-704726000000.000000,-3225426000000.000000,-640801000000.000000,8070000000.000000,-36976000000.000000,-109710000000.000000,22678000000.000000,-190587000000.000000,16617000000.000000,,1943000000.000000,,-2221000000.000000,-1509000000.000000,,,,,-104092000000.000000,,-101325000000.000000,-190587000000.000000,221292000000.000000,,26333000000.000000,1140727000000.000000,-732270000000.000000,,,,-43948000000.000000,-184827000000.000000,,,,15278000000.000000,,,-1000000.000000,,,221292000000.000000,53383000000.000000,545965000000.000000,,599348000000.000000
12M 2021,884104000000.000000,6019897000000.000000,-711120000000.000000,-3424244000000.000000,-969433000000.000000,21123000000.000000,,-52119000000.000000,884104000000.000000,-118961000000.000000,6182000000.000000,,919000000.000000,,-4831000000.000000,-13672000000.000000,,,,,-107559000000.000000,,,-118961000000.000000,-702077000000.000000,,1445000000.000000,273004000000.000000,-700155000000.000000,,-36239000000.000000,,-39908000000.000000,-213940000000.000000,,,,13716000000.000000,,,,,,-702077000000.000000,63066000000.000000,599348000000.000000,,662414000000.000000
12M 2022,1645770000000.000000,9700582000000.000000,-979637000000.000000,-5410579000000.000000,-1364164000000.000000,109049000000.000000,,-409481000000.000000,1645770000000.000000,-429867000000.000000,13259000000.000000,,253000000.000000,,-34269000000.000000,-68273000000.000000,,,,,-340837000000.000000,,,-429867000000.000000,-536680000000.000000,,-4318000000.000000,112070000000.000000,-79410000000.000000,,-14435000000.000000,,-31873000000.000000,-526150000000.000000,,,,7436000000.000000,,,,,,-536680000000.000000,679223000000.000000,662414000000.000000,,1341637000000.000000
12M 2023,1281842000000.000000,13428260000000.000000,-1447305000000.000000,-8088264000000.000000,-2140045000000.000000,5834000000.000000,,-476638000000.000000,1281842000000.000000,-1306798000000.000000,10446000000.000000,,2162000000.000000,-5000000000.000000,-16300000000.000000,-120497000000.000000,-128318000000.000000,,,,-816442000000.000000,,-232849000000.000000,-1306798000000.000000,-214183000000.000000,,,1750681000000.000000,-1125746000000.000000,,-26040000000.000000,,,-850773000000.000000,,-114016000000.000000,,151712000000.000000,,,-1000000.000000,,,-214183000000.000000,-242393000000.000000,1341637000000.000000,,1099244000000.000000
12M 2024,2873934000000.000000,17316238000000.000000,-1782918000000.000000,-9405508000000.000000,-2700917000000.000000,19463000000.000000,,-572424000000.000000,2873934000000.000000,-1408010000000.000000,14079000000.000000,,5392000000.000000,,-54653000000.000000,-93199000000.000000,-258629000000.000000,,,-79400000000.000000,-941014000000.000000,,-586000000.000000,-1408010000000.000000,-1519515000000.000000,,,1232633000000.000000,-1497701000000.000000,,-68608000000.000000,-80720000000.000000,,-954347000000.000000,,-142520000000.000000,,,-3000000.000000,,-4000000.000000,-8245000000.000000,,-1519515000000.000000,-58620000000.000000,1099244000000.000000,,1040624000000.000000
