Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,948.51,0.00,931.59,54 B,4 B,58 B,(682 B),517 B
12M 2013,1.12,1332.55,1.14,1311.38,21 B,2 B,23 B,(483 B),645 B
12M 2014,0.95,1400.01,0.96,1378.42,348 B,,348 B,(27 B),148 B
12M 2015,1.14,1407.30,1.16,1383.45,555 B,798 B,"1,353 B","1,090 B",(58 B)
12M 2016,1.40,1420.00,1.42,1396.90,318 B,"1,416 B","1,734 B","1,507 B",260 B
12M 2017,0.76,1582.94,0.77,1554.75,169 B,"1,348 B","1,517 B",888 B,341 B
12M 2018,0.69,1663.91,0.70,1634.07,457 B,"2,025 B","2,482 B","2,059 B",542 B
12M 2019,0.62,1607.69,0.63,1580.65,48 B,"2,600 B","2,648 B","2,391 B",492 B
12M 2020,0.44,1655.86,0.45,1629.99,88 B,"2,692 B","2,780 B","2,556 B",537 B
12M 2021,0.53,1833.05,0.54,1808.10,223 B,"2,221 B","2,444 B","2,056 B",420 B
12M 2022,0.34,1961.71,0.34,1933.79,157 B,"1,953 B","2,110 B","1,941 B",291 B
12M 2023,0.41,1797.44,0.42,1770.10,453 B,"1,882 B","2,335 B","2,245 B",34 B
12M 2024,0.38,1883.64,0.39,1855.40,418 B,"1,933 B","2,351 B","2,203 B",206 B
