Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Karyawan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Bunga,Laba (Rugi) Selisih Kurs,Beban Bunga,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Operasi Yang Dihentikan,Others,Total Operasi Yang Dihentikan,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,165859767.000000,159880575.000000,5979192.000000,165859767.000000,-88231772.000000,-85736972.000000,-2494800.000000,-88231772.000000,77627995.000000,-37231407.000000,-2248691.000000,-20104253.000000,-14878463.000000,,-37231407.000000,40396588.000000,18866048.000000,1990658.000000,2009636.000000,-247418.000000,15113172.000000,18866048.000000,59262636.000000,-17305555.000000,41957081.000000,98660104.000000,-3020766.000000,,1997539.000000,1997539.000000,-5018305.000000,-3020766.000000,95639338.000000,98660104.000000,96299136.000000,2360968.000000,98660104.000000,95639338.000000,93300358.000000,2338980.000000,95639338.000000
12M 2013,138439337.000000,134798060.000000,3641277.000000,138439337.000000,-90224608.000000,-86668051.000000,-3556557.000000,-90224608.000000,48214729.000000,-26231524.000000,-2398767.000000,-11342654.000000,-12490103.000000,,-26231524.000000,21983205.000000,11367590.000000,1112889.000000,3188359.000000,-425015.000000,7491357.000000,11367590.000000,33350795.000000,-11488955.000000,21861840.000000,21861840.000000,-20786650.000000,,,,-20786650.000000,-20786650.000000,1075190.000000,21861840.000000,21920789.000000,-58949.000000,21861840.000000,1075190.000000,1269414.000000,-194224.000000,1075190.000000
12M 2014,158332872.000000,152174742.000000,6158130.000000,158332872.000000,-93981656.000000,-91115342.000000,-2866314.000000,-93981656.000000,64351216.000000,-28838850.000000,-2424824.000000,-13923849.000000,-12490177.000000,,-28838850.000000,35512366.000000,-1690002.000000,637025.000000,-2156137.000000,-533134.000000,362244.000000,-1690002.000000,33822364.000000,-15554160.000000,18268204.000000,18268204.000000,1599534.000000,,,,1599534.000000,1599534.000000,19867738.000000,18268204.000000,18425605.000000,-157401.000000,18268204.000000,19867738.000000,20027587.000000,-159849.000000,19867738.000000
12M 2015,125994045.000000,119935906.000000,6058139.000000,125994045.000000,-87138035.000000,-84215990.000000,-2922045.000000,-87138035.000000,38856010.000000,-29652457.000000,-3369818.000000,-14371315.000000,-11911324.000000,,-29652457.000000,9203553.000000,-8646040.000000,247526.000000,-4387591.000000,-2176248.000000,-2329727.000000,-8646040.000000,557513.000000,-8943927.000000,-8386414.000000,-8386414.000000,-7819005.000000,,,,-7819005.000000,-7819005.000000,-16205419.000000,-8386414.000000,-8218376.000000,-168038.000000,-8386414.000000,-16205419.000000,-16007525.000000,-197894.000000,-16205419.000000
12M 2016,134443317.000000,134443317.000000,,134443317.000000,-89157096.000000,-89157096.000000,,-89157096.000000,45286221.000000,-30068966.000000,-6118643.000000,-12788930.000000,-11161393.000000,,-30068966.000000,15217255.000000,4149370.000000,73033.000000,-442875.000000,,4519212.000000,4149370.000000,19366625.000000,-10167380.000000,9199245.000000,9199245.000000,2672728.000000,,1669592.000000,1669592.000000,1003136.000000,2672728.000000,11871973.000000,9199245.000000,9201831.000000,-2586.000000,9199245.000000,11871973.000000,11870326.000000,1647.000000,11871973.000000
12M 2017,161797280.000000,161797280.000000,,161797280.000000,-111650408.000000,-111650408.000000,,-111650408.000000,50146872.000000,-41384184.000000,-10123939.000000,-16995554.000000,-14264691.000000,,-41384184.000000,8762688.000000,64397662.000000,-2431466.000000,-724575.000000,,67553703.000000,64397662.000000,73160350.000000,-25760825.000000,47399525.000000,47399525.000000,-5704694.000000,,-688645.000000,-688645.000000,-5016049.000000,-5704694.000000,41694831.000000,47399525.000000,47421309.000000,-21784.000000,47399525.000000,41694831.000000,41723442.000000,-28611.000000,41694831.000000
12M 2018,151701360.000000,151701360.000000,,151701360.000000,-110786077.000000,,,-110786077.000000,40915283.000000,-35841779.000000,-11635291.000000,-13860249.000000,-10346239.000000,,-35841779.000000,5073504.000000,1565214.000000,,-2116342.000000,-354783.000000,4036339.000000,1565214.000000,6638718.000000,-7130330.000000,-491612.000000,-491612.000000,-6639540.000000,,,,,-6639540.000000,-7131152.000000,-491612.000000,-310437.000000,-181175.000000,-491612.000000,-7131152.000000,-6935538.000000,-195614.000000,-7131152.000000
12M 2019,130355274.000000,130355274.000000,,130355274.000000,-106590252.000000,,,-106590252.000000,23765022.000000,-31044108.000000,-7706111.000000,-10679347.000000,-12658650.000000,,-31044108.000000,-7279086.000000,14756049.000000,,-564928.000000,-140101.000000,15461078.000000,14756049.000000,7476963.000000,-12035155.000000,-4558192.000000,-4558192.000000,6755040.000000,,,,,6755040.000000,2196848.000000,-4558192.000000,-4196839.000000,-361353.000000,-4558192.000000,2196848.000000,2514460.000000,-317612.000000,2196848.000000
12M 2020,164099644.000000,164099644.000000,,164099644.000000,-124010517.000000,,,-124010517.000000,40089127.000000,-27273106.000000,-9642430.000000,-12176581.000000,-5454095.000000,,-27273106.000000,12816021.000000,2207596.000000,,3137837.000000,-2559606.000000,1629365.000000,2207596.000000,15023617.000000,-12812792.000000,2210825.000000,2210825.000000,3629469.000000,,,,,3629469.000000,5840294.000000,2210825.000000,2347918.000000,-137093.000000,2210825.000000,5840294.000000,5844969.000000,-4675.000000,5840294.000000
12M 2021,266792377.000000,266792377.000000,,266792377.000000,-166045987.000000,,,-166045987.000000,100746390.000000,-39031159.000000,-19985362.000000,-12318859.000000,-6726938.000000,,-39031159.000000,61715231.000000,-3329062.000000,,-431820.000000,-4119003.000000,1221761.000000,-3329062.000000,58386169.000000,-18704709.000000,39681460.000000,39681460.000000,-2730583.000000,,,,,-2730583.000000,36950877.000000,39681460.000000,40025789.000000,-344329.000000,39681460.000000,36950877.000000,37608901.000000,-658024.000000,36950877.000000
