Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Bunga,Pembayaran Imbalan Pasca Kerja,Penerimaan Dari Pengembalian Pajak Penghasilan,Penerimaan Dari Pengembalian Ppn,Penerimaan Dari Klaim Atas Pengembalian Pajak,Pembayaran Kontribusi Ke Dana Pensiun,Pembayaran Pajak Penghasilan,Pembayaran Untuk Aktivitas Operasi Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi Entitas Anak,Akuisisi Dan Penambahan Investasi Pada Entitas Anak Entitas Asosiasi Dan Investasi Lain-Lain,Penerimaan Dari Penjualan Investasi Pada Efek Ekuitas,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Penambahan Aset Tidak Berwujud,Penempatan Investasi Pada Surat Berharga,Hasil Penjualan Efek Yang Diperdagangkan,Hasil Dari Penjualan Investasi Pada Surat Berharga,Hasil Penjualan Investasi Lain-Lain,Penerimaan Dari Uang Muka Penjualan Investasi Lain-Lain,Penambahan Uang Muka Investasi,Penambahan Uang Muka,Penambahan Investasi Pada Aset Keuangan Tersedia Untuk Dijual,Penerimaan Dividen,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Penambahan Piutang Lain-Lain Jangka Panjang,Penambahan Tanaman Perkebunan,Pembayaran Utang Sewa Pembiayaan,Perolehan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Saham Melalui Penawaran Umum Saham Perdana,Penerbitan Saham Melalui Pelaksanaan Opsi Saham Manajemen,Penerimaan Setoran Modal Dari Pemegang Saham,Penerimaan Dari Transaksi Jual Dan Sewa Balik,Pembayaran Biaya Perolehan Pinjaman,Penerimaan Pinjaman Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari Penambahan Modal Oleh Kepentingan Non-Pengendali Dari Entitas Anak,Pembayaran Beban Bunga,Pelepasan Saham Treasuri,Pembelian Saham Treasuri,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penurunan Deposito Berjangka,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Pengurangan Kas Dan Setara Kas Karena Perubahan Kepemilikan Pada Entitas Anak,Dampak Perubahan Kurs Mata Uang Asing,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,27744651.000000,169442919.000000,2073218.000000,-10473856.000000,,,,,-23961988.000000,-31343898.000000,-52949823.000000,-25041921.000000,27744651.000000,217518631.000000,142949918.000000,-12261698.000000,,,-20578767.000000,7246431.000000,6930536.000000,,,105625310.000000,,2630886.000000,,,-4019892.000000,,8498642.000000,-1500000.000000,,,-18002735.000000,,,217518631.000000,-259577346.000000,,,28074892.000000,4000000.000000,,,,,,,-238468.000000,,,-293000000.000000,,1586230.000000,,,,,-259577346.000000,-14314064.000000,,,90912822.000000,76598758.000000
12M 2013,-6809113.000000,139009933.000000,1138469.000000,-1062751.000000,,,,,-41102145.000000,-19336423.000000,-55767849.000000,-29688347.000000,-6809113.000000,-60234526.000000,,-23591764.000000,,,-21508242.000000,1621961.000000,,,,2544252.000000,,,,-638998.000000,-5704000.000000,,4102854.000000,-331837.000000,1500000.000000,,-17533136.000000,,-695616.000000,-60234526.000000,31883023.000000,36518722.000000,,,,,,,,-1772756.000000,,-462604.000000,,,,,57998434.000000,-60398773.000000,,,,31883023.000000,-35160616.000000,,,76598758.000000,41438142.000000
12M 2014,46406555.000000,157574873.000000,690103.000000,-769603.000000,,,,,-16336551.000000,-8270729.000000,-58293137.000000,-28188401.000000,46406555.000000,-73678869.000000,,-14746635.000000,,,-29653578.000000,203735.000000,,,,1991617.000000,,747603.000000,,,-4962506.000000,,4149738.000000,-236466.000000,331837.000000,,-22215078.000000,,-9289136.000000,-73678869.000000,15968479.000000,,138603.000000,,,,,,,-278040.000000,,-620441.000000,,,-9639532.000000,,87817333.000000,-61449444.000000,,,,15968479.000000,-11303835.000000,,,41438142.000000,30134307.000000
12M 2015,887269.000000,125228781.000000,239265.000000,-494223.000000,6447932.000000,,,,-19352323.000000,-28484559.000000,-50439395.000000,-32258209.000000,887269.000000,-62899220.000000,,,,,-34075446.000000,1019527.000000,,,,,,,,,-1801236.000000,,2657471.000000,-736524.000000,236466.000000,,-24936808.000000,,-5262670.000000,-62899220.000000,50981970.000000,,49474.000000,,,-693435.000000,,58695326.000000,,-149204.000000,,-478992.000000,,-10642803.000000,-8448205.000000,,122901418.000000,-110251609.000000,,,,50981970.000000,-11029981.000000,,,30134307.000000,19104326.000000
12M 2016,20974709.000000,133093192.000000,138723.000000,-1205311.000000,,,,,-14230349.000000,-13503169.000000,-54283403.000000,-29034974.000000,20974709.000000,-50351544.000000,,,,,-22224444.000000,22955.000000,,,,,,,1250000.000000,,-2940974.000000,,3384104.000000,,745091.000000,,-26272578.000000,,-4315698.000000,-50351544.000000,27154802.000000,,46188.000000,,,-1065597.000000,,49140932.000000,-651138.000000,,,-598815.000000,,-8496239.000000,7887592.000000,,64447359.000000,-83555480.000000,,,,27154802.000000,-2222033.000000,,,19104326.000000,16882293.000000
12M 2017,13801144.000000,145816270.000000,432456.000000,-1953122.000000,5301659.000000,,,,-11652100.000000,-25046010.000000,-64729285.000000,-34368724.000000,13801144.000000,21886230.000000,,,,,-11930189.000000,63224.000000,,-659842.000000,,,,71202199.000000,,,-1681705.000000,-1469251.000000,1183936.000000,,,,-27213395.000000,,-7608747.000000,21886230.000000,-6147988.000000,,,,,-86247.000000,1459144.000000,27357272.000000,-37923357.000000,,527421.000000,-3699882.000000,,-4391808.000000,,,61936100.000000,-51326631.000000,,,,-6147988.000000,29539386.000000,-16738.000000,,16882293.000000,46404941.000000
12M 2018,-6385296.000000,144991396.000000,849419.000000,-1289415.000000,1878700.000000,,2086108.000000,,-26212869.000000,-16928608.000000,-76526519.000000,-35233508.000000,-6385296.000000,-70415243.000000,,,,,-29191934.000000,171178.000000,,-275248.000000,,,,12481.000000,,,-3545964.000000,,7767937.000000,,,,-42069283.000000,,-3284410.000000,-70415243.000000,59629762.000000,,,,,-375327.000000,,52170860.000000,-4185279.000000,,964567.000000,-1963126.000000,,-2742619.000000,,,83577701.000000,-67817015.000000,,,,59629762.000000,-17170777.000000,,,46404941.000000,29234164.000000
12M 2019,8693056.000000,134827305.000000,333275.000000,-422278.000000,1255954.000000,,10659262.000000,-3010915.000000,-8177590.000000,-18679749.000000,-31627328.000000,-76464880.000000,8693056.000000,-30561613.000000,,,,,-25596213.000000,258021.000000,,-51653.000000,-2000000.000000,,,47270961.000000,,,-2676398.000000,,97161.000000,,,,-44768897.000000,,-3094595.000000,-30561613.000000,11119053.000000,,,,,-1138093.000000,,52867062.000000,-16155052.000000,,122000.000000,-1552680.000000,,,,,100677772.000000,-123701956.000000,,,,11119053.000000,-10749504.000000,,,29234164.000000,18484660.000000
12M 2020,35054252.000000,168372619.000000,199134.000000,-238809.000000,2769115.000000,,7133133.000000,-2960845.000000,-5250166.000000,-17062131.000000,-35624616.000000,-82283182.000000,35054252.000000,-50720614.000000,,,,,-16413621.000000,155272.000000,,-38978.000000,,,1800000.000000,,,,-4976312.000000,,85162.000000,,,,-29370778.000000,,-1961359.000000,-50720614.000000,13068828.000000,,,,,-342835.000000,,175853400.000000,-163355744.000000,-542553.000000,1209000.000000,-3171043.000000,,,,,104583764.000000,-101165161.000000,,,,13068828.000000,-2597534.000000,,,18484660.000000,15887126.000000
12M 2021,85781202.000000,270470118.000000,234945.000000,-391350.000000,715923.000000,,12401746.000000,-8299748.000000,-7677879.000000,-35564565.000000,-38573694.000000,-107534294.000000,85781202.000000,-42932903.000000,,,,,-15431183.000000,620884.000000,,-4862.000000,,,,,,,-406998.000000,,278883.000000,,,,-21503170.000000,,-6486457.000000,-42932903.000000,-31594000.000000,,,,,-232295.000000,,7453187.000000,-31763090.000000,-619075.000000,,-4507477.000000,,174091.000000,-928280.000000,,9028550.000000,-10199611.000000,,,,-31594000.000000,11254299.000000,,,15887126.000000,27141425.000000
