Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Tanaman Perkebunan,Aset Tetap,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Dari Pihak Berelasi,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,76598758.000000,1500000.000000,1433658.000000,2251012.000000,16067141.000000,11468117.000000,109318686.000000,,16828699.000000,6267430.000000,140964645.000000,77865835.000000,864624.000000,4967579.000000,42290390.000000,290049202.000000,399367888.000000,,,55881007.000000,1500000.000000,4579888.000000,26534378.000000,9645513.000000,,2341039.000000,1772756.000000,4113795.000000,9507433.000000,55881007.000000,15817750.000000,,427244.000000,,1006781.000000,2967032.000000,11416693.000000,15817750.000000,71698757.000000,,43158940.000000,13004333.000000,240854396.000000,675566.000000,240178830.000000,240854396.000000,707160.000000,29944302.000000,327669131.000000,399367888.000000,3333350000.000000
12M 2013,,,41438142.000000,331837.000000,741057.000000,1439772.000000,10414277.000000,17745190.000000,72110275.000000,,18441784.000000,5908145.000000,141660411.000000,88572085.000000,816218.000000,4967579.000000,64880766.000000,325246988.000000,397357263.000000,,,19236706.000000,1440700.000000,3276845.000000,2414865.000000,5664646.000000,,,278043.000000,278043.000000,6161607.000000,19236706.000000,13462719.000000,,149201.000000,,998468.000000,2986654.000000,9328396.000000,13462719.000000,32699425.000000,,46581073.000000,45151418.000000,263978015.000000,675566.000000,263302449.000000,263978015.000000,512936.000000,8434396.000000,364657838.000000,397357263.000000,3333350000.000000
12M 2014,,,30134307.000000,236466.000000,1499481.000000,1702707.000000,12718960.000000,19219207.000000,65511128.000000,,22235090.000000,8742933.000000,148530019.000000,125130064.000000,817421.000000,4967579.000000,68095227.000000,378518333.000000,444029461.000000,,,53639085.000000,27808589.000000,6260242.000000,4511398.000000,6047534.000000,,,149204.000000,149204.000000,8862118.000000,53639085.000000,14929580.000000,,,,253993.000000,3223998.000000,11451589.000000,14929580.000000,68568665.000000,,46593718.000000,45329389.000000,272783278.000000,6794072.000000,265989206.000000,272783278.000000,353087.000000,10401324.000000,375460796.000000,444029461.000000,3333350000.000000
12M 2015,,,19104326.000000,736504.000000,1252446.000000,890056.000000,8971071.000000,20735679.000000,51690082.000000,,24010736.000000,10972366.000000,160026636.000000,162381590.000000,798385.000000,4967579.000000,55596646.000000,418753938.000000,470444020.000000,,,55893474.000000,40244250.000000,3286379.000000,2402992.000000,2720936.000000,,,,,7238917.000000,55893474.000000,74120651.000000,57842919.000000,,,,3471198.000000,12806534.000000,74120651.000000,130014125.000000,,46598236.000000,45395647.000000,257162881.000000,6796399.000000,250366482.000000,257162881.000000,155193.000000,-8882062.000000,340429895.000000,470444020.000000,3335525000.000000
12M 2016,,,16882293.000000,,2829103.000000,983989.000000,7701313.000000,36012819.000000,64409517.000000,,25097944.000000,12885940.000000,181015668.000000,177347866.000000,801594.000000,4967256.000000,58581891.000000,460698159.000000,525107676.000000,,,45040889.000000,22733039.000000,6247916.000000,1649247.000000,6332225.000000,,905478.000000,,905478.000000,7172984.000000,45040889.000000,125418906.000000,105382449.000000,,,,3721577.000000,16314880.000000,125418906.000000,170459795.000000,,46735308.000000,50251938.000000,257381247.000000,6796399.000000,250584848.000000,257381247.000000,156840.000000,122548.000000,354647881.000000,525107676.000000,3354175000.000000
12M 2017,,,46404941.000000,,3132403.000000,438832.000000,7567815.000000,23252937.000000,80796928.000000,,24317576.000000,13039146.000000,202893845.000000,175682881.000000,2010720.000000,4967256.000000,62815590.000000,485727014.000000,566523942.000000,,,55602980.000000,9270000.000000,12661523.000000,17119957.000000,8131761.000000,,3228879.000000,,3228879.000000,5190860.000000,55602980.000000,118538773.000000,99482000.000000,,,,,19056773.000000,118538773.000000,174141753.000000,,46735308.000000,50307877.000000,299389319.000000,6824453.000000,292564866.000000,299389319.000000,483594.000000,-4533909.000000,392382189.000000,566523942.000000,3354175000.000000
12M 2018,,,29234164.000000,,9740872.000000,548531.000000,10072829.000000,43876353.000000,93472749.000000,,19602345.000000,13026841.000000,228812801.000000,193309303.000000,1945608.000000,4967256.000000,47068013.000000,508732167.000000,602204916.000000,,,56069430.000000,24981911.000000,5432526.000000,867475.000000,11829441.000000,,6595726.000000,,6595726.000000,6362351.000000,56069430.000000,159746273.000000,139838445.000000,,,,120302.000000,19787526.000000,159746273.000000,215815703.000000,,46735308.000000,50307877.000000,301256905.000000,6824453.000000,294432452.000000,301256905.000000,984411.000000,-12895288.000000,386389213.000000,602204916.000000,3354175000.000000
12M 2019,,,18484660.000000,,5084254.000000,790073.000000,11734226.000000,30743796.000000,66837009.000000,,,11164151.000000,271885314.000000,217237259.000000,1557757.000000,4967256.000000,52059358.000000,558871095.000000,625708104.000000,,,31440938.000000,2473635.000000,3035247.000000,5078363.000000,11925791.000000,,958761.000000,,958761.000000,7969141.000000,31440938.000000,205559105.000000,187024157.000000,,,,373587.000000,18161361.000000,205559105.000000,237000043.000000,,46735308.000000,50307877.000000,297570122.000000,6824453.000000,290745669.000000,297570122.000000,788799.000000,-6694045.000000,388708061.000000,625708104.000000,3354175000.000000
12M 2020,,,15887126.000000,,1136353.000000,3509421.000000,17132182.000000,28843498.000000,66508580.000000,,,5013408.000000,304820634.000000,206861002.000000,1184641.000000,4967256.000000,46788291.000000,569635232.000000,636143812.000000,,,28406129.000000,3142999.000000,5661890.000000,3404812.000000,4912646.000000,,2665668.000000,430258.000000,3095926.000000,8187856.000000,28406129.000000,211980328.000000,190114005.000000,751360.000000,,,427697.000000,20687266.000000,211980328.000000,240386457.000000,,46735308.000000,50307877.000000,299114358.000000,6824453.000000,292289905.000000,299114358.000000,1993124.000000,-2393312.000000,395757355.000000,636143812.000000,3354175000.000000
12M 2021,,,27141425.000000,,3131655.000000,397065.000000,18992054.000000,28566339.000000,78228538.000000,,,974832.000000,310596108.000000,209418273.000000,894054.000000,4967256.000000,47571301.000000,574421824.000000,652650362.000000,,,48778183.000000,2000000.000000,5939443.000000,8748220.000000,10851940.000000,,12744759.000000,897863.000000,13642622.000000,7595958.000000,48778183.000000,170595914.000000,154501272.000000,1027382.000000,,,770444.000000,14296816.000000,170595914.000000,219374097.000000,,46735308.000000,50223609.000000,337982941.000000,6824453.000000,331158488.000000,337982941.000000,2657322.000000,-4322915.000000,433276265.000000,652650362.000000,3354175000.000000
12M 2022,,,10820724.000000,,1292435.000000,524143.000000,16661133.000000,29849531.000000,59147966.000000,,,1115132.000000,291397955.000000,206017356.000000,1038593.000000,4967256.000000,38906216.000000,543442508.000000,602590474.000000,,,40470085.000000,4635687.000000,6317320.000000,4213109.000000,12865634.000000,,4600000.000000,822607.000000,5422607.000000,7015728.000000,40470085.000000,138009199.000000,125006648.000000,264475.000000,,,781200.000000,11956876.000000,138009199.000000,178479284.000000,,46735308.000000,49890831.000000,347415501.000000,6824453.000000,340591048.000000,347415501.000000,2105327.000000,-22035777.000000,424111190.000000,602590474.000000,3354175000.000000
12M 2023,,,5852646.000000,,590958.000000,779250.000000,13004641.000000,34750781.000000,54978276.000000,,,2068473.000000,249162929.000000,213432979.000000,971911.000000,4967256.000000,55093207.000000,525696755.000000,580675031.000000,,,52761670.000000,23251634.000000,6141049.000000,2620709.000000,8713709.000000,,5806250.000000,304924.000000,6111174.000000,5923395.000000,52761670.000000,135984907.000000,121884725.000000,19868.000000,,,176938.000000,13903376.000000,135984907.000000,188746577.000000,,46735308.000000,48902344.000000,310772495.000000,6824453.000000,303948042.000000,310772495.000000,1429433.000000,-15911126.000000,391928454.000000,580675031.000000,3354175000.000000
12M 2024,,,9132895.000000,,869778.000000,480366.000000,12595332.000000,39080578.000000,62158949.000000,,,2046367.000000,242761160.000000,205978561.000000,893806.000000,4967256.000000,54398170.000000,511045320.000000,573204269.000000,,,49396030.000000,14199726.000000,8511030.000000,1757909.000000,7292170.000000,,11661708.000000,18174.000000,11679882.000000,5955313.000000,49396030.000000,131914917.000000,119626860.000000,2435.000000,,,1671672.000000,10613950.000000,131914917.000000,181310947.000000,,46735308.000000,48902344.000000,319505253.000000,6824453.000000,312680800.000000,319505253.000000,852608.000000,-24102191.000000,391893322.000000,573204269.000000,3354175000.000000
