Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Beban Usaha Dan Karyawan,Pembayaran Beban Usaha,Pembayaran Kepada Karyawan,Total Pembayaran Beban Usaha Dan Karyawan,"Pembayaran Kepada Kontraktor, Pemasok, Dan Lainnya",Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak Penghasilan Badan,Penerimaan Restitusi Pajak Pertambahan Nilai,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Pembayaran Bunga,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Restitusi Pajak,Penambahan Properti Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Uang Muka Pembelian Aset Tetap,Kerugian Atas Kehilangan Aset Tetap,Hasil Penggantian Atas Pembongkaran Aset Tetap,Perolehan Aset Hak Guna,Pembayaran Untuk Perolehan Aset Tak Berwujud,Perolehan Persediaan,Penempatan Aset Keuangan Lancar Lainnya,Penarikan Aset Keuangan Lancar Lainnya,Hasil Penjualan Barang Sisa Pembongkaran Properti Investasi,Penerimaan Pembayaran Dari Pihak Berelasi,Pembayaran Utang Sewa Lahan,Pencairan Reksadana,Penempatan Reksadana,Pencairan Kas Yang Dibatasi Penggunaannya,Penerimaan Pengalihan Segmen Operasi,Penjualan Material Menara,Penambahan Beban Ditangguhkan,Pembayaran Uang Muka Proyek,Pencairan Investasi Terkait,Hasil Penjualan Investasi Saham,Pembayaran Uang Muka Investasi Saham,Hasil Penjualan Investasi Entitas Anak,Pencairan (Penempatan) Investasi Jangka Pendek,Penempatan Investasi Terikat,Perolehan Perangkat Lunak Dan Lisensi,Perolehan Biaya Kontrak,Penempatan Kas Yang Dibatasi Penggunaannya,Peningkatan Aset Tidak Lancar Lain-Lain,Perolehan Aset Tidak Lancar Lainnya,Peningkatan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Dividen,Pembayaran Utang Penggantian Sewa Tanah,Penawaran Umum Perdana,Pembayaran Bunga,Penempatan Deposito,Pencairan Deposito,Pembayaran Utang Pihak Ketiga,Pembayaran Utang Pembiayaan,Penempatan Investasi,Pencairan Investasi,Pelepasan Investasi Ekuitas,Beban Emisi Saham,Penerimaan Dari Obligasi Konversi,Penempatan (Pencairan) Rekening Escrow,Pembayaran Liabilitas Sewa,Pembayaran Provisi Bank,Pengembalian Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Tidak Dikonsolidasinya Entitas Anak Yang Dilepaskan,Dampak Neto Perubahan Selisih Kurs Pada Kas Dan Bank,Kas Dan Setara Kas Akhir Periode
12M 2011,-29403208136.000000,62941558705.000000,-66037895840.000000,,,-66037895840.000000,-23070065072.000000,-2029764492.000000,,,,-1207041437.000000,,-29403208136.000000,-423158989065.000000,,-409458913115.000000,,-32140249847.000000,,,,,,,,,,,,,,,,,,,,,,18440173897.000000,,,,,,,,,-423158989065.000000,455580754856.000000,-2300865144.000000,,,-2300865144.000000,,18601620000.000000,,,,,,,,,,,,,,,,,,439280000000.000000,455580754856.000000,3018557655.000000,6551441396.000000,376822272.000000,,9946821323.000000
12M 2012,157489461319.000000,309905376613.000000,-78002351681.000000,,,-78002351681.000000,-48778802290.000000,-6102435163.000000,,,,-19532326160.000000,,157489461319.000000,-8935380824.000000,,-18644507747.000000,,-13433343372.000000,,,,,,,,,,,,,,,15250000000.000000,7911415587.000000,-18945292.000000,,,,,,,,,,,,,,-8935380824.000000,-5468820713.000000,-28090828822.000000,,,-28090828822.000000,,13491900000.000000,,,,154247000000.000000,,,,,,,,,-4811891891.000000,,,,,-140305000000.000000,-5468820713.000000,143085259782.000000,9946821323.000000,,,153032081105.000000
12M 2013,401523281959.000000,514128936192.000000,-65171696427.000000,,,-65171696427.000000,-62785045187.000000,-56173181171.000000,64624139043.000000,,,,6900129509.000000,401523281959.000000,-137298042429.000000,,-125818240164.000000,113100000.000000,-6592902265.000000,,,,,,,,,,,,,-5000000000.000000,,,,,,,,,,,,,,,,,,-137298042429.000000,-170717081651.000000,-1667050642.000000,,,-1667050642.000000,,,,,-142958209612.000000,,-25966062001.000000,,,,-125759396.000000,,,,,,,,,,-170717081651.000000,93508157879.000000,153032081105.000000,,,246540238984.000000
12M 2014,241939143570.000000,378980992587.000000,-77363783842.000000,,,-77363783842.000000,-77749761570.000000,-29812136847.000000,,,,,47883833242.000000,241939143570.000000,-142785627165.000000,,-92613855147.000000,113167900.000000,-53542584054.000000,,,,,,,,,,,,5000000000.000000,,,,,,,,,,,,,,,,-1742355864.000000,,,-142785627165.000000,319712890981.000000,-34775393.000000,,,-34775393.000000,,698000000000.000000,,,,660072929752.000000,-53145788277.000000,-300000000000.000000,,-633000000000.000000,-162625049.000000,,,,-25571467402.000000,,-26445382650.000000,,,,319712890981.000000,418866407386.000000,246540238984.000000,,,665406646370.000000
12M 2015,266821154499.000000,483998750940.000000,-88536579942.000000,,,-88536579942.000000,-162676052665.000000,-19810167211.000000,,,,,53845203377.000000,266821154499.000000,-1001441057598.000000,,-752052250241.000000,130525490.000000,-246839332847.000000,,,,,,,,,,,,,-2680000000.000000,,,,,,,,,,,,,,,,,,-1001441057598.000000,116722941022.000000,-351500000000.000000,,,-351500000000.000000,,300000000000.000000,,,,,-86908946853.000000,251000000000.000000,,,-14159555.000000,,,,,,4146047430.000000,,,,116722941022.000000,-617896962077.000000,665406646370.000000,,,47509684293.000000
12M 2016,536510203022.000000,833393474913.000000,-113397751193.000000,,,-113397751193.000000,-186260557991.000000,-19216661651.000000,5691424830.000000,,,,16300274114.000000,536510203022.000000,-684836733548.000000,,-32528554335.000000,,-530561688719.000000,,,478603573.000000,,,,,,200731833.000000,,,2701788400.000000,-125000000000.000000,,,,,,,,,,,,-127614300.000000,,,,,,-684836733548.000000,418263314760.000000,-144388888889.000000,,,-144388888889.000000,,676860164874.000000,,,,,-120044789579.000000,,,,,-3080000000.000000,,,,,8916828354.000000,,,,418263314760.000000,269936784234.000000,47509684293.000000,,,317446468527.000000
12M 2017,484000961201.000000,744509527035.000000,-134719213308.000000,,,-134719213308.000000,-123455342995.000000,-12083686038.000000,,,,,9749676507.000000,484000961201.000000,-541869218008.000000,,,101870000.000000,-541505334294.000000,,,,,,,,,,,,,,,,,,,,,,,,,-465753714.000000,,,,,,-541869218008.000000,-35984753300.000000,-161388888889.000000,,,-161388888889.000000,,507000000000.000000,,,,,-139692411026.000000,-238000000000.000000,,,,,,3196000000.000000,,,-7099453385.000000,,,,-35984753300.000000,-93853010107.000000,317446468527.000000,,,223593458420.000000
12M 2018,457099424437.000000,854535733895.000000,-138698761425.000000,,,-138698761425.000000,-252230138689.000000,-14380950386.000000,,,,,7873541042.000000,457099424437.000000,-883994635448.000000,,,426000000.000000,-907250120236.000000,,,,,,-112289908297.000000,,,,,,138494192665.000000,,,,,,,,,,,,,-3374799580.000000,,,,,,-883994635448.000000,483050631876.000000,-452246729691.000000,,,-452246729691.000000,,976523200000.000000,,,,,-196626004642.000000,,,,,-50000000000.000000,207000000000.000000,,,,-1599833791.000000,,,,483050631876.000000,56155420865.000000,223593458420.000000,,,279748879285.000000
12M 2019,727453210149.000000,1099139936469.000000,-155468504986.000000,,,-155468504986.000000,-206987859238.000000,-31013741586.000000,12648387063.000000,,,,9134992427.000000,727453210149.000000,-669267767900.000000,,,310601934.000000,-640396187012.000000,,,,,,-27257952303.000000,,,,,,,,,,,,,,,,,,,-1924230519.000000,,,,,,-669267767900.000000,317661688712.000000,-584759514770.000000,,,-584759514770.000000,,1101186000000.000000,,,,,-233629561459.000000,,,,,,50000000000.000000,,,,-15135235059.000000,,,,317661688712.000000,375847130961.000000,279748879285.000000,,,655596010246.000000
12M 2020,727691630161.000000,1391579948921.000000,-128366767404.000000,,,-128366767404.000000,-532054028231.000000,-14689496440.000000,,,,,11221973315.000000,727691630161.000000,-449339125047.000000,,,9105000.000000,-362917485881.000000,,,,-18321604107.000000,,-67635016279.000000,,,,,,,,,,,,,,,,,,,-474123780.000000,,,,,,-449339125047.000000,-566561034923.000000,-552447779522.000000,,,-552447779522.000000,,507129000000.000000,,,,,-366340153187.000000,,,,,,,,,,28873866319.000000,-183775968533.000000,,,-566561034923.000000,-288208529809.000000,655596010246.000000,,,367387480437.000000
