Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Obligasi Konversi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Obligasi Konversi,Utang Pemegang Saham,Liabilitas Pajak Tangguhan,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,9946821323.000000,33727486858.000000,33727486858.000000,,33727486858.000000,3344388389.000000,3344388389.000000,,3344388389.000000,517493522.000000,143246986292.000000,190783176384.000000,,798303308.000000,1204373892228.000000,99959446257.000000,,93279816556.000000,1398411458349.000000,,1589194634733.000000,,,212471512953.000000,,,,,9594974298.000000,,,9594974298.000000,776769525.000000,,3894650107.000000,2400000000.000000,6294650107.000000,1400573378.000000,,4731880542.000000,,47934286735.000000,52666167277.000000,,141738378368.000000,212471512953.000000,711754032856.000000,,11568874315.000000,,,11568874315.000000,662999780855.000000,,,,37185377686.000000,711754032856.000000,924225545809.000000,,138058200000.000000,,88571083327.000000,,88571083327.000000,88571083327.000000,438339805597.000000,664969088924.000000,1589194634733.000000,1380582.000000
12M 2012,,,153032081105.000000,162806071432.000000,162806071432.000000,,162806071432.000000,30269953981.000000,7479374982.000000,22790578999.000000,30269953981.000000,104511230.000000,125580185009.000000,471792802757.000000,,1420782395.000000,1560691256902.000000,21241532644.000000,,100056778596.000000,1683410350537.000000,,2155203153294.000000,,,903124284949.000000,,,,,8809945464.000000,,,8809945464.000000,29601183824.000000,,5975374692.000000,,5975374692.000000,16644701639.000000,,1667138343.000000,,17710624413.000000,19377762756.000000,679757106962.000000,142958209612.000000,903124284949.000000,3933333992.000000,,34687692.000000,,,34687692.000000,,,,,3898646300.000000,3933333992.000000,907057618941.000000,,514156700000.000000,72311608109.000000,662617420647.000000,,662617420647.000000,662617420647.000000,-940194403.000000,1248145534353.000000,2155203153294.000000,1028313403.000000
12M 2013,,,246540238984.000000,99126071845.000000,99126071845.000000,,99126071845.000000,38424375374.000000,4928526686.000000,33495848688.000000,38424375374.000000,,54834351240.000000,438925037443.000000,,3268702608.000000,2235292546390.000000,24237824653.000000,,100091681098.000000,2362890754749.000000,,2801815792192.000000,,,80947106414.000000,,,,,16073103290.000000,,,16073103290.000000,3344578833.000000,,5107428335.000000,,5107428335.000000,32028176665.000000,,34775393.000000,148561298.000000,24210482600.000000,24393819291.000000,,,80947106414.000000,621083858554.000000,,,,28223316.000000,28223316.000000,,,,614929468631.000000,6126166607.000000,621083858554.000000,702030964968.000000,,571536700000.000000,71371413706.000000,1456682229707.000000,1000000000.000000,1455682229707.000000,1456682229707.000000,194483811.000000,2099784827224.000000,2801815792192.000000,1143073400.000000
12M 2014,,,665406646370.000000,152733019563.000000,152733019563.000000,,152733019563.000000,12310150957.000000,3099329180.000000,9210821777.000000,12310150957.000000,1237288990.000000,404201584215.000000,1235888690095.000000,,11262791967.000000,2390684969000.000000,72251861515.000000,,133573249685.000000,2607772872167.000000,,3843661562262.000000,,,442982862242.000000,300000000000.000000,,,300000000000.000000,25138246273.000000,,,25138246273.000000,4322711392.000000,,7717188229.000000,,7717188229.000000,29484250344.000000,,49600000000.000000,14159555.000000,26706306449.000000,76320466004.000000,,,442982862242.000000,358676782790.000000,,348444444444.000000,,,348444444444.000000,,,,,10232338346.000000,358676782790.000000,801659645032.000000,,675452463500.000000,601957112556.000000,1764592341174.000000,1100000000.000000,1763492341174.000000,1764592341174.000000,,3042001917230.000000,3843661562262.000000,1350904927.000000
12M 2015,,,47509684293.000000,211448089723.000000,211448089723.000000,,211448089723.000000,1215834027.000000,1208540802.000000,7293225.000000,1215834027.000000,3050690393.000000,191461878474.000000,454686176910.000000,,,2792381179736.000000,804383095970.000000,,125829503175.000000,3722593778881.000000,,4177279955791.000000,,,203655329757.000000,,,,,34521837848.000000,,,34521837848.000000,5870440398.000000,,7773948666.000000,,7773948666.000000,21410634940.000000,,106282079365.000000,,27796388540.000000,134078467905.000000,,,203655329757.000000,992630397051.000000,,536132792122.000000,,,536132792122.000000,,,436077359791.000000,,20420245138.000000,992630397051.000000,1196285726808.000000,,675452463500.000000,601957112556.000000,1703573039147.000000,1200000000.000000,1702373039147.000000,1703573039147.000000,11613780.000000,2980994228983.000000,4177279955791.000000,1350904927.000000
12M 2016,,,317446468527.000000,281274001349.000000,281274001349.000000,,281274001349.000000,468253927.000000,464881177.000000,3372750.000000,468253927.000000,14791729346.000000,309009788682.000000,922990241831.000000,,,3632575265756.000000,760007334461.000000,,133783244826.000000,4526365845043.000000,,5449356086874.000000,,,363155030787.000000,,,,,,52711363851.000000,408666246.000000,53120030097.000000,4795395279.000000,,85447987010.000000,,85447987010.000000,25815880613.000000,,157957080217.000000,,36018657571.000000,193975737788.000000,,,363155030787.000000,1652765142021.000000,,1018378964400.000000,,,1018378964400.000000,,,581402670781.000000,,52983506840.000000,1652765142021.000000,2015920172808.000000,,675452463500.000000,601957112556.000000,2151960820797.000000,2200000000.000000,2149760820797.000000,2151960820797.000000,4065517213.000000,3433435914066.000000,5449356086874.000000,1350904927.000000
12M 2017,,,223593458420.000000,384673898651.000000,384673898651.000000,,384673898651.000000,185403004.000000,185403004.000000,,185403004.000000,24215739238.000000,566495517684.000000,1199164016997.000000,,2265063086.000000,,4960109575421.000000,,193732219576.000000,5156106858083.000000,,6355270875080.000000,,,846443381930.000000,207000000000.000000,,,207000000000.000000,,201341253579.000000,244136352.000000,201585389931.000000,1108562360.000000,,124402669633.000000,,124402669633.000000,29956935403.000000,,199161691645.000000,,83228132958.000000,282389824603.000000,,,846443381930.000000,1191360343544.000000,,1113298555974.000000,,,1113298555974.000000,,,,,78061787570.000000,1191360343544.000000,2037803725474.000000,,675452463500.000000,601957112556.000000,1252255931898.000000,4200000000.000000,1248055931898.000000,1252255931898.000000,1787801641652.000000,4317467149606.000000,6355270875080.000000,1350904927.000000
12M 2018,,,279748879285.000000,373692378822.000000,373692378822.000000,,373692378822.000000,664106957.000000,664106957.000000,,664106957.000000,136505647535.000000,359362607380.000000,1149973619979.000000,,,,6331628401699.000000,,243999110745.000000,6575627512444.000000,,7725601132423.000000,,,956508963121.000000,50000000000.000000,,,50000000000.000000,,190300305652.000000,,190300305652.000000,6031610207.000000,,92109234237.000000,,92109234237.000000,56050855653.000000,,513762856763.000000,,48254100609.000000,562016957372.000000,,,956508963121.000000,1547711915701.000000,,1479612471428.000000,,,1479612471428.000000,,,1664691910.000000,,66434752363.000000,1547711915701.000000,2504220878822.000000,,675452463500.000000,601957112556.000000,1494226868223.000000,7200000000.000000,1487026868223.000000,1494226868223.000000,2449743809322.000000,5221380253601.000000,7725601132423.000000,1350904927.000000
12M 2019,,,655596010246.000000,398124568745.000000,398124568745.000000,,398124568745.000000,2515769138.000000,830614930.000000,1685154208.000000,2515769138.000000,163763599838.000000,243645007367.000000,1463644955334.000000,,,,7157600562179.000000,,271785475206.000000,7429386037385.000000,,8893030992719.000000,,,993021427528.000000,,,,,,231595464231.000000,234184747.000000,231829648978.000000,9554447551.000000,,51169127513.000000,,51169127513.000000,76091134310.000000,,531404911837.000000,,92972157339.000000,624377069176.000000,,,993021427528.000000,2097290824729.000000,,2025506211288.000000,,,2025506211288.000000,,,3381770223.000000,,68402843218.000000,2097290824729.000000,3090312252257.000000,,675452463500.000000,601957112556.000000,1736141236946.000000,8200000000.000000,1727941236946.000000,1736141236946.000000,2789167927460.000000,5802718740462.000000,8893030992719.000000,1350904927.000000
12M 2020,,,367387480437.000000,345087709537.000000,345087709537.000000,,345087709537.000000,4907431078.000000,3257306187.000000,1650124891.000000,4907431078.000000,111513725646.000000,551112483315.000000,1380008830013.000000,,,,7475267546394.000000,,1557549876810.000000,9032817423204.000000,,10412826253217.000000,,,1194454114708.000000,,,,,,285671120254.000000,3082690858.000000,288753811112.000000,15982830918.000000,33670566298.000000,,,33670566298.000000,43125202588.000000,,631230464292.000000,,115325603090.000000,746556067382.000000,,66365636410.000000,1194454114708.000000,3016521818693.000000,,1880972055844.000000,,,1880972055844.000000,,,5680293526.000000,,1129869469323.000000,3016521818693.000000,4210975933401.000000,,675452463500.000000,601957112556.000000,1869527776229.000000,9200000000.000000,1860327776229.000000,1869527776229.000000,3054912967531.000000,6201850319816.000000,10412826253217.000000,1350904927.000000
