Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,481658.52,0.00,481658.52,5 B,675 B,679 B,669 B,(22 B)
12M 2012,4.53,1213.78,4.53,1213.78,681 B,0 B,681 B,528 B,(431 B)
12M 2013,3.10,1836.96,3.10,1836.96,0 B,615 B,615 B,369 B,358 B
12M 2014,1.33,2251.83,1.33,2251.83,350 B,348 B,698 B,33 B,793 B
12M 2015,0.86,2206.66,0.86,2206.66,106 B,536 B,642 B,595 B,251 B
12M 2016,0.73,2541.58,0.73,2541.58,158 B,"1,018 B","1,176 B",859 B,560 B
12M 2017,2.53,3195.98,2.53,3195.98,406 B,"1,113 B","1,519 B","1,296 B",353 B
12M 2018,2.15,3865.10,2.15,3865.10,564 B,"1,480 B","2,043 B","1,764 B",193 B
12M 2019,1.52,4295.43,1.52,4295.43,531 B,"2,026 B","2,557 B","1,901 B",471 B
12M 2020,1.58,4590.89,1.58,4590.89,631 B,"1,881 B","2,512 B","2,145 B",186 B
12M 2021,1.20,4874.42,1.20,4874.42,268 B,"1,292 B","1,560 B",364 B,"1,479 B"
12M 2022,1.32,4360.97,1.32,4360.97,518 B,"1,762 B","2,279 B","1,595 B",920 B
12M 2023,1.89,2970.80,1.89,2970.80,655 B,"1,826 B","2,481 B","1,699 B",871 B
12M 2024,3.13,1605.14,3.13,1605.14,"1,340 B",,"1,340 B","1,322 B","(1,041 B)"
