Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Administrasi,Penerimaan (Pembayaran) Lain-Lain,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Pembayaran Bunga Atas Liabilitas Sewa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Akuisisi Entitas Anak,Kenaikan Investasi Pada Entitas Anak,Penempatan Investasi Jangka Pendek,Perolehan Aset Tetap,Perolehan Aset Hak-Guna,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Atas Setoran Modal,Tambahan Modal Disetor Dari Penawaran Umum Perdana,Tambahan Modal Disetor Dari Pelaksanaan Waran,Pembayaran Biaya Emisi Saham,Pembayaran Pokok Liabilitas Sewa,Penurunan (Kenaikan) Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Bank Dari Akuisisi Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,1174356327.000000,5869644168.000000,-1796151253.000000,-1616999181.000000,-1235361181.000000,1384025.000000,-52926687.000000,4766436.000000,,1174356327.000000,-883551000.000000,,,,,-65151000.000000,,-818400000.000000,-883551000.000000,-667204059.000000,,,,,,-667204059.000000,-667204059.000000,-376398732.000000,,3336999944.000000,2960601212.000000
12M 2020,627932869.000000,7379407762.000000,-2238425712.000000,-3751271029.000000,-659435038.000000,-83726722.000000,-8541044.000000,11754223.000000,-21829571.000000,627932869.000000,-140028455.000000,,,,,-140028455.000000,,,-140028455.000000,599269430.000000,,,,,-67934629.000000,667204059.000000,599269430.000000,1087173844.000000,,2960601212.000000,4047775056.000000
12M 2021,537024501.000000,7598434701.000000,-3458923431.000000,-2707346048.000000,-1093013479.000000,176290486.000000,,36110362.000000,-14528090.000000,537024501.000000,-951316035.000000,,,,,-77973000.000000,,-873343035.000000,-951316035.000000,-60275410.000000,,,,,-60275410.000000,,-60275410.000000,-474566944.000000,,4047775056.000000,3573208112.000000
12M 2022,-25369982732.000000,163860448858.000000,-182944083480.000000,-3030023554.000000,-1798160970.000000,-1134473149.000000,-365651268.000000,47799451.000000,-5838620.000000,-25369982732.000000,-59147298082.000000,63063063.000000,-59000000000.000000,-122400000.000000,,-87961145.000000,,,-59147298082.000000,58881166120.000000,59000000000.000000,,,,-118833880.000000,,58881166120.000000,-25636114694.000000,28951106419.000000,3573208112.000000,6888199837.000000
12M 2023,-69147862876.000000,247166911032.000000,-302917827365.000000,-4771954583.000000,-2610507039.000000,-5593681592.000000,-763558200.000000,357154190.000000,-14399319.000000,-69147862876.000000,-34296489779.000000,,,,-26000000000.000000,-118354000.000000,,-8178135779.000000,-34296489779.000000,99373592468.000000,15005148315.000000,86000000000.000000,26084796.000000,-1556943462.000000,-100697181.000000,,99373592468.000000,-4070760187.000000,,6888199837.000000,2817439650.000000
12M 2024,78724336.000000,841524286948.000000,-832227975644.000000,-2983933934.000000,-5505426281.000000,-1207305188.000000,-197993210.000000,684864628.000000,-7792983.000000,78724336.000000,,,,,,,,,,-176810343.000000,,,978705.000000,,-177789048.000000,,-176810343.000000,-98086007.000000,,2817439650.000000,2719353643.000000
